index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,16.516,23.556,"The June 19, 2022 meeting of the transportation and Seattle public utilities meeting will come to order.",0,,
1,0.97,23.556,29.129,Will the clerk please call the roll?,0,,
2,0.97,29.129,30.43,Councilmember Morales?,1,,
3,0.97,30.43,31.798000000000002,Here.,2,,
4,0.97,31.798000000000002,32.465,Councilmember Strauss.,3,,
5,0.97,32.465,34.0,Present.,4,,
6,0.97,34.0,34.434,Chair Pedersen.,5,,
7,0.97,34.434,34.768,Present.,6,,
8,0.97,34.768,35.201,Three present.,7,,
9,0.97,35.201,40.173,Councilmembers Herbold and is a want are excused.,8,,
10,0.97,40.173,45.045,"If there's no objection, today's proposed agenda will be adopted.",8,,
11,0.97,45.045,47.147,"Hearing no objection, the agenda is adopted.",8,,
12,0.97,47.147,47.947,Chairs report.,8,,
13,0.97,47.947,57.857,"Good morning, again, welcome to the transportation Seattle public utilities committee.",8,,
14,0.97,57.857,59.459,On our agenda are four items.,8,,
15,0.97,59.459,71.371,The second item is a preview from s DOT on a proposal to vacant the part of the alley near northeast 45Th and Roosevelt way and District four.,8,,
16,0.97,71.371,84.384,"We have a briefing on Sdot's safe start permit program, which was created during the pandemic to allow restaurant to utilize the sidewalks outside their buildings.",8,,
17,0.97,84.384,90.59,The ship Canal water quality project from Seattle public utilities.,8,,
18,0.97,90.59,98.064,"At this time, we will open the general public comment period for the Seattle public utilities committee.",8,,
19,0.97,98.064,106.84,"For our hybrid meeting, we have people signed up to give public comment both Online and in person.",8,,
20,0.97,106.84,111.211,The public comment period for this meeting is up to 20 minutes.,8,,
21,0.97,111.211,115.915,Each Speaker will be given two minutes to speak.,8,,
22,0.97,115.915,120.72,I'll start with the speakers who have registered Online.,8,,
23,0.97,120.72,129.796,"I'll call on speakers two at a time in the order in which they're registered on the Council's Website, and on the sign up sheet at City Hall.",8,,
24,0.97,129.796,143.643,"If you have not yet registered, but would like to speak, you can sign up by going to the Council's Website at Seattle.Gov/Council.",8,,
25,0.97,143.643,147.547,Or by signing up at the comment sheet.,8,,
26,0.97,147.547,158.791,"For remote speakers, once I call remote speakers, staff will Unmute the microphone and an automatic prompt of you have been Unmuted will begin the Speaker's term to speak.",8,,
27,0.97,158.791,164.764,The Speaker must press Star 6 to begin speaking.,8,,
28,0.97,164.764,169.769,Please begin by stating your name and the item which you are addressing.,8,,
29,0.97,169.769,173.339,Speakers will hear a Chime when 10 seconds are left of the allotted time.,8,,
30,0.97,173.339,178.478,"Once you hear the Chime, we ask that you begin to wrap up your public comment.",8,,
31,0.97,178.478,189.489,If speakers do not end their comments at the end of the allot the time provided the Speaker's microphone will be muted to allow us to call on the next Speaker.,8,,
32,0.97,189.489,194.127,"If you're providing public comment remotely, we ask that you please Disconnect from the line.",8,,
33,0.97,194.127,204.737,"If you plan to continue Fllowing the meeting, please do so via the Seattle channel or the listing items on the agenda.",8,,
34,0.97,204.737,206.506,The public comment period is now open.,8,,
35,0.97,206.506,209.842,We begin with the first Speaker on the list.,8,,
36,0.97,209.842,213.646,Please remember to press Star 6 before speaking.,8,,
37,0.97,213.646,213.947,One moment.,8,,
38,0.97,213.947,216.916,Let me pull up this list.,8,,
39,0.97,216.916,230.063,"The first Speaker will be Aaron Burke, followed by Sabrina Bellue.",8,,
40,0.97,230.063,240.373,"Go ahead, Aaron.",8,,
41,0.97,241.941,244.877,Erin press Star 6 to begin speaking.,8,,
42,0.97,244.877,250.183,"My name is Erin Burke, and I'm one of the property owners on harbor Island.",9,,
43,0.97,250.183,255.788,"I am located in location number two, which is in your packet on 11th Avenue Southwest.",9,,
44,0.97,255.788,268.501,"As you can see, this is a shared communal space, not only by the five businesses, but also bridge gear park.",9,,
45,0.97,268.501,289.455,"This area has been designated as a Superfund site which requires the property owners to not only provide soil samples and water samples annually, to keep documentation with the EPA.",9,,
46,0.97,289.455,296.062,The latest documentation review I have found on the Website was updated in 2000.,9,,
47,0.97,296.062,302.368,All of this verbal testimony has been submitted to the chair in written format for you to follow up on your own.,9,,
48,0.97,302.368,325.892,"I believe that changing the use of the land, and providing truck to tractor parking with diesel fuel up to 25 now, and possibly more later creates a risk to the property owners for permitting the soil testing and land testing that we are required to do.",9,,
49,0.97,325.892,346.779,"Not only is this shared area used by everybody, but documentation going back to 1997 shows that parking spaces used by business owners' customers and employees have had to privately lease property in the future.",9,,
50,0.97,346.779,356.989,And parking leases are not available as you know.,9,,
51,0.97,356.989,359.192,Harbor Island businesses are primarily industrial.,9,,
52,0.97,359.192,368.367,"Which we use full semi trucks that use the full width of 11th Avenue Southwest, which also impacts --",9,,
53,0.97,368.367,369.102,Thank you.,10,,
54,0.97,369.102,377.577,"Please feel free to submit your comments to Council @ Seattle.Gov, by Email as well.",10,,
55,0.97,377.577,382.315,"Next up, we've got Serena followed by Jordan.",10,,
56,0.97,382.315,384.016,"Go ahead, Serena.",10,,
57,0.97,384.016,386.919,"Hello, good morning, everyone.",11,,
58,0.97,386.919,388.154,My name is Sabrina.,11,,
59,0.97,388.154,389.055,I'm for the court of Seattle.,11,,
60,0.97,389.055,395.228,I'm providing comment today on behalf of the court and our sister company the Northwest sea port alliance.,11,,
61,0.97,395.228,410.476,"I want to thank the transportation Seattle public utilities Committee for hearing Council bill 120364 to dedicate truck, tractor parking in industrial zone locations nearby access terminals and facilities that truck drivers service.",11,,
62,0.97,410.476,419.252,"I encourage your full support of this legislation, because it's good for the environment, Duwamish Valley residents, and truck driver safety.",11,,
63,0.97,419.252,432.765,"This legislation does not penalize truck drivers for parking in industrial areas, but rather provides drivers with certainty of dedicated overnight parking locations close to working terminals.",11,,
64,0.97,432.765,445.144,"There's also Federal and state pushes for improved driving for all kinds of drivers, and a bipartisan infrastructure law that acknowledges the need for support of the trucking industry including parking.",11,,
65,0.97,445.144,447.146,This work is not new.,11,,
66,0.97,447.146,467.767,"It's just one first step and the report remains an active partner in the city of identifying additional off Street parking to alleviate heavy truck trafficking, and reduce greenhouse gas emissions in residential areas, and provides drivers with reliable overnight locations for vehicles.",11,,
67,0.97,467.767,486.352,"This is a really great piece of legislation and we are very excited to support it and happy to answer any questions that you share, or any of your colleagues might have as this bill continues to be heard.",11,,
68,0.97,486.352,487.253,Thank you.,11,,
69,0.97,487.253,487.587,Thank you.,12,,
70,0.97,487.587,493.025,"Next, we've got Jordan, followed by Gordon.",12,,
71,0.97,493.025,496.262,"Go ahead, Jordan.",12,,
72,0.97,496.262,498.531,Good morning Councilmembers and staff.,13,,
73,0.97,498.531,499.332,My name is Jordan.,13,,
74,0.97,499.332,503.502,I'm a 40 year Seattle resident the last 15 in South Seattle.,13,,
75,0.97,503.502,519.619,"I'd like to begin by thanking the Council, especially Councilmembers Morales, and Pedersen for your continued advocacy, so Seattle can continue reaching its goals of zero traffic deaths.",13,,
76,0.97,519.619,531.397,"The latest data does not look good, and there's much work to be done.",13,,
77,0.97,531.397,536.969,I was pleasantly surprised to see one Lane dedicated to Bicyclists and cyclists.,13,,
78,0.97,536.969,541.274,I did experience one car illegally use the Lane to jump to the head of traffic.,13,,
79,0.97,541.274,549.115,"It's still a major improvement, and I hope Sdot will consider extending this Lane further North and South.",13,,
80,0.97,549.115,562.161,"As the climate emergency continues to explode with record heat around the globe at this moment, we need to shift our addiction away from fossil fuel travel, and emphasize local community resiliency, and Liveability.",13,,
81,0.97,562.161,565.898,Seattle can be a leader in this movement.,13,,
82,0.97,565.898,582.548,"I would also like to recommend that Sdot add another speed bump or two at minimum on 31st Avenue South between McClellan and grand streets, and painted Crosswalks installed which connects to the steps leading to Mount Baker park.",13,,
83,0.97,582.548,590.823,"I live in the middle of this long and straight section of road, that practically every day, I see cars doing 50.",13,,
84,0.97,590.823,607.139,"If Rainier becomes more gridlocked due to the recent transit, and Cycling improvements, the pressure on alternate routes, such as 31st Avenue South and Lake Washington Boulevard South will only increase.",13,,
85,0.97,607.139,609.408,A serious injury or fatality is only a matter of time.,13,,
86,0.97,609.408,610.543,Thank you for your help.,13,,
87,0.97,610.543,620.086,"Thank you, next, we've got Gordon followed by Holly.",14,,
88,0.97,620.086,620.82,"Go ahead, Gordon.",14,,
89,0.97,620.82,622.955,"Good morning, Councilmembers.",15,,
90,0.97,622.955,623.422,My name is Gordon.,15,,
91,0.97,623.422,631.43,"Firstly, I'd like to say thank you to chair Pedersen, and Councilmember Morales.",15,,
92,0.97,631.43,636.335,I hope the Council will consider taking action to deal with the vision zero crisis soon.,15,,
93,0.97,636.335,649.181,"On your agenda today is a presentation about the extremely popular and successful cafe streets program, which Sdot is calling safe start.",15,,
94,0.97,649.181,655.187,"Cities like Edmonds, and Boston, and San Francisco have already smothered these with excessive fees and regulation.",15,,
95,0.97,655.187,658.29,We need to avoid doing the same in Seattle.,15,,
96,0.97,658.29,667.4,The one thing I'd like to draw your attention to is a quote on slide 15 which talks about focus on cost recovery as a goal.,15,,
97,0.97,667.4,672.938,And we don't think this is a worthy goal.,15,,
98,0.97,672.938,678.077,These basically don't exist just to make money for Sdot.,15,,
99,0.97,678.077,679.078,They strengthen public health.,15,,
100,0.97,679.078,692.024,"They create public space, which strengthens community, and increase public safety by cultivating a cared sense of place on the street, and people enjoy being in them, and it increases our quality of life.",15,,
101,0.97,692.024,699.365,"You know, a Tom Douglas restaurant may be able to pay high fees and jump through the regulatory hoops.",15,,
102,0.97,699.365,703.436,But we've heard from small mom and pop restaurants who just think that's too difficult.,15,,
103,0.97,703.436,708.707,So I'm hoping you will make sure that Sdot keeps the fees low.,15,,
104,0.97,708.707,720.386,"Less than $1,000, and the regulations as simple as possible, so every small business can partnership in this program, and the communities throughout Seattle can benefit from it.",15,,
105,0.97,720.386,721.02,Thank you.,15,,
106,0.97,721.02,722.588,Thank you.,16,,
107,0.97,722.588,724.39,Our final Online Speaker is Holly.,17,,
108,0.97,724.39,728.794,"Go ahead, Holly.",17,,
109,0.97,728.794,736.001,Good morning Councilmember Pedersen and community members.,18,,
110,0.97,736.001,752.284,"My name is Holly, and I am taking my morning coffee break to come to you as an individual who served on the 2007 to 2009 South harbor trucking group many mornings.",18,,
111,0.97,752.284,764.864,"As a resident of Georgetown, and this is the state specifically of the proposed legislation for the truck tractor Proned legislation.",18,,
112,0.97,764.864,773.439,I also submitted comments and attended two of the public meetings that were hosted by Sdot and the port.,18,,
113,0.97,773.439,782.148,Two things come to mind that I'd like to just raise as areas of concern.,18,,
114,0.97,782.148,796.195,"One is that the proposed legislation as written does not address how future port, or future truck designation will be made in industrial zoned areas.",18,,
115,0.97,796.195,799.064,How will residents and businesses be engaged on the Onset?,18,,
116,0.97,799.064,819.318,"We came into this particular legislation on the back end, and so that kind of RAISES a Spidey sense for me about how this might move forward in the future, especially in light of the draft, by EIS that is in front of us.",18,,
117,0.97,819.318,820.386,"The second, there's actually three things.",18,,
