index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,17.65,19.486,Thank you very much for coming to the meeting.,0,,
1,0.97,19.486,22.255,My name is tear is a Mosqueda.,0,,
2,0.97,22.255,23.623,I'm the chair of the committee.,0,,
3,0.97,23.623,23.957,I'm 9:30 A.M.,0,,
4,0.97,23.957,30.397,Will the clerk please call the role?,0,,
5,0.97,30.397,32.632,Chair Mosqueda.,1,,
6,0.97,32.632,34.367,Present.,2,,
7,0.97,34.367,34.768,Chair Herbold.,3,,
8,0.97,34.768,40.507,Council President Gonzalez.,3,,
9,0.97,40.507,45.311,Council member Lewis.,3,,
10,0.97,45.311,46.312,Present.,4,,
11,0.97,46.312,49.883,Council member Strauss.,5,,
12,0.97,49.883,50.183,Present.,6,,
13,0.97,50.183,51.117,Counci member Morales.,7,,
14,0.97,51.117,51.451,Present.,8,,
15,0.97,51.451,53.82,Madam chair that is four present.,9,,
16,0.97,53.82,58.525,Could you please call vice chair Herbold's name one more time?,10,,
17,0.97,58.525,59.092,Vice chair Herbold.,11,,
18,0.97,59.092,59.426,Here.,12,,
19,0.97,59.426,62.395,Madam chair that is five present.,13,,
20,0.97,62.395,62.729,Wonderful.,14,,
21,0.97,62.729,63.997,Thank you very much.,14,,
22,0.97,63.997,68.401,If we are joined by Council President Gonzalez we will be sure to note her attendance as well.,14,,
23,0.97,68.401,76.309,We may be joined by other members of the Seattle city council today.,14,,
24,0.97,76.309,83.383,We also visit EMS that tee us up for our supplemental budget discussion.,14,,
25,0.97,83.383,92.025,We have invited our Council members to join us.,14,,
26,0.97,92.025,95.862,We will make sure to note their presence when they come as well.,14,,
27,0.97,95.862,98.665,We have a full agenda for today.,14,,
28,0.97,98.665,99.632,I appreciate your extended time.,14,,
29,0.97,99.632,104.037,"We are hoping to wrap up at least by 1:00, 1230 at the latest.",14,,
30,0.97,104.037,108.041,Wanted to make sure you know what our agenda is.,14,,
31,0.97,108.041,109.809,We will begin with two new board appointments.,14,,
32,0.97,109.809,113.646,We will move into a briefing from the equitable communities initiative task force.,14,,
33,0.97,113.646,118.551,We will have a briefing from car that on the domestic worker's recommendations.,14,,
34,0.97,118.551,130.363,We will move on to items that relate to our budget.,14,,
35,0.97,130.363,133.399,We will have the second quarter grant acceptance.,14,,
36,0.97,133.399,141.641,We will also have the Seattle rescue plan to update if time permits.,14,,
37,0.97,141.641,144.577,We will do our best to get through public comment and get to you.,14,,
38,0.97,144.577,148.114,We want to make sure we honor our public comment period as well.,14,,
39,0.97,148.114,156.122,If you want to sit tight and NOTE those over items will not begin till 10:00 A.M.,14,,
40,0.97,156.122,159.792,So anticipate coming to the board appointments around 10:00 A.M.,14,,
41,0.97,159.792,167.167,"And then equitable's community initiative task force about 10:15, 10:20.",14,,
42,0.97,167.167,175.141,If there is no objection the agenda is adopted.,14,,
43,0.97,175.141,177.911,Council President Gonzalez has joined us as well.,14,,
44,0.97,177.911,179.112,Good morning Council President.,14,,
45,0.97,179.112,182.348,Thank you for being here.,14,,
