index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,3.336,10.343,"June 14, 2021 meeting of the Seattle city council welcome to order.",0,,
1,0.97,10.343,12.612,It is to: 01 P.M.,0,,
2,0.97,12.612,17.484,Will the clerk please call the roll?,0,,
3,0.97,31.898,35.468,Eight present.,1,,
4,0.97,35.468,38.004,Thank you so much.,2,,
5,0.97,38.004,40.173,Presentations.,2,,
6,0.97,40.173,46.479,I'm not aware of any presentation for today so we will move to approval of the minutes.,2,,
7,0.97,46.479,52.786,"The minutes of the city council meeting of June 7th, 2021 has been viewed if there is no objection, the minutes will be signed.",2,,
8,0.97,52.786,55.655,"Hearing no objection, the minutes are being signed.",2,,
9,0.97,55.655,59.559,To the clerk please affix my signature to the minutes?,2,,
10,0.97,59.559,61.961,"If there's no objection, the introduction and referral calendar will be adopted.",2,,
11,0.97,61.961,66.399,"Hearing no objection, the introduction and referral calendar is now adopted.",2,,
12,0.97,66.399,69.202,Approval of the agenda.,2,,
13,0.97,69.202,72.272,"If there is no objection, the agenda will be adopted.",2,,
14,0.97,72.272,74.207,"Hearing no objection, the agenda is adopted.",2,,
15,0.97,74.207,87.72,"Colleagues, at this time we will open the remote public comment period for items on the city council agenda, introduction and referral calendar, and work program.",3,,
16,0.97,87.72,93.026,I thank everyone for their ongoing patience and cooperation as we continue to operate this remote system.,3,,
17,0.97,93.026,93.626,Public comment system.,3,,
18,0.97,93.626,112.912,"There remains a strong intent of the city Council to have remote public comment regularly included on the meeting agenda, however as a reminder the city council reserves the right to end or eliminate these periods at any point in we dream that the system is being abused or no longer suitable for allowing our meetings to be conducted efficiently and effectively.",3,,
19,0.97,112.912,118.952,I will moderate the public comment period today.,3,,
20,0.97,118.952,125.725,We will have a public comment period for this meeting to last a total of 20 minutes.,3,,
21,0.97,125.725,128.328,Each Speaker is going to have two minutes to address the city council.,3,,
22,0.97,128.328,138.138,Speakers are asked--speakers are called upon in the order in which they registered to provide public comment on the Website.,3,,
23,0.97,138.138,149.482,"Each Speaker must call in from the phone number used for this registration and using the meeting phone number, i.d., and Passcode that was Emailed to each Speaker upon confirmation of their Preregistration.",3,,
24,0.97,149.482,156.589,This is a different number than the general meeting listen line call in information.,3,,
25,0.97,156.589,165.765,"For those of you who are registered for public comment, take the time now to make sure that you are calling into the meeting phone number with the I.D.",3,,
26,0.97,165.765,169.402,And Passcode that was Emailed to you upon confirmation of your registration.,3,,
27,0.97,169.402,174.674,Using the same exact number that you Preregistered with.,3,,
28,0.97,174.674,179.279,"If you have called into the general meeting listen line, that is the wrong number.",3,,
29,0.97,179.279,189.923,"You will appear as not present on my end, and I will not be able to call on you in order to public comment.",3,,
