index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,20.019,20.687,Good afternoon colleagues.,0,,
1,0.97,20.687,26.192,The meeting will come to order.,0,,
2,0.97,26.192,27.36,It's 2:05 P.M.,0,,
3,0.97,27.36,32.565,Will the clerk please call the role.,0,,
4,0.97,32.565,32.899,Sawant.,1,,
5,0.97,32.899,33.767,Here.,2,,
6,0.97,33.767,37.303,Strauss.,3,,
7,0.97,37.303,38.071,Present.,4,,
8,0.97,38.071,38.671,Herbold?,5,,
9,0.97,38.671,39.005,Here.,6,,
10,0.97,39.005,39.372,Juarez.,7,,
11,0.97,39.372,41.274,Here.,8,,
12,0.97,41.274,42.342,Lewis.,9,,
13,0.97,42.342,44.811,Present.,10,,
14,0.97,44.811,47.914,Morales.,11,,
15,0.97,47.914,48.848,Here.,12,,
16,0.97,48.848,49.749,Mosqueda.,13,,
17,0.97,49.749,50.216,Present.,14,,
18,0.97,50.216,51.484,Pederson.,14,,
19,0.97,51.484,51.785,Here.,15,,
20,0.97,51.785,52.452,Council President Gonzalez.,16,,
21,0.97,52.452,52.886,Here.,17,,
22,0.97,52.886,53.887,Nine present.,18,,
23,0.97,53.887,54.654,"Thank you, Madam clerk.",19,,
24,0.97,54.654,60.46,"Colleagues, wither going to have to do some administrative stuff here before we get into items of business.",19,,
25,0.97,60.46,62.061,First up the suspension of the rules.,19,,
26,0.97,62.061,70.804,As I mentioned this morning the Council rules are silent on allowing remote meetings and electronic participation at City Council and Committee meetings.,19,,
27,0.97,70.804,77.31,"To continue participating remotely I will move to suspend the Council rules through January 19th, 2021.",19,,
28,0.97,77.31,93.66,As I mentioned this morning that would bring us up to date in terms of the renewed proclamation issued by Governor Inslee related to open public meetings Act and its applicability to government agencies including the city of Seattle.,19,,
29,0.97,93.66,103.97,"If there is no objection, the Council rules will be suspended to allow electronic meetings--through January 19th, 2021.",19,,
30,0.97,103.97,117.817,"Hearing no objection, the Council rules are suspended and city Council and community meetings will be held remotely with Councilmembers participating electronically through at least January 19th, 2021.",19,,
31,0.97,117.817,122.555,Okay.,19,,
32,0.97,122.555,135.969,"Presentations, we have one presentation this afternoon and that will represented by Councilmember Herbold.",19,,
33,0.97,135.969,146.646,Ask questions or make comments before I ask if they would like to have their signatures on the proclamation.,19,,
34,0.97,146.646,152.585,"We will have Councilmember Herbold address the proclamation, hear questions or comments if any.",19,,
35,0.97,152.585,160.66,And I will ask--to determine which Councilmembers' signatures will be affixed to the proclamation.,19,,
36,0.97,160.66,161.294,"Councilmember Herbold, please.",19,,
37,0.97,161.294,180.079,"This is in recognition of the bravery, creativity and abilities of the Seattle fire Department and a collective group of individuals who were able to come together to create a national model for community testing, which has been Replicated across the state of Washington.",20,,
38,0.97,180.079,187.387,"Since June 5th, 2020, Seattle's four community test sites have administered nearly 500,000 Covid-19 tests.",20,,
39,0.97,187.387,193.793,And chief Scoggins is here to accept the proclamation on behalf of those named.,20,,
40,0.97,193.793,202.869,"And I would like, if it please the Council, to read the proclamation as follows.",20,,
41,0.97,202.869,352.285,"Whereas Seattle Mayor Jenny Durkan, deputy Mayor Michael Fong and staff Julie Klein and Leah Tiff Yowley immediately recognized the need for widespread community testing and worked with local health officials to drive policy to implement test sites within the city and whereas Seattle fire chief Harold Scoggins and medical director Dr. Michael Sayer led the way in having the fire Department take on this new role of serving the community by obtaining approval to have Emts and Paramedics Paramedic John loving Well- stepped into the role of initially training and supervising uniform and civilian staff at the four sites and fire Department Paramedic Becky Matthews oversees the notification group responsible for contacting people who have tested positive, and fire Department services division director Sheila Kelly and Julie Motts Moto--don McDermott, Nonila Massmela, Mike Wong and Melissa Mixon insured the personal protective equipment, testing site supplies, Signage and site construction needs were met.",20,,
42,0.97,352.285,392.225,"And is also responsible for insuring sites are ready to operate during the winter months and Fsa real estate services Karen, Lane and Richard Embry secured leases in record time for the Aurora and Soto sites, and FAS purchasing and contracting Presley Palmer, Julie Salinas, David Mcklein and Pam, facilitated ordering all of the supplies and customer service Bureau answered thousands of calls from the public about the testing sites.",20,,
