index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,19.018,25.358,The special meeting of the Seattle city will come to order.,0,,
1,0.97,25.358,35.769,Please call the roll.,0,,
2,0.97,56.256,59.426,We have nine Council members present.,0,,
3,0.97,59.426,64.03,"If there is no objection, the agenda will be adopted.",1,,
4,0.97,64.03,66.032,"Hearing no objection, the agenda is adopted.",1,,
5,0.97,66.032,88.054,We will open the remote public comment for items on the city council agenda in the 2020 work program . I appreciate the ongoing patience as we continue to use this remote system and navigate through all that is required to make the remote comments.,1,,
6,0.97,88.054,104.938,Possible . We are always looking for ways to Fine-Tune our process . It does remain our strong intent to have regular public comment on the agenda.,1,,
7,0.97,104.938,118.251,"It any point if it is deemed that the system is abused, or not being managed sufficiently, I will moderate today's public comment.",1,,
8,0.97,118.251,124.057,Peer the public comment.,1,,
9,0.97,124.057,139.139,"For this meeting will be a total of 90 minutes today, for the first 60 minutes Speaker will have one minute to provide public comment . Each Speaker signed up will have 45 seconds to speak.",1,,
10,0.97,139.139,143.376,I will call on each Speaker by name in the order which they registered.,1,,
11,0.97,143.376,151.117,"If you have not yet registered to speak, but would like to, sign up at the Council Website.",1,,
12,0.97,151.117,155.755,The public comment link is also listed on today's agenda.,1,,
13,0.97,155.755,172.005,"When I call a Speaker's name, there'll be an automatic prompt, that is is the speakers turn, the Speaker must press Á- Asterisk 62 begin speaking.",1,,
14,0.97,172.005,178.444,"As a reminder, public comment should refer to an item on today's agenda.",1,,
15,0.97,178.444,192.659,"Speakers will hear about ten seconds in, a time, you have ten seconds to wrap up your public comment.",1,,
16,0.97,192.659,201.968,Your Speaker will be automatically muted to allow us to call him Speaker.,1,,
17,0.97,201.968,214.347,"If you plan to continue following this meeting, please do so by the Seattle channel or the listening options . I'm going to go ahead and open up the public comment ..",1,,
18,0.97,214.347,220.053,I will begin the process of calling folks on the list.,1,,
19,0.97,220.053,222.555,It is approximately 3:10 P.M.,1,,
20,0.97,222.555,233.032,"We will go one minute per Speaker, until 4:10 P.M.",1,,
21,0.97,233.032,244.711,At that point we will go for an additional 30 minutes before we consider the items on today's agenda.,1,,
22,0.97,244.711,257.69,"The first Speaker on the list is Evelyn, followed by Madison.",1,,
23,0.97,261.594,272.372,"I'm calling today to hold an override of 119, 865 at 863.",2,,
24,0.97,272.372,285.451,King County equity now purposes tends thousands of constituents.,2,,
25,0.97,285.585,303.503,"Dismantling the navigation team, which gets millions of dollars per year to early homeless people and treat them integrating and Dehumanizing ways . The people are all watching you give into me oral pressure.",2,,
26,0.97,303.503,310.043,"We need you to side with black LABS, if you do not vote to override the veto, you are standing with the Mayor.",2,,
27,0.97,310.043,319.452,"Hold the line, do not go back on your word, please reject the so-called compromise bill.",2,,
28,0.97,319.452,329.495,"Next up is medicine, followed by Brian Clark.",3,,
29,0.97,329.495,333.132,I am a Renter in district seven.,4,,
30,0.97,333.132,339.906,"If the Council believes that black lives matter, they need to prove it by Overwriting the Mayor's veto.",4,,
31,0.97,339.906,353.419,"We have seen the cut of 15% to get moved down to 2%, now a compromise of 0.2%?",4,,
32,0.97,353.419,385.451,"Lewis this is specifically to you, my partner and I have talked to you many times over the course of time, including the treatment of Edm and what happened to myself when I was arrested trying to protect the House list community and protesters from SPD . and arrested as well as at the labor day rally, suffering a life-threatening tuition due to indiscriminate use of force, Lewis, do not turn your back on us.",4,,
33,0.97,385.451,386.719,"Thank you, I yield my time.",4,,
34,0.97,386.719,394.26,"The next Speaker is Ryan Clark, followed by Rebecca thinks.",5,,
35,0.97,394.26,402.034,"My name is Brian Clark, Ime homeowner in district six.",6,,
36,0.97,402.034,410.943,This is a vital first step with crucial investment.,6,,
37,0.97,410.943,446.078,"I'm asking to hold the line despite the mayors attempts to reshape at . This is in defense of black lives . The so-called governments also disproportionately affects people of color who are violently harassed, and have their lungs destroyed . stress has committed to Defunding.",6,,
38,0.97,446.078,454.253,"If you do not vote to override this veto, you are failing to uphold a commitment.",6,,
39,0.97,454.253,457.423,Whose side are you on?,6,,
40,0.97,457.423,462.862,"Rebecca, followed by Joanna.",7,,
41,0.97,462.862,483.85,"Hello, Council members . I ask you each to override the Mayor's veto . I hope we can rely on you divesting from the existing system that Perpetuates trauma, racism, police brutality and death.",8,,
42,0.97,483.85,488.821,"Voted UN because we believe in you, please don't let us down.",8,,
43,0.97,488.821,493.492,Thank you.,8,,
44,0.97,493.492,498.03,Thank you for calling and.,9,,
45,0.97,498.03,505.471,"Next up is Joanna, followed by Peter.",9,,
46,0.97,505.471,516.749,I'm calling for Overwriting the mayors shameful Anti- black veto . The Compromisepackages outright appalling.,10,,
47,0.97,516.749,533.799,You are stating to your constituents that you do not think like lives matter and you do not care for Seattle's growing House list community.,10,,
48,0.97,533.799,536.335,I'm asking you to call on the right side of history and override the veto.,10,,
49,0.97,536.335,542.041,"If you decide not to, ask yourself why.",10,,
50,0.97,542.041,549.081,"Your partner is a lawyer for the East Precinct, a latent conflict of interest.",10,,
51,0.97,549.081,551.317,Stand on the right side of history.,10,,
52,0.97,551.317,561.694,I yield my time.,10,,
53,0.97,567.266,569.502,"Hello, this is Peter, I live in district four.",11,,
54,0.97,569.502,584.45,"I encourage you all to override the Mayor's veto, I want to see $14 spent on Scaling up of existing organizations, I want to see $3 million on research into public safety solutions.",11,,
55,0.97,584.45,590.756,I want to see the violent Seattle police force really reduced in size.,11,,
56,0.97,590.756,597.263,They've shown an ability to perform.,11,,
57,0.97,597.263,607.74,One man was paid for more than 24 hours of work six separate occasions last year . There is overtime fraud going on in plain sight.,11,,
58,0.97,607.74,612.979,You are all obligated to fix the situation.,11,,
59,0.97,612.979,620.486,"Defund the police, override the veto . I yield my time.",11,,
60,0.97,620.486,627.493,"Joe Cansler, followed by Hayden Bass.",12,,
61,0.97,627.493,632.598,Thank you Council President.,13,,
62,0.97,632.598,643.442,I clearly trying to play Bingo here . I appreciate you having a compromise on the crisis that is going on.,13,,
63,0.97,643.442,654.387,"I think having Seattle police, they do a great job.",13,,
64,0.97,654.387,663.562,"I think instead of being deployed to go after protesters who simply want more investment in their communities, they need progressive options to do that.",13,,
65,0.97,663.562,687.253,"Maybe we sent if we sent them after those evildoers who are not wearing a mask in public and spreading Covid-19, they deserve to face tear gas and flash bangs, not people who stand up in the streets . I support the compromise and hope you will get on with fighting Covid-19.",13,,
66,0.97,687.253,691.057,"Thank you so much, Council President Eric you are awesome.",13,,
67,0.97,691.057,699.665,Next up is Hayden Bass.,14,,
68,0.97,699.665,723.155,"Good afternoon, my name is Hayden Bass . fifteen years of experience working in a public space, the only real option staff has in the library when faced with a crisis, is to call the police.",15,,
69,0.97,723.155,731.163,It's wasteful for taxpayers to pay for an expensive police response that never addresses the problem or offers lasting solutions.,15,,
70,0.97,731.163,735.901,I need community solutions that actually work.,15,,
71,0.97,735.901,749.148,"Instead of continue to or fund police, put funding where it belongs, in black and indigenous communities . Thank you, I yield my time.",15,,
72,0.97,753.719,769.101,"Ness next up is Matthew plank, followed by Emily Merrill.",16,,
73,0.97,771.403,771.804,Is Matthew with us?,16,,
74,0.97,771.804,773.506,Yes.,17,,
75,0.97,773.506,779.945,You need to hit Á-Asterisk six so we can hear you.,18,,
76,0.97,779.945,782.748,Can you hear me?,19,,
77,0.97,782.748,783.182,We can hear you.,20,,
