index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,19.786,20.053,Good morning.,0,,
1,0.97,20.053,20.653,It is July 27th.,0,,
2,0.97,20.653,25.425,This is the public safety and human services committee Mooting.,0,,
3,0.97,25.425,30.263,"I am Lisa Herbold, the chair of the committee.",0,,
4,0.97,30.263,30.897,It is 9:31 A.M.,0,,
5,0.97,30.897,33.166,The meeting will come to order.,0,,
6,0.97,33.166,39.973,Will the clerk please call the roll.,0,,
7,0.97,39.973,40.573,Council President Gonzalez.,1,,
8,0.97,40.573,46.646,Council member Lewis.,1,,
9,0.97,46.646,46.98,Present.,2,,
10,0.97,46.98,49.149,Council member Pedersen.,3,,
11,0.97,49.149,49.482,Present.,4,,
12,0.97,49.482,50.817,Chair Herbold.,5,,
13,0.97,50.817,51.051,Here.,6,,
14,0.97,51.051,58.758,And both Council member Morales and Sawant threat office know they were not going to be here today.,7,,
15,0.97,58.758,60.493,Thank you so much.,8,,
16,0.97,60.493,65.498,So today on the agenda we will hear a number of items.,8,,
17,0.97,65.498,75.442,The first item that we will hear is the office of the inspector general's event phase 1 report.,8,,
18,0.97,75.442,91.691,It will be followed by the race and social justice initiative presentation from the Seattle fire Department and we will hear from the office of emergency management on the all hazards mitigation plan.,8,,
19,0.97,91.691,98.998,This is a second presentation from an earlier one from the office of early emergency management.,8,,
20,0.97,98.998,103.403,I hope to vote the plan out of committee today.,8,,
21,0.97,103.403,121.821,Then Lastly we will be hearing from central staff and executive staff on the Summery findings on the executive order on the Reimagining policing and community safety inner departmental team effort.,8,,
22,0.97,121.821,125.024,Now approve our agenda for today's committee meeting.,8,,
23,0.97,125.024,133.8,"If there is no objection, today's agenda will be adopted.",8,,
24,0.97,133.8,137.537,Hearing no objection today's agenda is adopted.,8,,
25,0.97,137.537,142.375,At the time we will transition into public comment.,8,,
26,0.97,142.375,145.745,I will moderate the public comment period in the following manner.,8,,
27,0.97,145.745,148.414,Each Speaker will be given two minutes to speak.,8,,
28,0.97,148.414,157.79,I will call on each Speaker by name and in the order in which they registered on the Council's Website.,8,,
29,0.97,157.79,168.101,If you have not registered to speak but would like to do so you can sign up before the end of the public hearing by going to the Council's Website.,8,,
30,0.97,168.101,178.878,Once I call a Speaker's name you will hear a prompt and once you hear that prompt you need to press Star 6 to Unmute yourself.,8,,
31,0.97,178.878,187.921,You can begin by speaking by stating your name and the item which you are addressing.,8,,
32,0.97,187.921,189.489,Speakers will hear a Chime.,8,,
33,0.97,189.489,194.761,Once the Speaker hears that Chime we ask you going wrap up your public comment.,8,,
34,0.97,194.761,205.572,"Speakers do not tend comment at the end of the a Lotted time provided, the Speaker's Mic will be muted after ten seconds to allow us to hear from the next Speaker.",8,,
35,0.97,205.572,223.489,"Once you have completed your public comment we ask you Disconnect from the line and if you plan to continue following the meeting, you can do so but please do so via the Seattle channel or Thelinessing options that are listed on the agenda.",8,,
36,0.97,223.489,229.095,As mentioned we have about 16 people signed up for public comment.,8,,
37,0.97,229.095,234.867,The agenda shows we have 20 minutes for public comment.,8,,
38,0.97,234.867,264.797,"So to accommodate all of these speakers speaking for two minutes each I think we need to extend public comment for let's make safe--from 20 minutes to 35 minutes and if there is no objections, I will Amebd the agenda to extend public comment period from 20 minutes to 35 minutes.",8,,
39,0.97,264.797,268.801,Hear nothing objection the agenda is amended.,8,,
40,0.97,268.801,273.473,I would like recognize Council President Gonzalez has joined the meeting.,8,,
41,0.97,273.473,274.24,Good morning.,8,,
42,0.97,274.24,280.113,So we will move right into public comment.,8,,
43,0.97,280.113,290.523,I will read Speaker's names together and--get my comment names and we will get started.,8,,
44,0.97,290.523,296.863,First we have Howard Gail followed by Nevil.,8,,
45,0.97,296.863,297.096,Howard.,8,,
46,0.97,297.096,297.897,Good morning.,9,,
47,0.97,297.897,304.404,Over the last year we have seen the repeated failures of every aspect of our police accountability system.,9,,
48,0.97,304.404,314.614,"We have seen the OPA ignore complaints, fined against victims or hand out meaningless discipline in over 99% of the police abuse cases from the last year.",9,,
49,0.97,314.614,330.196,Today we witness the latest failure of the system as the office of Inspector General presents their findings on the police abuse of 2020 from a 12 member panel.,9,,
50,0.97,330.196,338.037,Four of these officers have decades of questionable action including abusing protesters and only one member who identified as Protester out of the 12.,9,,
51,0.97,338.037,363.763,It is as if the city held a peace circle for domestic violence victims and invited mostly Abusers along with a few folks to--[Indiscernible] the SPD claims the tear gas used problem Testers during the pink umbrella incident was because the SPD ran out of other means of abuse.,9,,
52,0.97,363.763,383.549,"Since the Oig set out to not assign blame and our current policing--there remains as there did 21 years ago, 22 years ago after the WTO absolutely no incentive for cops to change behavior rooted from generations of culture.",9,,
53,0.97,383.549,395.394,"This report is an obscene Whitewash and demonstrates the you are end need for us to have full civilian quality control over police policy, misconduct investigations and discipline.",9,,
54,0.97,395.394,398.331,Go Online to find out how.,9,,
55,0.97,398.331,400.066,That is Seattle stop DOT org.,9,,
56,0.97,400.066,402.301,Thank you.,10,,
57,0.97,402.301,410.109,Our next Speaker is Nevil followed by Tony.,10,,
58,0.97,410.109,412.078,Hi.,11,,
59,0.97,412.078,414.914,My name is Nevit.,11,,
60,0.97,414.914,424.757,At the city council meeting yesterday over 40 people argued for over an hour for and against Council bill.,11,,
61,0.97,424.757,433.366,"About four people spoke about bike lanes, affordable housing and other important Seattle business.",11,,
62,0.97,433.366,444.744,A disproportionate amount of Council time is spent on--[Indiscernible] supporters of the bill made contradictory arguments.,11,,
63,0.97,444.744,451.584,Is this bill about human rights and police accountability and not about Israel?,11,,
64,0.97,451.584,456.255,Or is Israel an evil country committing these evil crimes?,11,,
65,0.97,456.255,464.03,If the bill targets Israel then it is discriminatory.,11,,
66,0.97,464.163,473.739,[Indiscernible] a number of callers claim the criticism does not lead to anti-Semitism but that is false.,11,,
67,0.97,473.739,487.987,Criticism of Israel is a trigger and cover for hate crimes Perpetrate against Jews.,11,,
68,0.97,487.987,500.433,Our City Council has been hijacked by an Extremist side logically agenda.,11,,
69,0.97,500.433,512.311,"Please get back to serving Seattle, table this motion, get rid of this bill and make Seattle a safe, inclusive and welcoming community for all.",11,,
70,0.97,512.311,514.914,Thank you.,11,,
71,0.97,514.914,515.381,Thank you.,12,,
72,0.97,515.381,522.121,Our next Speaker is Tony followed by Cody.,12,,
73,0.97,522.121,525.224,Hi.,13,,
74,0.97,525.224,527.793,My name is Dr. Tony.,13,,
75,0.97,527.793,535.868,"I'm a psychologist here in Seattle, clinical faculty at University of Washington and an author on a series of books.",13,,
76,0.97,535.868,548.214,On speaking I to the best of your knowledge Seattle city Council to--[Indiscernible] this is a very timely issue.,13,,
77,0.97,548.214,560.66,A large body of research suggests Psychedelic medicines are highly safe.,13,,
78,0.97,560.66,575.474,Researchers at John Hopkins have published dozens of studies showing the efficacy of Psychedelic medicines along many other major universities.,13,,
79,0.97,575.474,580.613,Many clients tried traditional talk therapies but had not had success.,13,,
80,0.97,580.613,583.382,And then showed significant gains from Psychedelic medicine.,13,,
81,0.97,583.382,590.356,As a psychologist I am very aware of the need for more treatments in addiction and related diagnosis.,13,,
82,0.97,590.356,595.861,Our city is experiencing a severe shortage of mental health service made ever more acute by Covid.,13,,
83,0.97,595.861,603.803,It does not make sense to out law medicines that have such strong restriction support.,13,,
84,0.97,603.803,615.915,Forward thinking cities across the U.S. have--[Indiscernible] I urge the city down still make these natural medicines available to Seattle citizens.,13,,
85,0.97,615.915,621.12,Please act to pass this ordinance before the budget deliberations in September.,13,,
86,0.97,621.12,623.089,Thank you very much.,13,,
87,0.97,623.089,630.93,Our next Speaker is Cody followed by Aly.,14,,
88,0.97,630.93,631.797,Cody.,14,,
89,0.97,631.797,639.238,"High name is Cody, District 4.",15,,
90,0.97,639.238,664.063,There is no reason the city of Seattle shouldn't have these medicines--[Indiscernible] the recent inclusion of Psychedelic Decriminalization is a welcomed step.,15,,
91,0.97,664.063,666.932,We look forward to the upcoming report.,15,,
92,0.97,666.932,672.705,We appreciate the Council members and the willingness to put this on the referral for a vote.,15,,
93,0.97,672.705,676.976,Thank you for taking the time to consider the issue.,15,,
94,0.97,676.976,678.577,I save my time.,15,,
95,0.97,678.577,679.045,Thank you.,16,,
96,0.97,679.045,691.891,Our next Speaker is Aly Lee followed by Ruth.,16,,
97,0.97,691.891,692.058,Aly.,16,,
98,0.97,692.058,692.425,Good morning.,17,,
99,0.97,692.425,692.725,I'm Aly Lee.,17,,
100,0.97,692.725,709.475,I am calling in today to then support amendment 1 which is resolution 32011.,17,,
101,0.97,709.475,721.32,I want to give a special thank you to Council member Herbold and her staff along with director Mayor and Oam and many others who worked on this.,17,,
102,0.97,721.32,728.094,These communities as you know have seen a disadvantage to many others.,17,,
103,0.97,728.094,742.007,"Number one, the river area has a 13 year less life expectancy than other areas.",17,,
104,0.97,742.007,749.782,They are mainly made up of black indigenous and people of color and needs to have the equity of other communities as well.,17,,
105,0.97,749.782,760.359,I want to thank you all so much for your time and your efforts in making sure all communities are equivalent.,17,,
106,0.97,760.359,761.36,Thank you so much.,17,,
107,0.97,761.36,767.733,Our next Speaker is Ruth followed by Karen.,18,,
108,0.97,767.733,769.335,Thank you.,19,,
109,0.97,769.335,769.702,My name is Ruth.,19,,
110,0.97,769.702,775.975,I'm a retired geologist and educator.,19,,
111,0.97,775.975,778.544,Alex is my Council member from district 4.,19,,
