index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,12.312,20.019,"Colleagues, I am going to go ahead and start the meeting.",0,,
1,0.97,20.019,25.725,"So good morning colleagues, this is the November 2, 2020 Council briefing.",0,,
2,0.97,25.725,26.793,It will come to order.,0,,
3,0.97,26.793,28.528,The time is 9:30 A.M.,0,,
4,0.97,28.528,30.03,Please call role.,0,,
5,0.97,30.03,35.301,"Debora Juarez, Andrew J.",1,,
6,0.97,35.301,39.739,"Lewis, Tammy J. Morales",1,,
7,0.97,39.739,41.541,Here.,2,,
8,0.97,41.541,46.646,Teresa Mosqueda,3,,
9,0.97,46.646,48.948,I am sorry.,4,,
10,0.97,48.948,52.152,Alex Pedersen,5,,
11,0.97,52.152,52.419,Here.,6,,
12,0.97,52.419,53.753,Kshama Sawant,7,,
13,0.97,53.753,55.221,Here,8,,
14,0.97,55.221,57.557,Dan Strauss,9,,
15,0.97,57.557,57.824,Here,10,,
16,0.97,57.824,63.663,Council President Lorena Gonzcez.,11,,
17,0.97,63.663,67.767,Lisa Herbold,12,,
18,0.97,67.767,68.001,Here,13,,
19,0.97,68.001,70.437,Debora Juarez,14,,
20,0.97,70.437,71.171,Here.,15,,
21,0.97,71.171,74.841,Are you present?,16,,
22,0.97,74.841,85.151,"No, I am not.",17,,
23,0.97,90.423,91.591,Is there eight or nine?,18,,
24,0.97,91.591,92.392,There is nine present.,19,,
25,0.97,92.392,94.127,We are all accounted for this morning.,20,,
26,0.97,94.127,98.064,And safe Halloween weekend . Ul we are going to move into approval of minutes.,20,,
27,0.97,98.064,102.969,"The minutes of October 26, 2020 will be adopted.",20,,
28,0.97,102.969,104.37,"Hearing no objection, the minutes are adopted.",20,,
29,0.97,104.37,105.171,The President's report.,20,,
30,0.97,105.171,105.705,Good morning colleagues.,20,,
31,0.97,105.705,108.007,We have a long Council briefing today.,20,,
32,0.97,108.007,118.618,"I will keep my President's report short . First, we have a very long agenda.",20,,
33,0.97,118.618,123.022,"We will consider the payment of the bills, the introduction and referral calendar and 33 other items of business.",20,,
34,0.97,123.022,131.364,Most of those items on this afternoon's Council agenda our appointment for the Council's consideration.,20,,
35,0.97,131.364,132.665,We could move through them rather efficiently.,20,,
36,0.97,132.665,134.434,We will also accept public comment this afternoon.,20,,
37,0.97,134.434,146.145,This is consistent with the public agenda.,20,,
38,0.97,150.116,151.918,This will be no more than 20 minutes this afternoon.,20,,
39,0.97,151.918,164.13,"Second, I wanted to acknowledge that in communities across the country, including here in Seattle, tomorrow Tuesday, November 3, 2020 is the last day to vote in our local and Federal elections.",20,,
40,0.97,164.13,166.733,"First of all, please remember to vote by no later than 8:00 P.M.",20,,
41,0.97,166.733,167.567,"Tomorrow Tuesday, November 3, 2020.",20,,
42,0.97,167.567,175.875,Please remember that ballots must be postmarked or deposited in an official election's office drop boxes by 8:00 P.M.,20,,
43,0.97,175.875,176.476,This Tuesday.,20,,
44,0.97,176.476,184.384,"The city of Seattle like so many others has a historic number of people turning out to vote and officials predict that in Washington state, we will see a 90% voter turnout rate.",20,,
45,0.97,184.384,205.305,"This is astonishing, impressive and inspiring.",20,,
46,0.97,205.305,208.775,I know many of our constituents are nervous on the outcome of the Presidential election in particular.,20,,
47,0.97,208.775,214.814,Many people across the city of Seattle are worried about the reaction that our fellow neighbors will have to election night results either tomorrow night or in the ensuing days.,20,,
48,0.97,214.814,221.988,"It is critical for our constituents to know that the city is prepared and as always, local government will serve the people of Seattle no matter the outcome of the election.",20,,
49,0.97,221.988,226.626,"Last week members of the Council received communication from the Mayor's office that was dated Friday, October 30, 2020 at 10:30 A.M.",20,,
50,0.97,226.626,242.642,"In net, we were advised by the Mayor's office that quote as of this writing, the Seattle police Department and law enforcement agencies do not have any intelligence to indicate that there are any threats for election day or the days following.",20,,
51,0.97,242.642,247.547,Arc partners have not reported any threats or security issues that any ballot boxes.,20,,
52,0.97,247.547,260.76,"As such, the police Department, fire Department and other agencies have been planning for contingency purposes only in order to be prepared for a wide range of scenarios.",20,,
53,0.97,260.76,262.929,"Again, we all received that same communication on Friday, October 30.",20,,
54,0.97,262.929,266.266,This was in the morning at 10:30 A.M.,20,,
55,0.97,266.266,287.787,We really do encourage you all to take a look at that communication if you have had an opportunity to do so.,20,,
56,0.97,287.787,290.923,I know that we were all in the throes of select budget Committee on Friday.,20,,
