index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,11.978,17.617,We are recording.,0,,
1,0.97,17.617,18.951999999999998,Thank you.,1,,
2,0.97,18.951999999999998,22.622,June 1Th meeting will come to order.,1,,
3,0.97,22.622,23.356,It is 2:00 P.M.,1,,
4,0.97,23.356,35.435,I made a list of the [inaudible] will the clerk please call the roll?,1,,
5,0.97,35.435,36.369,Councilmember Herbold?,2,,
6,0.97,36.369,39.606,Counsel member Morales?,2,,
7,0.97,39.606,41.174,Here.,3,,
8,0.97,41.174,44.177,Vice chair?,4,,
9,0.97,44.177,46.613,Councilmember JA ur Ez.,4,,
10,0.97,46.613,47.781,Here.,5,,
11,0.97,47.781,48.481,Councilmember Louis.,6,,
12,0.97,48.481,50.917,"Chair, there are three members present.",7,,
13,0.97,50.917,52.585,"Thank you so much, clerk.",8,,
14,0.97,52.585,62.662,Just as a quick aside for members of the public.,8,,
15,0.97,62.662,69.569,Though we are [inaudible] can you hear me?,8,,
16,0.97,69.569,69.869,No.,9,,
17,0.97,69.869,70.103,No.,9,,
18,0.97,70.103,71.871,"A little bit more, please.",10,,
19,0.97,71.871,73.006,A little bit more?,11,,
20,0.97,73.006,76.743,How about this?,12,,
21,0.97,76.743,79.312,Not enough.,13,,
22,0.97,79.312,81.181,,14,,
23,0.97,83.349,85.251,Try now.,15,,
24,0.97,85.251,86.686,Yeah.,16,,
25,0.97,86.686,94.194,Doesn't sound like the Mics are on.,16,,
26,0.97,104.17,109.609,I don't see anything.,17,,
27,0.97,109.609,110.41,Like this?,18,,
28,0.97,110.41,110.71,Like this.,18,,
29,0.97,110.71,111.044,There we go.,18,,
30,0.97,111.044,114.347,There we go.,19,,
31,0.97,124.624,127.427,Approval of the agenda.,19,,
32,0.97,127.427,131.831,If no objection it's adopted.,19,,
33,0.97,131.831,133.032,Chairs report.,19,,
34,0.97,133.032,134.267,So first off welcome everybody.,19,,
35,0.97,134.267,136.236,For these in person hybrid meetings.,19,,
36,0.97,136.236,141.674,It's good to see everybody in the galley.,19,,
37,0.97,141.674,148.381,I want the record to reflect that Councilmember Herbold has now joined us at the Dias.,19,,
38,0.97,148.381,160.593,"Today, we are going to be hearing in the agenda that we just approved, an update from the low income housing Institute and we will have a briefing presentation on some of their programming.",19,,
39,0.97,160.593,179.212,We are also going to be hearing from the Seattle public library's yearly levy report and from the chief L Ib Rarian so looking forward to both of those this afternoon.,19,,
40,0.97,179.212,182.482,"With that overview, we will move onto the public comment.",19,,
41,0.97,182.482,190.757,I will moderate the public comment period in the following manner.,19,,
42,0.97,190.757,191.057,"And, sorry.",19,,
43,0.97,191.057,197.03,The clerk has told me that Councilmember--has joined the meeting virtually.,19,,
44,0.97,197.03,197.397,Public comment.,19,,
45,0.97,197.397,200.567,I will moderate the public comment period in the following manner.,19,,
46,0.97,200.567,209.309,Everybody pay attention because for the first time in two years public comment will have changed slightly since we are now in a hybrid format.,19,,
47,0.97,209.309,212.545,It's 20 minutes and each Speaker will have one minute to speak.,19,,
48,0.97,212.545,221.187,There will be--there may be public comment speakers Online and in person and I can confirm that we have Online and in person Commenters.,19,,
49,0.97,221.187,234.2,I will start by calling on the first five people who signed up in remotely and then the first five who are present in the chamber.,19,,
50,0.97,234.2,239.539,First five virtual speakers and then five in person speakers.,19,,
51,0.97,239.539,244.31,I will continual terminating between the sets of five until the public comment period has concluded.,19,,
52,0.97,244.31,277.176,I will call on each Speaker by name and then the order in which they registered on the Council's Website or on the sign up sheet available here in Council chambers f you haven't registered to speak but would like to you can sign up before the end of public comment by going to the Website or signing up at the sign up sheet near the public comment microphone toward the front of the chamber.,19,,
53,0.97,277.176,293.393,Once a call a Speaker's name staff will Unmute the microphone and then that will be your sign that it is your time to speak and you must press Star 6 for remote Commenters to start speaking.,19,,
54,0.97,293.393,296.362,State your name and the item you are addressing.,19,,
55,0.97,296.362,306.039,Public comments should related to an item on the agenda or are in the Committee'Spurview.,19,,
56,0.97,306.039,317.517,You will hear a Chime when you have 10 seconds left f you don't end at the end of the time provided the speakers microphone will be muted to allow us to call on the next Speaker.,19,,
57,0.97,317.517,330.797,Once you have finished we ask that you Disconnect from the line f you plan to continue following please do so by Seattle channel or the listening options listed on the agenda.,19,,
58,0.97,330.797,333.766,We will start with the first Speaker on the list.,19,,
59,0.97,333.766,345.978,Please remember to press Star 6 after you hear the prompt of you have been Unmuted.,19,,
60,0.97,349.916,353.252,Our first is Harold Odom.,20,,
61,0.97,353.252,357.79,You can start when you are ready.,20,,
62,0.97,368.835,372.238,I'm just surprised I'm the first one.,21,,
63,0.97,372.238,375.141,Didn't I hear my name?,21,,
64,0.97,375.141,379.312,Thank you very much for allowing me to speak.,21,,
65,0.97,379.312,383.082,My public comment is on Lehigh.,21,,
66,0.97,383.082,388.554,Not the Lehigh is a bad agency.,21,,
67,0.97,388.554,390.356,Lehigh is a big agency.,21,,
68,0.97,390.356,392.325,They need to do better.,21,,
69,0.97,392.325,398.197,Knowing how they treat people but slow down on how they are building.,21,,
70,0.97,398.197,401.401,They are expanding way too fast and not expanding tripping.,21,,
71,0.97,401.401,408.608,We have people in all the villages that have suffered trauma and continue to suffer trauma.,21,,
72,0.97,408.608,415.014,There's no mental health or health but at one or two County hospitals.,21,,
73,0.97,415.014,420.353,They can be a Hoverville if we don't watch this.,21,,
74,0.97,420.353,428.694,Five agencies use 47% of all homeless dollars spent.,21,,
75,0.97,428.694,429.095,Why is that?,21,,
76,0.97,429.095,436.702,Let them go away for a little bit and let's start building the smaller agencies up.,21,,
77,0.97,436.702,439.138,They were all small and then.,21,,
78,0.97,439.138,441.674,Thank you Harold.,22,,
79,0.97,441.674,452.685,"Mr. chair, we have five more virtual public Commenters but none are present so I will switch to the in person public comments now.",22,,
80,0.97,452.685,455.054,Our first one is Alex Zimmerman.,22,,
81,0.97,455.054,455.354,Yep.,23,,
82,0.97,455.354,458.925,To be followed by Tracy Williams.,24,,
83,0.97,458.925,461.627,Yep.,25,,
84,0.97,471.604,473.506,Yes you can start speaking when you are ready.,25,,
85,0.97,473.506,476.843,Thank you.,26,,
86,0.97,486.352,487.687,[speaking foreign language],27,,
87,0.97,487.687,488.287,Mr. Zimmerman.,28,,
88,0.97,488.287,491.691,I want speak about housing.,29,,
89,0.97,491.691,493.392,It's very interesting situation.,29,,
90,0.97,493.392,498.264,You guys are best of the best what as I know in America.,29,,
91,0.97,498.264,506.906,"For the last few year, prices double for rent.",29,,
92,0.97,506.906,508.174,"25,000 apartment empty.",29,,
93,0.97,508.174,511.544,Minus what is paid for low income nearly come to zero.,29,,
94,0.97,511.544,521.721,You do a very good job so now all poor or minority or color people move out from the city because you doing very good job.,29,,
95,0.97,521.721,525.258,"So doing this more, you know what is mean?",29,,
96,0.97,525.258,533.699,"Is very important price go up and more people will go out, you know what this mean?",29,,
97,0.97,533.699,538.07,You doing very good job.,29,,
98,0.97,538.07,540.072,My first number one.,29,,
99,0.97,540.072,546.045,Our next public Commenter is Tracy Williams.,30,,
100,0.97,546.045,550.416,After that Sean Smith will be up next.,30,,
101,0.97,555.187,566.198,I just want to let you know that I stayed in a tiny house for six months and now I'm in a housing.,31,,
102,0.97,566.198,569.802,I live--it's a very good program.,31,,
103,0.97,569.802,583.883,I was able to get employment and I want to say Lehigh is a good program and the program does work and we have case Manageerns and mental health counselors to help and we push the residents to get help and get jobs and go to the doctor.,31,,
104,0.97,583.883,587.353,"I had the opportunity to do it, it's a good program.",31,,
105,0.97,587.353,591.691,As I'm standing here I want to say I let the residents know that I get it.,31,,
106,0.97,591.691,595.528,I walked in their shoes you know and I'm no better than them.,31,,
107,0.97,595.528,607.54,I have been homeless and I want to let everybody know that we shouldn't judge a homeless person and Lehigh has helped a lot of people get back on their feet and I'm one of those people.,31,,
108,0.97,608.507,609.609,"Thank you, Tracy.",32,,
109,0.97,609.609,615.915,Sean you are the next public Commenter to be followed by Steve.,32,,
110,0.97,615.915,618.551,Thank you.,33,,
111,0.97,618.551,621.02,Good afternoon city council.,33,,
112,0.97,621.02,622.455,My name is Sean Smith.,33,,
113,0.97,622.455,637.536,We are here to remind you that there is more than one solution to tiny--to the homeless epidemic that is in the country.,33,,
114,0.97,637.536,640.039,One cookie cutter solution does not fit every person.,33,,
115,0.97,640.039,645.344,There is no one path to homelessness.,33,,
116,0.97,645.344,650.916,There is no one path out of homelessness.,33,,
117,0.97,650.916,664.03,We want resources to look at grass roots organizations such as ourselves in order for funding in the future or allocation of public lands.,33,,
118,0.97,664.03,677.61,We want to remind you that there is an open invitation to come and listen to our solutions to homelessness.,33,,
