index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,0.667,6.84,"Good morning, the September is, 2020 counsel briefing will come to order.",0,,
1,0.97,6.84,8.274000000000001,The time is 9:30 5 am.,0,,
2,0.97,8.274000000000001,15.582,Please call the role.,0,,
3,0.97,15.582,16.182,Lisa Herbold.,1,,
4,0.97,16.182,16.583,Here.,2,,
5,0.97,16.583,17.384,Debora Juarez.,3,,
6,0.97,17.384,18.785,Here.,4,,
7,0.97,18.785,19.652,Andrew Lewis.,5,,
8,0.97,19.652,24.657,Here.,6,,
9,0.97,24.657,30.196,Tammy Morales.,7,,
10,0.97,30.196,30.597,Here.,8,,
11,0.97,30.597,31.064,Teresa Mosqueda.,9,,
12,0.97,31.064,31.398,Here.,10,,
13,0.97,31.398,31.998,Alex Pederson.,11,,
14,0.97,31.998,35.902,Here.,12,,
15,0.97,35.902,36.703,Kshama Sawant.,13,,
16,0.97,36.703,37.103,Here.,14,,
17,0.97,37.103,37.704,Dan Strauss.,15,,
18,0.97,37.704,39.305,Here.,16,,
19,0.97,39.305,40.173,Lorena Gonzalez.,17,,
20,0.97,40.173,45.378,Here.,18,,
21,0.97,45.378,52.318,9%.,19,,
22,0.97,52.318,63.096,"There is electronic participation at counsel briefing meetings in order to continue participating remotely, I will move to suspend the rules through October 1 of 2022 allow this meeting to occur while participating through electronic means.",20,,
23,0.97,63.096,71.037,"If there is no objection, the roads will be suspended to allow for Dissipation through October 1 of 2020.",20,,
24,0.97,71.037,84.851,"Hearing objection, counsel briefings will be held with Council members participating electronically through October 1 of 2020.",20,,
25,0.97,84.851,94.16,The minutes of August 17th of 2020 will be adopted.,20,,
26,0.97,94.16,99.866,"Hearing objection, the minutes are adopted.",20,,
27,0.97,99.866,101.868,"Residence reports, I will be as brief as I can.",20,,
28,0.97,101.868,104.971,I want to welcome everyone back from our summer Recess.,20,,
29,0.97,104.971,117.383,"I hope each of you had an opportunity, you and your staff and all of the staff to take advantage of a two-week Recess.",20,,
30,0.97,117.383,134.601,I am happy to see you all again and look forward to getting back to work on all the priorities that we have at the city council on behalf of the city and look forward to working with all of you and the remainder of the year.,20,,
31,0.97,134.601,152.318,I want to provide quickly and update regarding the three Council bills that the Mayor vetoed and returned to the city council in the middle of August right before the summer Recess.,20,,
32,0.97,152.318,156.923,"Those are Council bills 119, 825-862 and 863.",20,,
33,0.97,156.923,198.765,"We have done this before in terms of considering or reconsidering vetoed bills and as you know, the city charter establishes that the Council shall take action on any bills that have been previously vetoed and we must reconsider any vetoed bills so that means we have to reconsider the three bills that were vetoed by the Mayor and have to do so within 30 days of the official notices which were published in this instance on August 25 of 2020.",20,,
34,0.97,198.765,210.777,I do not anticipate that the Council will take action on these three bills before the rally scheduled city Councilman on September 21.,20,,
35,0.97,210.777,225.391,"Again, I think the soonest we will take action is Monday of Strattera 21st and I understand from the math and my staff can correct me if I'm wrong but I believe that the outside date of when we can last take action is September 24.",20,,
36,0.97,225.391,244.41,I just want to make sure that you all understood what the Charter requires of us and what you can expect in terms of when we would reconsider those vetoed bills.,20,,
37,0.97,244.41,255.688,My office had frequent Medications with the Mayor's office to try to find areas of agreement on the public safety related policies and priorities at the Council put forward in the three vetoed bills.,20,,
38,0.97,255.688,291.024,We still don't have agreement but we have been having frequent communications and my staff and I will continue to engage with you and your staff and the Mayor's office in the coming days to try to see if there's an opportunity to bridge the obvious gaps in policy priorities that exist between the Council and the Mayor's vision on how to redefine and Reprioritize the services and investments as reflected in the various Council bills.,20,,
39,0.97,291.024,302.568,I am happy to take any questions or hear any comments before we get into the preview of today's city council actions and Council and regional committees.,20,,
40,0.97,302.568,312.278,"All right, hearing on, I'm Sir folks might have something to say later.",20,,
41,0.97,312.278,313.179,"Oh, Councilmember Mosqueda.",20,,
42,0.97,313.179,314.981,I will save it for the updates.,21,,
43,0.97,314.981,318.951,"Okay, thank you so much.",22,,
44,0.97,318.951,324.49,All Council numbers for the meetings with just doesn't it Alphabetically by last name with Council President always counted last.,22,,
45,0.97,324.49,344.811,"This rotation begins with Councilmember Herbold and then Debora Juarez, Lewis, Mosqueda, Alex Pederson, Dan Strauss and then I will go.",22,,
46,0.97,344.811,345.345,Councilmember Herbold.,22,,
47,0.97,345.345,348.314,You are first.,22,,
48,0.97,348.314,349.515,Welcome back everybody.,23,,
49,0.97,349.515,351.684,It's good to see all of your faces.,23,,
50,0.97,351.684,358.424,"Now that I am beginning to speak, my cat is also beginning to speak so bear with me.",23,,
51,0.97,358.424,364.363,There are no items on the Council agenda from the public safety committee.,23,,
52,0.97,364.363,392.558,There is an item that I am a cosponsor for and I am certain that Councilmember Pederson will speak more trip with this is going to fund the stabilization work on the West Seattle bridge as well as funding for a lot of the traffic projects that are part of Reconnect West Seattle.,23,,
53,0.97,392.558,413.88,"This legislation is alone to fund these elements and it uses $50,000 from the inspections Fund and $50 million from the Contractions inspections Fund and 20 million from the capital project Fund.",23,,
54,0.97,413.88,424.891,"Other items coming up for me this week, I do have a public safety and human services committee meeting this week on Friday at 9:30 A.M.",23,,
55,0.97,424.891,429.562,Due to the labor day holiday.,23,,
56,0.97,429.562,442.108,Items on the agenda include a possible presentation from the Seattle fire Department and Seattle information technology on the emergency radio network.,23,,
57,0.97,442.108,461.494,Otherwise known as the international agreement with the service and this is a project that the fire Department has been working on for several years and the Interlocal agreement is an important benchmark.,23,,
58,0.97,461.494,479.512,"In addition, we will be hearing from each of the police Commission and office of Inspector general and police their reports and conditions to regarding the use of crowd control weapons.",23,,
59,0.97,479.512,502.101,These reports resulted from a request from this Council in the crowd control weapons the decision that we passed and I'm looking forward to hearing feedback on this legislation.,23,,
60,0.97,502.101,521.988,"On 19 August, you may recall I sent an Email inviting Councilmembers to let me and Greg Doss of central staff know of any questions regarding the conditions of the accountability bodies and my staff will send out a reminder so please send questions by noon on Wednesday.",23,,
61,0.97,521.988,541.474,There will be obviously an interest in hearing from the CPC and OPA in response to the Council's questions in time for the Friday committee meeting so we want to make sure we get a little bit of time on that.,23,,
62,0.97,541.474,559.725,I wanted to very briefly speak to an article in the Seattle times regarding the police Department that I know we all read during the break and I have been in touch with both with the city auditor and chief Diaz about this issue.,23,,
