index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.8331783413887024,14.1,20.9,"Thank you, good afternoon, the Tuesday, June 14th meeting of the Seattle, City council will come to order.",,,
1,0.8331783413887024,21.3,24.0,It is 201 and I am Deborah Juarez.,,,
2,0.8331783413887024,24.0,25.5,Well the clerk please call the roll.,,,
3,0.9128386378288269,27.1,31.1, But Alice here counts are mascara.,,,
4,0.9128386378288269,31.3,37.2,Present counselor where Nelson isn't council member Petersen present.,,,
5,0.9128386378288269,37.5,41.5,Councilmember Strauss present councilmember Horrible's,,,
6,0.796343982219696,45.0,47.7, Councilmember Lewis.,,,
7,0.8719829320907593,50.5,51.4, And council president.,,,
8,0.8719829320907593,51.4,53.0,What is here?,,,
9,0.8719829320907593,54.2,56.2,"Seven present, thank you.",,,
10,0.8719829320907593,56.9,63.6,But this time I'm not aware of any presentations and moving down on our agenda we will move to public comments.,,,
11,0.8719829320907593,64.6,65.5,Let's see here.,,,
12,0.8719829320907593,65.7,69.4,I'm sure I get this right colleagues.,,,
13,0.8719829320907593,69.4,74.6,This time we will open the hybird public comment period for the hybrid public comment.,,,
14,0.8719829320907593,74.6,75.0,Period.,,,
15,0.8719829320907593,75.0,78.8,The remote speakers will be heard first and then will be followed by the end.,,,
16,0.8555667400360107,78.9,82.9, Person speakers that are actually in council chambers Madam clerk.,,,
17,0.8555667400360107,82.9,85.4,"How many, how many speakers do we have today?",,,
18,0.8555667400360107,85.4,86.5,Beginning with remote?,,,
19,0.8555667400360107,86.5,92.9,"And then in person so far, we have, excuse me, five remote speakers, and to in-person speakers.",,,
20,0.8555667400360107,93.8,94.3,Okay?,,,
21,0.8555667400360107,94.6,96.4,So let me do this.,,,
22,0.8555667400360107,97.0,99.9,Each speaker will have two minutes and Madam clerk.,,,
23,0.8555667400360107,99.9,101.9,Let's start with the remote speakers.,,,
24,0.8555667400360107,101.9,108.1,"And at this time, I will hand over the directions to the clerk to go ahead and",,,
25,0.8926562070846558,109.1,112.0, Do the directions and start our recording.,,,
26,0.8926562070846558,113.2,113.6,Thank you.,,,
27,0.8926562070846558,115.6,116.6,"Hello, Seattle.",,,
28,0.8926562070846558,116.9,129.9,"We are the Emerald City city of flowers and the City of Goodwill built on indigenous land for traditional territory of the Coast Salish, people's the Seattle City, council welcomes remote, public comment.",,,
29,0.8926562070846558,129.9,132.5,And is eager to hear from residents of our city.,,,
30,0.8926562070846558,132.8,138.7,"If you would like to be a speaker and provide a verbal public comment, you may register two hours prior to the meeting.",,,
31,0.912838339805603,138.9,141.6," Via the Seattle, City council website.",,,
32,0.912838339805603,142.1,144.2,Here's some information about the public comment.,,,
33,0.912838339805603,144.2,150.2,Proceedings speakers are called upon in the order in which they registered on the council's website.,,,
34,0.912838339805603,150.8,161.0,"Each speaker must call in from the phone number provided when they registered online and use the meeting ID and passcode, that was emailed upon confirmation.",,,
35,0.912838339805603,161.5,166.7,"If you did not receive an email confirmation, please check your spam or junk mail.",,,
36,0.912838339805603,166.7,168.6,Folders a reminder.,,,
37,0.8853153586387634,169.0,175.7, The speaker meeting ID is different from the general listen line meeting ID provided on the agenda.,,,
38,0.8853153586387634,175.7,183.0,Once a speaker's name is called the speakers microphone will be unmuted and an automatic prompt will say.,,,
39,0.8853153586387634,183.0,188.2,"The host would like you to unmute your microphone, that is your cue.",,,
40,0.8853153586387634,188.5,189.5,That is your turn to speak.,,,
41,0.8853153586387634,189.5,192.9,"At that time, you must press star 6.",,,
42,0.8853153586387634,193.1,196.5,You would then hear a prompt of you are unmuted.,,,
43,0.8853153586387634,196.5,198.5,Be sure your phone is unmuted.,,,
44,0.9128387570381165,198.9,202.5, On your end so that you will be heard as a speaker.,,,
