index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,19.419,19.886,Thanks so much.,0,,
1,0.97,19.886,20.453,"Good morning, everyone.",0,,
2,0.97,20.453,24.29,"October 18th, 2021 council meeting will now come to order.",0,,
3,0.97,24.29,25.058,The time is 9:30 A.M.,0,,
4,0.97,25.058,26.76,Will the clerk please call the roll.,0,,
5,0.97,26.76,29.996,Lewis.,1,,
6,0.97,29.996,34.601,Councilmember Lewis . morale is.,1,,
7,0.97,34.601,34.934,Present.,2,,
8,0.97,34.934,38.605,Thank you.,3,,
9,0.97,38.605,44.511,Councilmember Mosqueda.,4,,
10,0.97,44.511,44.844,Present.,5,,
11,0.97,44.844,45.178,Pederson.,6,,
12,0.97,45.178,45.445,Here.,7,,
13,0.97,45.445,49.115,Sawant.,8,,
14,0.97,49.115,50.95,Strauss.,8,,
15,0.97,50.95,53.253,Present.,9,,
16,0.97,53.253,54.02,Herbold.,10,,
17,0.97,54.02,56.222,Here.,11,,
18,0.97,56.222,56.523,Perez.,12,,
19,0.97,56.523,59.426,Here.,13,,
20,0.97,59.426,60.527,Council President Gonzales.,14,,
21,0.97,60.527,61.494,Present.,15,,
22,0.97,61.494,65.598,And Councilmember Sawant.,16,,
23,0.97,65.598,65.899,Present.,17,,
24,0.97,65.899,68.835,Nine present.,18,,
25,0.97,68.835,69.502,Thank you so much.,19,,
26,0.97,69.502,72.639,We will move to approval of the minutes.,19,,
27,0.97,72.639,78.611,"If there are no object, the minutes will be adopted from October 2ND, 2021.",19,,
28,0.97,78.611,80.146,Hearing no objection the minutes are data.,19,,
29,0.97,80.146,94.828,"President's report . really quickly, that very light agenda for the upcoming city council meeting, I think at this juncture we might only have approval of the bills.",19,,
30,0.97,94.828,116.649,"I am wanting to propose that we actually cancel next week's city council meeting on Monday, October 25th in order to make capacity on all of our calendars to focus on the very busy week we are going to have.",19,,
31,0.97,116.649,117.917,Really related to select budget committee deliberations.,19,,
32,0.97,117.917,125.558,My office and the deputy city clerks have worked to make sure there is no legislation that will be substantively impacted by counseling canceling the city council meeting on October 25th.,19,,
33,0.97,125.558,136.903,"I did want to give you all an opportunity to provide feedback if for any reason you prefer that our city council meeting on, sorry, I think I said October 25th.",19,,
34,0.97,136.903,137.27,Is that right?,19,,
35,0.97,137.27,137.904,Yeah.,19,,
36,0.97,137.904,140.406,October 25th.,19,,
37,0.97,140.406,147.08,If you would prefer that it might be canceled or not I would like to hear from you.,19,,
38,0.97,147.08,156.589,"If you could let me know by the end of the day today if you object to canceling Monday, October 25th's city council meeting I would really appreciate that.",19,,
39,0.97,156.589,165.131,Barring any objections we will publish notice of the cancellation tomorrow morning.,19,,
40,0.97,165.131,167.1,"Again, if you can let me know by 5 P.M.",19,,
41,0.97,167.1,175.441,Today if you object to the idea of canceling the October 25th meeting I would greatly appreciate that.,19,,
42,0.97,175.441,180.513,If I don't hear from anyone we will go ahead and issue the cancellation,19,,
43,0.97,180.513,180.88,All right.,20,,
44,0.97,180.88,181.748,That concludes my precedents report.,20,,
45,0.97,181.748,188.755,Let's move on to the discussion on the preview of today's city council action Council regional committees.,20,,
46,0.97,188.755,191.858,I will call on Council members of the steps by the roll call.,20,,
47,0.97,191.858,199.566,This week's roll call Rotational be changed to accommodate Council members also needs to depart early.,20,,
48,0.97,199.566,214.08,"This week's roll call for Council briefing will be Councilmember Strauss, followed by Lewis, morale is, Mosqueda, Pederson, swan, Herbold, words, and then agenda discussion.",20,,
49,0.97,214.08,215.348,Handing it to Councilmember Strauss.,20,,
50,0.97,215.348,221.688,Good morning.,20,,
51,0.97,221.688,222.622,"Thank you, Council President.",21,,
52,0.97,222.622,223.122,"Thank you, colleagues.",21,,
53,0.97,223.122,223.489,Good morning.,21,,
54,0.97,223.489,230.196,Today I am very excited to be joining the food Bank at the grand opening of their new location.,21,,
55,0.97,230.196,242.942,"Here in district 6 last week due to the three days of budget meetings and the public, I was not able to hold official office hours, so I will be extending this week's office hours, which will be scheduled for this Thursday afternoon.",21,,
56,0.97,242.942,244.911,I was still able to speak to a number of people in the district.,21,,
57,0.97,244.911,257.123,"If you folks, two separate meetings for people who spoke about Maritime issues, public safety, permanent supportive housing, and a few other issues.",21,,
58,0.97,257.123,282.181,"In other meetings in district 6 I continue to hold operational coordination meetings with government entities and Nongovernment entities to make a meaningful intervention and impacts on the homelessness in specific places here in district 6. last week I also met with the Fremont Chamber, North industrial Association and the port of Seattle regarding public safety and water safety.",21,,
59,0.97,282.181,290.29,"Last week I was, my staff was able to meet with the affinity neighborhood Association I hope their annual Fundraiser focus on the power of community was a huge success.",21,,
60,0.97,290.29,311.544,"This coming weekend district 6, this evening my staff will be meeting and attending an informational meeting about the woodland housing project which will bring about 95 units of permanent supportive housing to District 6. on Tuesday I'll be meeting with the Ballard alliance to discuss the interim design change plans for Cafc street on Ballard Avenue.",21,,
61,0.97,311.544,315.548,And on Thursday I'll be heading to the woodland park zoo to attend a gathering.,21,,
62,0.97,315.548,318.651,I'm excited to share more about that after the gathering.,21,,
63,0.97,318.651,330.063,Last week I was also able to join the Mayor for the Sign-Up count of 120149 that would allow the storm to build their own practice facility here in the city of Seattle.,21,,
64,0.97,330.063,337.904,"Very excited about this . for many that might not know, the storm currently practices at Seattle Pacific University.",21,,
65,0.97,337.904,345.645,"They literally, their court time is dependent upon the college's schedule.",21,,
66,0.97,345.645,351.951,"This is going to be a really big deal and really important step forward to supporting our most Winningest team, the Seattle storm.",21,,
67,0.97,351.951,363.696,This coming week I will be meeting with youth interim Ceo Colleen echo . I'm scheduled to take inside edition with Councilmember Gould on the Seattle channels Brian Callahan.,21,,
68,0.97,363.696,371.871,Check and schedule with director Ben noble.,21,,
69,0.97,371.871,377.343,"As part of my duties as a board member of Association of Washington cities am looking forward to meeting with Council members and stern, Ken Kiel, and Mayor Moody.",21,,
70,0.97,377.343,382.949,I will also to the regional transportation committee.,21,,
71,0.97,382.949,385.618,Friday I'll be meeting with the Seattle conservation Corps to hear more about their important work.,21,,
72,0.97,385.618,398.765,I will end my week with a meeting about the proposed 200 unit community Longhouse at the North Seattle college campus.,21,,
73,0.97,398.765,402.135,In the land use the neighborhood committee there are two items from the land use and neighborhoods Committee on today's introduction calendar.,21,,
74,0.97,402.135,428.795,Councilmember--counsel bill 1206 which establishes a mobile home park overlay district and sponsored by Council member war is and myself wells of counsel bill 120207 which establishes a registration requirement for tree service providers and is sponsored by Council member Pederson and also thank you Councilmember Pederson for letting me join you as a sponsor on this bill.,21,,
75,0.97,428.795,439.972,The Land-Use neighborhoods committee will have to hold two very brief meetings during budget in order to consider quasijudicial contract reasons Rezone application.,21,,
76,0.97,439.972,440.773,In the State-Mandated Timelines.,21,,
77,0.97,440.773,447.447,"So, those meetings will occur on Monday, October 25th . and November 1ST.",21,,
78,0.97,447.447,449.682,Both meetings will be scheduled for 10:30 A.M.,21,,
79,0.97,449.682,450.316,Or after Council briefing.,21,,
80,0.97,450.316,454.587,"We hope that each of you, that each of these meetings will take under an hour.",21,,
81,0.97,454.587,462.595,Thank you Council president and the central staff are working to coordinate these meetings.,21,,
82,0.97,462.595,469.235,"Council President, Collins, that is my report.",21,,
83,0.97,469.235,470.403,"Thank you so much, Councilmember Strauss.",22,,
84,0.97,470.403,474.74,Are there any comments or questions on that report?,22,,
85,0.97,474.74,475.141,All right.,22,,
86,0.97,475.141,476.042,I am not seeing any hands raised.,22,,
87,0.97,476.042,478.744,Thanks again.,22,,
88,0.97,478.744,482.148,We will go ahead and head down the line.,22,,
89,0.97,482.148,482.849,Next up is Councilmember Lewis.,22,,
90,0.97,482.849,484.45,After Councilmember Lewis will be Councilmember morale is.,22,,
91,0.97,484.45,489.455,"Good morning, council member Louis.",22,,
92,0.97,489.455,490.122,"Thank you, Madam President.",23,,
93,0.97,490.122,492.091,A pretty brief remark this morning.,23,,
94,0.97,492.091,496.696,I don't have any items onto Saturday's agenda.,23,,
95,0.97,496.696,504.203,Neuron introduction referral either from my office or the select Committee on homelessness strategies and investments.,23,,
96,0.97,504.203,527.693,"I am looking forward to joining Council member Strauss later this morning forth the Ribbon- cutting of the Ballard food bank . Similarly, council member Strauss, it was good to see you last week at the bill signing for the new new legislation in intraday.",23,,
97,0.97,527.693,533.432,There's really not that much going on given it is the Omnipresent thing.,23,,
98,0.97,533.432,534.8,There are a few other appointments this week.,23,,
99,0.97,534.8,554.22,The board of health is going to be meeting this Thursday afternoon and I'm looking forward to further discussions regarding the board of health's helmet law as well as the regional updates that we received in that for him regarding the county's ongoing efforts at combating Covid-19.,23,,
100,0.97,554.22,562.528,"I'm going to be attending the opening of climate change, climate pledge arena, tomorrow evening.",23,,
101,0.97,562.528,572.738,I'm looking forward to that great district 7 asset coming Online.,23,,
102,0.97,572.738,580.346,"Otherwise, I think it's mostly just budget preparation and anticipation of our future deliberations.",23,,
103,0.97,580.346,581.881,"With that, Madam President, I don't have anything else to share.",23,,
104,0.97,581.881,582.882,"Thank you so much, Councilmember Morales.",24,,
105,0.97,582.882,583.549,Any comments or questions?,24,,
106,0.97,583.549,586.319,Hearing none we will hear next from Councilmember Morales.,24,,
107,0.97,586.319,597.029,After member Morales will be Councilmember Mosqueda.,24,,
108,0.97,597.029,597.53,Councilmember Morales.,24,,
109,0.97,597.53,598.13,"Good morning, colleagues.",25,,
110,0.97,598.13,606.739,"As everyone else has indicated, we have no committees happening, so there is nothing on the committee economic, from the, the economic development Committee on this afternoon pumps agenda.",25,,
111,0.97,606.739,615.848,I do have board of health meeting on Thursday at Council member Louis said in addition to the items he mentioned.,25,,
112,0.97,615.848,617.116,We will be receiving a briefing on Gender-Based violence.,25,,
113,0.97,617.116,621.287,"So, looking forward to hearing more at that meeting.",25,,
114,0.97,621.287,622.655,We will report back next week.,25,,
115,0.97,622.655,629.028,Last week I toured the Evergreen treatment services facility . You all know that is On-Air.,25,,
116,0.97,629.028,633.799,Way in the DeSoto neighborhood.,25,,
117,0.97,633.799,637.47,"Really, closer to Georgetown.",25,,
118,0.97,637.47,656.222,They have purchased the neighboring building and are beginning the process of imagining what they might be able to do there in terms of providing additional treatment and really providing that kind of drug treatment the services they offer on a larger scale.,25,,
119,0.97,656.222,674.774,"So, they are excited about work and a really Predevelopment there . and we will certainly be talking about their fundraising fundraising strategy and how the city might be able to support some of that in the very near future.",25,,
120,0.97,674.774,694.827,"We also met with Seattle Greenways to discuss their vision for streets that meet all ages and abilities . here in district 2, as I have said over and over again, public safety really also needs to include pedestrian safety and safety for folks who walk and roll through the neighborhood.",25,,
121,0.97,694.827,707.039,"So, we discussed--Whoops, something weird just happened to my computer.",25,,
122,0.97,707.039,714.58,We discussed the need for safety improvements along Mlk an existing bike corridor is as well as the opportunity to make Washington Boulevard and inviting street for folks who walk and roll.,25,,
123,0.97,714.58,724.156,"My office met with folks from the community safety initiative who, as we discussed last week, were surprised and concerned not to see their project included in the proposed budget.",25,,
124,0.97,724.156,733.265,"So, Councilmember Herbold is going to be working on an amendment for that.",25,,
125,0.97,733.265,736.168,I just wanted to express my support for that work.,25,,
126,0.97,736.168,739.004,We also met with that grant Street community action team.,25,,
127,0.97,739.004,759.825,This is a group of folks who have been working at organizing and planning and helping design what the Graham Street station would look like . and this group of folks have continued to work together and to organize together about all kinds of other issues in their neighborhood.,25,,
128,0.97,759.825,782.148,"They are looking for more support, more community investment from the city again wanted to talk about their vision for how to preserve cultural space in the neighborhood, how to provide affordable spaces for small businesses, and to build affordable housing for neighbors who are living near what will soon be the grand Street polling station.",25,,
129,0.97,782.148,786.852,Saturday evening I had the pleasure of joining neighbors at the Columbia city patio.,25,,
130,0.97,786.852,799.131,"This is one of the projects, as Councilmember Strauss mentioned, the Cafc Street project that came up during Covid folks are very interested in making that permanent.",25,,
131,0.97,799.131,813.245,And have been working with some designers to figure out what that might look like working with surrounding businesses to make sure that everybody has the ability to weigh in on what they would like to see this project look like.,25,,
132,0.97,813.245,833.666,"There is a request coming for some support from Fdot for, at the corner of Ferdinand and Ranier, so some support for changing the lighting, signal timing, possibly some street Striping.",25,,
133,0.97,833.666,843.008,Hoping to include some of this work in a continued effort to make Cafc streets permanent.,25,,
134,0.97,843.008,844.41,And look forward to continuing to work with them.,25,,
135,0.97,844.41,850.683,"They invited me to give away the Raffle prizes at the event, so it was fun just to spend the evening with some neighbors.",25,,
136,0.97,850.683,858.824,This week I am participating in a week without driving that is hosted by disability rights Washington.,25,,
137,0.97,858.824,860.526,I urge my colleagues to do the same if you can.,25,,
138,0.97,860.526,867.533,For neighbors who can't drive most of our streets are unsafe and Unwelcoming.,25,,
139,0.97,867.533,879.211,This is one small way for us to show solidarity and to experience firsthand what the daily hurdles are that are faced by folks who don't drive and can't drive.,25,,
140,0.97,879.211,881.113,Getting from point a to point B.,25,,
141,0.97,881.113,898.964,I will be riding my bike tomorrow to join the Mayor at Ranier health and fitness as we celebrate the next round of the small business stabilization risk.,25,,
142,0.97,898.964,900.566,This Thursday from 10:00 until noon I will hold virtual office hours.,25,,
143,0.97,900.566,902.268,Any constituents who are interested can sign up for a meeting on our Website.,25,,
144,0.97,902.268,908.14,That is all I have this morning.,25,,
145,0.97,908.14,909.275,Thank you so much Councilmember Morales.,26,,
146,0.97,909.275,913.245,Are there any comments or questions on that report?,26,,
147,0.97,913.245,915.381,Hearing none we will go ahead and go down the line.,26,,
148,0.97,915.381,919.585,Next up is going to be Councilmember Mosqueda.,26,,
149,0.97,919.585,926.191,After Councilmember Mosqueda will be Council member Pederson.,26,,
150,0.97,926.191,927.059,"Good morning, Councilmember Mosqueda.",26,,
151,0.97,927.059,927.459,Good morning.,27,,
152,0.97,927.459,932.097,Thank you all for the work we have been doing together on the select budget committee meeting.,27,,
153,0.97,932.097,934.767,We are in select budget right now.,27,,
154,0.97,934.767,939.305,We do not have any items from the Finance and housing committee or the select budget Committee on today's will cancel agenda.,27,,
155,0.97,939.305,948.614,Last week we did have the chance to have our first public hearing.,27,,
156,0.97,948.614,952.451,For those who weren't able to join the public hearing I want to make another announcement about the opportunities to join us on November 10th at 5:30 P.M.,27,,
157,0.97,952.451,961.427,There will also be another public hearing at 9:30 A.M.,27,,
158,0.97,961.427,961.827,On November 18th.,27,,
159,0.97,961.827,965.13,"In addition, there will be continual opportunities for public comment during the first 30 minutes of each of the budget meetings including at 10 A.M.",27,,
160,0.97,965.13,970.736,Last week the committee had discussions on issue identification led by central staff.,27,,
161,0.97,970.736,985.517,"Central staff presented items that they were identifying for potential budget issues, policy options, associate with those budget issues for the councils deliberation and consideration.",27,,
162,0.97,985.517,987.019,Among the many other options that your offices may be considering.,27,,
163,0.97,987.019,993.425,"The purposes of the issue identification discussions were so the council member, review, discuss, and ask questions about proposed budget and provide direction to staff on issues and amendments they're currently considering.",27,,
164,0.97,993.425,1000.866,"As a reminder, those possible considerations are due today at noon.",27,,
