index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,10.477,12.912,We are now recording.,0,,
1,0.97,12.912,13.98,"Well, good afternoon.",1,,
2,0.97,13.98,16.282,Thank you for being here.,1,,
3,0.97,16.282,17.951,"Today is Thursday, June 9th, 2022.",1,,
4,0.97,17.951,22.655,This is a special Finance and housing committee meeting.,1,,
5,0.97,22.655,29.028,Thanks to my colleagues for making special accommodations to attend the meeting on a Thursday.,1,,
6,0.97,29.028,38.004,We usually meet first and third Wednesday mornings so I appreciate you rearranging the schedules.,1,,
7,0.97,38.004,40.473,Will you police call roll?,1,,
8,0.97,40.473,40.84,Keb Herbold?,2,,
9,0.97,40.84,41.207,Here.,3,,
10,0.97,41.207,41.508,Pedersen?,4,,
11,0.97,41.508,51.718,Just want to make sure your Microis on.,5,,
12,0.97,51.718,53.953,It's on.,6,,
13,0.97,53.953,54.454,Council member Pedersen?,6,,
14,0.97,54.454,60.493,"Here's he, he is just on mute.",7,,
15,0.97,60.493,64.164,I see Councilmember Pedersen on the street.,7,,
16,0.97,64.164,70.87,He may have Techniccal difficulties.,7,,
17,0.97,70.87,74.274,"Here, thank you.",8,,
18,0.97,74.274,75.075,Nelson?,9,,
19,0.97,75.075,75.442,Present.,10,,
20,0.97,75.442,75.842,Lewis?,11,,
21,0.97,75.842,76.576,Present.,12,,
22,0.97,76.576,78.278,That is all present.,13,,
23,0.97,78.278,79.012,None excused or absent.,13,,
24,0.97,79.012,79.813,Thank you.,14,,
25,0.97,79.813,84.517,I wanted to take a few seconds to thank you for the special accommodations to meet today.,14,,
26,0.97,84.517,109.976,"As we get started with our hybrid committee meeting, I want to thank the clerk's office, the folks from I.T., security, the members of the Seattle channel team who have been helping us to operate in a remote public comment period as we enter into hybrid public comment and in person meeting.",14,,
27,0.97,109.976,118.685,"I want to thank everyone who has made the last two and a half years possible to have remote meetings, public testimony, and conduct orders of business.",14,,
28,0.97,118.685,119.252,Really appreciate it.,14,,
