index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,49.249,49.816,We called the meeting to order.,0,,
1,0.97,49.816,60.36,[roll call] nine present.,1,,
2,0.97,63.663,65.131,"You are on mute, chair.",2,,
3,0.97,65.131,66.332,Thank you Madam vice chair.,3,,
4,0.97,66.332,67.6,I appreciate it.,3,,
5,0.97,67.6,68.001,We are all here.,3,,
6,0.97,68.001,70.003,We are back.,3,,
7,0.97,70.003,83.016,This is the reconvened select budget committee meeting and we will continue with items on the agenda.,3,,
8,0.97,83.016,83.85,We were getting to the House items.,3,,
9,0.97,83.85,84.984,We are on 3B for folks following along in the agenda.,3,,
10,0.97,84.984,91.624,"We are on page 17, item 82.",3,,
11,0.97,91.624,101.501,And the corresponding slide for the presentation is slide number 20.,3,,
12,0.97,101.501,106.372,Turning it back over to Alie.,3,,
13,0.97,106.372,107.407,Thank you to the team from central staff.,3,,
14,0.97,107.407,107.874,Thank you chair.,4,,
15,0.97,107.874,108.508,I hope you all enjoyed lunch.,4,,
16,0.97,108.508,128.061,We are now on item 82 through 86 and the homeless prevention and shelter category that includes about $5.6 million of proposed investments.,4,,
17,0.97,128.061,144.177,"The first item, item 82 would add $2.8 million to the human services Department to expand tiny home villages.",4,,
18,0.97,144.177,147.413,This is sponsored by Councilmember Sawant.,4,,
19,0.97,147.413,155.088,And 83 would add a tiny home village in temporary location and sponsored by Councilmember Peterson.,5,,
20,0.97,155.088,171.037,"Item 84 would add $655,000 to human services Department to support 24 hour operations at basic shelters sponsored by Councilmember Sawant.",5,,
21,0.97,171.037,186.352,"Item 85 adds $750,000 to human services Department to maintain rapid Rehousing Caseloads and imposes a proviso on those and it is sponsored by Councilmember Herbold.",5,,
22,0.97,186.352,199.599,"86 would impose a proviso to restrict $40,000 in's funds for prevention services specifically for families with school-age children and imposes a proviso and it is sponsored by Council President Gonzales.",6,,
23,0.97,199.599,205.238,Thank you very much.,7,,
24,0.97,205.238,208.308,Are there any colleagues or pieces you would like to lift up in this category here?,7,,
25,0.97,208.308,213.846,Shelter and prevention 3B.,7,,
26,0.97,213.846,214.714,"Councilmember Herbold, please go ahead.",7,,
27,0.97,214.714,218.484,I just have a question.,8,,
28,0.97,218.484,227.427,I was so excited about it when it was proposed.,8,,
29,0.97,227.427,229.028,And I had no idea that there was a move afoot to close City Hall shelter.,8,,
30,0.97,229.028,229.629,What is the status of that?,8,,
31,0.97,229.629,230.63,Is not included in one of these?,8,,
32,0.97,230.63,234.634,Thank you Councilmember Herbold.,9,,
33,0.97,234.634,249.916,The short answer to your question is that the item is not included here but it is on the lines to provide additional information about what is still allowed and going to be funded at City Hall.,9,,
34,0.97,249.916,256.889,A little bit of a halfway their policy answer to the forum that was proposed.,9,,
35,0.97,256.889,265.598,"So just take it Away., Jeff.",9,,
36,0.97,265.598,268.868,That is right Madam chair.,10,,
