index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,8.708,10.276,We are recording.,0,,
1,0.97,10.276,13.413,Thank you so much.,1,,
2,0.97,13.413,18.885,"The may 24th, 2021 meeting of the Seattle city council will come to order.",1,,
3,0.97,18.885,21.688,It is 2:02 P.M.,1,,
4,0.97,21.688,24.624,"I'm Lisa Herbold, president Protestimony of the Council.",1,,
5,0.97,24.624,34.467,Will the clerk please call the roll.,1,,
6,0.97,34.467,37.67,Sawant?,2,,
7,0.97,37.67,39.973,Present.,3,,
8,0.97,39.973,43.476,Strauss?,4,,
9,0.97,43.476,44.844,Present.,5,,
10,0.97,44.844,45.712,Lewis?,6,,
11,0.97,45.712,46.546,Present.,7,,
12,0.97,46.546,47.18,Morales?,8,,
13,0.97,47.18,47.447,Mosqueda.,8,,
14,0.97,47.447,47.747,Present.,9,,
15,0.97,47.747,48.515,Pedersen?,10,,
16,0.97,48.515,49.482,Present.,11,,
17,0.97,49.482,51.317,Council President Protestimony Herbold?,12,,
18,0.97,51.317,52.419,.,12,,
19,0.97,52.419,52.752,Present.,13,,
20,0.97,52.752,54.387,Six present.,14,,
21,0.97,54.387,55.688,Thank you so much.,15,,
22,0.97,55.688,56.856,We'll move into presentations.,15,,
23,0.97,56.856,61.728,I believe we have a couple of presentations today.,15,,
24,0.97,61.728,70.403,The first is awe presentation led by Councilmember Mosqueda.,15,,
25,0.97,70.403,77.644,She has a proclamation honoring Patty Hayes and her service.,15,,
26,0.97,77.644,82.449,I will then open the floor for comments from Councilmembers.,15,,
27,0.97,82.449,91.424,"After a comment, we will suspend the rules to allow the guests to accept the proclamation and provide comments.",15,,
28,0.97,91.424,96.93,"With that, Councilmember Mosqueda, you can recognized to present the presentation.",15,,
29,0.97,96.93,103.536,Thank you very much Council President Protestimony Herbold and colleagues and director Hayes.,16,,
30,0.97,103.536,114.147,It is an honor to bring toward this proclamation to honor Patty Hayes and her work in public health and nursing over her career.,16,,
31,0.97,114.147,127.527,"I have had the chance to know her for the better part of 20 years and continue every day to appreciate working with her, learning from her, and consider her a mentor and a friend.",16,,
32,0.97,127.527,139.272,"Colleagues, the proclamation REX Niezs that director Hayes will be requiring from this incredible legacy on May 28th from the Seattle King County public health Department.",16,,
33,0.97,139.272,152.285,"After serving over 1,500 employees and the over 2 million residents of King County for the last seven years, she is going to be earning her retirement with stripes.",16,,
34,0.97,152.285,160.593,She has led us through the historic crisis and the health crisis and global pandemic we have faced in Seattle and King County.,16,,
35,0.97,160.593,170.904,She was on the front lines with officially notifying us about the pandemic spread here in our country as we were one of the first places to have seen any of the incidences of Covid.,16,,
36,0.97,170.904,184.017,"And prior to that, she has been on the front line, notifying us of the crisis coming in public health if we didn't double down our investments in preventive services and core services that public health provides.",16,,
37,0.97,184.017,201.734,"Since I have known her, she has been raising the alarm bells about the importance of public health in terms of public policy and the financing that needs to accompany strong public health policies so everyone has the access to healthy, quality living.",16,,
38,0.97,201.734,213.513,"That means clean air, clean communities, fresh, clean water, and the ability to make sure that people are free from generational poverty and toxin in our environments and in our work places.",16,,
39,0.97,213.513,218.585,She has lived the principles of what it means to be a public health champion.,16,,
40,0.97,218.585,227.093,And we have seen this in her response to Covid by making sure that she and her Department were leading with a racial justice lens.,16,,
41,0.97,227.093,229.829,We have seen this throughout her tenure in King County.,16,,
42,0.97,229.829,239.572,I was honored to see it firsthand with one of my first jobs at the State Department of health under her division of community and family health services.,16,,
43,0.97,239.572,258.524,She has set forth a plan for community Vaccinations making sure that the most vulnerable communities and those most impacted by Coronavirus continue to get access to the vaccine.,16,,
44,0.97,258.524,277.343,"While she is leaving us, the work that she has laid the ground for the and the seeds she planted will continue to grow as we seek to become a more racially just entity at Seattle King County public health and as individual community members committed to the principles of public health.",16,,
45,0.97,277.343,298.064,"She has been an active advocate for social justice in the public health field, starting with the work that she's done with the executive declaring racism as a public health cry SES and leading the efforts to address the systemic racial policies that impacted black and indigenous and people of color communities.",16,,
46,0.97,298.064,302.769,"It is my great pleasure to have worked with you, to continue to call you a friend.",16,,
47,0.97,302.769,313.68,And I know I will be calling upon you to help guide us in the upcoming years and throughout the years to come to make sure we continue to honor the legacy of your work.,16,,
48,0.97,313.68,319.452,I want to thank you for your 30-Plus years of service in public health and nursing.,16,,
49,0.97,319.452,320.353,And congratulations on your retirement.,16,,
50,0.97,320.353,328.027,This is a proclamation that has been signed by all Councilmembers present.,16,,
51,0.97,328.027,329.295,Thank you.,16,,
52,0.97,329.295,331.597,Thank you so much.,17,,
53,0.97,331.597,336.869,Really appreciate Councilmember Mosqueda you are writing this forward.,17,,
54,0.97,336.869,340.673,Are there comments with other Councilmembers before we suspend the rules?,17,,
55,0.97,340.673,347.413,Just looking to see if there are any virtual or real raised hands.,17,,
56,0.97,347.413,348.915,Seeing none.,17,,
57,0.97,348.915,351.718,"Madame President, sorry.",18,,
58,0.97,351.718,353.453,Sorry about that.,19,,
59,0.97,353.453,357.39,The Video and the panel at the same time.,20,,
60,0.97,357.39,359.125,"Councilmember Lewis, you have comments.",20,,
61,0.97,359.125,359.459,Thank you.,21,,
62,0.97,359.459,366.199,I wanted to briefly say it is remarkable sometimes how history creates the right person for the right moment.,21,,
63,0.97,366.199,376.142,"And really being here, you know, knowing director Hayes only during this time of crisis, I know Councilmember Mosqueda goes way back.",21,,
64,0.97,376.142,380.78,And I have known her over the course of this pandemic.,21,,
65,0.97,380.78,412.979,"And finding her to be an extremely helpful partner, not only in guiding the board of health and guiding our Covid crisis, but also just being a really effective partner in the unique public health challenges Seattle has due to having a large proportion of neighbors without adequate shelter to live in and experiencing homelessness and the unique public health challenges that poses and having a good partner and expert in director Hayes to guide Council policy has been really, really helpful.",21,,
66,0.97,412.979,416.115,She is going to be sorely missed.,21,,
67,0.97,416.115,424.157,"I really, really appreciate the opportunity I did get to have my formative experience with the board of health under her leadership.",21,,
68,0.97,424.157,425.858,I look forward to her future endeavors.,21,,
69,0.97,425.858,428.861,I'm sure she will stay in touch as she develops them.,21,,
70,0.97,429.162,430.029,.,21,,
71,0.97,430.663,436.869,"Thank you so much, Koungs member Lewis.",22,,
72,0.97,436.869,440.173,I don't have a lot of remarks.,22,,
73,0.97,440.173,450.917,"I just wanted to say quickly before we hand it over to you, director Hayes, I really also appreciate your steady hand and partnership.",22,,
74,0.97,450.917,460.426,"So if there's no objection, the Council rules will be suspended to allow Patty Hayes to accept the proclamation and provide remarks.",22,,
75,0.97,460.426,463.896,"Hearing no objection, the Council rules are suspended.",22,,
76,0.97,463.896,465.965,"Director, welcome to the city council meeting.",22,,
77,0.97,465.965,470.937,You are recognized in order to provide remarks to the city Council and the viewing public.,22,,
78,0.97,470.937,478.444,"Well, I want to thank you for this honor and acceptance of the proclamation.",23,,
79,0.97,478.444,481.113,This is indeed very special for me.,23,,
80,0.97,481.113,502.568,"As I look back in our work from the last seven years as I have been director, it's been the privilege of my career to be with you, to help lead us through so many challenging times and issues.",23,,
