index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,14.581,16.516,Thank you so much.,0,,
1,0.97,16.516,17.016,Good morning everyone.,0,,
2,0.97,17.016,21.354,The Council briefing meeting will now come to order.,0,,
3,0.97,21.354,31.898,Will the clerk please the call?,0,,
4,0.97,32.532,32.766,Strauss.,1,,
5,0.97,32.766,33.066,Present.,2,,
6,0.97,33.066,33.366,Herbold.,3,,
7,0.97,33.366,38.304,Morales?,4,,
8,0.97,38.304,38.571,Here.,5,,
9,0.97,38.571,38.972,Mosqueda?,6,,
10,0.97,38.972,39.305,Present.,7,,
11,0.97,39.305,43.91,Pedersen.,8,,
12,0.97,43.91,44.31,Here!,9,,
13,0.97,44.31,44.544,Sawant.,9,,
14,0.97,44.544,44.844,Present.,10,,
15,0.97,44.844,47.947,Council President Gonzalez?,11,,
16,0.97,47.947,48.281,Here.,12,,
17,0.97,48.281,49.082,Eight present.,13,,
18,0.97,49.082,55.688,If there is no objection the minutes will be adopted.,14,,
19,0.97,55.688,59.926,Hearing no objection the minutes are adopted.,14,,
20,0.97,59.926,63.196,"Presence report, I don't have anything to report this morning.",14,,
21,0.97,63.196,74.107,We will go ahead and head into today's city council actions and regional committees and then before we do that just for the record Council member Herbold has joined the meeting.,14,,
22,0.97,74.107,76.576,"Good morning council member Herbold, welcome.",14,,
23,0.97,76.576,92.091,As a reminder the role call order for this morning's report out will start with Council member Strauss.,14,,
24,0.97,92.091,95.462,I will conclude this agenda discussion with my own report.,14,,
25,0.97,95.462,97.63,"So, without further adieu let's get started.",14,,
26,0.97,97.63,103.269,Council member Strauss I will hand it over to you.,14,,
27,0.97,103.269,105.238,"Thank you, Council President.",15,,
28,0.97,105.238,106.005,Good morning.,15,,
29,0.97,106.005,116.449,There are no items from the neighborhoods Committee on today's full agenda.,15,,
30,0.97,116.449,123.89,Council bill 0127 which will approve and confirm the plot of the quote--the pines at North gate end quote subdivision.,15,,
31,0.97,123.89,131.03,This will go directly to full council next week and I will have more information to share with you at that point.,15,,
32,0.97,131.03,136.169,This is a routine type of legislation where there is limited action that Council can take.,15,,
33,0.97,136.169,145.612,The next meeting of the land use neighborhoods Committee is next Wednesday July 28th and we have four items on the agenda.,15,,
34,0.97,145.612,172.272,A vote on the 2021-2022 comprehensive plan document resolution a public hearing on the comprehensive plan amendment to change the name from of single family zoning to neighborhood residential which best reflects how are growing and our vibrant neighborhoods are residential neighborhoods.,15,,
35,0.97,172.272,184.15,They make our single family zone as more vibrant zone.,15,,
36,0.97,184.15,190.123,We will also have a briefing on Council bill 12111.,15,,
37,0.97,190.123,204.07,Lastly we will have a public hearing and vote on Council bill amending the terrace tree protection plan to allow for canopy.,15,,
38,0.97,204.07,215.815,We had planned to hear a briefing from Opcd on the public engagement plan for the update process at this July 28th meeting.,15,,
39,0.97,215.815,221.387,Unfortunately they will let us know they need to delay that report.,15,,
40,0.97,221.387,223.856,Last week I attended the Council on Wednesday evening.,15,,
41,0.97,223.856,235.568,It was a small town Halle was asked direct questions by people and both did an amazing job facilitating.,15,,
42,0.97,235.568,239.172,Mostly we talked about West green Lake way North.,15,,
