index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,3.036,9.909,"September 27, 2021 council meeting will come to order.",0,,
1,0.97,9.909,13.88,It is 9:30 am.,0,,
2,0.97,13.88,15.915,Councilmen Strauss.,0,,
3,0.97,15.915,17.384,Present.,1,,
4,0.97,17.384,22.021,Councilmember Herbold.,2,,
5,0.97,22.021,25.925,Councilmember Lewis.,2,,
6,0.97,25.925,29.596,Councilmember Mosqueda.,2,,
7,0.97,29.596,31.197,Councilmember Pedersen.,2,,
8,0.97,31.197,34.434,Here.,3,,
9,0.97,34.434,35.435,Councilmember Sawant.,3,,
10,0.97,35.435,39.706,Present.,4,,
11,0.97,39.706,51.317,We have five present and have just been joined by Councilmember Mosqueda and Councilmember Herbold.,5,,
12,0.97,51.317,52.452,Good morning.,6,,
13,0.97,52.452,63.063,"Just for the record, we got word this morning that Councilmember Juarez is not feeling well enough to be here with us this morning.",7,,
14,0.97,63.063,72.238,We hope to see her at 2:00 PM but she will keep us posted if that will be possible.,7,,
15,0.97,72.238,75.275,"Whenever we are joined by Councilmember Lewis, I will note that for the record.",7,,
16,0.97,75.275,76.075,Approval of the minutes.,7,,
17,0.97,76.075,85.251,"If this no objection, minutes of September 20, 2021 are adopted.",7,,
18,0.97,85.251,96.196,Today marks the beginning of the councils deliberations period and Mayor Durkan's repose budget for 2022 will be formally presented to the city council later this afternoon.,7,,
19,0.97,96.196,107.173,"On behalf of Mayor Durkin, deputy Mayor--we will be with us at this afternoon city council meeting to deliver the Mayor's budget address as is required by the city charter.",7,,
20,0.97,107.173,122.422,"My understanding is that the Mayor will be making a televised budget address later on this evening at 5:00 PM . for those interested in watching, you can watch live on Seattle Channel.",7,,
21,0.97,122.422,134.801,"With that being said, we will move into the next discussion item, which is a preview of today's city council actions, council regional committees, I will: Council members as established by the roll call.",7,,
22,0.97,134.801,137.837,This week's roll call rotation is as follows.,7,,
23,0.97,137.837,157.757,"Councilmember Strauss followed by Councilmember Herbold, Councilmember Lewis, Councilmember Morales . My understanding is that Councilmen Strauss will give a report out on behalf of Councilmember Juarez.",7,,
24,0.97,157.757,161.828,Councilmember Strauss will give his own report and also on behalf of Councilmember Juarez.,7,,
25,0.97,161.828,164.264,"For the record, we have been joined by Councilmember Lewis.",7,,
26,0.97,164.264,164.664,Good morning.,7,,
27,0.97,164.664,165.465,Good morning.,8,,
28,0.97,165.465,172.171,There were three items from the Land-Use neighborhood community.,8,,
29,0.97,172.171,174.574,"Three appointments, one to each.",8,,
30,0.97,174.574,181.915,One each to the Seattle Chinatown International district PDA government Council.,8,,
31,0.97,181.915,182.849,The historic Council government Council.,8,,
32,0.97,182.849,190.323,And Seattle planning Commission . There were 10 items from the Land-Use neighborhood committees on today's full agenda.,8,,
33,0.97,190.323,192.892,Eight appointment to the Pioneer square preservation board.,8,,
34,0.97,192.892,208.508,120157 which man's legislation to allow larger building for affordable housing sites controlled by religious organizations . This legislation would amend that ordinance to increase Affordability requirements from 60% AMI to 80% AMI.,8,,
35,0.97,208.508,216.015,In response to concerns raised by churches and community groups after full cache last time around.,8,,
36,0.97,216.015,219.319,The public hearing on this legislation a full council last week.,8,,
37,0.97,219.319,224.591,I will be happy to to questions at the end of this report.,8,,
38,0.97,224.591,235.101,We will also have Council bill 120513 adopting provisions were small lots and Belltown to allow for modular and--construction.,8,,
39,0.97,235.101,246.312,"Council President, I will ask to amend the agenda this afternoon to put all of those bills in the same section so that I can speak once at full council rather than multiple times.",8,,
40,0.97,246.312,256.656,They Land-Use and neighborhoods committee voted four bills out of committee at a special meeting on Friday afternoon that legislation will be considered by a full council next Monday as it did not pass before Thursday.,8,,
41,0.97,256.656,275.375,"At the next regularly scheduled meetings of the land and use neighborhoods committee after budget Wednesday, December 8, anticipate we may need to schedule two special Land-Use neighborhood committee meetings during the budget in order to consider contract Re-Zones that are mandated by the state to be considered within a certain Timeline.",8,,
42,0.97,275.375,281.648,My office is continuing to work with the Council President's office to finalize those for meetings.,8,,
43,0.97,281.648,292.191,"Additionally, want to take a moment to congratulate the Seattle channel on winning 30 government program awards and National Association of telecommunications officers and advisors at the National Association of telecommunications officers and advisors.",8,,
44,0.97,292.191,297.697,This includes seven awards of excellence.,8,,
45,0.97,297.697,298.331,13 awards of distinction.,8,,
46,0.97,298.331,302.568,10 awards of honor.,8,,
47,0.97,302.568,307.473,"Colleagues, this is why always refer to the Seattle channel is the Award-Winning Seattle Channel.",8,,
48,0.97,307.473,308.474,Just an overview last week.,8,,
49,0.97,308.474,314.781,Must have attended a rally with governor Ainslie governor Jay Inslee to call from Bergen Federal climate legislation.,8,,
50,0.97,314.781,325.692,"On Tuesday, I met with the chief Seattle and excited to hear about the new project to develop 200 units of affordable housing on Coast village--North Seattle college campus.",8,,
51,0.97,325.692,331.631,Something that Councilmember Juarez has been Championing.,8,,
52,0.97,331.631,335.735,I also met with the folks working on the green Lake Boathouse for an update and to outline next steps.,8,,
53,0.97,335.735,341.274,"Colleagues, they are very close to having full funding for the shovel ready projects.",8,,
54,0.97,341.274,349.716,This first started with--this two boat houses in the city.,8,,
55,0.97,349.716,351.384,One in South Seattle in one North Seattle.,8,,
56,0.97,351.384,352.785,They started with cell Seattle Boathouse first.,8,,
57,0.97,352.785,354.253,There almost in with North Seattle.,8,,
58,0.97,354.253,357.824,I was also able to meet with the chief of police chief Diaz.,8,,
59,0.97,357.824,364.931,"We discuss gun violence, criminal activity in Fremont and summer drowning that occurred in green Lake.",8,,
60,0.97,364.931,371.838,I was also able to meet with the Maritime and industrial Stakeholders to discuss the Mayor's process that occurred earlier this year.,8,,
61,0.97,371.838,376.943,"On Friday, I was able to attend the Association Washington cities board meeting.",8,,
62,0.97,376.943,378.377,We put on the state legislative agenda.,8,,
63,0.97,378.377,383.049,This year we were able to include rapid acquisition of housing within the agenda.,8,,
64,0.97,383.049,389.555,That was not within the Awc's a legislative agenda in past years.,8,,
65,0.97,389.555,392.692,This coming week my staff is attending the Fremont neighborhood council meeting tonight.,8,,
66,0.97,392.692,397.396,"On Tuesday, I will be attending the North Seattle industrial Association meeting.",8,,
67,0.97,397.396,411.377,Tomorrow morning I will be checking in with our central staff director and Sdci director Nathan terrible sent as well as staff will be attending--committee council meeting.,8,,
68,0.97,411.377,412.879,"Start, it is not performing.",8,,
69,0.97,412.879,420.386,"Staff and I meet with--that's right, the North precinct advisory Council.",8,,
70,0.97,420.386,429.796,"For the viewing public here, you may know that the Mayor has now transmitted--will be transmitting the budget today.",8,,
71,0.97,429.796,436.402,Our calendar now changes going forward to reflect our budget calendar.,8,,
72,0.97,436.402,446.212,The majority of this week I will be focused on receiving updates and reports from our Department about what is contained within the Mayor's budget.,8,,
73,0.97,446.212,450.049,"At the end of the week, I'm going to be attending the Much- anticipated sound transit North cake Northgate opening.",8,,
74,0.97,450.049,456.556,We are excited to have the sound transit link grow and open here North Seattle.,8,,
75,0.97,456.556,465.464,"In district 6, I'm excited to announce working with community and thank 2010 is worse.",8,,
76,0.97,465.464,466.866,With green Lake North has opened early.,8,,
77,0.97,466.866,477.91,"They had a project date set for October 1 and, Sdot, thank you for the director and team for getting Wesley Greenway opened earlier than anticipated.",8,,
78,0.97,477.91,487.453,It opened last Friday with a two-way protected bike Lane and walking Lane and two-way vehicular traffic.,8,,
79,0.97,487.453,492.925,"Last weekend in district 6 I held several meetings with local businesses, residents and Stakeholders along with Hsd, King County regional authority on homelessness.",8,,
80,0.97,492.925,500.132,Direct service providers and many more addressing homelessness and specific locations.,8,,
81,0.97,500.132,502.468,This work remains ongoing.,8,,
82,0.97,502.468,506.606,I am hosting weekly meetings to Esure collaboration and meaningful interventions are achieved.,8,,
83,0.97,506.606,515.214,I think it's clear we need more emergency housing and shelter to have meaningful interventions.,8,,
84,0.97,515.214,519.118,I will also be meeting this week with Seattle city light about safety improvements in the Fremont industrial areas.,8,,
85,0.97,519.118,522.722,Specifically about Streetlighting as requested by a resident.,8,,
86,0.97,522.722,537.203,"Later this week I will meet with the executive director from United Indians of all tribes, Mike Tuley . with the budget calendar beginning this week our regularly scheduled district hours on Thursday from 2:00 to 6:00 may be adjusted.",8,,
87,0.97,537.203,541.04,If we have to skip a week like happened two weeks ago we will be extending the following week.,8,,
88,0.97,541.04,547.947,This is one of those weeks where we will Unfortunately not have our regularly scheduled office hours because of the budget calendar.,8,,
89,0.97,547.947,554.453,We will be adjusting to make sure we get to see everyone who has signed up.,8,,
90,0.97,554.453,559.125,"Last week's office hours I met with residents from Whittier heights, two Phinney ridge and ease power.",8,,
91,0.97,559.125,562.361,Four from Ballard.,8,,
92,0.97,562.361,563.162,Four from crown Hill.,8,,
93,0.97,563.162,563.963,Four from green Lake.,8,,
94,0.97,563.963,564.764,Two from tangle town.,8,,
95,0.97,564.764,579.045,"We discussed public safety, Seattle police Department budget, homelessness, updating the tree ornaments, approval voting and two High-Traffic and speeding areas that need some interventions by Sdot.",8,,
96,0.97,579.045,584.483,That is my report.,8,,
97,0.97,584.483,584.884,Thank you.,8,,
98,0.97,584.884,587.853,Happy to to questions about the bills coming before full council today.,8,,
99,0.97,587.853,605.204,Let's take a pause because I know you also have a report out on behalf of Councilmember Juarez but do want to give folks an opportunity to ask any questions or lift up anything else that might be top of mind really to your poor report.,9,,
100,0.97,605.204,607.073,I see that Councilmember Herbold has her hand raised.,9,,
101,0.97,607.073,608.007,Councilmember Herbold.,9,,
102,0.97,608.007,621.687,"Whatever your preference, I have a few words to say about a proposed amendment related to one of the bills that Councilmember Strauss spoke to.",10,,
103,0.97,621.687,626.092,"I can either speak to that now or hold until my report, which follows.",10,,
