index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,11.578,12.278,A.,0,,
1,0.97,12.278,12.746,Good afternoon.,1,,
2,0.97,12.746,22.088,Thank you for coming back to the select budget committee.,1,,
3,0.97,22.088,23.289,I'm Teresa Mosqueda.,1,,
4,0.97,23.289,26.226,Would the clerk please call the roll?,1,,
5,0.97,26.226,28.128,Council member Strauss?,2,,
6,0.97,28.128,31.831,Present.,3,,
7,0.97,31.831,37.137,Council member Gonzalez.,4,,
8,0.97,37.137,37.537,Here.,5,,
9,0.97,37.537,39.739,Council member Herbold?,6,,
10,0.97,39.739,40.273,Council member Juarez?,6,,
11,0.97,40.273,40.54,Here.,7,,
12,0.97,40.54,41.975,Here!,8,,
13,0.97,41.975,44.043,Council member Herbold.,9,,
14,0.97,44.043,51.317,Thank you Council member Herbold.,10,,
15,0.97,51.317,53.319,Council member Lewis.,10,,
16,0.97,53.319,54.02,Here.,11,,
17,0.97,54.02,56.055,Council member Morales?,12,,
18,0.97,56.055,57.123,Here.,13,,
19,0.97,57.123,58.558,Council member Pederson.,14,,
20,0.97,58.558,60.26,Here.,15,,
21,0.97,60.26,61.227,Council member Sawant?,16,,
22,0.97,61.227,61.494,Here.,17,,
23,0.97,61.494,63.53,And chair Mosqueda.,18,,
24,0.97,63.53,64.864,"Thank you very much, here.",19,,
25,0.97,64.864,67.734,Nine present.,20,,
26,0.97,67.734,70.136,"Thank you very much, Madam clerk.",21,,
27,0.97,70.136,71.971,Thank you colleagues for your time today.,21,,
28,0.97,71.971,83.683,"We have hopefully three hours to get through next 30 items, so I'll ask folks to be brief in their comments, and I'm going to be timing so we can keep an equal amount of time for each item.",21,,
29,0.97,83.683,89.989,"I know not everything will take the same amount of town, but to keep us moving, I'd love to do that.",21,,
30,0.97,89.989,95.929,We'll get through the Hsd section and then the Oig before the SPD section.,21,,
31,0.97,95.929,102.502,We will accommodate Council member Sawant's request to have her item go first before we begin with the SPD related items.,21,,
32,0.97,102.502,108.708,I believe that will all be able to be accomplished within the next hour before Council member Sawant needs to depart.,21,,
33,0.97,108.708,120.32,I want to thank you all for the time you've taken today to walk through the over 20 items so far.,21,,
34,0.97,120.32,130.697,We are on Hom013A001.,21,,
35,0.97,141.074,146.012,"Jeff, it looks like we have screen sharing up, so thank you for being with us.",21,,
36,0.97,146.012,159.058,"Thank you, we're an item number 21 on the agenda which is Hom13A1.",22,,
37,0.97,159.058,163.029,It provides money for the human services Department for properties of shelter and housing.,22,,
38,0.97,163.029,171.437,"I want to be clear, the funds provided here are different from the funds discussed for Provisos just a moment ago.",22,,
39,0.97,171.437,179.245,"Earlier today we talked a lot about emergency solution, grant funds and Provisos there.",22,,
40,0.97,179.245,186.286,"In addition, the 2021 proposed budget uses $10 million from the joint Covid compromise agreement to increase services.",22,,
41,0.97,186.286,194.193,8 million of that is for rental assistance and homelessness prevention.,22,,
42,0.97,194.193,210.71,"This proviso applies to those funds, and clarifies that funds can't only be used for private services but also the acquisition of properties.",22,,
43,0.97,210.71,217.116,Either for emergency shelter or Non-Congregate shelters and things like that.,22,,
44,0.97,217.116,218.017,Chair Mosqueda is the sponsor.,22,,
45,0.97,218.017,256.189,"Yes, similar to the comments made from the other Council members, we know that acquiring hotels is a really important to strategically use it to further provide additional shelter options, and hopefully at some point longer term housing strategies for those that need stable housing.",23,,
46,0.97,256.189,261.761,"There is, as we know, $8 million in rental assistance and homelessness prevention included in the Mayor's budget.",23,,
47,0.97,261.761,270.47,This reflects the agreed upon discussion we had with the executive in the summer as it related to the relief that we were offering.,23,,
48,0.97,270.47,276.609,This proviso here uses the proviso as a place holder to expand the eligible uses of the $8 million for acquisition.,23,,
49,0.97,276.609,279.579,I want to note that this is a starting point.,23,,
50,0.97,279.579,310.276,"Obviously we all know that we need additional funds, but when hotels become available or vacant buildings become available that are suitable for a Noncongregate shelter, it would be ideal to have additional funds to rely on, especially with winter around the corner making those experiencing homelessness even more vulnerable to Covid and the elements, the ability to get individuals into individual rooms has been shown to be a successful model for outreach and engagement.",23,,
51,0.97,310.276,321.387,They're more likely to come in when they know they have a hotel room or individual room that's an option versus congregate settings or other types of shelter options.,23,,
52,0.97,321.387,327.727,We put this forward in a partnership with central staff and some of the good ideas they had to really identify a place holder.,23,,
53,0.97,327.727,340.139,"Through very much Jeff for your work with our office, to leave open the possibility of increasing funds for not just rental assist, but adding acquisition into the mix for additional dollars.",23,,
54,0.97,340.139,342.508,Just a place holder for now.,23,,
55,0.97,342.508,359.258,But look forward to working with all of you as we continue to expand the type of housing and shelter options that we know are Evidence-Based and really do further our goals towards getting more folks off the streets into stable housing.,23,,
56,0.97,359.258,373.039,"I want to thank Council members Lewis and Morales for Cosponsorship, and I'll also thank Council member Sawant and Strauss for adding their names here.",23,,
57,0.97,373.039,374.407,Any additional questions at this point?,23,,
58,0.97,374.407,376.075,"Okay, thank you colleagues and Jeff.",23,,
59,0.97,376.075,377.377,Let's go ahead and move on.,23,,
60,0.97,377.377,382.915,Next item number 22 on the agenda is Hom14A1.,24,,
61,0.97,382.915,399.465,"This adds $750,000 in general fund one time funding to Hsd to increase funding to maintain rapid Rehousing case loads.",24,,
62,0.97,399.465,401.467,Council member Herbold alluded to this in previous comments.,24,,
63,0.97,401.467,418.117,"It's said it's taking longer for families already enrolled to transition into self-sufficiency and not receive the rapid Rehousing support, so this would provide additional funds so that services could last for a longer period of time.",24,,
64,0.97,418.117,431.597,"This is a distinct approach from the 2020-2021 proposed budget where we have the rapid Rehousing programs like is discused here, but the 2021 budget also has a separate pot of funds for a one time expansion of rapid Rehousing.",24,,
65,0.97,431.597,454.754,"Looking at the basic numbers because this is just based on averages of how much support and dollar wise and also how long, we'd probably be talking about another 256 months of support allotted across a lot of different households, so some households might need another two months, some might need ten.",24,,
66,0.97,454.754,463.696,But this is roughly how you can think about what kind of increase you're purchasing with this kind of change.,24,,
67,0.97,463.696,469.335,Sponge so sponsor is Council member Herbold.,24,,
68,0.97,469.335,470.536,And cosponsors Gonzalez and Lewis.,25,,
69,0.97,470.536,479.245,"Our prime sponsor has been dropped from the zoom, so if our team from Tech can see if she's trying to be admitted, that would be helpful.",25,,
70,0.97,479.245,497.196,Also Council member Strauss is interested in signing as a cosponsor.,25,,
71,0.97,497.196,501.2,Do we have any technical questions Jeff could address?,25,,
72,0.97,501.2,504.103,"Okay, so I'm seeing no additional technical questions.",25,,
