index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,15.215,25.358,"Good morning, everyone, the August 10th, 2022 meeting of the economic development technology and city light committee will come to order.",0,,
1,0.97,25.358,32.932,"It is 9:31, I'm Sara Nelson, chair of committee, and Steven Ellis is our new permanent committee clerk.",0,,
2,0.97,32.932,36.669,Councilmember Strauss is excused.,0,,
3,0.97,36.669,41.474,Will the clerk please call the roll.,0,,
4,0.97,41.474,49.616,Council President Juarez?,1,,
5,0.97,49.616,49.883,Here.,2,,
6,0.97,49.883,55.588,Councilmember Sawant.,3,,
7,0.97,55.588,55.889,Present.,4,,
8,0.97,55.889,57.023,Councilmember Herbold.,5,,
9,0.97,57.023,57.824,Chair Nelson.,5,,
10,0.97,57.824,58.291,Present.,6,,
11,0.97,58.291,59.225,Three present.,7,,
12,0.97,59.225,60.827,"Excellent, I love Quorum.",8,,
13,0.97,60.827,64.197,"All right, there are four items on today's agenda.",8,,
14,0.97,64.197,76.276,A briefing and discussion on draft ordinance establishing the Seattle film Commission and Intergovernmental briefing and strategies to support Seattle's film industry.,8,,
15,0.97,76.276,90.857,"A discussion and possible vote on Seattle city light's 2022 integrated resource plan, and a briefing and discussion on Seattle city light's 2022-2023, and 2024 rate ordinance.",8,,
16,0.97,90.857,94.928,So now we will go on to approving the agenda.,8,,
17,0.97,94.928,104.003,"If there are no objections, the agenda is approved.",8,,
18,0.97,104.003,105.705,All right.,8,,
19,0.97,105.705,108.875,"So I recognize Councilmember Herbold, thank you.",8,,
20,0.97,108.875,132.999,"So before public comment, I want to recognize the people who have come to you to, in response to the letter I signed onto regarding the lower snake River dam's draft report requested by Senator Murray and Governor Inslee, however public comment is restricted to items on the agenda, and this issue is not.",8,,
21,0.97,132.999,135.869,I have to be consistent in this application for all meetings.,8,,
22,0.97,135.869,139.739,"So if you're here to talk about that, I ask that you refrain from comment today.",8,,
