index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,5.739,42.909,♪ ♪,0,,
1,0.97,47.347,54.954,Warez.,1,,
2,0.97,54.954,58.024,Council President Gonzales.,2,,
3,0.97,58.024,59.159,Here.,3,,
4,0.97,59.159,60.627,Thank you.,4,,
5,0.97,60.627,66.533,"So, much better work, we will NOTE when the Councilman joins us.",4,,
6,0.97,66.533,72.639,We will go through the first parts of the agenda.,4,,
7,0.97,72.639,75.675,"I'm not aware of any presentations, today.",4,,
8,0.97,75.675,82.782,"We moved to approve the minutes of November 16th, 2020.",4,,
9,0.97,82.782,83.383,They have been reviewed.,4,,
10,0.97,83.383,85.452,"If there is no objection, the minutes will be signed.",4,,
11,0.97,85.452,87.053,"Hearing no objection, the minutes are being signed.",4,,
12,0.97,87.053,97.964,"Will the clerk these ethics my signature? adoption of the referral calendar, if there is no objection, the introduction will be adopted.",4,,
13,0.97,97.964,105.772,"Hearing no objection, the referral calendar is adopted.",4,,
14,0.97,105.772,113.68,"For the record, I would like to note that Councilmember Mosqueda has now joined us.",4,,
15,0.97,113.68,114.881,The agenda will be adopted.,4,,
16,0.97,114.881,116.149,"Hearing no objection, the agenda is adopted.",4,,
17,0.97,116.149,117.75,We will now move into the public comment.,4,,
18,0.97,117.75,131.331,"It is a this time we will open the public comment created for items on the agenda, referral calendar and the councils 2020 work program.",4,,
19,0.97,131.331,141.107,I thank everyone for their ongoing patience and cooperation as we continue to remote--operate this remote system.,4,,
20,0.97,141.107,143.243,We will have remote public comment including regularly on meeting Agendas.,4,,
21,0.97,143.243,154.654,"However, as a reminder, the city council reserves the right to eliminate these at any time if we believe the system is being abused or no longer suitable for meetings to be conducted, efficiently.",4,,
22,0.97,154.654,157.123,"I will moderate the comment in the following manner, today.",4,,
23,0.97,157.123,162.829,The public comment is scheduled to be 20 minutes.,4,,
24,0.97,162.829,174.641,"However, colleagues, I would like to come on the front end, extend it to a total of 30 minutes with each Speaker having one minute rather than two minutes to address the Council.",4,,
25,0.97,174.641,178.044,"If there is no objection, it will be extended to 30 minutes.",4,,
26,0.97,178.044,186.986,"Hearing no objection, the public comment is extended to 30 minutes.",4,,
27,0.97,186.986,189.055,"Each Speaker will be given one minute to speak, today.",4,,
28,0.97,189.055,190.557,I will call each Speaker by name.,4,,
29,0.97,190.557,193.092,I will use the order in which they registered on the Website.,4,,
30,0.97,193.092,204.47,"If you are not registered to speak, you can sign up by going to the Council's Website that is Seattle.Gop.",4,,
31,0.97,204.47,213.613,"Once I called the speakers names, they will Unmute the appropriate microphone and the collar will hear an automatic prompt of you have been Unmute it.",4,,
32,0.97,213.613,221.12,"Once you have heard you have been Unmute it, that is your turn to speak.",4,,
33,0.97,221.12,234.934,You must first press Star six before speaking.,4,,
34,0.97,239.272,240.306,Please say your name before speaking.,4,,
35,0.97,240.306,244.043,"At about 10 seconds, the Speaker will hear a Chime.",4,,
36,0.97,244.043,248.615,That means that you have 10 seconds to wrap up your comments.,4,,
37,0.97,248.615,252.619,We ask that you please do so so we can move to the next Speaker.,4,,
38,0.97,252.619,266.032,"If the Speaker does not enter their time, we will call on the next Speaker.",4,,
39,0.97,266.032,268.835,"Once you have completed your public comment, we ask that you Disconnect from the line.",4,,
40,0.97,268.835,272.639,"If you continue following the meeting, do so via the Seattle channel or the options on the agenda.",4,,
41,0.97,272.639,273.74,Public comment is now open.,4,,
42,0.97,273.74,281.047,We will go until 2:35 P.M.,4,,
43,0.97,281.047,285.084,"Again, for those who are waiting to give public comment, you will have a prompt of you have been Unmute it.",4,,
44,0.97,285.084,295.261,You will press Star six.,4,,
45,0.97,295.261,298.898,You will hear that after you have been Unmute it.,4,,
46,0.97,298.898,309.409,The first speakers for today.,4,,
47,0.97,317.25,319.218,"Hello, I am a Renter in district IV.",5,,
48,0.97,319.218,322.722,"Thank you to all the Councilmembers who supported the budgetary amendment for tenant education, advocacy and organizing.",5,,
49,0.97,322.722,324.524,Seattle is a proud Endorser of the solidarity budget.,5,,
50,0.97,324.524,348.548,"Prior to the pandemic, they were experiencing a home was an education crisis without action from city council.",5,,
51,0.97,348.548,350.917,Seattle would see greater displacement and helplessness of communities of color.,5,,
52,0.97,350.917,353.82,We need the city Council to Defund so we can invest in black communities.,5,,
53,0.97,353.82,356.989,"These questions are not unrelated, rather without Defunding, they are actively Prioritizing violence and displacement.",5,,
54,0.97,356.989,358.558,The funding by 50% is not a misleading slogan.,5,,
55,0.97,358.558,366.566,"It is a concrete policy that city council can and should enact to help our neighbors and care about communities, we need to Defund them by 50% at least, thank you for your time.",5,,
56,0.97,366.566,368.234,Thank you for calling in today.,6,,
57,0.97,368.234,372.438,"Next up is Justin, followed by AVA.",6,,
58,0.97,372.438,373.873,"Hello, my name is Justin.",7,,
59,0.97,373.873,394.193,"I am a district V Renter . This budget, as I understand, reduces the completely bloated police budget by about 9%.",7,,
60,0.97,394.193,401.501,"At the same time, there are urgent community needs like $30 million for Anti-Legislation efforts that will help address the root causes of any crime in the city and address urgent need for affordable housing.",7,,
61,0.97,401.501,407.64,This victory was taken by the force of the black lives matter Ovement along with the help of Councilmember Sawant . She helped to organize.,7,,
62,0.97,407.64,415.114,"However, this nine prevent reduction is not the 50% that the movement demanded.",7,,
