index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,22.956,34.3,I believe you on Councilmember Herbold.,0,,
1,0.97,34.3,39.305,"Thank you, the June the third, 2020 special meeting of the public safety and human services committee will come to order.",1,,
2,0.97,39.305,42.142,It is 12:02 P.M.,1,,
3,0.97,42.142,43.943,"I am Lisa Herbold, chair of the committee.",1,,
4,0.97,43.943,50.25,Will the clerk please call the roll.,1,,
5,0.97,50.25,50.884,Seema Councilmember Gonzales.,1,,
6,0.97,50.884,51.251,Care.,2,,
7,0.97,51.251,54.654,Councilmember Lewis.,3,,
8,0.97,54.654,56.156,Present.,4,,
9,0.97,56.156,57.424,Councilmember Morales.,5,,
10,0.97,57.424,60.16,Care.,6,,
11,0.97,60.16,66.933,Councilmember Sawant.,7,,
12,0.97,66.933,72.639,"We are also joined by Council matter, Councilmember Pederson.",7,,
13,0.97,72.639,75.041,"That is all, thank you.",7,,
14,0.97,75.041,76.075,Thank you so much.,8,,
15,0.97,76.075,81.381,We will approve the agenda for the committee meeting.,8,,
16,0.97,81.381,83.783,"If there is no objection, today's agenda will be adopted.",8,,
17,0.97,83.783,87.787,"Hearing no objection, today's agenda is adopted.",8,,
18,0.97,87.787,90.89,Before we move into public comment.,8,,
19,0.97,90.89,95.361,A short opening of remark about today's meeting.,8,,
20,0.97,95.361,100.9,"I just want to note that I am here as well, this is Councilmember Mosqueda.",9,,
21,0.97,100.9,107.106,Thank you for joining us.,10,,
22,0.97,107.106,120.22,"This is been a long history of protest for change, and a longer history of institution justice and Racialized violence.",10,,
23,0.97,120.22,121.254,Especially towards black men and women.,10,,
24,0.97,121.254,128.495,The protesting we are experiencing in Seattle and sing around the country are the results of those histories sparked by the murder of George Floyd I Minneapolis police.,10,,
25,0.97,128.495,135.001,"It is important we put today's meeting in that context, that black men and women have disproportionately suffered and died at the hands of law enforcement in Seattle, and across the country.",10,,
26,0.97,135.001,145.345,"And, protesters are pleading, not just for justice for George Floyd, but for an and to police violence against black men and women here in Seattle and across our country.",10,,
27,0.97,145.345,161.561,"I was with many of you at, not this times event at Westlake on Saturday protesting the murder of George Floyd and generations of harm done to black communities and black people at the hands of law enforcement.",10,,
28,0.97,161.561,166.032,The stirring words of regents are of the many voices lifted Saturday were a lament to failures of a nation.,10,,
