index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,21.755,30.03,Greetings and welcome to the January 13th meeting of the Seattle city council.,0,,
1,0.97,30.03,33.533,It is 2:03 P.M.,0,,
2,0.97,33.533,47.28,Will the clerk please call the roll.,0,,
3,0.97,47.28,51.751,"Lewis, Morales, Pedersen, Sawant, Strauss, Herbold.",1,,
4,0.97,51.751,52.252,Seven present.,1,,
5,0.97,52.252,52.619,Thank you.,2,,
6,0.97,52.619,64.297,"Presentations, no presentations, approval for minutes, there are no minutes today.",2,,
7,0.97,64.297,69.803,And moving on to adoption of the referral calendar.,2,,
8,0.97,69.803,72.305,I am looking your way.,2,,
9,0.97,72.305,75.675,"Thank you, Councilmember Herbold.",3,,
10,0.97,75.675,86.619,I move to amend the calendar by introducing resolution 236.,3,,
11,0.97,86.619,99.432,"With Seattle salvation community regardless of religion and opposing India's National register of citizens by referring it on January 21st, 2020.",3,,
12,0.97,99.432,99.933,Thank you.,4,,
13,0.97,99.933,118.184,"For the record I want to recognize that we did receive a second for the motion to amend the referral calendar, are there any comments.",4,,
14,0.97,118.184,123.289,A resolution to the citizen amendment Act and registered of citizens in India.,5,,
15,0.97,123.289,149.849,"These are policies of the far right government in India and are expected to, if they are carried out to their full logic strip 200 million Muslim people of their citizenship, the prime minister has a long track record of promoting violence and discrimination towards Muslim people.",5,,
16,0.97,149.849,160.96,"His policies used to drive much like Trump does and held a joint rally in Texas, Trump has.",5,,
17,0.97,160.96,188.721,The community requested that the cities speak out on the issue because it is the duty of ordinary people to raise the rights of the far right and believe to terrorism of the government in nuclear armed government is a concern not just Muslims and people in India under threat but also to Seattle salvation immigrant community and all those opposed to Trump and the right wing in the United States.,5,,
18,0.97,188.721,210.443,"We are introducing it today and E-Mailed a copy to all of your offices so it is available On- line for the public to see and move it for a vote at next week's meeting on Tuesday January 21st, instead of the usual Monday because of the Mlk holiday on Monday.",5,,
19,0.97,210.443,213.413,Thank you.,6,,
20,0.97,213.413,214.781,Any other comments?,6,,
21,0.97,214.781,215.415,Seeing none.,6,,
22,0.97,215.415,216.849,Those in favor vote.,6,,
23,0.97,216.849,218.718,Those opposed vote no.,6,,
24,0.97,218.718,222.388,The motion carries and the amendment is adopted.,6,,
25,0.97,222.388,227.894,Are there any other further comments?,6,,
26,0.97,227.894,228.194,Fantastic.,6,,
27,0.97,228.194,232.198,Those in favor of adopting the introduction calendar vote.,6,,
28,0.97,232.198,234.334,Those opposed vote no.,6,,
29,0.97,234.334,245.245,The motion carries and the introduction of the introduction referral calendar adopted.,6,,
30,0.97,245.245,252.385,If there is no agenda the agenda is adopted.,6,,
31,0.97,252.385,254.454,Hearing no objection the agenda is pass.,6,,
32,0.97,254.454,256.99,And we will take comments on the agenda.,6,,
33,0.97,256.99,259.926,I have a number of speakers signed up.,6,,
34,0.97,259.926,275.108,"Public comment will be accepted for 20 minutes, speakers are limited to two minutes of public comment, if a Speaker's comment exceeds 2 minutes the microphone will be turned off.",6,,
35,0.97,275.108,285.952,First identify yourself and the agenda item they wish to address.,6,,
36,0.97,285.952,286.419,"All right, great.",7,,
37,0.97,286.419,304.737,I am going to call speakers up to the microphones to 2 at a time.,7,,
38,0.97,304.737,308.207,There are multiple Mikesif you please.,7,,
39,0.97,308.207,309.042,Good afternoon.,7,,
40,0.97,309.042,311.31,I want to speak about the clean campaign.,7,,
41,0.97,311.31,321.487,I am going to give you a reason why we need clean campaigns.,7,,
42,0.97,321.487,326.893,Years ago I ran for office I was running against corporate money.,7,,
43,0.97,326.893,330.263,I came in a very poor second.,7,,
44,0.97,330.263,339.572,Very poor second because I did not have the money to get my word out to the constituents.,7,,
45,0.97,339.572,360.993,"Think of what I could of done for our schools, for our road projects helping the homeless if I had been able to have an equal and fair campaign.",7,,
46,0.97,360.993,371.471,I did not make it but there are others that need the same chance.,7,,
47,0.97,371.471,378.01,"Corporate money, dark money has to go.",7,,
48,0.97,378.01,378.311,Thank you.,7,,
49,0.97,378.311,389.389,"I am here to speak in favor of a resolution against war with Iraq, Iran, war of any kind, basically.",8,,
