index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,10.643,18.551,Good afternoon this is the meeting of the public assets and needed committee.,0,,
1,0.97,18.551,24.357,"I am Councilmember waters and I share this many, with the clerk please call the roll.",0,,
2,0.97,24.357,52.786,[roll call] there is four present.,1,,
3,0.97,52.786,63.329,"We have done our call to order and we will move to the approval of the agenda, and then we have six items of business.",2,,
4,0.97,63.329,65.999,"So approval of the agenda, there is no objection, it will be adopted.",2,,
5,0.97,65.999,73.673,"That is adopted hearing no objection, I will now do the chairs report.",2,,
6,0.97,73.673,80.413,"We have six items on the vendor agenda, three appointments in legislation related to parks.",2,,
7,0.97,80.413,96.129,"For those effort by the comment, if you are repaired to discuss agenda item number four, please be sure you signed up for the public hearing which we will conduct during agenda item number four.",2,,
8,0.97,96.129,104.604,"After the public comment period, we will welcome our guest to present three items for agenda items one, two and three.",2,,
9,0.97,104.604,114.547,Today we have the Seattle city Indian Commission.,2,,
10,0.97,114.547,127.494,We have TVs from the public facilities and we have run for the reappointment to the Seattle public library board of trustees.,2,,
11,0.97,127.494,142.175,"In regards to agenda item number four, that requires a public hearing, all required public notices regarding this legislation have been posted and are available Online ahead of this meeting.",2,,
12,0.97,142.175,158.691,"We will conduct this hearing first under agenda item four, and once we've exhausted the Sign-Up sheet we will have the Presenters lead us through the legislation for the discussion of possible vote.",2,,
13,0.97,158.691,164.097,"So on the Red barn ranch bill, we will do the public hearing and then the presentation.",2,,
14,0.97,164.097,177.11,"A reminder to my colleagues and the public, the legislation does not assess a final plan for the use of the Red barn ranch nor does it assess new ownership of the property.",2,,
15,0.97,177.11,186.719,It is a technical step by simply removing the Covenant on the property for future discussion of use and ownership.,2,,
16,0.97,186.719,192.025,I'm glad to see so many people have written to us about the future of this property.,2,,
17,0.97,192.025,210.71,"Then, for agenda item number five we will hear a presentation from the superintendent on the reciprocal right of injury license agreement concerning the pool and the Southwest team life center pole.",2,,
18,0.97,210.71,231.431,"And Lastly, on agenda item six we will hear a presentation by the parks and the Southwest youth and family services team about an agreement renewal and I understand, this is a really good Powerpoint by the way really good section on public benefits.",2,,
19,0.97,231.431,234.167,So if you get a chance to look at that.,2,,
20,0.97,234.167,238.438,"And so with that, let's go to public comment.",2,,
21,0.97,238.438,243.843,I need to read what the rules are here.,2,,
22,0.97,243.843,254.787,"At this time we will open the remote public comment Reed, it remains in strong attendance to have public comment regularly included on meeting Agendas.",2,,
23,0.97,254.787,268.968,However we reserve the right to end this public comment period at any point if we deem the system is being abused are unsuitable for our meetings to be conducted efficiently and in a manner where we are able to conduct this Azeri business.,2,,
24,0.97,268.968,276.809,"I will moderate in the following matter, it's up to 20 minutes and each Speaker will be given two minutes to speak.",2,,
25,0.97,276.809,285.018,The clerk will: two speakers at a time in the order in which registered on the Online site.,2,,
26,0.97,285.018,296.629,"If you have not yet registered to speak but would like to, you can sign up before the end of this public comment period by going to the Website.",2,,
27,0.97,296.629,299.132,The comment link is also on the agenda.,2,,
28,0.97,299.132,312.745,"Once the Speaker's name is called, staff will Unmute the appropriate microphone and an automatic prompt of you have been Unmute it with the speakers Queue that it's their turn to speak.",2,,
29,0.97,312.745,318.918,"The Speaker must also touch Star six, press Star six on the phone to Unmute themselves after their name is called.",2,,
30,0.97,318.918,320.753,So how many people are signed up?,2,,
31,0.97,320.753,327.36,We have six folks signed up.,3,,
32,0.97,327.36,328.728,"Six speakers, two minutes apiece.",4,,
33,0.97,328.728,331.664,Please begin by stating your name and the item you are addressing on today's agenda.,4,,
34,0.97,331.664,334.967,You will hear a time when 10 seconds are left.,4,,
35,0.97,334.967,342.709,Once you hear the Chime we ask that you begin to wrap up your public comment.,4,,
36,0.97,342.709,349.749,"If speakers do not and their comments at the end of their allotted time provided, their microphone will be muted to allow us to call up the next Speaker.",4,,
37,0.97,349.749,355.054,Once you have completed public comment we ask that you please Disconnect from the line.,4,,
38,0.97,355.054,367.9,And if you plan to continue following this meeting please do so on our Seattle channel or one of the options listed on the agenda.,4,,
39,0.97,367.9,371.838,The public comment period is now open and we will begin with the first two speakers on the list.,4,,
40,0.97,371.838,375.775,Can you start calling our speakers?,4,,
41,0.97,375.775,383.216,First we will have Isaac joy followed by 9:00.,5,,
42,0.97,383.216,389.689,Go ahead.,6,,
43,0.97,389.689,400.533,Don't forget to press Star six.,7,,
44,0.97,400.533,409.242,"So until we can figure out the line for Isaac let's go to the next person, name of Clark.",7,,
45,0.97,409.242,412.745,Can you hear me now?,8,,
46,0.97,412.745,415.214,Is this Isaac?,9,,
47,0.97,415.214,416.849,This is Isaac.,10,,
48,0.97,416.849,426.025,"I just wanted to call in to voice support, is this a good time to speak?",10,,
49,0.97,426.025,428.995,"It is good, you've got two minutes.",11,,
50,0.97,428.995,439.572,I just wanted to call on the Council today to support the transfer of the Red barn ranch.,12,,
51,0.97,439.572,450.383,I think for city council that has no lack representation it's imperative for the Council to take immediate action to directly invest in the black community.,12,,
52,0.97,450.383,462.028,There are very little opportunities that make as much sense as immediately transferring red barn ranch to Nurturing roots and black farmers prospectively.,12,,
53,0.97,462.028,485.985,"This is 40 acres that has a history of being gifted to the city by a black individual, it is currently vacant and is being underutilized in the city Council has done far too little 2020 and 2021 in terms of actually doing real investments for the black community.",12,,
54,0.97,485.985,494.026,And it actually falls on the policy decisions and actions of the city council.,12,,
55,0.97,494.026,507.406,You have the authority right now to Supersede the Seattle parks Department and transfer this party over to Nurturing roots who has been advocating for this land for over a year and has had thousands upon thousands of community engagement and support.,12,,
56,0.97,507.406,525.024,"So the question is really on city Council to be on their conscience, why not make immediate actions right now to transfer this property to Nurturing roots and black farmers, via removing the restrictive Covenant.",12,,
57,0.97,525.024,535.635,"When you think of black wealth being zero, these focuses that are on the Council, you all bear the responsibility and reality I hope you all do the right thing.",12,,
58,0.97,535.635,542.875,"Sir, I did not want to stop you, maybe you did not hear the Eginning of the instructions.",13,,
59,0.97,542.875,553.085,Your comments regarding the Red barn ranch should actually come up when we get to item number four and we have a public hearing on that.,13,,
60,0.97,553.085,560.96,"I don't know if you want to call back, maybe that clerk can advise us if we take note of that.",13,,
61,0.97,560.96,566.499,"And today, we are just lifting the recreational Covenant.",13,,
62,0.97,566.499,573.272,There is no boat about a transfer of the land or ownership or use yet.,13,,
63,0.97,573.272,574.507,That is way down the line.,13,,
64,0.97,574.507,575.908,So how do we do this clerk?,13,,
65,0.97,575.908,589.589,Do we have the gentleman call back at the appropriate time per the instructions I stated on the outset or do we just NOTE for the record that he made the comments now in regards to item number four.,13,,
66,0.97,589.589,599.932,"We can note that he spoke right now, if he wants to hold on the line until the public hearing comes up, he is welcome to do that but does not have to.",14,,
67,0.97,599.932,602.335,"Sir, did you hear those instructions?",15,,
68,0.97,602.335,605.905,Okay well then we will just keep going then.,15,,
69,0.97,605.905,606.138,Yes.,16,,
70,0.97,606.138,618.951,"We had given instructions for the public hearing on the Red barn ranch when we get to item number four, but that is not what we are doing right now.",16,,
71,0.97,618.951,621.654,We are just doing public comment on the rest of the agenda.,16,,
72,0.97,621.654,626.425,So we can take your comments now or you can call back if you want to again we get to item number four.,16,,
73,0.97,626.425,629.929,But thank you for calling in.,16,,
74,0.97,629.929,641.874,Next we have name of Clark and please speak to the general comments on the agenda when your time starts.,17,,
75,0.97,641.874,647.88,"Thank you, may I begin?",18,,
76,0.97,647.88,648.948,Yes.,19,,
