index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,314.213,314.614,We are recording.,0,,
1,0.97,314.614,316.849,Thank you very much.,1,,
2,0.97,316.849,317.583,Welcome back.,1,,
3,0.97,317.583,326.159,The select budget committee meeting of the Seattle city coupe Council will come into order after a one hour recession.,1,,
4,0.97,326.159,331.23,The date is November 18th 2021.,1,,
5,0.97,331.23,334.067,"Madame clerk, will you please call the role.",1,,
6,0.97,334.067,336.402,"Pedersen,",2,,
7,0.97,336.402,339.472,Here.,3,,
8,0.97,339.472,339.706,Sawant.,4,,
9,0.97,342.341,342.608,Strauss.,5,,
10,0.97,342.842,345.411,Prept.,6,,
11,0.97,345.411,345.712,Present.,6,,
12,0.97,345.712,346.746,Gonzales.,7,,
13,0.97,346.746,348.581,Here.,8,,
14,0.97,348.581,351.417,Herbold.,9,,
15,0.97,351.417,351.884,Here.,10,,
16,0.97,351.884,355.455,Flores.,11,,
17,0.97,355.455,356.355,Here.,12,,
18,0.97,356.355,356.589,Lewis.,12,,
19,0.97,356.589,357.557,Present.,13,,
20,0.97,357.557,362.061,Morales.,14,,
21,0.97,362.061,362.328,Here.,15,,
22,0.97,362.328,363.029,Chair Mosqueda.,15,,
23,0.97,363.029,364.43,Present.,16,,
24,0.97,364.43,366.799,And Councilmember Sawant.,17,,
25,0.97,366.799,367.667,Present.,18,,
26,0.97,367.667,369.135,Nine present.,19,,
27,0.97,369.135,374.307,"Councilmembers, thank you so much for joining us, and thank you Councilmember Sawant for being with us.",20,,
28,0.97,374.307,381.314,I appreciate the opportunity to meet with you all again in our second part of day one of two of considering the amendments in front of us.,20,,
29,0.97,381.314,386.352,"Just to catch up the viewing audience, we are on group B of our agenda.",20,,
30,0.97,386.352,392.158,Group B which starts with items 160 through items 189.,20,,
31,0.97,392.158,396.963,"Colleagues, as a reminder, group B consists of amendments that are amendments to the balancing package.",20,,
32,0.97,396.963,403.002,Most of these are slightly different options from items presented last week as part of the initial balancing package.,20,,
33,0.97,403.002,407.573,These include some new items that I believe will generally be supported by the committee.,20,,
34,0.97,407.573,420.353,And I'd like to provide an opportunity for central staff to describe each of the items included here in group B. some of these are items that for the first time folks will be hearing a little bit more detail about.,20,,
35,0.97,420.353,422.321,Central staff will walk through each item.,20,,
36,0.97,422.321,436.402,"And again colleagues for those who are sponsors and would like to lift up elements of their amendments that are included in this possible consent package, I would encourage you to speak to those items as central staff walks through each of the amendments included in group B.",20,,
37,0.97,436.402,443.576,"Again, these are items on our agenda, listed items number 160 to number 189.",20,,
38,0.97,443.576,449.882,The concepts will be familiar in large part because they touch on things that we've talked about over the last few weeks here.,20,,
39,0.97,449.882,454.02,But want to make sure you have a chance to hear about them in more detail.,20,,
40,0.97,454.02,476.976,"Colleagues, after we are done walking through all of the items in group B, after each of the Councilmembers has had a chance to lift up and explain some of the items that the central staff will be summarizing for us, we will then have the opportunity to consider removing any item from this consent package before you vote on the consent package.",20,,
41,0.97,476.976,481.247,"Again, you'll have the opportunity to remove any item if you so desire to have a single vote on it.",20,,
42,0.97,481.247,484.45,But you don't have to remove an item in order to speak to it.,20,,
43,0.97,484.45,489.355,"So with that, are there any questions about group B? okay.",20,,
44,0.97,489.355,497.096,"Wonderful with that I'm going to move to have group B in front of us so that we can consider items and then again, we're going to walk through each of those items.",20,,
45,0.97,497.096,516.515,"If Councilmembers do have amendments that they'd like to offer as amendments to items in group B, we will then have you remove that item so that you can have that specific discussion about that item, we'll consider amendments at the end along with any additional items that would like to be removed.",20,,
46,0.97,516.515,525.291,"In order the get group B in front of us, I move to approve group B's consent package, is there a second?",20,,
47,0.97,525.291,525.658,Second.,21,,
48,0.97,525.658,528.628,Thank you it's opinion moved and Seconded.,21,,
49,0.97,528.628,532.131,The consent package consisting of items 160 through 189.,21,,
50,0.97,532.131,547.213,"Central staff is going to provide a brief overview of the items in group B. if Cron logical order, we'll have the prime sponsor speak to any of these items once we get done with the summary and overview of the items.",21,,
51,0.97,547.213,556.222,Then Councilmembers will be welcome to ask to remove any items before we consider voting on it as a package.,21,,
52,0.97,556.222,558.324,"Allie, welcome back.",21,,
53,0.97,558.324,560.126,Thank you.,22,,
54,0.97,560.126,560.493,Chair Mosqueda.,22,,
55,0.97,560.493,561.894,Welcome back Councilmembers.,22,,
56,0.97,561.894,576.142,"As chair Mosqueda said, we have 30 items in group B. I'll have my central staff, colleagues briefly describe the item, starting with my colleague Anne Gorman on the first item.",22,,
57,0.97,576.142,582.949,"Good afternoon, this item is Cscc 2B 1 and it's sponsored by Councilmember Lewis.",23,,
58,0.97,582.949,600.499,"A previous amendment proposed funding in the human services Department at the $3.1 million level to work with city public safety departments on a requested proposal, select a community provider and implement the provision in the Referenced response.",23,,
59,0.97,600.499,613.746,This approach commits funding in the community safety and communication center for response planning only rather than planning and deployment.,23,,
60,0.97,613.746,614.113,Thank you.,24,,
61,0.97,614.113,621.454,"Councilmember Lewis, would you like to add anything else to this summary?",24,,
62,0.97,621.454,623.823,I appreciate Anne's summary.,25,,
63,0.97,623.823,647.713,I would briefly say that I think this is going to be a really important investment to work towards our common goals of Council which is to resource our 911 response center to stand up and deploy alternative responses for things that a lot of us agree that an alternative response could go to to respond to our current public safety crisis.,25,,
64,0.97,647.713,649.982,And I appreciate working with Anne on this.,25,,
65,0.97,649.982,652.918,I don't have any other technical things to add to it.,25,,
66,0.97,652.918,655.121,I'll Reserve other comments for the discussion.,25,,
67,0.97,655.121,664.93,"Thank you very much, Councilmember Lewis, let's move on to number 161.",26,,
68,0.97,666.465,668.267,Welcome.,27,,
69,0.97,668.768,670.036,"Hello, Hi.",28,,
70,0.97,670.036,671.437,I'm on your Council central staff.,28,,
71,0.97,671.437,681.447,This is a slide FAS 3B 1. this would request the Finance administrative services Department report on increased efficiencies and animal patrolling.,28,,
72,0.97,681.447,692.291,"The purpose of this is to down the line increase and improve patrolling on leash laws, and scoop laws in the parks, it's sponsored by Councilmember Herbold.",28,,
73,0.97,693.492,696.595,"Councilmember, please go ahead.",29,,
74,0.97,696.595,699.465,Thank you.,30,,
75,0.97,699.465,724.39,"Just super briefly, I have another budget action in the earlier round that would proviso funds to be consistent with past practices that the Council has taken in efforts to increase funding for the animal control to actually focus on the work enforcing the leash and scoop laws in the parks.",30,,
76,0.97,724.39,739.371,"Unfortunately, despite our efforts over two budget years, those dollar--those funds are still being used to support other animal control functions.",30,,
77,0.97,739.371,749.915,"Taking office, I consistently heard from constituents who are concerned about better enforcement of scoop and leash laws in the parks.",30,,
78,0.97,749.915,762.161,"And in 2017, the budget we worked on got funding for an additional position and funding for vehicle in the 2019 budget we added another ACL position.",30,,
79,0.97,762.161,770.803,"Since the budget adds, there's been no increase in the number of Acos at parks.",30,,
80,0.97,770.803,779.812,And the--there's just one team of two Acos patrolling all of Seattle's parks.,30,,
81,0.97,779.812,805.471,"And just hoping that since there wasn't support in the earlier round to proviso funds that we've all ready allocated for this purpose to ensure that they were actually going to be used for this purpose since there wasn't support for that in the prior budget round, I'm just hoping that a report from the animal shelter will shine a light on this issue and allow for more conversation in next year's budget process.",30,,
82,0.97,805.471,807.473,Thank you Councilmember.,31,,
83,0.97,807.473,812.278,Let's move on to 162.,31,,
