index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,14.013,22.188,"All right colleagues, good morning everyone.",0,,
1,0.97,22.188,23.89,"The 14th, 2021 meeting will now come to order.",0,,
2,0.97,23.89,26.192,The time is 9:30 A.M.,0,,
3,0.97,26.192,28.495,Lewis?,1,,
4,0.97,28.495,29.496,Present.,2,,
5,0.97,29.496,31.464,Morales.,3,,
6,0.97,31.464,33.7,Here.,4,,
7,0.97,33.7,34.768,Pedersen.,5,,
8,0.97,34.768,36.469,Here.,6,,
9,0.97,36.469,37.604,Sawant?,7,,
10,0.97,37.604,39.205,Here.,8,,
11,0.97,39.205,41.007,Strauss?,9,,
12,0.97,41.007,42.409,Present.,10,,
13,0.97,42.409,45.512,Herbold.,11,,
14,0.97,45.512,45.779,Year.,12,,
15,0.97,45.779,47.781,Juarez.,13,,
16,0.97,47.781,49.215,Here.,14,,
17,0.97,49.215,52.519,Eight present.,15,,
18,0.97,52.519,60.226,"Thank you so much, approval of the minutes is next, if there is no objection the minutes will be adopted.",16,,
19,0.97,60.226,67.734,"Hearing no objection, the minutes are now adopted.",16,,
20,0.97,67.734,73.606,"President's report, I do not have a President's report this morning so we will move straight into a preview of today's city council actions, Council and regional committees.",17,,
21,0.97,73.606,92.258,"Of course we will go in the roll call rotation which begins, as a reminder with Councilmember Lewis, followed by Morales, Pedersen, Sawant, Strauss, Herbold, Juarez, and I will conclude . Councilmember Mosqueda is excused from today's briefing and city council meeting.",17,,
22,0.97,92.258,95.462,"So, I'm going to hit it right on over to Councilmember Lewis.",17,,
23,0.97,95.462,95.795,Good morning.,17,,
24,0.97,95.795,101.067,"Thank you Madam President, good morning.",18,,
25,0.97,101.067,112.779,I want to begin my remarks today by offering my sincere condolences to the family of officer Harris who was killed over the weekend and a horrible incident.,18,,
26,0.97,112.779,115.315,I'm sure more information will be coming out as there is more reporting.,18,,
27,0.97,115.315,131.264,"We know that officer Harris was off duty, she was on her way home and decided to assist the Washington State patrol, which she was under no obligation to do, but out of her sense of public duty decided to do.",18,,
28,0.97,131.264,146.579,I know that I join all my colleagues and just expressing the extreme sense of loss and grief at losing a public servant and an employee of the city of Seattle in such horrible circumstances.,18,,
29,0.97,146.579,156.823,I just wanted to express my heartfelt grief to officer Harris' family and all of her loved ones.,18,,
30,0.97,156.823,164.397,It is just a horrible thing when a member of the city family faces a tragedy like that.,18,,
31,0.97,164.397,170.703,"I want to move forward to the matters of today, which are brief.",18,,
32,0.97,170.703,187.954,I just wanted to again say we do have the legislation regarding the homeless service provider expansion of spending authority for the bill that was originally intended for reimbursement.,18,,
33,0.97,187.954,205.171,I want to express my gratitude to Council president for fast tracking this legislation and allowing us to hear it out of the order of the normal committees so that we can Frontload these critical investments and get that money out the door.,18,,
34,0.97,205.171,228.595,"I do want to call my colleagues attention to a letter that was sent over the weekend, or I believe by close of business on Friday, signed by a number of Stakeholders including the downtown Seattle Association and the Seattle Chamber of Commerce supporting the legislation.",18,,
35,0.97,228.595,246.813,"There is a sentence in the letter Praising the leadership of the cosponsors of this legislation, including Councilmember Sawant, so Councilmember Sawant, I am proud to say that we have finally built a coalition that has United the Chamber of Commerce and Councilmember Sawant.",18,,
36,0.97,246.813,248.781,It is this bill that is on this afternoon.,18,,
37,0.97,248.781,250.35,I look forward to voting this legislation forward.,18,,
38,0.97,250.35,255.421,I appreciate the broad coalition that has come forward to support it.,18,,
39,0.97,255.421,257.824,That will be coming up for final passage this afternoon.,18,,
40,0.97,257.824,272.839,"I will be attending later this week the board of health, it should be an interesting board of health meeting as we will be having a presentation discussing the board of health's helmet law.",18,,
41,0.97,272.839,292.592,"As part of the work plan that we approved earlier this year, people may recall due to extensive reporting from cross cut by David Coleman, highlighting the extreme Disproportionality in the enforcement of the helmet law towards people experiencing homelessness, and people of color.",18,,
42,0.97,292.592,306.773,The board of health decided to undergo an assessment as part of the work plan on the efficacy and equity of the helmet law.,18,,
43,0.97,306.773,311.277,Both its existence and enforcement mechanisms.,18,,
44,0.97,311.277,316.749,"As part of that, we will be having an initial presentation from Stakeholders and I'm really looking forward to the board of health this week.",18,,
45,0.97,316.749,322.622,"It's an interesting topic, and we have certainly learned a lot in the lead up to it.",18,,
46,0.97,322.622,334.2,Nationally on helmet laws and the impact that has on the community.,18,,
47,0.97,334.2,337.97,"So, it will be interesting to hear that presentation and I look forward to that this coming Thursday.",18,,
48,0.97,337.97,346.179,I will also be attending the queen and farmers market in the afternoon following the board of health meeting.,18,,
49,0.97,346.179,347.98,On Thursday.,18,,
50,0.97,347.98,351.284,The 17th of June.,18,,
51,0.97,351.284,366.733,"I will be at the farmers market from a little after 3:00 in the afternoon possibly later depending on when board of health lets up, until 6:30 in the evening.",18,,
52,0.97,366.733,379.912,"Invite community members to please drop by and while patronizing the market, I'm happy to answer questions that people have about pending city business and look forward to seeing people there.",18,,
53,0.97,379.912,384.35,"With those updates, Madam President, I have nothing additional to report.",18,,
54,0.97,384.35,385.752,Thank you.,18,,
