index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,15.382,16.383,Good morning.,0,,
1,0.97,16.383,19.819,"This September 14, 2020 council meeting will come to order and the time is 9:33.",0,,
2,0.97,19.819,22.589,Will the clerk please call the roll.,0,,
3,0.97,22.589,57.357,"Councilmember Juarez, Councilmember Lewis, Councilmember Morales, Councilmember Mosqueda, Councilmember O'Brien, Councilmember Pedersen, Councilmember Sawant, Councilmember Strauss, Councilmember Herbold, Councilmember Gonzalez . Nine present and thank you so much, Madam clerk.",1,,
4,0.97,57.357,63.596,"If there is no objection, the minutes of September 8, 2020 will be adopted.",2,,
5,0.97,63.596,82.782,"Hearing no objection, the minutes are adopted and the President's report, I have nothing to report from the President's report at this moment and I will save my comments regarding this afternoon's full council during my regular report.",2,,
6,0.97,82.782,87.654,We will move to the preview of the city council actions and regional committees.,2,,
7,0.97,87.654,106.439,"I will call on Council members as established by the rotated roll call for city council meeting this week in the roll call order is Councilmember Juarez, followed by Councilmember Lewis, Councilmember Morales, Councilmember Pedersen, Councilmember Strauss, Councilmember Herbold and I will conclude this agenda discussion.",2,,
8,0.97,106.439,111.077,"We have two executive sessions today, colleagues.",2,,
9,0.97,111.077,119.052,We can expect that we will go until at least noon today.,2,,
10,0.97,119.052,141.608,"So, in order to make sure we expedite issues--and I know there is a lot for us to report for this week, but I ask you to be aware that we have executive sessions on today's agenda and that we would appreciate your cooperation to make sure we have time to get through the two executive sections.",2,,
11,0.97,141.608,143.576,"Councilmember Juarez, good morning.",2,,
12,0.97,143.576,147.08,"It morning and thank you, Council President.",3,,
13,0.97,147.08,188.621,"For the committee, I have one item on today's introduction all referral calendar, council below 119-1181, an ordinance related to renovating Keyarena at the Seattle center and also raising the Mayor or the Mayor's Designee to execute an agreement with the Seattle arena company to establish roles and responsibilities to coordinate the design and construction for the transit only Lan on Queen Anne Avenue North through first Avenue north of transit to jump at first Avenue North and Republican Street and designed upgrades for the protected bicycle lanes.",3,,
14,0.97,188.621,190.49,Additional improvements to Thomas street.,3,,
15,0.97,190.49,204.47,"If you recall, a lot of these issues came up in the last couple of years in our discussions with Keyarena, Nhl and Ovi G and Sdot.",3,,
16,0.97,204.47,220.453,"For timing, the executive requested consideration before the budget because they expect construction to take approximately one year and the goal is to have the improvements completed before the arena reopens, anticipated in September 2021 and thank you Council President Gonzales for scheduling for the next week's agenda.",3,,
17,0.97,220.453,266.399,"At 2:00, I will be briefed and item number four on the city council agenda's resolution 31967 and I spoke briefly to it last Monday, providing the honorary designation of a part of 20th Avenue northeast . It's a community driven initiative in district 5 and the honorary Street is to recognize the contribution to the Lake City neighborhood and to educate those on the egregious violations of human rights and racism that affected our Japanese brothers and sisters during World War II.",3,,
18,0.97,266.399,332.298,"There will be more at 2:00 and as I share, this is been in the making with a big shout out for mark Mendez of the Lake City arts and culture initiative and RALEIGH Humphrey for the public library that formed a committee and put a Gofundme group together for the Lake City organizations for the street Renaming and for the Gofundme, they raised the money and 24 hours and I will share more about the as alien gate we will pick for the unveiling ceremony . In parks, the office will continue sending out weekly parks Covid-19 programmatic updates and in regards to Pier 58, as you know at approximately 4:00 yesterday, there was a partial collapse of Pier 58 at the downtown waterfront injuring two construction workers present on the site with five additional people pulling the colleague out of the water safely.",3,,
19,0.97,332.298,344.811,The peer has been closed because of significant shifting.,3,,
20,0.97,344.811,354.42,The marine contractors was selected through the emergency contracting process to complete the work of removing Pier 58 by 2021.,3,,
21,0.97,354.42,368.634,They are experienced contractors with In-Water work of this type and equipment and personnel available to quickly have Sdot and the port of Seattle involved.,3,,
22,0.97,368.634,377.043,"Thankfully, Orion had layers of monitoring for safety protocols and it allowed them to act quickly when two of their colleagues fell in the water.",3,,
23,0.97,377.043,387.086,"We were lucky no one got hurt and the timing of the collapse was shocking as there was 15,000 square feet of concrete that collapsed within seconds and more than was planned for.",3,,
24,0.97,387.086,414.08,The Park superintendent in the office of the waterfront director woo were spoken too late last night and they assured me that the fire Department treated the injured workers and they were taken to Harborview for complete Checkups and I'm reporting they are doing fine and I'm deeply grateful to the first responders who arrived swiftly to ensure their safety.,3,,
25,0.97,414.08,421.687,"As a side note, I understand the concrete of the cement that collapsed still needs to be extracted.",3,,
26,0.97,421.687,435.168,"In the coming days, the city will evaluate Pier 58 and determine appropriate next steps for potential broader impact, meaning we will hear more from the office of the waterfront, Seattle parks and Rec's and other departments.",3,,
27,0.97,435.168,461.327,"Parks will be closed due to Wildfire smoke and as announced, Seattle parks and Rec has closed all parks, boat ramps, beaches, golf courses through Sunday due to smoke from the Wildfires in Washington and Oregon and last night, they extended the closure until the end of further notice.",3,,
