index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,17.15,23.823,"September 24, 2021 of the land ordinance committee meeting.",0,,
1,0.97,23.823,26.926,"It is 2:00 p.m., I am Dan Strauss, the chair.",0,,
2,0.97,26.926,28.762,Please call role.,0,,
3,0.97,34.734,36.669,Council Mailer.,1,,
4,0.97,40.473,41.508,All present.,2,,
5,0.97,41.508,57.857,"The Land-Use neighborhood committee city of Seattle, we begin the committee meeting is always acknowledging we are on the traditional and ancestral lands of the first people of this region, past and present.",2,,
6,0.97,57.857,62.128,Represented in number of tribes and urban natives and we honor with gratitude the land itself and the people of the land.,2,,
7,0.97,62.128,71.738,We start with the land acknowledgment at each committee to recognize the fact we are guests on this land and should treat the land and process as such as guests.,2,,
8,0.97,71.738,80.146,"This is not a checklist or rope behavior, does not give us passport to proceed as we desire.",2,,
9,0.97,80.146,87.053,We must take the moment to reflect that we must do our work as guests as our time on earth is short.,2,,
10,0.97,87.053,90.957,Thank you.,2,,
11,0.97,90.957,103.937,"At today's committee, this is a special meeting of the land use and neighborhoods committee because we had to reschedule our committee meeting from earlier this month to observe Rosh Hashanah.",2,,
12,0.97,103.937,116.516,"Six items on today's agenda, majority or items discussed this past Wednesdays committee and we have one other item which is the tree report which will get to.",2,,
13,0.97,116.516,123.923,"Of the six items today, we have discussion and vote on Council bill that has development rights program with Pierce and Snohomish County.",2,,
14,0.97,123.923,138.671,And a discussion about on 1055 that Emmons the conference of plan to change the name of single-family areas to neighborhood residential areas.,2,,
15,0.97,138.671,144.744,Discussion and for uncomfortable 21054 which makes several other annual amendments to the competence of plan.,2,,
16,0.97,144.744,164.664,"Following that, will have a discussion and vote on Council bill 120149 which increases the maximum size for sports and recreational uses and industrial general two zones and briefing on public engagement plan for comprehensive plan major update and Lastly, briefing on the orderly tree report from Sdci and Osd.",2,,
17,0.97,164.664,169.769,This is a long agenda so I'm hopeful we can move through some items quickly as we discussed with the committee two days ago.,2,,
