index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,49014.098,49014.598,"Good afternoon, everyone.",0,,
1,0.97,49014.598,49015.366,This is a specially scheduled meeting.,0,,
2,0.97,49017.001,49018.502,Of the Seattle city council.,0,,
3,0.97,49018.502,49022.373,"Today is Thursday, July 16th.",0,,
4,0.97,49022.373,49024.342,And the time is 2:02 PM.,0,,
5,0.97,49024.342,49029.547,"I am the chairwoman of the committee, Sharma Sawan.",0,,
6,0.97,49029.547,49030.114,Please call the roll.,0,,
7,0.97,49030.114,49031.248,[calling roll],0,,
8,0.97,49031.382,49041.625,Three present.,1,,
9,0.97,49048.099,49048.366,Thank you.,2,,
10,0.97,49048.366,49063.981,And I just wanted to let the members of the public know that Council member Morales gave me information that she has a scheduling conflict during this time with another regional committee.,2,,
11,0.97,49063.981,49069.387,So she has been excused and we appreciate her for notifying our office.,2,,
12,0.97,49069.387,49074.158,"And thank you, counsel member Peterson for joining us at this committee today.",2,,
13,0.97,49074.158,49083.501,"In this meeting, the committee will discuss with and vote on the final four Council appointments.",2,,
14,0.97,49083.501,49084.368,The oversight board.,2,,
15,0.97,49084.368,49089.006,"After these appointments, the board will only have four vacancies and one executive appointment.",2,,
16,0.97,49089.006,49093.911,And then the two positions that are appointed by the board members themselves.,2,,
17,0.97,49093.911,49096.313,During this meeting.,2,,
18,0.97,49096.313,49102.853,We will continue the discussion on several matters that are related to rising rent.,2,,
19,0.97,49102.853,49115.332,"And it's important that we note that because in the last two months, we put forward several bills related to elections and minimizing and Elimin Evictions.",2,,
20,0.97,49115.332,49118.569,But we know there are other problems faced not just the skyrocketing rent.,2,,
21,0.97,49118.569,49124.341,So we will hear from the panel of Renters for insight on rising rents in our community.,2,,
22,0.97,49124.341,49137.688,"And importantly, Council members will have the opportunity to ask questions, discuss or indicate.",2,,
23,0.97,49137.688,49148.966,"The first is Landloerpds to provide relocation assistance when they displace their tenants, with outrageous increases.",2,,
24,0.97,49148.966,49158.476,"Over the past decade there, is massive displacement of our neighborhoods, force thousands from their home, neighborhood, and often even the city.",2,,
25,0.97,49158.476,49170.488,Some become homeless according to national recognized studies that show that every hundred dollar increase in a city results in a 15% increase in homelessness in.,2,,
26,0.97,49170.488,49181.232,"Seattle when those replaced by redevelopment are eligible for relocation assistance, but Renters are forced to move by rent increases.",2,,
27,0.97,49181.232,49188.939,And all the same costs of having to move to a new apartment get nothing.,2,,
28,0.97,49188.939,49191.842,"The bill from our office, economic displacement relocation assistance ordinance.",2,,
29,0.97,49191.842,49202.119,Bit of a mouthful but it's very important for Renters.,2,,
30,0.97,49202.119,49216.967,Will help Renters when they are forced to move by 10% or more.,2,,
31,0.97,49216.967,49223.974,I have Includ today's agenda that legislation.,2,,
32,0.97,49223.974,49231.582,Council members on the public can be confident the bill on today's agenda will be that is being sent for introduction.,2,,
33,0.97,49231.582,49248.399,"And I would greatly appreciate it if Council members and those with the bills, teachers, the technical aspects of the legislation, and felt free to ask questions to our marketing Council staff who is available here to answer any questions.",2,,
34,0.97,49248.399,49252.803,The next thing we'll discuss is the rent control.,2,,
35,0.97,49252.803,49253.27,Legislation.,2,,
36,0.97,49253.27,49254.939,From our office.,2,,
37,0.97,49254.939,49263.013,That bill is being reviewed by the city attorney's office.,2,,
38,0.97,49263.013,49272.356,Wean that Renters cannot simply sit back and accept that Washington state's Democrats and Republicans will continue to ban rent control for the next 40 years.,2,,
39,0.97,49272.356,49287.171,As they have done for the previous 40.,2,,
40,0.97,49296.347,49314.465,The rent control legislation from my office has what is called a conditional effective date.,2,,
41,0.97,49319.937,49323.04,Alongside the Combangz of publicly owned affordable housing.,2,,
42,0.97,49323.04,49328.112,"If the Council passes the rent control legislation from my office, state lawmakers will no longer be able to ignore the issue.",2,,
43,0.97,49328.112,49337.888,We have no doubt in our minds that it will be a tremendous pressure for them.,2,,
44,0.97,49337.888,49348.432,To repeal that unfair ban.,2,,
45,0.97,49361.345,49380.064,"As always the Renter's Commission for being so actively engaged and making very strong recommendation like this one, and like the Renter Evictions ban which they have put forward and the council passed more than a year ago.",2,,
46,0.97,49380.064,49382.833,This spill Unfortunately a little more confusing than it needs to be.,2,,
47,0.97,49382.833,49393.744,Simply because of the way the city of Seattle tracks legislation.,2,,
48,0.97,49393.744,49407.024,"If members of the public read what is listed on the agenda without the changes, it is simply showing you what the bill actually does without filling your screen with the technical amendments.",2,,
49,0.97,49407.024,49414.865,We also bring a six-month notice for rent increases and the assistance Bims for a vote at our next committee meeting which is a regularly scheduled meeting.,2,,
50,0.97,49414.865,49419.67,And I hope we will have a full attendance there on July 27th.,2,,
51,0.97,49419.67,49429.847,"If committee members are ready to vote, feel free to ask any questions or concerns about the bill that you might have.",2,,
52,0.97,49429.847,49435.185,"And as always, before we begin our agenda item, we have public comment.",2,,
53,0.97,49435.185,49441.759,We have 20 people signed up for public comment.,2,,
54,0.97,49441.759,49443.026,I will read each person's name.,2,,
55,0.97,49443.026,49449.066,And each person will have one minute to speak because we have a full agenda.,2,,
56,0.97,49449.066,49451.668,And we have several people signed up for public comment.,2,,
57,0.97,49451.668,49457.274,So the first person signed up is Daniel Cavanaugh.,2,,
58,0.97,49457.274,49459.109,"Followed by Hunter Saboda, and Jessica Sauza.",2,,
59,0.97,49459.109,49461.311,"Go ahead, Daniel.",2,,
60,0.97,49461.311,49463.347,"Hi, my name is Dan.",3,,
61,0.97,49463.347,49466.45,I'm a member of Socialist alternative and a Renter.,3,,
62,0.97,49466.45,49474.258,And I'm urging all the Council members to support the Renters' rights bill from house member Sawant.,3,,
63,0.97,49474.258,49479.43,First is a bill requiring Landloerpds to provide six-month notice for rent increases.,3,,
64,0.97,49479.43,49487.171,And the second bill mandating that landlords provide relocation assistance in the economic effect or raise the rent that people have to move.,3,,
65,0.97,49487.171,49510.127,"And I want to thank the rent style Renters, the advocacy organizations, for Progressive unions like UAW and FDA, organizations like the Washington community action network, the housing justice project, Socialist alternative, and Council member Sawant for making serious progress on getting a full Renters' bill of rights for our city.",3,,
66,0.97,49510.127,49516.567,We know this crisis is only deepening and not letting up.,3,,
67,0.97,49516.567,49524.007,Seattle landlords raise Rentance average of 18.7% since January of this year.,3,,
68,0.97,49524.007,49525.342,Double the average rate of increase nationally.,3,,
69,0.97,49525.342,49526.476,We need to fight.,3,,
70,0.97,49526.476,49535.052,And I urge Renters to join us September 18th at 4:00 PM in Cal Anderson Park for our rent control now rally.,3,,
71,0.97,49535.052,49539.523,"Next we have Anna Saboda, followed by Jessica Scalzo.",4,,
72,0.97,49539.523,49539.89,"Go ahead, Anna.",4,,
73,0.97,49543.994,49548.665,"Hi, my name is Anna Saboda and I'm a Renter in district 3.",5,,
74,0.97,49548.665,49557.074,I'm calling in to urge all Council members to support those two Renters rights bills from committee chair member Sawant.,5,,
75,0.97,49557.074,49563.78,Especially the one where landlords provide assistance when they displace their tenants with outrageous rent increases.,5,,
76,0.97,49563.78,49578.028,"When Renters are displaced because of massive rental increases, that's an economic exchange.",5,,
77,0.97,49578.028,49586.77,"We've also heard from so-called small housing providers, saying that the Renter projection would be disastrous for small landlords.",5,,
78,0.97,49586.77,49592.342,"However, playing the corporate Shell game, ten separate LLC's doesn't make you a small housing provide.",5,,
79,0.97,49592.342,49596.079,It makes you a standard corporate landlord.,5,,
80,0.97,49596.079,49599.616,So it's not small Landloerpds who are raising rent.,5,,
81,0.97,49599.616,49603.921,"It's the corporate landlords, the Slumlords who Price-Gouge the tenants.",5,,
82,0.97,49603.921,49610.827,"If you put 7% rental increases in Seattle, which is totally ridiculous, small Landloerpds would not be affected by these bills.",5,,
83,0.97,49610.827,49617.501,And I appreciate the small landlords who have been coming out to defend Renters' rights.,5,,
84,0.97,49617.501,49622.172,Jessica followed by Corey brewer.,6,,
85,0.97,49622.172,49624.341,And then Desean Byrd go.,6,,
86,0.97,49624.341,49625.275,"Ahead, Jess Kachlt",6,,
87,0.97,49625.275,49628.345,"Hi, my name is Jessica.",7,,
88,0.97,49628.345,49630.247,And I am a Renter in district three.,7,,
89,0.97,49630.247,49634.952,I've been a Renter in district three for 12 years.,7,,
90,0.97,49634.952,49638.855,"And before that, a Renter in district four.",7,,
91,0.97,49638.855,49644.428,And I'm calling in my support for the legislation that Council member Sawanlt has put forward.,7,,
92,0.97,49644.428,49651.768,To make sure that landlords give at least six months notice to raise their rent and also the legislation paid relocation assistance.,7,,
93,0.97,49651.768,49657.908,"I have been pushed out by my rent, which was more than doubled.",7,,
94,0.97,49657.908,49664.381,And we only got relocation assistance because there was--they had to redo all the pipes in the building.,7,,
95,0.97,49664.381,49665.382,And it helped a great amount.,7,,
96,0.97,49665.382,49668.852,So I thank you is important that everyone should have access to.,7,,
97,0.97,49668.852,49679.763,And also that it takes a lot of time to look for an apartment.,7,,
98,0.97,49679.763,49683.734,And it also takes a lot of money because of credit checks and so forth.,7,,
