index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,8.775,9.209,Affirmative.,0,,
1,0.97,9.209,13.847,"Thank you, the March 1, 2021 meeting will come to order.",1,,
2,0.97,13.847,23.423,It is 2:00 on the DOT I'm Dan Strauss President Protempt of the Council.,1,,
3,0.97,23.423,31.831,Will the clerk please call the roll.,1,,
4,0.97,31.831,33.933,Council member Herbold.,2,,
5,0.97,33.933,34.2,Here.,3,,
6,0.97,34.2,38.238,Council member Juarez.,4,,
7,0.97,38.238,38.905,Present.,5,,
8,0.97,38.905,42.142,Council member Petersen.,6,,
9,0.97,42.142,42.409,Here.,7,,
10,0.97,42.409,47.547,Council member Sawant.,8,,
11,0.97,47.547,48.248,Present.,9,,
12,0.97,48.248,52.819,Council member Strauss.,10,,
13,0.97,52.819,54.721,Present.,11,,
14,0.97,54.721,65.398,Council member Gonzalez and Juarez are excused from today's meetings.,12,,
15,0.97,65.398,83.416,"Presentations, council member Mosqueda will present a proclamation.",12,,
16,0.97,83.416,86.286,You're recognized to present the proclamation.,12,,
17,0.97,86.286,86.986,Thank you President.,13,,
18,0.97,86.986,88.721,It's wonderful to see you on the line today.,13,,
19,0.97,88.721,93.326,Thank you so much for being our honored guests here today.,13,,
20,0.97,93.326,97.997,Colleagues I'm both honored and incredibly sad to be bringing this proclamation forward today.,13,,
21,0.97,97.997,117.917,It is in coordination with approximately 150 other cities today that we bring this resolution forward in recognition with the Smarts cities groups to honor all of those who have lost lives and lost family members to the consequences of Covid.,13,,
22,0.97,117.917,132.499,Many individuals have lost lives and many families have been impacted by Covid and we will never ever forgot this experience over the last year and we want to make sure we honor individuals and their family members who have been dealing with the consequences of Covid.,13,,
23,0.97,132.499,140.34,Yesterday marked the 1 year anniversary of the loss of the first life locally here in the Seattle region to Covid-19.,13,,
24,0.97,140.34,161.394,I want to Acknowlege all of the individuals who over the last year have lost individuals and their Familys to Covid and all of the incredibly hard work many in the community have spent over the last year in helping to make sure that individuals have what they need in this time of loss and to hopefully save as many lives as possible.,13,,
25,0.97,161.394,172.939,"But last week we saw our country's 500,000 death number for our country in terms of the number of lost lives across our country.",13,,
26,0.97,172.939,187.22,Well locally we have our County board of Pháep and health systems that have been working very hard to prevent deaths we know there's incredible challenges in front of us as we seek more equitable responses to care and a more equitable Covid response.,13,,
27,0.97,187.22,200.867,There's incredible disparities that exist been our communities especially in the black indigenous and African-American community.,13,,
28,0.97,200.867,220.086,"The proclamation in front of us today serves as a reminder and acknowledge and toll that Covid- 19 has taken on our communities including the loss of life, the people who have lost loved ones and those impacted by Covid-19.",13,,
29,0.97,220.086,238.938,"These are our friends, these are our family members, our team members, these are our neighbors and today we have an incredible opportunity to recognize and honor the lives of those, the lives of those who have been lost due to Covid through one of our own family members here tat Seattle city council.",13,,
30,0.97,238.938,248.982,I'm humble to be presenting this proclamation to a family of our own legislative Department staff and friend Alain community leader.,13,,
31,0.97,248.982,263.863,"Thank you to Alexis for being here with us and her parents, Linda and Alexander Oliver for being here today to honor the incredible life of your family member, daughter and sister Mary Anne Julie Oliver.",13,,
32,0.97,263.863,265.131,I want to turn this over Mr.,13,,
