index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,15.281,17.35,"Okay, good afternoon.",0,,
1,0.97,17.35,24.024,This is a meeting of a public asset and native communities committee.,0,,
2,0.97,24.024,26.793,The time is 2:00 P.M.,0,,
3,0.97,26.793,37.804,And I'm joined by Council 020.,0,,
4,0.97,46.846,47.213,Member Mosqueda.,0,,
5,0.97,47.213,55.455,Welcome to the final meeting of the public assets of native community 2020.,0,,
6,0.97,55.455,62.195,We have 20 items on the agenda.,0,,
7,0.97,62.195,65.432,The first is Mr. Michael Ritshert senior.,0,,
8,0.97,65.432,69.202,And the Advisory Commission.,0,,
9,0.97,69.202,72.705,He will have five minutes to speak to these 11 items.,0,,
10,0.97,72.705,81.448,The agenda was posted last week so we've all had a chance and time to review each item or the actual packets of the applicants.,0,,
11,0.97,81.448,88.721,There will be one vote on all 11 appointments.,0,,
12,0.97,88.721,99.732,After completion we will transition to item number 13 regarding Seattle center.,0,,
13,0.97,99.732,109.742,Where we will move on to the item.,0,,
14,0.97,109.742,112.178,This is a time of Covid-19.,0,,
15,0.97,112.178,115.381,And facility and use occupancy agreement.,0,,
16,0.97,115.381,116.95,And finally agenda item 14.,0,,
17,0.97,116.95,129.963,The Seattle parks Department will present on Council bill 7.2.6.,0,,
18,0.97,129.963,134.601,"For concession agreement, superintendent Jesus Aguirre will present on that.",0,,
19,0.97,134.601,140.306,I believe Council member Peterson will present an amendment which is also attached to your materials.,0,,
20,0.97,140.306,143.71,"With that presentation on agenda item 14, there's a power point.",0,,
21,0.97,143.71,152.685,I'm sure you have all had an opportunity to look at the fiscal NOTE and summary and agreement.,0,,
22,0.97,152.685,156.022,At this time we will move to public comments.,0,,
23,0.97,156.022,159.559,So let's open the remote public comment period.,0,,
24,0.97,159.559,162.795,I ask that everyone please be patient as we continue to operate this system.,0,,
25,0.97,162.795,179.913,It remains the strong intent of the Seattle city Council to have public comment regularly including in meeting agenda.,0,,
26,0.97,179.913,192.325,However we may stop this public comment if it is affecting our meeting.,0,,
27,0.97,192.325,194.027,Each Speaker will be given two minutes.,0,,
28,0.97,194.027,200.133,The clerk will call on two speakers at a time and in the order in which you registered on to the Online sign up list.,0,,
29,0.97,200.133,211.811,If you have not yet registered to speak but you would like to you can sign up before at the end of this public comment period by going to the Council's Website at Seattle.Gov/Council.,0,,
30,0.97,211.811,216.416,The public comment link is also listed on today's committee agenda.,0,,
31,0.97,216.416,227.36,As you all know once the Speaker's name is called the staff will Unmute the appropriate microphone.,0,,
32,0.97,227.36,230.93,It'll be the speakers Cue and it'll be turn for them to speak.,0,,
33,0.97,230.93,235.001,The Speaker must use Star six to Unmute themselves after their name is called.,0,,
34,0.97,235.001,243.476,"Please begin speaking by saying your name and the item you're addressing as a reminder, public comment should relate to each item on today's agenda.",0,,
35,0.97,243.476,246.879,Speakers will hear a Chime when 10 seconds are left of the allotted time.,0,,
36,0.97,246.879,251.284,"Once you hear the Chime, we ask that you begin to wrap up your public comment.",0,,
37,0.97,251.284,260.059,If speakers do not end their comment at the end of the allotted time provided the speakers microphone will be muted to allow us to call on the next Speaker.,0,,
38,0.97,260.059,271.471,Once you have completed your public comment we ask that you please Disconnect from the line and if you plan to continue following this meeting please do so via the Seattle channel or the listing options listed on the agenda.,0,,
39,0.97,271.471,274.507,I'm sorry listening options listed on the agenda.,0,,
40,0.97,274.507,279.712,"So at this time, we will begin public comment and this period is now open.",0,,
41,0.97,279.712,282.515,Will you call on our speakers please.,0,,
42,0.97,282.515,283.416,How many speakers do we have?,0,,
43,0.97,283.416,286.152,We have two speakers signed up.,1,,
44,0.97,286.152,286.586,"Okay, great.",2,,
45,0.97,286.586,291.257,Call both names and we'll hear from them.,2,,
46,0.97,291.257,297.163,We have Ed Bronston and Edward Haynes.,3,,
47,0.97,297.163,303.136,Ed Bronston if you would like to press Star six and we will begin.,3,,
48,0.97,303.136,305.104,"Good afternoon, can I be heard now.",4,,
49,0.97,305.104,305.338,Yes.,5,,
50,0.97,305.338,306.039,I hope so.,6,,
51,0.97,306.039,311.644,I'm here to speak in favor of item number 14 in general terms on the agenda.,6,,
52,0.97,311.644,317.016,I'm Ed Bronston and I served as executive director with the outdoors foundation.,6,,
53,0.97,317.016,338.871,Many of you know but others may not that outdoors Frol helps children and adults.,6,,
54,0.97,338.871,362.228,I know the standpoint advocacy not only for residents in the park to have access to physical fitness and personal connection like learning how to play tennis and we also have wheelchair tennis.,6,,
55,0.97,362.228,364.497,Could become a welcome center for the park.,6,,
56,0.97,364.497,372.105,We would welcome the opportunity to help lead or collaborate toward this goal.,6,,
57,0.97,372.105,377.977,Particularly given its proximity to the plan for our next door building 18 fire house.,6,,
58,0.97,377.977,379.078,Also based at Megason park a.,6,,
59,0.97,379.078,392.725,"Good friend of mine a U.S. Army veteran who has been involved in outdoors benefiting from our Adaptive and Rehabilitation center said to me, kindness counts nothing.",6,,
60,0.97,392.725,393.326,He was right.,6,,
