index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,18.752,19.052,Good morning.,0,,
1,0.97,19.052,25.992,The February 16th meeting of the Seattle city council's public assets and homelessness committee will come to order.,0,,
2,0.97,25.992,30.63,"I'm chair of the committee, will the clerk please call role.",0,,
3,0.97,30.63,34.167,Councilmember Herbold?,1,,
4,0.97,34.167,34.434,Here.,2,,
5,0.97,34.434,38.938,Councilmember Juarez?,3,,
6,0.97,38.938,42.609,Councilmember Morales?,4,,
7,0.97,42.609,47.547,Here.,5,,
8,0.97,47.547,52.285,Councilmember Mosqueda?,6,,
9,0.97,52.285,53.286,Chair Lewis?,7,,
10,0.97,53.286,53.586,Present.,8,,
11,0.97,53.586,67.534,"As the clerk just indicated, Councilmember President Juarez did reach out to the committee to let us know she would be unavailable and she is excused from today's committee meeting.",9,,
12,0.97,67.534,72.238,"Approval of the agenda, if there's no objection, the agenda will be adopted.",9,,
13,0.97,72.238,78.211,"Hearing no objection, the agenda is adopted.",9,,
14,0.97,78.211,78.578,Chair's report.,9,,
15,0.97,78.578,98.097,"So today we're going to be going through the first hearing on something that has been discussed a little bit in the public discourse, in the media, regarding the possibility of a traps for of city hall park and the Pioneer square neighborhood from the city of Seattle to King County.",9,,
16,0.97,98.097,108.708,I want to make it really clear that today's hearing on the matter is just an initial briefing and discussion on what that might entail.,9,,
17,0.97,108.708,121.221,And how that process might be conducted as well as hear from community Stakeholders and the county on some of the potential plans under girding that transfer.,9,,
18,0.97,121.221,122.655,So looking forward to that item.,9,,
19,0.97,122.655,126.493,That will be the first item of business today day.,9,,
20,0.97,126.493,136.569,We're also going to hear a report from Seattle center regarding the race and social justice initiative.,9,,
21,0.97,136.569,142.275,And a report from Seattle center on their annual RSGI report.,9,,
22,0.97,142.275,152.952,"Finally, we're going to close out by considering a couple of appointments to the Seattle center advisory Commission.",9,,
23,0.97,152.952,163.83,"So I'm looking forward to having a pretty packed agenda today, and I would like to get through all of those agenda items.",9,,
24,0.97,163.83,166.9,So we will move on now to public comment.,9,,
25,0.97,166.9,171.237,The clerk will moderate the public comment period.,9,,
26,0.97,171.237,187.82,"Give the usual admonitions about when it's your turn to speak, you'll hear a prompt, if you've been Unmuted Tharks will be your prompt to hit Star six and then to speak for a Two- minute amount of time.",9,,
27,0.97,187.82,194.26,I'm going to go ahead right now and say the public comment period will be for 25 minutes.,9,,
28,0.97,194.26,196.529,So we'll go until 2:30.,9,,
29,0.97,196.529,198.464,We have about twelve speakers.,9,,
30,0.97,198.464,201.668,So that should work out perfectly.,9,,
31,0.97,201.668,212.845,"And with that, I will turn it over to the clerk to preside over the public comment period.",9,,
32,0.97,212.845,218.084,The first public Commenter who is signed in is John grant.,10,,
33,0.97,218.084,222.055,"John, you may begin when ready.",10,,
34,0.97,228.428,230.296,"Good afternoon, committee members.",11,,
35,0.97,230.296,233.866,"My name is John grant, Testifying on behalf of the low income housing Institute.",11,,
36,0.97,233.866,238.171,In opposition to the proposal to transfer City Hall park.,11,,
37,0.97,238.171,247.914,Lehigh owns and manages the Fry apartments across the street and home to approximately 240 residents.,11,,
38,0.97,247.914,251.251,Thee residents benefit from the sun and fresh air at City Hall park.,11,,
39,0.97,251.251,254.354,We want it to be safe for residents and employees in the area.,11,,
40,0.97,254.354,260.026,We want businesses to have a viable location to lease retail space.,11,,
41,0.97,260.026,266.899,"However, a land transfer does not solve the problem surrounding City Hall park Prefontaine fountain and its surrounding sidewalk.",11,,
42,0.97,266.899,270.57,Lehigh is ready to support the city to find practical solutions.,11,,
43,0.97,270.57,278.711,"We have two commercial spaces right across the street that could be space for community service officers, Seattle parks or Department of neighborhoods.",11,,
44,0.97,278.711,286.185,Moving the land from city to County hands removes strong protections that exist in municipal code to protect green spaces.,11,,
45,0.97,286.185,291.791,What happens when the current negotiators change jobs or retire.,11,,
46,0.97,291.791,294.594,Could we lose this last piece of green in the area?,11,,
47,0.97,294.594,298.931,We believe we can partner with the city and county to make this a successful space.,11,,
48,0.97,298.931,304.337,"In our progressive community, city hall park should be Reconized as an unparalleled civic space.",11,,
49,0.97,304.337,310.977,The Park should not be transferred from the city to the county as the current proposal is untenable to the interest of the surrounding community.,11,,
50,0.97,310.977,315.948,Thank you so much for your time.,11,,
51,0.97,315.948,317.15,"Thank you, John.",12,,
52,0.97,317.15,323.589,Our next public Commenter is Tia Petrovic.,12,,
53,0.97,323.589,324.257,Begin when ready.,12,,
54,0.97,324.257,330.096,My name is Tia Petrovic.,13,,
55,0.97,330.096,337.136,I'm wondering how an historic public asset like City Hall park can be transferred without public process or input?,13,,
56,0.97,337.136,340.54,Public transparency was lost in King County's proposal process.,13,,
57,0.97,340.54,342.141,I appreciate the public process today.,13,,
58,0.97,342.141,352.218,As chair of the Pioneer residence Council it's my job and honor to find ways for the residents of Pioneer square to be heard to.,13,,
59,0.97,352.218,354.22,Create transparency on issues that affect us.,13,,
60,0.97,354.22,358.458,"When I say all, I mean from no income to high income.",13,,
61,0.97,358.458,363.262,We with our businesses strive to make Pioneer square a wonderful and healthy place for all.,13,,
62,0.97,363.262,365.631,We've had an incredibly rough last two years.,13,,
63,0.97,365.631,372.138,But a land transfer does not answer any of those issues experienced at the park during Covid.,13,,
64,0.97,372.138,376.943,The answer is not transferring away our irreplaceable public historic asset.,13,,
65,0.97,376.943,381.948,It's time to dig in and involve the Compleun any a formal process about our largest green asset.,13,,
66,0.97,381.948,385.151,It was created as a public Amenity and a place for all.,13,,
67,0.97,385.151,387.754,Not a highly controlled private space for some.,13,,
68,0.97,387.754,394.06,How are the needs of 800 plus marginalized reservoir Dentss who live adjacent to the park being considered.,13,,
69,0.97,394.06,396.596,Many who don't have access to other open spaces.,13,,
70,0.97,396.596,402.602,It's not like we're getting a transfer of property into Pioneer square with the proposal.,13,,
71,0.97,402.602,404.604,It's time to take a step back.,13,,
72,0.97,404.604,405.471,I've lived here 30 years.,13,,
73,0.97,405.471,407.206,We've had tough times.,13,,
74,0.97,407.206,410.076,We always come back together better and stronger.,13,,
75,0.97,410.076,417.35,"My three requests today, step back, reconsider exchanging the park for County properties as proposed.",13,,
76,0.97,417.35,423.456,Please consider the under served residents who would be directly affected by potential loss of the park.,13,,
77,0.97,423.456,428.094,Involve the community by Partnering a conversation on how to maintain a sacred space.,13,,
78,0.97,428.094,431.764,In Pioneer square we never give up and we ask that you not give up on us.,13,,
79,0.97,431.764,436.669,Thank you for the privilege of your time today.,13,,
80,0.97,436.669,438.671,"Thank you, Tia.",14,,
81,0.97,438.671,441.641,Our next public Commenter is David Haynes.,14,,
