index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,16.583,24.958,"Good afternoon, today is Tuesday, March 8. the time is to: 01.",0,,
1,0.97,24.958,26.926,Will the clerk please call the role.,0,,
2,0.97,26.926,34.634,& GT;,1,,
3,0.97,34.634,36.036,Councilmember Juarez.,2,,
4,0.97,36.036,42.208,Here.,3,,
5,0.97,42.208,43.476,Councilmember Mosqueda.,4,,
6,0.97,43.476,44.677,Here.,5,,
7,0.97,44.677,46.446,Councilmember Nelson.,6,,
8,0.97,46.446,52.018,Here.,7,,
9,0.97,52.018,53.052,Councilmember Lewis.,8,,
10,0.97,53.052,58.892,Here.,9,,
11,0.97,58.892,59.492,Eight present.,9,,
12,0.97,59.492,66.399,Thank you.,10,,
13,0.97,66.399,82.248,"Today we have a proclamation, we discussed some of it yesterday morning and this will be offered by Councilmember Morales to do the honoring and recognizing of Phyllis little.",10,,
14,0.97,82.248,85.652,Councilmember Morales will you walk us through the proclamation before I suspend the rules?,10,,
15,0.97,85.652,87.12,,11,,
16,0.97,87.12,89.956,Do you want me to move it?,12,,
17,0.97,89.956,99.099,You could just speak to your proclamation and then we will allow her to Re-Speak,12,,
18,0.97,99.099,99.899,Thank you very much.,13,,
19,0.97,99.899,101.935,Colleagues we did talk about this a little bit yesterday.,13,,
20,0.97,101.935,121.421,"I just want to say I am really honored to be bringing this proclamation on behalf of the neighbors and their families who really benefited from the Healthcare services that Phyllis demanded particularly for Latino, black and indigenous neighbors who were trying to cope with HIV and AIDS.",13,,
21,0.97,121.421,128.328,The people of color against AIDS network is based right on Avenue South in district 2.,13,,
22,0.97,128.328,136.569,Thanks to Phyllis expanded over time to serve communities from Riverton to Spokane.,13,,
23,0.97,136.569,153.686,"She advocated in particular for the Trans-Community, hiring a Trans-Woman, and helping form a black Trans program that distributed one of the first newsletters focused on the black Trans community in the country.",13,,
24,0.97,153.686,176.709,"I am really pleased we are able to offer this today, particularly on international women's day and they do want to think mesh Ashford, express my condolences to you and your family for such a loss of a huge leader in our community and the family member.",13,,
25,0.97,176.709,180.113,I want to thank you for allowing us to celebrate the life of your grandmother today.,13,,
26,0.97,180.246,181.447,Thank you Councilmember Morales.,14,,
27,0.97,181.447,189.689,Are there any other comments or questions or anything anyone would like to raise before I suspend the rules?,14,,
28,0.97,189.689,190.423,Okay.,14,,
29,0.97,190.423,201.401,"Not seeing any, if there is no objection to Council rules will be suspended to allow our guests to accept the proclamation.",14,,
30,0.97,201.401,205.338,Please.,14,,
31,0.97,205.338,205.939,Thank you.,15,,
32,0.97,205.939,210.009,"Hello, everyone, my name is Naomi, I am one of Phyllis's granddaughters.",15,,
33,0.97,210.009,216.683,I will be reading the resolution today on behalf of the family.,15,,
34,0.97,216.683,221.454,"Okay, so, good afternoon Seattle city Council, friends and family.",15,,
35,0.97,221.454,225.625,"Phyllis was born July 6, 1950 in Oklahoma.",15,,
36,0.97,225.625,230.33,She came from a very humble beginning but later grew into a very ambitious young lady.,15,,
37,0.97,230.33,242.308,Our family is African-American members of the Chacon nation in Indian territory which later Phyllis relocated to Washington with her mother and Siblings around 1967.,15,,
38,0.97,242.308,252.619,Years to come Phyllis became famous with Seattle central district community by applying herself with jobs that Combated social justice awareness.,15,,
39,0.97,252.619,263.029,She later went on to become a great leader by being a pillar in her community and being highly involved in city and State-Based programs.,15,,
40,0.97,263.029,265.798,She oversaw many successful programs in her career.,15,,
41,0.97,265.798,273.706,My grandmother was and still is a principal in lieu of today being International women's day.,15,,
42,0.97,273.706,281.214,Phyllis had righteous and strong indignation to not hold back on what was right for the people.,15,,
43,0.97,281.214,288.421,She was sympathetic to individuals conditions within Healthcare and was the average patient advocate.,15,,
44,0.97,288.421,291.691,Typically wearing many different hats under her leadership.,15,,
45,0.97,291.691,300.8,Essentially her name was echoed throughout the community she sought after.,15,,
46,0.97,300.8,305.305,In doing God's work I can say with confidence our family is deeply saddened and affected by the loss of beloved Phyllis.,15,,
47,0.97,305.305,309.942,She was well-known in the Seattle community and highly praised for her tremendous and the compassion she had.,15,,
48,0.97,309.942,316.449,Awarding her legacy a street will be named after Phyllis in the near future.,15,,
49,0.97,316.449,323.956,Our family is honored to witness the new continuum of her legacy which is well-deserved.,15,,
50,0.97,323.956,334.901,"I want to give everyone a special thank you for all the praise and positive energy sent to us, it is greatly appreciated.",15,,
51,0.97,334.901,347.513,And I would like to open up the space for any family that has any comments in remembrance of Phyllis.,15,,
52,0.97,347.513,351.718,If not I would like to return it back to the Council.,15,,
53,0.97,351.718,357.857,"You are good at this, Naomi.",16,,
54,0.97,357.857,359.092,She's an old hand at this.,16,,
55,0.97,359.092,366.599,"I would like to, before we close out, I would like to allow Councilmember Morales to say anything before I have final words.",16,,
56,0.97,366.599,372.038,I want to thank Naomi again for being here and wish you and your family well.,17,,
57,0.97,372.038,373.106,Thank you.,18,,
58,0.97,373.106,379.412,I just saw Councilmember Herbold's hand go up.,19,,
59,0.97,379.412,381.447,I'm sorry I can't be on camera.,20,,
60,0.97,381.447,400.733,I just want to reference some addition to comments that Council President Torres made yesterday about the leadership shown as it relates to responding to the AIDS crisis.,20,,
61,0.97,400.733,428.561,"In listening to Madam President's reflections about being sort of an old-timer and remembering some of those old efforts, I also remembered not quite so for back, but still pretty far back, in 2007 the Council funded a program called clean dreams.",20,,
62,0.97,428.561,437.236,It became sort of the precursor program to the internationally recognized leader program.,20,,
63,0.97,437.236,444.71,And and early fiscal sponsor for the clean dreams program.,20,,
64,0.97,444.71,471.003,"Working for safer communities in a way that recognized the great needs of folks who might be engaged in activities that have impacts to neighborhoods, but that have unmet needs by our institutions . and, really helped trail Blazers.",20,,
65,0.97,471.003,482.181,That was really do to the leadership of the organization and Phyllis.,20,,
66,0.97,482.181,485.084,"I wanted to highlight that as well, really important work for cities and other jurisdictions.",20,,
67,0.97,485.218,501.901,"Thank you, Councilmember Herbold . Miss Ashford, yesterday morning I don't know if you are watching, some of us that were around in 1990 remember your grandmother because of the HIV A.I.D.S.",21,,
68,0.97,501.901,515.681,And what was happening nationally and regionally and your grandmother was really at the vanguard for the Bipoc community.,21,,
69,0.97,515.681,518.751,No one else was doing this.,21,,
70,0.97,518.751,534.2,"You probably weren't born then, so those of us remember, I was looking at your grandmother's name, I went, Oh yes, I remember Phyllis.",21,,
71,0.97,534.2,540.706,I was at Evergreen at legal services and she wanted me to be on the board and I think I was on the board for couple months but that is another story.,21,,
72,0.97,540.706,541.707,"Had a, that's another story.",21,,
73,0.97,541.707,553.486,"My point is, I would hope that we would have more on rings like this because there are so many unsung heroes your grandmother in this city that have done great things that we don't get to always hear a lot of.",21,,
74,0.97,553.486,557.089,I want to thank you and your family and Councilmember Morales for bringing this forward.,21,,
75,0.97,557.089,567.266,"And I should say some of the efforts from your grandmother, we out of our office on March 15 will be doing our HIV A.I.D.S.",21,,
76,0.97,567.266,573.806,American awareness date which is now become a national event.,21,,
77,0.97,573.806,574.24,In Indian country.,21,,
78,0.97,574.24,581.314,"Again, someone had to start that fire across the country to recognize people of color and those committees are suffering from this deadly disease as well.",21,,
79,0.97,581.314,585.985,Thank you so much.,21,,
80,0.97,585.985,589.121,"So thank you for being here and our opportunity to honor your grandmother, Phyllis little.",21,,
81,0.97,589.121,590.623,Thank you.,22,,
82,0.97,590.623,592.425,My pleasure.,22,,
83,0.97,592.425,597.563,If you want to stay and share the meeting.,23,,
84,0.97,597.563,599.599,You are more than welcome.,23,,
85,0.97,599.599,600.566,Thank you.,23,,
86,0.97,600.566,604.337,"All right, let's move on on our calendar.",23,,
87,0.97,604.337,610.343,Let's move on to approval of the consent calendar.,23,,
88,0.97,610.343,624.19,Are there any items Council members would like to remove from today's consent calendar before we move forward?,23,,
89,0.97,624.19,626.058,Hearing none I moved to adopt the consent calendar.,23,,
90,0.97,626.058,627.059,Is there a second?,23,,
91,0.97,627.059,627.827,Second.,24,,
92,0.97,627.827,628.928,Thank you Councilmember Mosqueda.,25,,
93,0.97,628.928,631.897,It has been moved and Seconded to adopt the consent calendar.,25,,
94,0.97,631.897,637.937,Please call the role for the adoption of the consent calendar.,25,,
95,0.97,637.937,638.604,Councilmember Morales.,26,,
96,0.97,638.604,639.238,Yes.,27,,
97,0.97,639.238,639.972,Councilmember Mosqueda.,28,,
98,0.97,639.972,640.606,Aye.,29,,
99,0.97,640.606,641.173,Councilmember Nelson.,30,,
100,0.97,641.173,642.341,Aye.,31,,
101,0.97,642.341,642.908,Councilmember Pedersen.,32,,
102,0.97,642.908,644.877,Aye.,33,,
103,0.97,644.877,645.411,Councilmember Sawant.,34,,
104,0.97,645.411,646.579,Yes.,35,,
105,0.97,646.579,647.146,Councilmember Strauss.,36,,
106,0.97,647.146,649.315,Yes.,37,,
107,0.97,649.315,649.949,Councilmember Herbold.,38,,
108,0.97,649.949,655.454,Yes.,39,,
109,0.97,655.454,655.988,Councilmember Lewis.,40,,
110,0.97,655.988,658.324,Yes.,41,,
111,0.97,658.324,658.924,Council President Juarez.,42,,
112,0.97,658.924,662.361,Aye.,43,,
113,0.97,662.361,668.434,The consent calendar is adopted.,44,,
114,0.97,668.434,670.069,Please fix my signature to the consent calendar.,44,,
115,0.97,670.069,672.905,Moving on in the agenda to approval of the agenda.,44,,
116,0.97,672.905,674.94,If there is no objection the agenda will be adopted.,44,,
117,0.97,674.94,678.744,Not seeing or hearing any at this time.,44,,
118,0.97,678.744,686.352,The Addenda agenda is adopted.,44,,
119,0.97,686.352,687.82,Let's move on to public comments.,44,,
120,0.97,687.82,690.523,I will read my standard direction and handed over.,44,,
121,0.97,690.523,696.762,"Colleagues, at this time, we will open the remote public comment period for items on the city council agenda, introduction and referral calendar, and the Council's work program.",44,,
122,0.97,696.762,701.434,It remains the strong intent of the city Council to have remote public comment regularly included on meeting Agendas.,44,,
123,0.97,701.434,717.817,"However, as a reminder, the city council reserves the right to end or eliminate these public comment periods at any point if we deem that this system is being abused or is no longer suitable for allowing our meetings to be conducted efficiently and effectively.",44,,
124,0.97,717.817,720.052,"Madame clerk, how many people are signed up next",44,,
125,0.97,720.052,721.42,We have eight.,45,,
126,0.97,721.42,731.03,"I will hand it over to you, Madame clerk and you can read the directions and allow these individuals to provide comment.",46,,
127,0.97,731.03,735.868,Thank you.,47,,
128,0.97,735.868,740.139,The public comment is up to 20 minutes and each Speaker will be given two minutes to speak.,47,,
129,0.97,740.139,743.342,Speakers are called upon in the order in which they registered to provide public comment on the Council's Website.,47,,
130,0.97,743.342,750.316,"Each Speaker must call in from the phone number used for this registration and using the meeting phone number, Id, and Passcode that was Emailed to them upon confirmation.",47,,
131,0.97,750.316,755.988,This is different than the general meeting listen line call in information.,47,,
132,0.97,755.988,767.666,If you did not receive Email confirmation please check your junk mail folder.,47,,
133,0.97,767.666,774.173,"Once I call a Speaker's name, staff will Unmute the appropriate microphone and an automatic prompt of ""You have been Unmuted"" will be the Speaker's Cue that it is their turn to speak and then the Speaker must press Star six to begin speaking.",47,,
134,0.97,774.173,781.547,Please begin speaking by stating your name and the item that you are addressing.,47,,
135,0.97,781.547,786.852,Speakers will hit their time at 10 seconds.,48,,
136,0.97,786.852,788.354,We ask the wrap up your comment.,48,,
137,0.97,788.354,797.029,If speakers do not and your comment at the end of the time allotted the phone will be needed to allow us to go to the next Speaker.,48,,
138,0.97,797.029,809.208,"Once you have completed public comment, please Disconnect from the line and if you plan to follow the meeting please do so via Seattle channel or the listing option.",48,,
139,0.97,809.208,812.878,The public comment period is now open and we will begin with the for Speaker on the list.,48,,
140,0.97,812.878,815.915,"Please remember to press Star six after you hear the prompt, you have been Unmuted.",48,,
141,0.97,815.915,822.154,Our first Speaker is Howard Gail followed by Kimberly.,48,,
142,0.97,822.154,823.189,Good afternoon.,49,,
143,0.97,823.189,829.128,Howard with Seattle Stop.Org.,49,,
144,0.97,829.128,830.729,Commenting on her failed police accountability system.,49,,
145,0.97,830.729,844.543,This morning Carolyn Bickett the South Seattle Emerald published her 21st article over the last 14 months investigating the failures and corruption in our police accountability system.,49,,
146,0.97,844.543,851.083,Today's article reveals shocking mismanagement and misdeeds that require the city to seek investigations by entities outside the city.,49,,
147,0.97,851.083,863.796,"Yesterday at Council briefing Councilmember Nelson stated she was ""sorry, ashamed and feels deeply responsible"" for the recent and killings in Seattle.",49,,
148,0.97,863.796,887.82,"Councilmember Nelson, if your sorrow, shame and responsibility are so great when you're not responsible for paying the salary of the shooter, paying for the shooter's gun and bullets, how much greater should it be when you are responsible for paying for these things?",49,,
149,0.97,887.82,897.763,"Councilmember Nelson and all Council members, where was your sorrow, shame and responsibility when the SPD killed a person in behavioral crisis on January 5? a person considered so insignificant by our accountability system that over two months later we still don't know his name.",49,,
150,0.97,897.763,906.338,"That was the 19th person, the 19th person suffering a mental health crisis and murdered by the SPD since the SPD murdered Williams.",49,,
151,0.97,906.338,919.118,Are please accountability system has been--we should have empathy and take responsibility for all victims of gun violence.,49,,
152,0.97,919.118,924.99,"But, a Councilmember needs to focus on the killings they directly pay for.",49,,
153,0.97,924.99,936.201,"We need to build through a city initiative and accountability system that provides full civilian community control over police policy, police misconduct investigations and police discipline.",49,,
154,0.97,936.201,940.973,Go to Seattle Stop.Org.,49,,
155,0.97,940.973,944.076,Thank you.,49,,
156,0.97,944.076,954.186,Our next Speaker is Kimberly Wolf followed by Carmen.,50,,
157,0.97,954.186,956.488,I am Kimberly.,51,,
158,0.97,956.488,964.33,I wholeheartedly support the policy.,51,,
159,0.97,964.33,974.974,[Indiscernible] the numbers of gig workers [Indiscernible] smaller and smaller.,51,,
160,0.97,974.974,983.916,You need to support this legislation [Indiscernible].,51,,
161,0.97,983.916,986.085,We have gone over how this policy created benefits gig workers.,51,,
162,0.97,986.085,992.791,Our like to mention other reasons--why you might support it.,51,,
163,0.97,992.791,1000.966,The gig companies race to the bottom pushed me over the edge into homelessness.,51,,
164,0.97,1000.966,1006.405,If many of you are serious about the homelessness problem in the city you should want to support legislation that.,51,,
165,0.97,1006.405,1012.544,Another reason is a positive impact of a small business and the economic health of the city.,51,,
166,0.97,1012.544,1017.383,There are many restaurants in Seattle that rely quite a bit on the gig economy.,51,,
167,0.97,1017.383,1028.16,It is important that the gig center is strong and healthy.,51,,
168,0.97,1028.16,1036.101,"Tens of thousands of gig worker with enough to pay their business expenses, personal bills and have money in their pockets will be spending a huge amount of money right here in our city and many, many small businesses.",51,,
169,0.97,1036.101,1039.338,Something they are not able to do now because of the pay they receive for their work.,51,,
170,0.97,1039.338,1045.844,The companies are going to--minimum wage.,51,,
171,0.97,1045.844,1051.75,Do not be Bamboozled.,51,,
172,0.97,1051.75,1058.924,The pay policy simply takes into account actual mileage and expenses we pay out and gives us at least minimum wage after expenses are paid and have been accounted for.,51,,
173,0.97,1058.924,1066.465,"Just like any other business, the net profit is income minus expenses.",51,,
174,0.97,1066.465,1067.399,We too are small businesses.,51,,
175,0.97,1067.399,1068.0,Don't forget that.,51,,
176,0.97,1068.0,1078.444,Any small business is going to ask for certain amount to cover their expenses plus a healthy profit.,51,,
177,0.97,1078.444,1082.848,And we are asking --,51,,
178,0.97,1082.848,1095.26,Our next Speaker is Carmen followed by well Lynn.,52,,
179,0.97,1096.095,1108.607,"Carmen, you want to press Star six to be Unmuted.",52,,
180,0.97,1108.607,1110.642,Maybe we can come back to Carmen.,52,,
181,0.97,1110.642,1122.421,The next's Speaker is well Lynn and we will come back to Carmen.,52,,
182,0.97,1122.554,1127.459,Let's come back to well Lynn.,53,,
183,0.97,1127.459,1136.235,The next Speaker is James Thomas.,54,,
184,0.97,1136.235,1141.74,Good afternoon.,55,,
185,0.97,1141.74,1153.719,My name is James Thomas speaking on behalf of the gig workers in Seattle . in the campaign because I care.,55,,
186,0.97,1153.719,1159.191,-- the head purchase enough items to get the groceries home.,55,,
187,0.97,1159.191,1172.104,Then and now only my mother [Indiscernible].,55,,
188,0.97,1183.248,1192.925,Hustling groceries home for customers at local New York City Supermarkets because they only had two hands they purchased enough items the required six to get the groceries home.,55,,
189,0.97,1192.925,1207.072,Then and now only my mother--door--treated grown adults as if they were subordinate children when they took millions of tip dollars designated for drivers.,55,,
190,0.97,1207.072,1231.763,Your actions allowed--Hard- working individuals to be designated as autumn Feeders on the letter of prosperity and success for themselves and their families.,55,,
191,0.97,1231.763,1237.402,At the present moment gas prices increased twice daily at some stations.,55,,
192,0.97,1237.402,1246.645,It only shows why these important lifestyle changes Implementations should have been enacted two years ago.,55,,
193,0.97,1246.645,1251.984,Stop being deceived by those who wear the mask that allows for human degradation to continue in Seattle.,55,,
194,0.97,1251.984,1257.122,"Also remember, the same victims shall be voting in the current and future elections.",55,,
195,0.97,1257.122,1260.359,Thank you for having me.,55,,
196,0.97,1260.359,1271.236,Our next Speaker is David Haynes followed by Cynthia.,56,,
197,0.97,1271.236,1299.765,"Thank you, David Haynes, District 7. regarding the surveillance technology ordinance, council seeks to seek delay for one year, you know, that starts to prove that the previous and present city council is purposely delaying cops Accessing better Crime- fighting tools to help the Seattle police Department improve their focus on the evil in the streets that are conducting an uncivil war with dollar amounts.",57,,
198,0.97,1299.765,1311.143,It's as if we are waiting for the protesters to give the Democratic party approval to approve these types of surveillance equipment which we know they never will.,57,,
199,0.97,1311.143,1362.728,"I think it is obvious the city Council, Mayor, prosecutors and human services Department lend a requirement is endangering and discriminating against innocent law-abiding homeless citizens who are helping by using most money from the homeless crisis to treat and focus on lead and ACLU funded idea of running interference for all these evil customs violating repeat offending criminals . and I hate to say it, but, you know, some of them are Bipoc--escalating violence were evil adults were allowed to stay out of jail are Misguiding youth and having them do their bidding.",57,,
200,0.97,1362.728,1368.033,And Outsmarting the police chief who has only been eight years of Crime-Fighting out of his 25 years of trying to do is this relation outreach.,57,,
201,0.97,1368.033,1373.705,Do you know that he only focused on the crime Hotspots that the media was reporting on?,57,,
202,0.97,1373.705,1398.263,And then specifically only clearing that area to the point where you couldn't be a bust writer without being harassed by the cops telling you you can't be . But everyone around there including the evil drug pushing operations of Pioneer square and West Lake at nighttime has been reclaimed by all the evil criminals that you all have a --,57,,
203,0.97,1398.263,1405.537,And next Speaker is Cynthia followed by bill Fulton showing is not present.,58,,
204,0.97,1405.537,1409.207,Cynthia?,58,,
205,0.97,1409.207,1411.643,I am Cynthia.,59,,
206,0.97,1411.643,1417.015,An independent district 6 resident.,59,,
207,0.97,1417.015,1418.583,My comments are regarding the surveillance ordinance.,59,,
208,0.97,1418.583,1426.124,Extension request letter States will be getting removed from the master list because of the no longer in use.,59,,
209,0.97,1426.124,1436.268,That does not mean they have been removed or that they are no longer sending addresses of cell phone data to specific a.,59,,
210,0.97,1436.268,1442.507,It is a technology that collects addresses for Wi-Fi and Bluetooth devices in range.,59,,
211,0.97,1442.507,1447.379,It is specific network address of your phone or tablet or device.,59,,
212,0.97,1447.379,1457.989,The collector Gps location since Tothe cloud with travel time along roadway segments.,59,,
213,0.97,1457.989,1459.057,Is able to perform Geolocation tracking.,59,,
214,0.97,1459.057,1474.472,"Even if you have Gps enabled disabled and not near a Wi-Fi network, if you have Bluetooth turned on then your address will be picked up as soon as you come within the range.",59,,
215,0.97,1474.472,1476.741,The technology is a covert Nonconsensual invasion of privacy.,59,,
216,0.97,1476.741,1487.752,If moved from the master list it would create a dangerous situation and the surveillance technology--public oversight or control.,59,,
217,0.97,1487.752,1492.257,If it was removed from the master list it would be in scope for the city auditors review.,59,,
218,0.97,1492.257,1494.693,Please do not remove specific up from the master list.,59,,
219,0.97,1494.693,1499.03,Thank you.,59,,
220,0.97,1499.03,1504.269,Can we circle back to Carmen and well Lynn?,60,,
221,0.97,1504.269,1508.173,Go ahead.,61,,
222,0.97,1508.173,1516.715,"Carmen, you are up.",62,,
223,0.97,1516.715,1525.824,You want to press Star six.,62,,
224,0.97,1525.824,1527.392,Can you hear me?,63,,
225,0.97,1527.392,1529.494,Yes.,64,,
226,0.97,1529.494,1530.929,Can you hear me now?,65,,
227,0.97,1530.929,1533.164,We can hear you.,66,,
228,0.97,1533.164,1536.001,"Okay, thank you.",67,,
229,0.97,1536.001,1549.614,I would just like to thank you for the opportunity to say white gig workers need lawmakers to raise standards like capping the pale policies.,67,,
230,0.97,1549.614,1554.486,I am now partially disabled due to a back injury.,67,,
231,0.97,1554.486,1560.792,The gig industry is the only industry that allows me to set my own hours while working at a pace I'm comfortable with.,67,,
232,0.97,1560.792,1564.029,There are thousands of gig workers with disabilities.,67,,
233,0.97,1564.029,1571.336,Often gig work is the only source of income.,67,,
234,0.97,1571.336,1577.842,Lobbying for the ability to force workers to work more with less pay and implementing ways to undermine the flexibility I depend on.,67,,
235,0.97,1577.842,1587.786,They are financially in a fitting keeping more and more profits for themselves which legislation--will never invest in the workers.,67,,
236,0.97,1587.786,1598.363,Capping the pay campaign standard policy this year will allow me to earn ways in which I can thrive and flourish.,67,,
237,0.97,1598.363,1600.198,And not simply survive to work one more day.,67,,
238,0.97,1600.198,1608.907,We are trusting lawmakers to pass a policy for us because we are not disposable and should not be exploited.,67,,
239,0.97,1608.907,1610.508,Thank you for your support.,67,,
