index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,0.667,11.044,Will the clerk please call the role.,0,,
1,0.97,11.044,11.644,Councilmember Morales.,1,,
2,0.97,11.644,11.911,Here.,2,,
3,0.97,11.911,16.116,We are having a hard time hearing you.,3,,
4,0.97,16.116,21.621,Councilmember--[Audio difficulty],4,,
5,0.97,21.621,23.423,Councilmember Pedersen.,5,,
6,0.97,23.423,24.157,Here.,6,,
7,0.97,24.157,24.824,Councilmember Sawant.,7,,
8,0.97,24.824,25.091,Here.,8,,
9,0.97,25.091,35.268,"Jody, we cannot hear you.",9,,
10,0.97,35.268,41.608,Councilmember Sawant.,10,,
11,0.97,41.608,47.514,Here.,11,,
12,0.97,47.514,52.852,Jody?,12,,
13,0.97,52.852,56.156,Councilmember Sawant.,13,,
14,0.97,56.156,56.523,Here.,14,,
15,0.97,56.523,62.128,"Jody, we are having high level of inability to be able to hear you.",15,,
16,0.97,62.128,66.466,Can everybody else hear Jody?,15,,
17,0.97,66.466,69.769,You guys can hear Jody.,15,,
18,0.97,69.769,70.17,Okay.,15,,
19,0.97,70.17,70.503,Go ahead.,15,,
20,0.97,70.503,73.973,"I'm sorry, Jody.",15,,
21,0.97,73.973,75.075,Go ahead.,15,,
22,0.97,75.075,81.014,Councilmember Strauss.,16,,
23,0.97,81.014,81.581,Present.,17,,
24,0.97,81.581,85.385,Councilmember Juarez.,18,,
25,0.97,85.385,91.191,Councilmember Juarez.,19,,
26,0.97,91.191,96.763,"Here, here.",20,,
27,0.97,96.763,97.764,Councilmember Herple.,21,,
28,0.97,97.764,98.598,Here.,22,,
29,0.97,98.598,101.301,Councilmember Lewis.,23,,
30,0.97,101.301,102.602,Here.,24,,
31,0.97,102.602,103.67,Councilmember Gonzalez.,25,,
32,0.97,103.67,104.337,Here.,26,,
33,0.97,104.337,104.771,Nine present.,27,,
34,0.97,104.771,106.172,Thank you so much.,28,,
