index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,0.467,2.268,Good morning.,0,,
1,0.97,2.335,3.336,Good morning.,1,,
2,0.97,3.403,14.647,"It is 9:32 a.m., may 24th, 2022, meeting of the public safety and human services committee will come to order . I am Lisa Herbold.",1,,
3,0.97,14.714,20.653,Will the clerk please call the roll?,1,,
4,0.97,20.72,23.39,Councilmember,2,,
5,0.97,23.456,23.59,Yes.,3,,
6,0.97,23.656,28.862,Councilmember Nelson.,4,,
7,0.97,28.928,31.765,Present.,5,,
8,0.97,31.831,32.332,Councilmember,6,,
9,0.97,32.399,33.166,Present.,7,,
10,0.97,33.233,34.667,Councilmember Lewis?,8,,
11,0.97,34.734,35.702,Councilmember Nelson.,8,,
12,0.97,35.769,37.07,"Oh, I'm sorry.",8,,
13,0.97,37.137,39.773,Excuse me.,8,,
14,0.97,39.839,41.207,Councilmember Mosqueda.,8,,
15,0.97,41.274,43.81,Present.,9,,
16,0.97,43.877,44.377,Chair Herbold?,10,,
17,0.97,44.444,44.611,Here.,11,,
18,0.97,44.677,45.078,Four present.,12,,
19,0.97,45.145,58.258,"Thank you so much and Councilmember Lewis, I will recognize him, and so on today's agenda, we will be hearing three items.",13,,
20,0.97,58.324,79.212,"First, we will hear and introduce a draft bill to establish a new process for investigating complaints naming the chief of police and in the 2027 accountability ordinance that we are seeking to address with this legislation.",13,,
21,0.97,79.279,95.395,"Secondly, we'll be hearing from members--specifically our area of directors about safety that they are proposing.",13,,
22,0.97,95.462,109.776,And we will be hearing from the Mayor's office from specific neighborhood districts that they are hoping to be able to Replicate.,13,,
23,0.97,109.843,117.417,Thirdly we'll be discussing and voting on an a amendment for 120294.,13,,
24,0.97,117.484,141.341,"So 14 amendments fish consideration today and one I know that Councilmember Lewis has joined in, and welcome, Councilmember Lewis, and we will now approve our agenda, and if there is no objection, it will be adopted.",13,,
25,0.97,141.407,147.847,"Hearing no objection, today's agenda is adopted.",13,,
26,0.97,147.914,155.722,In this time We'll transition into public comments and I will moderate in the following manner.,13,,
27,0.97,155.788,160.36,With the number of speakers we have each Speaker will be given one minute to speak.,13,,
28,0.97,160.426,169.903,I am call on each Speaker by name in order in which they registered on the Council Website.,13,,
29,0.97,169.969,196.329,"If you have not yet registered, you can go to the Council's Website and register . When I call the Speaker's name and you hearing a prompt you need to hit Star six and Unmute yourself and state your name and the item in which you are addressing, and speakers will hearing a Chime.",13,,
30,0.97,196.396,201.2,Once the Speaker hears the Chime we ask them to wrap up the public comment.,13,,
31,0.97,201.267,218.851,"If the Speaker does not end up the comment at the end of the allotted time, the Speaker's Mic will be muted in 10 seconds to allow us to hear from the next Speaker.",13,,
32,0.97,218.918,239.872,"Once you have completed your comment, we ask that you mute the line and we have three people signed up for comment this morning and I will be reading the names into the record.",13,,
33,0.97,239.939,247.347,"Our first Speaker, Howard, and followed by Anna.",13,,
34,0.97,247.413,247.714,Howard?,13,,
35,0.97,247.78,249.182,Good morning.,14,,
36,0.97,249.248,253.286,"Howard Dale, commenting on our failed police accountability system.",14,,
37,0.97,253.353,271.237,"The first item on the agenda is proposed legislation that starts out proclaiming that the current police accountability system, quote, has strength not found in other models of oversight and addresses systemic weaknesses in which other systems have struggled, Unquote.",14,,
38,0.97,271.304,290.123,As a psychologist we see this as a highly Dysfunctional defense mechanism to hide failures that SPD has killed more people in the decade after the consent decree than the decade prior.,14,,
39,0.97,290.189,316.082,"Failures like the reality of the continuing racial disparity and the SPD use of force and SPD stops and Detention, failures like the 2020 unconstitutional and Agregiously violent action against the demonstrators all Rm were exonerated save fora few cases in which complaints were upheld relating in Reprimand.",14,,
40,0.97,316.149,323.623,"Thank you, followed by hands.",15,,
41,0.97,323.69,323.856,Hi.,16,,
42,0.97,323.923,330.329,"I am Anna Powell, and I represent Doordash.",16,,
43,0.97,330.396,356.089,"Doordash has supported minimum earnings standards before, the pay proposal at 200% of the minimum wage is too high and would reduce opportunities for Dashers who earn about $28 per hour.",16,,
44,0.97,356.155,359.726,We believe it's important to set the record straight.,16,,
45,0.97,359.792,369.635,A recent report from working Washington is based on data from just 400 deliveries across multiple platforms.,16,,
46,0.97,369.702,386.052,"That can't possibly summarize the experience of 38,000 Dashers in Seattle, and more than 15,000 of your constituents committed letters asking you to halt the pay up proposal and study the impact before passing it.",16,,
47,0.97,386.119,387.453,Thank you.,17,,
48,0.97,387.52,396.696,And our next Speaker is dawn . welcome.,17,,
49,0.97,396.763,403.736,"Good afternoon or morning, members of the committee and chair Herbold . Thank you for the opportunity to speak.",18,,
50,0.97,403.803,437.403,"I'm the gig economy organizing director for the National workers alliance and here to comment on 120294 specifically amendments two and three . We urge the Council to pass the amendments with the exception of two and three which would exclude the domestic workers, thousands, in the ordinance . The company is looking to exclude the most advanced workers to gain control and keep the costs low.",18,,
51,0.97,437.47,448.481,The domestic workers alliance is the nation's leading voice for the $2.5 million domestic workers who make this possible E mainly in Seattle.,18,,
52,0.97,448.548,451.25,We urge the Councilmembers to oppose the amendments.,18,,
53,0.97,451.317,467.233,The attempts to redefine the marketplace companies is are the PA of the standard Playbook for the strategy that is attempted around the country and to exclude domestic workers.,18,,
54,0.97,467.3,467.567,Thank you.,19,,
55,0.97,467.633,468.668,Great to hear from you.,19,,
56,0.97,468.734,480.947,And we have David followed by magnolia.,19,,
57,0.97,481.013,481.18,David?,19,,
58,0.97,481.247,481.848,All right.,20,,
59,0.97,481.914,494.026,"Not seeing David present, we'll go down to magnolia who will be followed by Allison.",20,,
60,0.97,494.093,496.963,Thank you for the opportunity to speak.,21,,
61,0.97,497.029,503.236,"My name is magnolia, and I am addressing 120294.",21,,
62,0.97,503.302,548.381,"And I have been cleaning homes since 2020 and excluding the marketplace companies would hurt workers like me providing real and necessary services throughout the city and it opens a loophole for gig work Apps and it sends the message that the workers using these Apps are not worthy of the security as everyone else . Additionally, the App encourages people to Undersell themselves to compete with other Taskers.",21,,
63,0.97,548.447,557.423,We need the city to show that they value our lives over the profits of the large companies and need as robust a condition as possible.,21,,
64,0.97,557.49,558.224,Thank you.,21,,
65,0.97,558.291,572.738,"Thank you, and the Speaker is Allison followed by Matthew.",22,,
66,0.97,572.805,573.205,Allison?,22,,
67,0.97,573.272,590.623,"Allison, you are not showing on mute but we can't hear you if you're speaking . Allison?",23,,
68,0.97,590.69,591.223,I'm sorry.,23,,
69,0.97,591.29,603.235,I--I see you off mute but we can't hear you.,23,,
70,0.97,603.302,606.772,"I'm sorry, Allison.",23,,
71,0.97,606.839,618.017,We'll have to go to the next Speaker who will be followed by wei.,23,,
72,0.97,618.084,618.985,Fox Matthews.,23,,
73,0.97,619.051,619.719,Hello.,24,,
74,0.97,619.785,624.79,I am Fox Matthews and I'm here to comment on the pay up proposal.,24,,
