index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,12.979,21.654,"Good morning everyone, the June 21st, 2021 Council briefing meeting will come to order.",0,,
1,0.97,21.654,26.693,The time is 10:30 A.M.,0,,
2,0.97,26.693,32.799,"Before the clerk call the roll, colleagues I did want you to be aware that I heard from Councilmember Lewis' office, and he will be arriving late to this briefing.",0,,
3,0.97,32.799,39.105,I will make sure to announce his arrival for public record when I see that he enters into the zoom room.,0,,
4,0.97,39.105,41.508,"That being said, the clerk please call the roll?",0,,
5,0.97,41.508,46.312,Mosqueda?,1,,
6,0.97,46.312,47.781,Councilmember Mosqueda?,1,,
7,0.97,47.781,49.616,Present.,2,,
8,0.97,49.616,51.818,Morales?,3,,
9,0.97,51.818,52.519,Here.,4,,
10,0.97,52.519,55.321,Pedersen?,5,,
11,0.97,55.321,56.723,Here.,6,,
12,0.97,56.723,58.525,Sawant?,7,,
13,0.97,58.525,59.993,Present.,8,,
14,0.97,59.993,61.194,Strauss?,9,,
15,0.97,61.194,62.829,Present.,10,,
16,0.97,62.829,64.03,Herbold?,11,,
17,0.97,64.03,65.331,Here.,12,,
18,0.97,65.331,68.535,Juarez?,13,,
19,0.97,68.535,68.935,Here.,14,,
20,0.97,68.935,70.537,Council President Gonzalez.,15,,
21,0.97,70.537,73.039,Here.,15,,
22,0.97,73.039,74.174,Eight present.,16,,
23,0.97,74.174,79.746,The minutes of June 14th 2021 will be adopted.,17,,
24,0.97,79.746,83.349,"Hearing no objection, the minutes are adopted.",17,,
25,0.97,83.349,94.961,"President's report, I don't have anything to report related to operations of the legislative Department.",18,,
26,0.97,94.961,106.339,"Did want to make sure that I have an opportunity to, for those of us who celebrated over the weekend on Juneteenth of course was on June 19th.",18,,
27,0.97,106.339,110.176,Which was this passed Saturday.,18,,
28,0.97,110.176,131.898,"I wanted to just acknowledge the fact that we now as a country have this Federal Government holiday, which is good news, but of course we have much more work to do to continue to lift up our black neighbors here in Seattle and across the country . look forward to working on that continuing issue.",18,,
29,0.97,131.898,139.873,"Secondly, I do want to take just a quick point of personal privilege this morning.",19,,
30,0.97,139.873,161.594,By acknowledging a really atrocious act of racism against my chief of staff who last week was on a zoom and was subjected to the repeated use of the N word.,19,,
31,0.97,161.594,199.766,"Regardless of whether it is official business or electoral work, that kind of behavior in Subjecting people in our city to those--that type of hatred is absolutely beyond the pale, and I know that all of you join me in admonishing and rejecting that kind of harmful, Hurtful racism being subjected to any member of our community, and when it hits home like it has for us here on my team, it is particularly painful.",19,,
32,0.97,199.766,217.05,"So, I hope you all will join me in calling out that behavior and in helping my team support my chief of staff, Breanna Thomas in that moment she continues to process the events of last week.",19,,
33,0.97,217.05,226.993,"Thank you, colleagues, I appreciate the opportunity to just have a personal moment of privilege at the top of today's agenda.",19,,
34,0.97,226.993,233.7,We will go ahead and shift now to a discussion of previous city council actions.,20,,
35,0.97,233.7,237.57,Council and regional committees and I'll call on Councilmembers as established by the rotating roll call.,20,,
36,0.97,237.57,248.514,"This week, again first up is Councilmember Mosqueda followed by Morales, Pedersen, Sawant, Strauss, Herbold, Juarez, Lewis, and then I will conclude this agenda discussion.",20,,
37,0.97,248.514,249.983,"First up is Councilmember Mosqueda, good morning.",20,,
38,0.97,249.983,252.785,Good morning.,21,,
39,0.97,252.785,261.127,Thank you very much for starting today's briefing with an acknowledgment of what happened to your chief of staff and to a team member here at City Hall.,21,,
40,0.97,261.127,272.505,"I too want to stand in opposition and strong opposition, and condemn the language that was used against Breanna, and also acknowledge that this happened right next to our celebration of Juneteenth.",21,,
41,0.97,272.505,285.685,"As you mentioned, we can't Pat ourselves on the back for having a Federal holiday declared when that type of racist language is used in an overt and explicit way against any member of our team or any member of our community.",21,,
42,0.97,285.685,306.873,"I also appreciate that the chair O the King County Democrats, is not an endorsing agency of any kind, as you said, doesn't really matter whether it's on the electoral side or a legislative matter, what the chair of the King County Democrats said in her statement was we must stand in opposition to any kind of statements like that.",21,,
43,0.97,306.873,314.147,Make sure that especially women of color and black women have the ability to not be subject to such racist behavior.,21,,
44,0.97,314.147,316.082,"So, thank you again for starting today's meeting without acknowledgment.",21,,
45,0.97,316.082,321.688,I also want to Piggyback on the comments that you made about Juneteenth.,21,,
46,0.97,321.688,327.16,We are all I think in a position to recognize the importance of Juneteenth.,21,,
47,0.97,327.16,331.531,I did hear so many people over the weekend talk about how this is not a celebration necessarily.,21,,
48,0.97,331.531,338.504,This is a day of acknowledgment of decades of delayed action.,21,,
49,0.97,338.504,350.116,"Here in 2021, when the Federal Government has finally recognized Juneteenth, we still see States like Texas pushing Anti-Boating disenfranchisement laws.",21,,
50,0.97,350.116,351.718,Been in critical race theory.,21,,
51,0.97,351.718,361.027,Also here in our own backyard we must fight against any effort to Co-Opt June seen.,21,,
52,0.97,361.027,374.44,While we simultaneously create policies that [Indiscernible] previously status quo that cause more harm especially to the black and Brown communities of Seattle.,21,,
53,0.97,374.44,378.044,"So, while we acknowledge the importance of Juneteenth, we will continue to fight.",21,,
54,0.97,378.044,396.362,"We will continued to fight tort action, to fight against racism and recognizing the tremendous demands to undo decades if not centuries of Regressive policies that actually are at the root of an equitable housing, inequitable education and security.",21,,
55,0.97,396.362,404.537,And health disparities as we continue to see health disparities continue in this moment of Covid.,21,,
56,0.97,404.537,415.481,Moving on I want to say happy father's day to all folks in our community recognizing that fathers and parent he come in all shapes and forms.,21,,
57,0.97,415.481,418.785,Happy father's day to all who celebrated this weekend as Dads and Daddy's.,21,,
58,0.97,418.785,431.964,"As we say in our household, as folks recognized that this is not just about bothers in the traditional sense, but also chosen parents, and chosen parenting models.",21,,
59,0.97,431.964,435.468,I appreciate all who take care of our Kiddos across this Committee and across our country.,21,,
60,0.97,435.468,445.778,"I also know that this is possibly an especially hard day for those who may have lost loved ones during the last year as parents, grandparents, Kiddos, uncles and others.",21,,
61,0.97,445.778,453.92,Thinking of everybody and thanking everybody for continuing to care for our Kiddos no matter what form of parenting you engage in.,21,,
62,0.97,453.92,460.593,We do have three items from the Finance and housing Committee on today's full council agenda.,21,,
63,0.97,460.593,462.728,The first two relate to the Seattle rescue plan act.,21,,
64,0.97,462.728,473.339,These are Council bill 120093 and 120094.,21,,
65,0.97,473.339,500.833,"I want to thank all of you Council colleagues, as this is a very exciting opportunity for us to pass the Seattle rescue plan act two weeks ago I, along with Council President Gonzalez, introduced this legislation package with the mayors' office with keeping in mind with the resolution that you passed to create the appropriation to reflect the diversity of opinion amongst our elected officials and the diversity of things we heard from community constituency called in over the multiple opportunities that we had for public testimony.",21,,
66,0.97,500.833,506.072,"As you'll recall, this is the first tranche of the American rescue plan act dollars.",21,,
67,0.97,506.072,514.18,Seattle's portion of the Federal dollars totals $232 million.,21,,
68,0.97,514.18,526.592,"Today's bill in front of us is an opportunity to pass the first half of that, $160 million, along with $12.2 million that come from the home investment partnership fund dollars.",21,,
69,0.97,526.592,537.169,"These bills are the result of Council bill--excuse me Council resolution 13999 passed in March and the five Vestment community meetings that we had to hear what was happening in other cities, and directly within the city of Seattle.",21,,
70,0.97,537.169,544.677,Directly hearing from folks who have been disproportionately impacted due to the consequences of Covid.,21,,
71,0.97,544.677,549.548,"Both as individuals, families, and that organizations are rooted in those communities most disproportionately impacted.",21,,
72,0.97,549.548,555.421,I think the package in front of us represents strong coordination amongst Council colleagues here today.,21,,
73,0.97,555.421,573.472,"Intentional listening with the community members, and also strong collaboration and coordination with the county and state officials who together, we looked at the amount of dollars coming into King County so we can make sure funding directly to those in our community who has the most Úneeds.",21,,
74,0.97,573.472,585.117,We have an opportunity here to make a significant investment in helping to address the Harms caused by Covid both in terms of lost lives and lost livelihoods.,21,,
75,0.97,585.117,590.356,When you think both the physical health consequences of the economic health consequences imposed on our community.,21,,
76,0.97,590.356,598.064,"I want to recognize again that $160 million, even adding the extra $12 million from the home investment plan is not enough.",21,,
77,0.97,598.064,610.676,Today's package of $120 million is really important first step in this infusion provides an incredible one-time opportunity to commit resources to our communities most affected.,21,,
78,0.97,610.676,616.182,Is definitely not enough to create the equity Oh economy that we are all accountable to.,21,,
79,0.97,616.182,629.996,"This the first step in the first tranche to the building blocks that we will continue to put together throughout August, September, and October as we work on the budget in front of us and into the ongoing years.",21,,
80,0.97,629.996,636.302,"As a reminder, starting actually in July, we are going to have an opportunity to begin our conversations around the supplemental budget.",21,,
81,0.97,636.302,650.316,"We'll have a chance to look at the grant acceptance ordinance, strategic academic fund investments, and we will be able to support the city's equitable community initiative.",21,,
82,0.97,650.316,654.787,Along with the new economic revenue forecast that will bring us additional revenue opportunities to directly invest in those most impacted.,21,,
83,0.97,654.787,669.402,The third item on the full council agenda this afternoon's Council bill 12010 one which is a housing levy administrative and finance plan.,21,,
84,0.97,669.402,675.307,Have described this very briefly for folks who didn't have the chance to participate in the Finance and housing committee.,21,,
85,0.97,675.307,684.85,"This legislation offers the city the ability to update its affordable housing funding policies, it makes important updates and building feet, affordable housing.",21,,
86,0.97,684.85,692.758,"It is an opportunity for us to expand not just building housing, but really specifying where the housing should take place, and who should be in that housing.",21,,
87,0.97,692.758,706.672,"In 2009, through my Committee, Reworked to update the community preference policy framework including longer labor standards and replace the acquisition authority from the office of housing to name a few significant changes we made in 2019.",21,,
88,0.97,706.672,721.02,This update in 2021 offers the opportunity to couple those important changes by making sure that we are increasing the office of housing's homeownership subsidy to make sure we are adequately and equitably funding the construction of affordable homes.,21,,
89,0.97,721.02,736.202,We are moving--removing the cap on the acquisition authority when there are new revenue sources available so that the city can move quickly to seize opportunities to acquire properties for the creation of affordable housing given changes in the market.,21,,
90,0.97,736.202,747.813,I'll have more to say about all of the important but small changes we are making here as we really look to follow through on the previous changes that we made.,21,,
91,0.97,747.813,764.83,Thanks again to Aaron house for her work on the plan and the long with our team for the work on the Seattle rescue plan act.,21,,
92,0.97,764.83,773.606,In our Committee report we have the next Finance and housing Committee on July 9th at 9:30 A.M.,21,,
93,0.97,773.606,783.482,"We are still working on the agenda but some major components are the grocery worker hazard play, the South Park property transfer, and FTE legislation.",21,,
94,0.97,783.482,792.391,"And a few possible budget related items, notably the capital projects to be determined.",21,,
95,0.97,792.391,795.961,"And other updates, this Tuesday I will be joining the Association of Washington cities annual concert.",21,,
96,0.97,795.961,804.069,On Wednesday I'll be speaking at the University of Washington women's center for a national education women's leadership Institute program.,21,,
97,0.97,804.069,812.178,I will also be speaking in the evening at the urban design forum to discuss Seattle's existing small-scale neighborhood centers.,21,,
98,0.97,812.178,828.527,"Our current I would say Exclusionary zoning policies, to have a better understanding of how our city can continue to make changes to actually meet our goals of a 15 minute city planning concert that would connect neighborhoods and communities through the lens of a more equitable and Inclusionary zoning.",21,,
99,0.97,828.527,830.296,"Council President, I will go ahead and stop there.",21,,
100,0.97,830.296,833.098,We do have quite a bit of updates.,21,,
101,0.97,833.098,840.606,Just want to say thanks again to their work on the constantly getting out Ppe and mask donations.,21,,
102,0.97,840.606,846.512,"They done a tremendous job of working with folks like black dollar days task force, the West Seattle food bank.",21,,
103,0.97,846.512,850.783,The first Tongan nutrition program.,21,,
104,0.97,850.783,868.167,"So many more as more organizations that they have been working to donate masks and personal protective equipment to the community to make sure that we are continuing to address Covid as we also work on vaccinating, especially our most hardest to reach communities, and are more diverse neighborhoods.",21,,
105,0.97,868.167,875.341,"The board of health, want to just say Thursday we had our board of health meeting.",21,,
106,0.97,875.341,878.611,We had a briefing on the comprehensive view of the helmet law in King County.,21,,
107,0.97,878.611,887.953,"And its ramifications, especially ramifications on communities of color being disproportionately policed by the enforcement of that law.",21,,
108,0.97,887.953,899.732,"We talked a lot about the importance of wearing helmets, and the need to make sure that we are using helmets effectively and--and delivering helmets if we can, free.",21,,
109,0.97,899.732,913.145,"Especially to communities in low income areas and among communities of color, but the hardship and the public health crises that is being created by having disproportionate policing related to the helmet law is something that the board of health will begin taking up.",21,,
110,0.97,913.145,935.701,"It seemed unanimous in terms of our discussion that we will continue to look at how we can reform that antiquated approach as we look towards more Holistic public health solutions to making sure folks can wear a helmet, have access to it, but not are enforcing it through punitive and--harmful measures that rely on law enforcement only.",21,,
111,0.97,935.701,937.903,"Thank you so much, I will stop there.",21,,
112,0.97,937.903,944.209,Thank you so much Councilmember Mosqueda.,22,,
113,0.97,944.209,948.814,Are there any comments or questions on that report?,22,,
114,0.97,948.814,950.783,All right.,22,,
115,0.97,950.783,959.892,"Hearing none, I'll have some comments to make about the Seattle rescue plan, but in the interest of time this morning, I'm just going to save those for full council.",22,,
116,0.97,959.892,981.613,"I do just want to, in anticipation of that, thank Councilmember Mosqueda and your office and Mayor Durkan and her team and folks from CBO who really dug into the details and work really hard on so much of what is in the Seattle rescue plan.",22,,
117,0.97,981.613,984.249,Of course the analysis was a heavy participant as well.,22,,
118,0.97,984.249,992.091,Looking forward to making more comments about what is the most exciting part of the Seattle rescue plan from my perspective.,22,,
119,0.97,992.091,1001.867,"And thanks again for all of the work to get us to this point, to be able to finally take a final vote.",22,,
120,0.97,1001.867,1006.171,"With that being said, let's go ahead and go down the line to Councilmember Morales next, and after that, Councilmember Pedersen.",22,,
121,0.97,1006.171,1007.106,Good morning.,22,,
122,0.97,1007.106,1009.842,"Good morning, everyone.",23,,
123,0.97,1009.842,1016.548,There are no items from the community economic development Committee on today's agenda.,23,,
