index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,14.347,18.618,Thank you.,0,,
1,0.97,18.618,19.486,Good morning colleagues.,0,,
2,0.97,19.486,25.825,"The October 25th, 2021 meeting of the Land-Use and neighborhoods committee will come to order.",0,,
3,0.97,25.825,26.626,I am Dan Strauss.,0,,
4,0.97,26.626,29.396,Will the clerk called the role?,0,,
5,0.97,29.396,40.607,"Councilmember Pedersen, Councilmember Lewis, Councilmember Morales, chair Strauss.",1,,
6,0.97,40.607,41.408,Three present.,2,,
7,0.97,41.408,43.843,To buy.,3,,
8,0.97,43.843,45.578,The city of Seattle begins with land acknowledgment.,3,,
9,0.97,45.578,50.15,This is not meant as an external procedure for the viewing public.,3,,
10,0.97,50.15,59.659,It is a moment for us as committee members to reflect the for and engaging in the land on the Land-Use committee.,3,,
11,0.97,59.659,70.47,"Because this is a Land-Use many, this is why we reflect about history, of the land that we stand on.",3,,
12,0.97,70.47,75.775,"So we begin the meeting by acknowledging we are on the traditional and ancestral end of the first people of this region, past and present.",3,,
13,0.97,75.775,79.279,Represented in a number of tribes and as urban natives.,3,,
14,0.97,79.279,84.451,"In honor with gratitude, the land itself and people of this land.",3,,
15,0.97,84.451,91.858,We start with this acknowledgment to recognize the fact that we are guests on this land and we must Duard our land as such as guests.,3,,
16,0.97,91.858,98.798,It is not a checklist and does not give a passport to proceed however we desire.,3,,
17,0.97,98.798,105.205,"It is a reminder that we must Duard our work as guests, as our time here is short.",3,,
18,0.97,105.205,108.007,Thank you colleagues.,3,,
19,0.97,108.007,111.511,"For today's agenda we have one item, CF 314367.",3,,
20,0.97,111.511,121.221,"Application of 14302 development, LLC, and the Seattle housing authority, to Rezone portions of the lot located at 14302 30th Avenue NE and portions of the lot located at 14330 30th Avenue NE from single family 7200, SF 7200, to Lowrise 3, Lr3, multifamily residential, project no.",3,,
21,0.97,121.221,121.921,"3023581, type IV ..",3,,
22,0.97,121.921,125.525,"And the next meeting, it is one week from today on Monday, November 1ST, starting at 10:30 A.M.",3,,
23,0.97,125.525,129.929,"Or after Council briefing, devote on the item before us today.",3,,
24,0.97,129.929,133.933,I have a practice of having the items before the committee twice before voting them out.,3,,
25,0.97,133.933,138.338,For we begin if there is no objection the agenda will be adopted.,3,,
26,0.97,138.338,141.14,"Hearing no objection, agenda is adopted.",3,,
27,0.97,141.14,147.547,Here we will open the--for items on agenda.,3,,
28,0.97,147.547,150.817,"I ask that everyone please be patient, we want to operate the new system in real-time.",3,,
29,0.97,150.817,159.359,"As a reminder to the two people signed up for public comment, public comment is limited to items on today's agenda.",3,,
30,0.97,159.359,161.127,That is the past practice of this Committee.,3,,
31,0.97,161.127,175.241,"And because we have only one agenda item on today's agenda, and it is a I judicial Manor, council rule prohibits public comment.",3,,
32,0.97,175.241,180.146,"So as we are opening public Council comment, we will immediately close it.",3,,
33,0.97,180.146,184.05,"Public Council, it has been canceled for today.",3,,
34,0.97,184.05,203.303,"The public comment script, while it remains the strong intent have public comment regularly included on Agendas, the city--if we deem the system is abused or unsuitable for us to conduct necessary business.",3,,
35,0.97,203.303,212.011,"Will moderate public comment the following matter, up to 10 minutes with two minutes to speak.",3,,
36,0.97,212.011,216.649,Each Speaker will be called by name in the order of which they registered on the Council Website.,3,,
37,0.97,216.649,224.891,If you have not yet registered to speak but would like to you can sign up by going to the Council Website.,3,,
38,0.97,224.891,226.593,The link is listed on today's agenda.,3,,
39,0.97,226.593,230.63,Once I call in the speakers name the staff will immediately the microphone and prompt that is your turn to speak.,3,,
40,0.97,230.63,233.399,Please state your name and the agenda item in which you are addressing.,3,,
