index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,3.87,5.705,Thank you.,0,,
1,0.97,5.705,6.039,Good morning.,0,,
2,0.97,6.039,14.647,The April 26th 2022 meeting of the public safety and human services committee will come to order.,0,,
3,0.97,14.647,15.248,It's 9:31 A.M.,0,,
4,0.97,15.248,19.085,I'm Lisa Herbold.,0,,
5,0.97,19.085,23.923000000000002,Will the clerk please call the roll?,0,,
6,0.97,24.057,25.158,Chair Lewis?,1,,
7,0.97,25.291,26.76,Here.,2,,
8,0.97,26.76,27.327,Councilmember Mosqueda.,3,,
9,0.97,27.327,27.927,Present.,4,,
10,0.97,27.927,31.765,Councilmember Nelson.,5,,
11,0.97,31.765,32.332,Present.,6,,
12,0.97,32.332,33.833,Councilmember Pedersen.,7,,
13,0.97,33.833,34.401,Present.,8,,
14,0.97,34.401,34.801,Chair Herbold?,9,,
15,0.97,34.934,35.168,Here.,10,,
16,0.97,35.168,38.271,Five present.,11,,
17,0.97,38.271,38.671,Thank you.,11,,
18,0.97,38.671,43.176,Thank you so much.,12,,
19,0.97,43.176,45.912,We will hear five items.,12,,
20,0.97,45.912,52.419,The first will be an appointment by the police Commission referred to full Council and a vote scheduled for next week's meeting.,12,,
21,0.97,52.419,59.893,This is a Council appointment but one recommended for consideration by the police Commission.,12,,
22,0.97,59.893,62.662,"Again, we are not voting today.",12,,
23,0.97,62.662,64.364,This is referred directly to full council.,12,,
24,0.97,64.364,71.571,We will vote on that next week but we wanted a chance to hear from the applicant.,12,,
25,0.97,71.571,142.375,"We will hear a presentation on the city attorney's office, and we'll be hearing a quarterly report on the Seattle police Department's staffing and resolution of 320050 for police hiring and a Council bill that I will be introducing to the Department of human resources to amend personnel rules to include hiring limited to SPD to pay for not moving expenses for new hires and lift the proviso to allow for the moving expenses to be funded for police officers, other employees and hire additional Recruiters, next up, we would hear the Seattle police Department's presentation on the Gender- based violence investments, and finally a briefing on the legislation walking the staff through a memo including Stwif separate issue areas, and this item is on the agenda for presentation only.",12,,
26,0.97,142.375,146.279,Discussion time is limited.,12,,
27,0.97,146.279,151.05,No votes will be taken.,12,,
28,0.97,151.05,155.355,We'll move towards approving our agenda for the meeting.,12,,
29,0.97,155.355,163.129,"With no objections, today's agenda will be adopted.",12,,
30,0.97,163.129,167.1,"Hearing no objections, the agenda will be adopted.",12,,
