index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,15.982,19.219,Let's get the meeting started.,0,,
1,0.97,19.219,21.321,Thank you so much.,0,,
2,0.97,21.321,22.021,"Good morning, everyone.",0,,
3,0.97,22.021,22.355,Welcome back.,0,,
4,0.97,22.355,29.462,"Hope you had a good weekend, and the Council briefing meeting will come to order.",0,,
5,0.97,29.462,29.829,It's 9:30 A.M.,0,,
6,0.97,29.829,36.936,Will the clerk please call the roll?,0,,
7,0.97,36.936,37.237,Juarez?,1,,
8,0.97,37.237,37.504,Here.,2,,
9,0.97,37.504,38.204,Did you hear me?,3,,
10,0.97,38.204,42.175,I did.,4,,
11,0.97,42.175,42.509,Thank you.,4,,
12,0.97,42.509,43.71,I'm sorry.,4,,
13,0.97,43.71,45.211,Thank you.,4,,
14,0.97,45.211,48.081,Councilmember Lewis?,5,,
15,0.97,48.081,52.952,Present.,6,,
16,0.97,52.952,54.454,Morales?,7,,
17,0.97,54.454,54.821,Here.,8,,
18,0.97,54.821,60.093,Mosqueda.,9,,
19,0.97,60.093,62.028,Present,10,,
20,0.97,62.028,62.495,Pedersen?,11,,
21,0.97,62.495,67.634,Here.,12,,
22,0.97,67.634,67.934,Sawant.,13,,
23,0.97,67.934,72.105,Present.,14,,
24,0.97,72.105,75.575,Strauss?,15,,
25,0.97,75.575,75.842,Here.,16,,
26,0.97,75.842,77.21,And Herbold?,17,,
27,0.97,77.21,79.145,Here.,18,,
28,0.97,79.145,80.713,President Juarez?,19,,
29,0.97,80.713,81.614,"Thank you, present.",20,,
30,0.97,81.614,83.249,The minutes are adopted.,21,,
31,0.97,83.249,95.395,I will skip the President's report today and I'll make the remarks in the normal report for agenda item four.,21,,
32,0.97,95.395,113.98,"And let's go ahead and welcome our Presenters on agenda item number 3, and we have members of the office of the Intergovernmental relations, and they are slated to be with us until a little after 10:00 this morning.",21,,
33,0.97,113.98,127.694,I will hand it over to the director Lily Wilson-Codega who will facilitate introductions for the members of her team with us this morning.,21,,
34,0.97,127.694,133.333,"Lily Wilson-Codega, director of the office of Intergovernmental relations.",22,,
35,0.97,133.333,134.868,And I'll pass to Robin,22,,
36,0.97,134.868,136.135,Robin Koskey.,23,,
37,0.97,136.135,140.073,And I'll pass it to Quinn.,23,,
38,0.97,140.073,147.68,"Quinn Majeski, state relations director, and I will pass it to Hannah.",24,,
39,0.97,147.68,150.416,"I'm Hannah Smith, program director.",25,,
40,0.97,150.416,153.553,"Good morning, Councilmember Gonzalez and Councilmembers.",26,,
41,0.97,153.553,161.828,We are before you with your first state legislative briefing of the year and moving into the second week of the 2021 legislative session.,26,,
42,0.97,161.828,179.012,"This year, it's a long 105 day session where the leaders will write their biannual budget, and there were significant modifications that I will touch on briefly given the Coronavirus pandemic and recent security threat provoked by President Trump.",26,,
43,0.97,179.012,188.121,So the Capitol is currently closed to the public.,26,,
44,0.97,188.121,195.995,All advocacy is conducted remotely and the National Guard has been secured given the need for heightened security.,26,,
45,0.97,195.995,204.137,"My understanding is this will in place through Inauguration day, potentially longer, and we'll keep you posted.",26,,
46,0.97,204.137,228.361,"There are Democratic Majoritys in both chambers and legislative leadership in the house and Senate let us know their focus is for Covid Ray leaf and police change and equity, and given that it's a budget writing year, the state and local government are in need of resources for housing and believe services.",26,,
47,0.97,228.361,231.264,Revenue reform is high on the priority list.,26,,
48,0.97,231.264,242.175,We are hearing of growing interest in capital gains and other proposals in an effort to address tax incentives.,26,,
49,0.97,242.175,249.582,Quinn is our expert and will dive into that more in his report.,26,,
50,0.97,249.582,276.876,"We were making final changes from updates that we received late in the evening last night and just as we run through them for today, Quinn will provide an update on budget and revenue and education and general government, and Hannah the priorities and Robin will cover police reform and public housing and safety and mental illness.",26,,
51,0.97,276.876,290.556,I want to thank the gratitude to meet with the key allies in Olympia including Senator Wynn and representative frame to help us advance meaningful police and arrive new reform.,26,,
52,0.97,290.556,320.119,"I would like to thank Councilmember Herbold for participating in last week's sent labor Committee, speaking on their police arbitration reform proposals and on the De- certification bill, and with that, I'll turn to Quinn Majeski, our director.",26,,
53,0.97,320.119,322.055,"Good morning, Lily and Councilmembers.",27,,
54,0.97,322.055,329.228,I will go through the arrive new and education and environment and I will be back at the end for a quick update on transportation.,27,,
55,0.97,329.228,333.132,I'll pause at the end of each section for any questions.,27,,
56,0.97,333.132,343.609,"I'm going to cover the major bills, and if you have questions on any of the other bills listed, please feel free.",27,,
57,0.97,343.609,351.084,"Page one, the Capitol budget and operating budget are governor Inslee's proposed budget.",27,,
58,0.97,351.084,355.955,They received a hearing last week to a wide range of responses.,27,,
59,0.97,355.955,357.924,We've provided an update on those in December.,27,,
60,0.97,357.924,367.1,"Unless there are questions, I will go ahead and jump ahead to the capital gains tax proposal and discuss that briefly.",27,,
61,0.97,367.1,372.138,1596 is the capital gains tax proposal and also received a hearing last Thursday.,27,,
62,0.97,372.138,385.051,"There was, again, sort of a wide range as you might expect from advocates strongly in support of the proposal to those who are significantly against it.",27,,
63,0.97,385.051,390.523,The governor's proposal would Institute a 9 percent capital gains tax.,27,,
64,0.97,390.523,400.433,"There would be an exemption for capital gains under 25,000 for single Filers or 50,000 for joint Filers.",27,,
65,0.97,400.433,413.78,"There is an exemption for the sale of residential property, retirement pensions, and a handful of other categories, most related to Agriculture and other natural resources.",27,,
66,0.97,413.78,422.455,We have heard that the Senate Democrats are likely to introduce their own capital gains tax proposal later in the session.,27,,
67,0.97,422.455,426.926,The House may come out with theirs as well.,27,,
68,0.97,426.926,442.375,"So while this bill did kick off the discussion on capital gains, we do anticipate that there will be further Iteration and future discussion likely coming later in session as we get closer to serious budget negotiations.",27,,
69,0.97,442.375,454.387,"I do also want to touch on one Pre-Bill, a Protobill that is not on the list yet because it hasn't been filed yet.",27,,
70,0.97,454.387,457.089,The state wide payroll tax.,27,,
71,0.97,457.089,477.276,"This is legislation that the representatives are working on, Mackey and Springer, and it would Institute a state wide higher payroll tax on corporations, similar in which ways to the tax that was adopted last summer here at the local level.",27,,
72,0.97,477.276,522.655,"The current Iteration--and I would caution that this is very much a bill still in development and is likely to change, and I want to provide the information at this point but the current Iteration would Institute a tax on a--a statewide payroll tax on employers who employ more than $150,000 a year, and two tiers, a tier for employers whose gross receipts are between 7,0 00,100,000,000, .25 percent and for those over $100 million, point five percent.",27,,
73,0.97,522.655,532.031,"And it's similar in ways to the local measure adopted here but, obviously, has fewer tiers and a lower overall rate.",27,,
74,0.97,532.031,550.049,"The estimates that we've heard for this would be what is fully implemented and up and running at the state level which would be between $160,000,190,000,000 per year.",27,,
75,0.97,550.049,555.688,"So given the lower rates, actually less money than in the city of Seattle's version.",27,,
76,0.97,555.688,573.773,"There is--I know this is a point of concern, so I want to let folks know that there is currently no Preemption in the legislation but a topic of discussion and one we are monitoring closely and it's of interest to all of you.",27,,
77,0.97,573.773,576.342,Know that is very much on our radar.,27,,
78,0.97,576.342,582.782,We don't have an anticipated date for introduction of the payroll tax.,27,,
79,0.97,582.782,591.457,It's likely similar to the further Iterations for the capital gains tax to come later in session in February or potentially March.,27,,
80,0.97,591.457,598.497,I will--we'll cause in the budget and revenue category and see if there are any questions.,27,,
81,0.97,598.497,608.107,"Any questions or comments, and I would encourage you to use the raise your hand feature in zoom if you are able to.",28,,
82,0.97,608.107,628.961,"They made it easier to see on your bar at the bottom, easier to use, and if you can't find it, just let me know that you have questions or comments by just raising your hand if your camera is on or sending a message, and.",28,,
83,0.97,628.961,636.569,"So thank you, Madam President.",29,,
84,0.97,636.569,649.348,"Director Majeski, in the current Iteration proposed with governor Inslee's capital gains tax, when you said residential property, is that broadly all residential properties or primary residence?",29,,
85,0.97,649.348,660.86,I know a lot of previous bills included the primary residence.,29,,
