index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,15.615,16.082,Good morning.,0,,
1,0.97,16.082,29.028,"The September 14, 2022 meeting of the economic development, technology, and city light committee will come to order.",0,,
2,0.97,29.028,29.863,It is 9:33.,0,,
3,0.97,29.863,31.898,"I am Sara Nelson, chair of the committee.",0,,
4,0.97,31.898,33.5,Will the clerk please call the roll?,0,,
5,0.97,33.5,37.37,Council President Juarez.,1,,
6,0.97,37.37,38.538,Here.,2,,
7,0.97,38.538,42.442,Councilmember Strauss.,3,,
8,0.97,42.442,42.842,Present.,4,,
9,0.97,42.842,46.112,Councilmember Herbold.,5,,
10,0.97,46.112,48.081,Here.,6,,
11,0.97,48.081,52.085,Councilmember Nelson.,7,,
12,0.97,52.085,54.521,Present.,8,,
13,0.97,54.521,55.221,Five present.,9,,
14,0.97,55.221,61.728,"Okay, there are nine items on today's agenda.",10,,
15,0.97,61.728,63.997,A discussion and possible vote on an ordinance establishing Seattle film Commission.,10,,
16,0.97,63.997,73.306,A briefing by the office of economic development on recovery investments and discussion and possible vote on Reappointments to the Seattle music Commission.,10,,
17,0.97,73.306,78.211,A possible vote on the city lights 2023 2024 rate ordinance.,10,,
18,0.97,78.211,82.449,Independent audit.,10,,
19,0.97,82.449,92.559,And a discussion of possible vote on three Reappointments to Seattle city lights review panel.,10,,
20,0.97,92.559,101.768,"If there is no objection, the order of the agenda will be changed to move Council bill 120411 from item five to item nine.",10,,
21,0.97,101.768,103.002,I am not seeing any objection.,10,,
22,0.97,103.002,106.84,The items will be heard in this order on the agenda.,10,,
23,0.97,106.84,111.711,"Okay, hearing no objection, the agenda is adopted.",10,,
24,0.97,111.711,114.981,With that we will move into public comment on items listed on the agenda.,10,,
25,0.97,114.981,122.722,"And we will roll the Video, please.",10,,
26,0.97,130.964,135.268,Built on indigenous land.,11,,
27,0.97,135.268,144.043,The Seattle city council WELCOMES remote public comment and is eager to hear from residents of our city.,11,,
28,0.97,144.043,153.353,"If you would like to be a Speaker and provide a verbal public comment, you may register two hours prior to the meeting the other Seattle city council Website.",11,,
29,0.97,153.353,155.588,Here is some information about the public comment proceedings.,11,,
30,0.97,155.588,161.194,Speakers are called upon the order in which they registered on the Council's Website.,11,,
31,0.97,161.194,168.535,Each Speaker must call in from the phone number provided when they registered Online and use the meeting I.D.,11,,
32,0.97,168.535,171.17,And Passcode that was Emailed upon confirmation.,11,,
33,0.97,171.17,179.112,"If you did not receive an Email confirmation, please check your Spam or junk mail folders.",11,,
34,0.97,179.112,181.881,"A reminder, a Speaker meeting I.D.",11,,
35,0.97,181.881,188.087,Is different from the general listen line meeting I.D.,11,,
36,0.97,188.087,188.888,Provided on the agenda.,11,,
37,0.97,188.888,201.1,"Once a Speaker's name is called, the speakers microphone will be Unmuted and an automatic prompt will say the host would like you to Unmute your microphone.",11,,
38,0.97,201.1,203.336,That is your Queue that it is your turn to speak.,11,,
39,0.97,203.336,206.973,At that time you must press Á6.,11,,
40,0.97,206.973,212.011,"You will then hear a prompt of, you have been Unmuted.",11,,
41,0.97,212.011,216.95,Make sure you are Unmuted on your end.,11,,
42,0.97,216.95,220.587,Begin by stating your name and the item you are addressing.,11,,
43,0.97,220.587,224.657,A Chime will sound when 10 seconds are left on your allotted time.,11,,
44,0.97,224.657,226.693,As a gentle reminder to wrap up your public comments.,11,,
45,0.97,226.693,236.035,"At the end of the allotted time, your microphone will be muted and the next Speaker registered will be called.",11,,
46,0.97,236.035,248.014,"Once speakers have completed providing public comment, please Disconnect from the public comment line and join us by following the meeting via the Seattle channel broadcast or the listening line option listed on the agenda.",11,,
47,0.97,248.014,262.028,The Council reserves the right to eliminate public comment if the system is being abused or if the process Impedes the Council ability to conduct its business on behalf of residents of the city.,11,,
48,0.97,262.028,273.606,Any offensive language that is disruptive to these proceedings or that is not focused on an appropriate topic as specified in Council rules may lead to the Speaker being muted by the Presiding officer.,11,,
49,0.97,273.606,285.785,Our hope is to provide an opportunity for productive discussions that will assist orderly consideration of issues before the Council.,11,,
50,0.97,285.785,291.424,The public comment period is now open and we will begin with the first Speaker on the list.,11,,
51,0.97,291.424,302.035,"Please remember to press Á6 after you hear the prompt of, you have been Unmuted.",11,,
52,0.97,302.035,303.903,"Thank you, Seattle.",11,,
53,0.97,303.903,308.341,"Okay, today we will start with people in person to give comment and everyone will have two minutes.",12,,
54,0.97,308.341,313.846,Could you please give me the list?,12,,
55,0.97,313.846,318.151,And please state your name.,12,,
56,0.97,318.151,319.452,Before you speak.,12,,
57,0.97,319.452,324.824,"Okay,--Boyd, please.",12,,
58,0.97,324.824,329.062,"Oh, this microphone is not on.",12,,
59,0.97,329.062,339.038,Good morning.,13,,
60,0.97,339.038,343.276,"Good morning, city Councilmembers and Councilmember Nelson.",13,,
