index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,16.816,26.159,Welcome to the collect budget meet.,0,,
1,0.97,26.159,27.761,I'm Teresa Mosqueda.,0,,
2,0.97,27.761,30.096,"It's September, 29, 2021.",0,,
3,0.97,30.096,38.738,"Madame clerk, will you please call the roll?",0,,
4,0.97,38.738,39.539,Gonzales.,1,,
5,0.97,39.539,40.673,Here.,2,,
6,0.97,40.673,42.175,Herbold?,3,,
7,0.97,42.175,43.443,Here.,4,,
8,0.97,43.443,45.478,Juarez?,5,,
9,0.97,45.478,45.745,Here.,6,,
10,0.97,45.745,47.714,Lewis?,7,,
11,0.97,47.714,49.816,Present.,8,,
12,0.97,49.816,52.118,Pedersen?,9,,
13,0.97,52.118,56.656,Here.,10,,
14,0.97,56.656,56.956,Morales?,11,,
15,0.97,56.956,57.857,Here.,11,,
16,0.97,57.857,58.425,Strauss?,12,,
17,0.97,58.425,58.758,Present.,13,,
18,0.97,58.758,60.56,And chairman Mosqueda.,14,,
19,0.97,60.56,60.994,Nine present.,15,,
20,0.97,60.994,69.803,I appreciate the full committee as we craft the 2022 budget.,16,,
21,0.97,69.803,72.572,"Colleagues, today, we have a full day of activities.",16,,
22,0.97,72.572,78.545,I expect the morning session may be lighter and the afternoon may be heavier.,16,,
23,0.97,78.545,86.953,All day today we have a packed agenda as well as Friday.,16,,
24,0.97,86.953,92.258,"Any budgets presentations not in during allocated time, we have time on Friday to wrap up what has not been completed.",16,,
25,0.97,92.258,112.412,Today we begin with the presentation from our essential staff director Esther handy and also Aly Pennucci our lead staff from central staff who will provide an overview of the budget process and an introduction to the budget that the Council has received as a proposal from the Mayor.,16,,
26,0.97,112.412,116.282,We will start with the city budget office welcoming Ben noble and his team.,16,,
27,0.97,116.282,120.053,"Recess at 1:00 p.m., and we will return for the second session.",16,,
28,0.97,120.053,134.033,"In the second session this afternoon, the office of economic development, the office of Sustainability and the environment, and the office of education and early learning will be present with us to go through the proposed budgets for those departments.",16,,
29,0.97,134.033,140.673,"If there's no objection to today's agenda, it will be adopted.",16,,
30,0.97,140.673,149.949,"Hearing no objection, the agenda for today including session one and session two is adopted.",16,,
31,0.97,149.949,166.132,"Callers, I want it let you know what is notable this year, we have added an additional public hearing to take place in the evening, and we have added a public hearing in the morning as well.",16,,
32,0.97,166.132,168.334,Three public hearings this budget session.,16,,
33,0.97,168.334,177.143,"That means this year for the regular budget select budget committees, we will start with public comment, as usual, but we will have a hard stop at 10:00 A.M.",16,,
34,0.97,177.143,178.545,On each day for public comment.,16,,
35,0.97,178.545,190.223,"We will endeavor to get through everyone who is present on the list today, but if there are folks who are present and not able to comment before 10:00 a.m., then they will need to call in for the next budget meeting.",16,,
36,0.97,190.223,209.142,"It will be our practice to make sure that public comment is available at the beginning of every meeting, and of course, if you're not able able to call in and provide public comment, we will provide the public hearing opportunities, and you can always reach us at Council.Seattle.Gov.",16,,
37,0.97,209.142,211.811,"Colleagues, we are going to move into the public comment.",16,,
38,0.97,211.811,214.48,We do have 13 people signed up for public comment.,16,,
39,0.97,214.48,218.851,We are going to give folks the full two minutes to speak.,16,,
40,0.97,218.851,221.955,We will end at 10:00 A.M.,16,,
41,0.97,221.955,226.459,The public comment for this meeting will begin with the first three speakers on the list.,16,,
42,0.97,226.459,228.895,I will call in the order registered.,16,,
43,0.97,228.895,237.437,If you have not signed up but would like to Seattle.Gov/Council.,16,,
44,0.97,237.437,244.11,"Once I call your name, the staff will Unmute you, and you will hear on your line you have been Unmuted.",16,,
45,0.97,244.11,246.279,That's your Cue to hit Star six.,16,,
46,0.97,246.279,252.085,"Star six Unmutes your line, and that's your opportunity to begin speaking by stating your name.",16,,
47,0.97,252.085,256.856,Please NOTE the item you're calling to comment on on today's agenda.,16,,
48,0.97,256.856,260.86,"Since this is the select budget committee, I think everything fits into the category.",16,,
49,0.97,260.86,262.895,We welcome your public comment.,16,,
50,0.97,262.895,266.065,You will hear a Ten-Second Chime at the end of the allotted time.,16,,
51,0.97,266.065,276.542,"We don't want to cut you off, but we will provide the opportunity for the next Speaker to begin speaking if you don't wrap up your comment relatively quickly after your time has expired.",16,,
52,0.97,276.542,278.945,Thank you for calling in.,16,,
53,0.97,278.945,292.258,"Once you are done speaking, please Disconnect and follow the meet the on the Seattle channel or the Listen-In options on the agenda.",16,,
54,0.97,292.258,295.061,"Colleagues, thank you again for being here.",16,,
55,0.97,295.061,302.201,"Again, when you hear you are Unmuted, hit Star six.",16,,
56,0.97,302.201,306.773,Jess is the first Speaker present.,16,,
57,0.97,306.773,307.24,"Good morning, Jess.",16,,
58,0.97,307.24,309.509,"Good morning, thank you.",17,,
59,0.97,309.509,310.143,Good morning Council.,17,,
60,0.97,310.143,313.78,I'm an Organizer with dream 50 Seattle.,17,,
61,0.97,313.78,317.583,I'm here with several other solidarity budget supporters.,17,,
62,0.97,317.583,325.058,Briefings this week on the Mayor's proposed budget and we wanted to make sure Y'all got briefed on the solidarity budget.,17,,
63,0.97,325.058,329.162,I want to recognize all the work that staff has done leading up to today.,17,,
64,0.97,329.162,335.134,They have spent months putting together the budget proposal with a lot of attention to detail and hard work.,17,,
65,0.97,335.134,341.574,I can imagine this because we have been doing the same.,17,,
