index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,2.902,5.405,I'm chair of the select budget committee.,0,,
1,0.97,5.405,8.375,The meeting are come to order.,0,,
2,0.97,8.375,22.555,Will the clerk please call the roll.,0,,
3,0.97,22.555,24.557,Council member Gonzale.,1,,
4,0.97,24.557,26.459,Council member Herbold.,2,,
5,0.97,26.459,27.327,Here.,3,,
6,0.97,27.327,28.395,Council member Juarez.,4,,
7,0.97,28.395,28.661,Here.,5,,
8,0.97,28.661,33.867,Council member Lewis.,6,,
9,0.97,33.867,34.167,Present.,7,,
10,0.97,34.167,38.238,Council member Morales.,8,,
11,0.97,38.238,43.243,Council member Morales.,9,,
12,0.97,43.243,48.915,Council member Pedersen.,10,,
13,0.97,48.915,49.983,Here.,11,,
14,0.97,49.983,51.651,Chair Mosqueda.,12,,
15,0.97,51.651,54.254,Present.,13,,
16,0.97,54.254,55.789,Eight present.,14,,
17,0.97,55.789,56.423,Thank you so.,15,,
18,0.97,56.423,58.792,Did you get Council member Morales?,15,,
19,0.97,58.792,59.392,She is present as well.,15,,
20,0.97,59.392,62.996,I did not get confirmation.,16,,
21,0.97,62.996,63.563,Council member Morales.,16,,
22,0.97,63.563,68.168,We will give her one second.,17,,
23,0.97,68.168,72.572,I saw her come on Video.,17,,
24,0.97,72.572,72.772,Yes.,17,,
25,0.97,72.772,73.006,Sorry.,17,,
26,0.97,73.006,73.206,Here.,17,,
27,0.97,73.206,73.54,Thank you.,18,,
28,0.97,73.54,73.873,Nine present.,18,,
29,0.97,73.873,76.509,Thank you very much Madam clerk.,19,,
30,0.97,76.509,78.812,Thank you Council colleagues.,19,,
31,0.97,78.812,82.449,I know this is slated to be another long day.,19,,
32,0.97,82.449,89.055,I appreciate your participation and engage today.,19,,
33,0.97,89.055,90.523,Thank you for Council member Juarez.,19,,
34,0.97,90.523,100.967,I want to thank you all for your row boast participation and having a full council participate at select budget.,19,,
35,0.97,100.967,109.042,"If there is no objection, today's Ascreen Da will be adopted.",19,,
36,0.97,109.042,114.647,"Hearing no objection, the agenda is adopted.",19,,
37,0.97,114.647,115.715,We have a robust discussion.,19,,
38,0.97,115.715,122.856,In session two in the afternoon we will have a full afternoon devoted to issues related to the Seattle police Department.,19,,
39,0.97,122.856,128.261,Council central staff will present issues and options as they have identified through their own independent analysis.,19,,
40,0.97,128.261,134.567,And we will be presenting those issues to the select budget committee.,19,,
41,0.97,134.567,145.945,"Then we will have a chance to hear from the central staff on the form as and those will be presented by central staff, a quick overview.",19,,
42,0.97,145.945,152.719,"As we did last week, you will have the chance to briefly provide context to those issues.",19,,
43,0.97,152.719,155.688,I'm going to try to move us moving along for today.,19,,
44,0.97,155.688,160.56,"At two minutes if you're describing your issue, you will see me come off of mute.",19,,
45,0.97,160.56,171.571,That is an indication to wrap it up so we can see if there are other members from Council members and make sure that we move on to the other items on the agenda.,19,,
46,0.97,171.571,176.643,We did have a chance to adjourn on time on all of our meetings last week.,19,,
47,0.97,176.643,177.243,I appreciate that.,19,,
48,0.97,177.243,184.584,As a reminder you will have a break between 1:00 and 2:00 P.M.,19,,
49,0.97,184.584,189.722,For lunch and make sure that everybody gets the rest that they need.,19,,
50,0.97,189.722,190.39,We had over 150.,19,,
51,0.97,190.39,193.993,We want to keep the conversation moving along as best as possible.,19,,
52,0.97,193.993,196.129,We want to fully understand the issues.,19,,
53,0.97,196.129,201.467,"Just a reminder if you have questions or issues you would like to raise, this is not necessarily a debate.",19,,
54,0.97,201.467,206.606,But wanting to make sure that you get your questions answered.,19,,
55,0.97,206.606,208.041,This is a great time to to that.,19,,
56,0.97,208.041,217.15,Just like last week we want to make sure that we get a chance to hear from the public as well as hear from each of you on the questions that are coming up.,19,,
57,0.97,217.15,225.892,So we have built in the first 30 minutes for public testimony today.,19,,
58,0.97,225.892,236.402,I want to remind folks it is our extreme intent to make sure that we do get the chance to hear public comment at every meeting at least for the first 30 minutes.,19,,
59,0.97,236.402,240.773,The public comment period here today we have almost 30 people signed up.,19,,
60,0.97,240.773,248.481,So I am going to ask the it folks to give us a minute and a half.,19,,
61,0.97,248.481,252.352,Adjust your comments Accordingly to get through all of the speakers on time.,19,,
62,0.97,252.352,256.856,If you have not yet registered to provide public comment you can do so Online.,19,,
63,0.97,256.856,270.236,"If you are not able to join us to present today, just a reminder that we have a robust public hearing next Tuesday, October 27th at 5:30 P.M.",19,,
64,0.97,278.144,284.751,"If you have been called, please push Star 6 to Unmute your line and we will Unmute our line.",19,,
65,0.97,284.751,286.185,Both actions need it take place.,19,,
66,0.97,286.185,289.088,Double check that you don't have your phone also on mute.,19,,
67,0.97,289.088,290.156,That has come up before.,19,,
68,0.97,290.156,292.492,We want to make sure that we hear from everyone.,19,,
69,0.97,292.492,310.777,"Thank you for stating your name and also when you hear the 10- second Chimer at the end of the time slot, wrap up your comment so you don't get cut off and then hang up and dial in on the listen line or watch Online.",19,,
70,0.97,310.777,312.345,The public comment period is now open.,19,,
71,0.97,312.345,317.35,We will make sure to get through as many people as are present.,19,,
72,0.97,317.35,326.759,"The first three are Megan Cruz, Jill Anderson and Howard Gail.",19,,
73,0.97,326.759,329.462,"Megan, good morning.",19,,
74,0.97,329.462,331.531,Star 6 to Unmute yourself.,20,,
75,0.97,331.531,333.399,"Hi there, Megan.",21,,
76,0.97,333.399,335.935,Please go ahead.,21,,
77,0.97,335.935,336.269,Hi.,22,,
78,0.97,336.269,336.636,Good morning.,22,,
79,0.97,336.636,336.836,Yes.,22,,
80,0.97,336.836,337.236,Megan Cruz here.,22,,
81,0.97,337.236,341.174,I'm here to talk about public safety and the budget.,22,,
82,0.97,341.174,343.009,I have lived in district 7 for over 30 years.,22,,
83,0.97,343.009,350.783,"I would like to start by saying I really support the new programs, the lead reach, help one.",22,,
84,0.97,350.783,355.388,"Once they are scaled, they will make a huge difference in the community.",22,,
85,0.97,355.388,355.888,They're long overdue.,22,,
86,0.97,355.888,361.127,But still we have to address violence that occurs regularly in my neighborhood.,22,,
87,0.97,361.127,365.198,Much is related to an Opare drug market operating for years.,22,,
88,0.97,365.198,377.61,The violence that comes out of this area touches hundreds of residents that live within a block of the corner and thousand that's have catch the bus.,22,,
89,0.97,377.61,381.514,A man tried to shield me from a group wanting to beat them up.,22,,
90,0.97,381.514,387.72,They got me out of the way and pummeled them in front of bus riders.,22,,
91,0.97,387.72,389.288,Looking back I was fortunate.,22,,
92,0.97,389.288,395.228,The next day a woman lost her life when she was killed by stray gunfire.,22,,
93,0.97,395.228,402.168,"The point is as we work to change racism, it doesn't mean that we don't need police.",22,,
94,0.97,402.168,405.238,Who do you call when people are willing to use deadly false.,22,,
95,0.97,405.238,410.009,I ask to you put aside the slogans and the arbitrary percentages.,22,,
96,0.97,410.009,414.847,Please keep in mind third and Pike and the other spots in the city like it.,22,,
97,0.97,414.847,419.752,Engage direct with police to see what they need to keep people safe.,22,,
98,0.97,419.752,422.088,This budget is one on which lives will depend.,22,,
99,0.97,422.088,423.756,Thank you.,22,,
100,0.97,423.756,429.762,Thank you very much Megan.,23,,
101,0.97,429.762,438.271,"And folks on the public testimony list, we have to scale it to one minute to get through everyone in the 30- minute time slot.",23,,
102,0.97,438.271,438.704,Apologies on that.,23,,
103,0.97,438.704,439.138,"Megan, thank you.",23,,
