index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,2.001,8.942,Will the clerk please call the roll?,0,,
1,0.97,8.942,9.509,Councilmember Strauss?,1,,
2,0.97,9.509,14.948,Councilmember Herbold?,1,,
3,0.97,14.948,20.019,Councilmember Juarez?,1,,
4,0.97,20.019,20.453,Councilmember Lewis?,1,,
5,0.97,20.453,24.891,Present.,2,,
6,0.97,24.891,27.394,Councilmember Morales?,3,,
7,0.97,27.394,29.929,Here.,4,,
8,0.97,29.929,35.468,Councilmember Mosqueda?,5,,
9,0.97,35.468,36.803,Here.,6,,
10,0.97,36.803,42.542,Councilmember Pedersen?,7,,
11,0.97,42.542,42.776,Here.,8,,
12,0.97,42.776,43.977,Councilmember Sawant?,9,,
13,0.97,43.977,44.21,Here.,10,,
14,0.97,44.21,46.679,Councilmember Strauss?,11,,
15,0.97,46.679,46.913,Present.,11,,
16,0.97,46.913,48.648,I see him.,12,,
17,0.97,48.648,50.65,Thank you.,12,,
18,0.97,50.65,53.086,And Council President Gonzalez?,13,,
19,0.97,53.086,53.319,Here.,14,,
20,0.97,53.319,53.72,Seven present.,15,,
21,0.97,53.72,58.224,"I'm sorry, how many were present, Jodie?",16,,
22,0.97,58.224,58.491,Seven.,17,,
23,0.97,58.491,58.858,Thank you.,18,,
24,0.97,58.858,66.166,"If there is no objection, the minutes of May 5th, 2020, will be adopted.",18,,
25,0.97,66.166,69.035,"Hearing no objection, the minutes are adopted.",18,,
26,0.97,69.035,81.881,"President's report, I do not have anything to report today, so we'll go ahead and jump on in to the presentation on the Co-Law enforcement assisted diversion L.E.A.D.",18,,
27,0.97,81.881,82.115,Program.,18,,
28,0.97,82.115,97.063,"We have with us today a few Presenters, Lisa Daugaard, the presenter with the public defender's Association, we have Jesse Benet, Melodie Reece and Leontai Berry.",18,,
29,0.97,97.063,102.802,"Councilmember Lewis, do you want to make remarks on this subject before I hand it over?",18,,
30,0.97,102.802,125.758,"Yes, thank you, Madam President, just very briefly, so over the last couple of weeks, I have had the privilege of working with Lisa Daugaard and other folks at the public defender Association, the talk about Co-Lead and the possibility of bringing Co-Lead to the city of Seattle and the services they're providing.",19,,
31,0.97,125.758,186.619,"I'll leave it obviously to them and their presentation to explain what Co-Lead is, but, you know, as we are working through a lot of our challenges of having, still having a lot of our neighbors living outside during the Covid-19 crisis and seeing that we need a lot of different tools in our tool box to provide out reach in the changing and evolving environment, some of the success that I have seen from talking to people at King County and talking to people in other jurisdictions that Co-Lead has been able to do in Burien and other parts of King County and providing out reach and getting people inside and getting people access to wrap around services has been really instrumental to making sure that there is a lot of different tools and services for people to live with dignity during this crisis.",19,,
32,0.97,186.619,192.759,I know Councilmembers Herbold and Strauss has been working with them for the last couple of weeks.,19,,
33,0.97,192.759,206.606,I got the idea to try to arrange a presentation during the briefing when I held the Bia directors put together a similar presentation last week which was great and I was glad to have been a part of that as well.,19,,
34,0.97,206.606,227.56,"I'm looking forward to seeing it again and hearing from our team here that we have from the PDA and looking at ways we could partner as a city and take advantage of some of the services with that, I want to turn it over to the presenting panel and hear what folks have to say.",19,,
