index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,19.853,20.353,Colleagues.,0,,
1,0.97,20.353,23.156,"September 15, 2020 special meeting of the Seattle city council will come to order.",0,,
2,0.97,23.156,24.624,It is 1:02 PM.,0,,
3,0.97,24.624,29.662,"I am Lorena Gonzcez, president of the Council.",0,,
4,0.97,29.662,35.168,"Will the Klieg, cold roll.",0,,
5,0.97,35.168,35.802,Councilmember Warren is.,1,,
6,0.97,35.802,37.971,Councilmember Lewis.,1,,
7,0.97,37.971,38.505,Councilmember Mireles.,1,,
8,0.97,38.505,42.075,Councilmember must get a.,1,,
9,0.97,42.075,45.945,Councilmember Pedersen.,1,,
10,0.97,45.945,46.446,Councilmember Strauss.,1,,
11,0.97,46.446,47.18,Present.,2,,
12,0.97,47.18,52.185,Councilmember Herbal-Tran14.,3,,
13,0.97,52.185,56.289,Council President Gonzales.,4,,
14,0.97,56.289,56.856,Here.,5,,
15,0.97,56.856,57.357,8 present.,6,,
16,0.97,57.357,61.294,"Thank you, Madam clerk.",7,,
17,0.97,61.294,78.678,"Again, for the public record in terms of roll call, Councilmember Kshama Sawant is excused from attending the special meeting of the Council due to her need to Recuse herself from consideration of this counsel bill.",7,,
18,0.97,78.678,79.279,"Ethics, or ethics officer.",7,,
19,0.97,79.279,81.581,William Barnett.,7,,
20,0.97,81.581,84.284,And-Has advised us that she must Recuse herself.,7,,
21,0.97,84.284,95.462,"Because this counsel bill inherently is, represents a financial interest for her, given the subject matter of that.",7,,
22,0.97,95.462,105.271,"So, wanted to make sure that the record is clear that Councilmember Sawant has Recused herself and is not in attendance at today's special full council meeting.",7,,
23,0.97,105.271,111.511,We will move on through the approval of the agenda.,7,,
24,0.97,111.511,114.214,"If there is no agenda, The- objection the agenda will be adopted.",7,,
25,0.97,114.214,119.252,"Hearing no objection, the agenda is Abductive.",7,,
26,0.97,119.252,125.158,"Okay, colleagues, we have one agenda item on today's agenda, published agenda.",7,,
27,0.97,125.158,131.965,That is agenda item 1. will the clerk please read item 1 into the record?,7,,
28,0.97,131.965,134.067,"Agenda item 1, 119891.",8,,
29,0.97,134.067,150.783,Relating to The-Councilmember Kshama Sawant and traditional proceedings calling a recall charge necessary to defend Kshama Sawant of this proceeding -.,8,,
30,0.97,150.783,151.751,"Thank you, Madam clerk.",9,,
31,0.97,151.751,155.788,"Colleagues, I will move to pass counsel bill 119891.",9,,
32,0.97,155.788,161.494,Is there a second?,9,,
33,0.97,161.494,161.895,Second.,10,,
34,0.97,161.895,164.998,It has been moved and Seconded to pass the bill.,11,,
35,0.97,164.998,173.606,"Colleagues, this legislation does not have, nor does it require a sponsor.",11,,
36,0.97,173.606,176.576,"However, our counsel rules require that a Councilmember speak about the legislation.",11,,
37,0.97,176.576,181.714,"As a result, I will address this legislation as a Council President.",11,,
