index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,17.617,21.187,The committee order.,0,,
1,0.97,21.254,25.392,I am Dan Strauss.,0,,
2,0.97,25.458,30.697,Will the clerk pleas call the roll.,0,,
3,0.97,30.764,30.864,& GT;,1,,
4,0.97,30.93,30.263,Pederson?,2,,
5,0.97,30.263,38.671,"Here, wise, here, present, four present.",2,,
6,0.97,38.738,44.411,Thank you.,3,,
7,0.97,44.477,58.358,The land use neighborhoods committee of the city of Seattle has come to order . and we begin our meetings in the committee with land acknowledgement.,3,,
8,0.97,58.425,70.603,"I was reminded this week this is not something that should be seen or completed as a checklist, or a woke behavior to give us passport to proceed however we want.",3,,
9,0.97,70.67,80.28,"This is an important moment for us to stop, think and reflect on the fact that this is not a thing that we do.",3,,
10,0.97,80.346,90.69,This is a moment for us to pause and understand that we are guests on this land.,3,,
11,0.97,90.757,118.384,"So, take this moment now to acknowledge that we are on the traditional land and ancestral land of the first people of this region past and present, represented in a number of tribes and urban natives . honor with gratitude the land itself and the people of this land, we start with this acknowledgement to recognize the fact that we are guests, and need to Steward our land as such as guests.",3,,
12,0.97,118.451,138.171,"And as members of the land use and neighborhoods committee of the city of Seattle, it is important for us to stop, pause and reflect on this fact that we are Stewarding this land for many generations to come, because we are only temporarily here.",3,,
13,0.97,138.238,151.05,We are only temporarily Stewarding it in the roles in which we are filling today . So we have three items on the agenda today.,3,,
14,0.97,151.117,166.933,"A discussion on Council bill 120021 the Landmarking ordinance for the Swedish Club, a briefing from office of Sustainability and environment on their quarterly tree report and a briefing on their first permitting report that will occur quarterly.",3,,
15,0.97,167.0,176.042,"We plan to cancel the April 14th committee meeting so the Fedex meeting will be on Wednesday, April 28th, starting at 9:30 A.M.",3,,
16,0.97,176.109,180.213,"Before we begin, if there is no objection, the agenda will be adopted.",3,,
17,0.97,183.249,185.251,"Hearing no objection, the agenda is adopted.",3,,
18,0.97,185.318,190.323,At this time we will open the remote public comment period for the items on today's agenda.,3,,
19,0.97,190.39,195.895,"Before we begin, I ask that everyone please be patient as we learn to operate this new system in Realtime.",3,,
20,0.97,195.962,219.619,"While it remains our strong intent to have public comment regularly included on meeting Agendas, the city council reserves the right to end or eliminate these at any point if we deem the system is being abused or is unsuitable for allowing our meetings to be conducted efficiently and in a manner in which we are able to conduct our necessary business . I will moderate public comment in the following manner.",3,,
21,0.97,219.686,226.092,The public comment period for this meeting is up to 10 minutes and each Speaker will be Giventwo minutes to he can into.,3,,
22,0.97,226.159,232.498,I will call on each by name in any order in which they registered on the Council Website.,3,,
23,0.97,232.565,240.34,"If you have not yet registered and you would like to speak, you can sign up before the end of public comment by going to the Council Website.",3,,
24,0.97,240.406,251.417,The public comment link is listed on today's agenda . Once I call on the Speaker's name staff will Unmute the make phone.,3,,
25,0.97,251.484,261.561,Pleas begin by speaking by stating your name and the item in which you are addressing . speakers will hear a Chime . When 10 seconds are remaining in the allotted tame.,3,,
26,0.97,261.628,266.599,"Once the Speaker hears the came, we ask you begin on Wrap- up your Netcentric.",3,,
27,0.97,266.666,274.907,If speakers do not end their comments at the end of the allotted tame provided the microphone will be muted after 10 seconds.,3,,
28,0.97,274.974,286.919,Once you completed your public comment we ask you pleas Disconnect from the line . If you plan to continue following this meeting please do so via the cell channel or listening options listed on the agenda.,3,,
29,0.97,286.986,315.214,The public comment period is now open and we will begin with the first Speaker on the list . .,3,,
30,0.97,315.281,320.219,"On the listed today public comment are Staph, make al David, Richard Ellison, and Jessica Dixon.",4,,
31,0.97,320.286,321.921,I see that you are not present at this time.,4,,
32,0.97,321.988,344.677,"If you would Lake to make sure that you are for the on the listening line and that you have called into the public comment line that has been provided once you registered . good morning, Steve, take it away.",4,,
33,0.97,344.744,345.878,You may have to 6.,5,,
34,0.97,353.019,358.658,"I see you there, but you are on mute.",5,,
35,0.97,364.13,364.964,"% C1 Steve, we cannot hear you, still.",5,,
36,0.97,370.603,375.842,Let's move on to Michael and then David and we'll come back to Steve at the end of the list.,5,,
37,0.97,375.908,383.983,"Michael, good.",6,,
38,0.97,384.05,384.383,"Hi, friends.",7,,
39,0.97,384.45,385.718,This is Michael Oxman.,7,,
40,0.97,385.785,386.285,I'm an Arborist.,7,,
41,0.97,386.352,411.377,I wanted to let you know that I filed three complaints recently with the Department of instruction and land inspection and all three of them are not valid because of your various problems with your lack of ability to enter a property to inspect it.,7,,
42,0.97,411.444,427.66,"And there are some loopholes in the code that allow a developer to clear their land, based on gaining access to the property, or being able to survey the property.",7,,
43,0.97,427.727,445.511,"And without the inspector's ability to enter the property, one of the items next door to the garden has been object served when they were standing outside the boundary of the property.",7,,
44,0.97,445.578,473.206,"Another one is the lack of records keeping by Sdci for old projects at the Westwood mall in West Seattle, where they couldn't find the original planning documents that showed trees were required either . So then when small manager cut down the trees, there is no record he was required to replace them.",7,,
45,0.97,473.272,479.045,So we have got this upcoming management plan that is heavily slanted toward racial equity now.,7,,
46,0.97,479.111,487.019,"Whereas about a year and a half ago, it was focused on how we should manage the trees in our city.",7,,
47,0.97,487.086,499.599,"And we have a lack of data, because our aerial photographs, taken from satellites, using radar do not tell any information about the condition of the tree.",7,,
48,0.97,499.665,507.506,So I hope you guys can start to get a better tree inventory . Thanks a lot for listening.,7,,
49,0.97,507.573,507.974,"Thanks, Michael.",8,,
50,0.97,508.04,516.983,"Up next we have followed by Richard Ellison, Jessica, I see you are present and we'll finish with Steve . good morning, David.",9,,
51,0.97,517.049,517.717,Good morning.,10,,
52,0.97,517.783,533.065,"I'm going to talk about the tree protection update and what is on the agenda includes the tracking of tree loss, but it does not appear to be in the presentation for today.",10,,
53,0.97,533.132,535.902,Urban trees are our lifeline . for all life.,10,,
54,0.97,535.968,544.71,Seattle has recognized this essential and critical role of trees by establishing a goal of 30% canopy cover in just 16 years from now.,10,,
55,0.97,544.777,551.851,If the tree is not planted in the ground today it is unlikely we are going It's chief that goal.,10,,
56,0.97,551.918,556.455,"By canny cover, we are referring to cover over people and Streetscape.",10,,
57,0.97,556.522,561.327,Only trees can provide overhead canopy and filter the air of an ever growing population.,10,,
58,0.97,561.394,572.038,Your actions in this matter are not addressing just an immediate need but a future lifeline.,10,,
59,0.97,572.104,574.874,Do we have that trees planted today?,10,,
60,0.97,574.941,577.743,Are we maturing a stable canopy.,10,,
61,0.97,577.81,586.752,Records show Seattle is losing about 600 to 900 trees per year is replanting rate is fewer than the trees being last on the street.,10,,
62,0.97,586.819,598.13,However we are losing exceptional and significant trees and tree grows on property with a higher rate of 800 to 900 development being posted this year.,10,,
63,0.97,598.197,603.102,Without providing the pace to Replant canopy trees.,10,,
64,0.97,603.169,605.071,This doesn't count single family projects.,10,,
65,0.97,605.137,613.713,I really appreciate examples of good and about multi-family developments with and without tree canopy within his area that he resides.,10,,
66,0.97,613.779,620.619,"We need more density and more canopy cover, and it has been demonstrated that we can have both.",10,,
67,0.97,620.686,627.46,"That being true, accounting for tree loss on private property is not a trivial matter of simply individual's property rights.",10,,
68,0.97,627.526,639.071,It is a matter of social responsibility and equity for all in every neighborhood . So please include tree loss accounting in today's agenda . Thank you very much.,10,,
69,0.97,639.138,640.973,"Thank you, David.",11,,
70,0.97,641.04,642.608,Always great to hear from you.,11,,
71,0.97,642.675,654.553,"Up next, we have Ellison followed by Jessica Dixon and Staph to wrap us up . If you are listening and would like to provide public comment you still have the opportunity to sign up now.",12,,
72,0.97,654.62,655.788,"Richard, good morning.",12,,
73,0.97,655.855,656.255,Good morning.,13,,
74,0.97,656.322,663.095,My name is Richard Ellison and I would like to talk briefly about the tree report.,13,,
75,0.97,663.162,668.467,I think it is great that we are trying to go forward on a new program.,13,,
76,0.97,668.534,704.57,"However I do not trust DC I. they have a long history of obstruction and I would like to talk about two pieces of that . one, I was a member of the Seattle's urban forest group from 1998 to the year 2000 formed by the city council . and the urban force work group was convened in 1998, which included people concerned with the ability to conduct business in the city and conservationists.",13,,
77,0.97,704.637,711.877,"The work group met several times, discussing and identifying specific ideas regarding the retention of trees.",13,,
78,0.97,711.944,717.75,In 1999 the strategic planning office presented a series of limitation actions.,13,,
79,0.97,717.817,737.87,"This is you know, decades ago . and there is a former Dpd from a 1999 briefing from tree protection legislative and administrative recommendations from 1999.",13,,
80,0.97,737.937,739.138,Let's jump ahead to more Úcurrent.,13,,
81,0.97,739.205,754.386,I was bike riding through the city and saw this beautiful tree in front of a development sign and I wrote a letter to the city and the tree is in the Greenwood area at 927 North 92Nd street.,13,,
82,0.97,754.453,757.623,I sent the Council a copy of my original letter.,13,,
83,0.97,757.69,762.928,The response back from the land use area was thank you for your comment.,13,,
84,0.97,762.995,774.74,"None of these trees meet the threshold for exceptional, therefore no Arborist report was requested and no protection is required.",13,,
85,0.97,774.807,785.851,The bottom of the letter talks about being stewards of the city and acknowledging ancestral land.,13,,
86,0.97,785.918,786.285,This is hypocrisy.,13,,
87,0.97,786.352,790.322,"Thank you, Richard.",14,,
88,0.97,790.389,796.462,"Up next we have Dixon, followed by Staph.",15,,
89,0.97,796.529,799.365,"Jessica, I see press Star 6.",16,,
90,0.97,811.043,834.099,"I still see you there, not seeing you come off mute . If you could press Star 6. all right.",16,,
91,0.97,834.166,838.938,"It if you would leave Jessica there and bring Steve up? Oh Jessica,.",16,,
92,0.97,839.004,841.106,I'm here.,17,,
93,0.97,841.173,845.211,There you are.,18,,
94,0.97,845.277,845.511,Jessica.,18,,
95,0.97,845.578,846.345,Here I am.,19,,
96,0.97,846.412,856.055,"Good morning, thank you for having us allowing us to speak . I'm speaking today on behalf of plant amnesty and our membership.",19,,
97,0.97,856.121,872.638,"I'm urging the city Council to pass an update ordinance now and not wait one, two or five years, while we continue to lose exceptional trees, tree groves and overall tree canopy over the entire city.",19,,
98,0.97,872.705,895.361,"This loss is detrimental in areas of the city historically lacking in tree canopy, so I'm urging the Council, and our urban plan planners to address this urban inequality by getting to work today to track, retain and add trees in the face of development pressure . We have lot tremendous ground over the last 12 years and longer.",19,,
99,0.97,895.427,906.739,But I know our city can be both more accommodate and go healthier for our citizens and for the planet as a whole . Thank you.,19,,
100,0.97,906.805,907.239,"Thank you, Jessica.",20,,
101,0.97,907.306,910.175,And to wrap us Staph.,21,,
102,0.97,910.242,911.076,Steve I see you there.,21,,
103,0.97,911.143,911.41,Press Star 6.,21,,
104,0.97,922.955,923.989,.,21,,
105,0.97,924.056,924.823,Good morning.,22,,
106,0.97,924.89,927.86,Good morning.,23,,
107,0.97,927.926,929.995,No good morning to Council members.,23,,
108,0.97,930.062,946.145,"I am speaking on the three regulations ordinance update, 12 years, that is how long this discussion of updating Seattle's tree protection ordinance has been going on . Since 2009.",23,,
109,0.97,946.211,960.859,Council urged Dpd to submit legislation to establish a comprehensive set of regulations and incentives to limit the removal of trees and promote the retention and addition of trees within the city of Seattle in both public and private property.,23,,
110,0.97,960.926,973.238,"In March 2017 the city completed a street regulations research project report, which included that the current coat wasn't working to support tree protection.",23,,
111,0.97,973.305,977.443,"Exceptional trees are being removed, resulting in tree loss, et cetera.",23,,
112,0.97,977.509,984.883,You have Mayor Burgess's executive order in 2017.,23,,
113,0.97,984.95,995.928,You have resolution 31870 and 31902 all updating tree regulations in the ordinance . The problem is evidence.,23,,
114,0.97,995.994,1006.472,There is a difference between regulations existing tree aorta New Jersey transit from 2009 which would expand the ability to strengthen regulations . You do notified to wait.,23,,
115,0.97,1006.538,1015.547,You can phase in approximate nut place certain parts of the ordinance like requiring tree care providers be registered with the city.,23,,
116,0.97,1015.614,1021.253,There is no need to wait to discuss further it is a system that already works.,23,,
117,0.97,1021.32,1027.993,You can direct it to put in place a tree replacement system.,23,,
118,0.97,1028.06,1031.397,You can direct them to put in place a payment system.,23,,
119,0.97,1031.463,1044.71,Problem is you passed a resolution asking them to consider strategies that you need to ask them to submit legislation or do it yourself . We need to stop the delay . Thank you.,23,,
120,0.97,1044.777,1047.579,"Thank you, Steve.",24,,
121,0.97,1047.646,1059.658,"Seeing as we have no further speakers remotely present, and can you also confirm no one else has signed up?",24,,
122,0.97,1059.725,1062.06,There are no other comment registrants.,25,,
123,0.97,1062.127,1062.861,Thank you.,26,,
124,0.97,1062.928,1068.267,"Seeing as we have no additional speakers present, we will move onto the next agenda.",26,,
125,0.97,1068.333,1078.777,Our first item of business today is a briefing discussion possible vote on Council bill 120021 the Swedish Club landmark.,26,,
126,0.97,1078.844,1085.484,Will you please read the abbreviated title into the record.,26,,
127,0.97,1085.551,1088.72,Council bill relating to historic preservation.,27,,
128,0.97,1088.787,1092.157,A landmark designated by the landmarks preservation board.,27,,
129,0.97,1092.224,1092.491,Thank you.,28,,
130,0.97,1092.558,1104.336,"We are joined by Aaron Dougherty of the Department of neighborhoods and Christie Weekender, I apologize if I pronounced your name wrong, Christine correct may in equipment.",28,,
131,0.97,1104.403,1106.271,Who is the executive director of the Zoe Swedish club.,28,,
132,0.97,1106.338,1111.844,Thank you both for being here today.,28,,
133,0.97,1111.91,1126.892,As we were speaking I brought in my grandmother's Digital which she brought back from visiting may family in Sweden . I will be back at the parade should we have it occurring in public this year.,28,,
134,0.97,1126.959,1132.297,"So Aaron, Christine, please take it away.",28,,
