index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,26.626,27.36,"Good morning, everyone.",0,,
1,0.97,27.36,44.511,Thank you for joining day two of our select budget committee meeting as the Seattle city council discusses form BS our amendment process to consider various priorities for the Rebalanced budget.,0,,
2,0.97,44.511,46.246,I'm Teresa Mosqueda.,0,,
3,0.97,46.246,49.949,Chair of the budget committee.,0,,
4,0.97,49.949,51.684,It is 9:32.,0,,
5,0.97,51.684,52.118,October 29th.,0,,
6,0.97,52.118,53.953,Will the clerk call the role.,0,,
7,0.97,53.953,54.921,Strauss.,1,,
8,0.97,54.921,56.256,Present.,2,,
9,0.97,56.256,62.095,Council member Gonzalez.,3,,
10,0.97,62.095,62.629,Here.,4,,
11,0.97,62.629,66.966,Council member Herbold.,5,,
12,0.97,66.966,67.567,Here.,6,,
13,0.97,67.567,70.437,Council member Juarez.,7,,
14,0.97,70.437,70.97,Here.,8,,
15,0.97,70.97,73.072,Council member Lewis.,9,,
16,0.97,73.072,73.506,Present.,10,,
17,0.97,73.506,76.109,Council member Morales.,11,,
18,0.97,76.109,79.412,Council member Pedersen.,12,,
19,0.97,79.412,79.779,Here.,13,,
20,0.97,79.779,82.882,Council member Sawant.,14,,
21,0.97,82.882,83.45,Chairman Mosqueda.,15,,
22,0.97,83.45,84.384,Present.,16,,
23,0.97,84.384,85.018,Nine present.,17,,
24,0.97,85.018,86.519,Thank you Madam clerk.,18,,
25,0.97,86.519,88.655,Thank you for the robust discussion yesterday.,18,,
26,0.97,88.655,98.064,We're going to engage in a very long discussion today and I will make sure that we get an hour break before lunch and we will end by 5:00.,18,,
27,0.97,98.064,101.367,"With your help, we can perhaps end a little early like yesterday.",18,,
28,0.97,101.367,105.905,There are some item that's will require a little longer discussion and some that don't.,18,,
29,0.97,105.905,107.24,I hope it will balance out.,18,,
30,0.97,107.24,113.48,But we will give it--we will let you know if we need to do the two-minute role later in the meeting today.,18,,
31,0.97,113.48,122.155,I think if we get through the various amendments plus public testimony that leaves nine minutes for the amendments.,18,,
32,0.97,122.155,124.39,I know not all will need that time.,18,,
33,0.97,124.39,128.394,I have confidence we can get through this and appreciate your time in advance.,18,,
34,0.97,128.394,155.355,Before we consider the Ageneral Darks a reminder for everyone that most of the conversation we had yesterday was around all of the forms.,18,,
35,0.97,175.542,184.217,"Whether it has been discussed with residents, Stakeholders and if you need it whether it was reviewed by law.",19,,
36,0.97,184.217,191.224,The conversation right now on potential walk on amendments is not about whether or not we as individual Council members like the proposal.,19,,
37,0.97,191.224,205.772,It is about whether or not we find it meritorious and for the purposes to amend the agenda whether it has enough information in front of us to discuss the proposal give then it did not meet the original deadline.,19,,
38,0.97,205.772,214.08,"Just because the proposal may not be deemed right for today's conversation, if it does not receive sufficient votes, that does not mean that the conversation is over.",19,,
39,0.97,214.08,225.158,We still have the form cs which will help change or identify different balancing techniques in the counsel's proposed budget.,19,,
40,0.97,225.158,237.804,"With that, I want to say yesterday's conversation was very helpful as we identified potential questions or issues as we consider Walk-On amendments and the other form BS that were submitted on time.",19,,
41,0.97,237.804,242.609,I am aware of at least one Walk- on amendment.,19,,
42,0.97,242.609,244.243,It was circulated by 5:00 P.M.,19,,
43,0.97,244.243,250.25,So today our conversation will be around whether or not it has a simple majority of Council members to be considered to amend the agenda.,19,,
44,0.97,250.25,261.961,"But for the purposes of our recorded meeting here, I want to make sure that we go through the process and get clarification from the clerk that it was indeed circulated by 5:00.",19,,
45,0.97,261.961,265.999,Council member Pedersen I believe you have one amendment.,19,,
46,0.97,265.999,272.305,Amendment number 1. I'm going to ask the clerk verify if it was circulated by 5:00 P.M.,19,,
47,0.97,272.305,274.007,On the preceding business day.,19,,
48,0.97,274.007,278.444,Madam clerk was amendment 1 circulated by 5:00 P.M.,19,,
49,0.97,278.444,280.413,"Yes, chairman Mosqueda it was.",20,,
50,0.97,280.413,280.747,Excellent.,21,,
51,0.97,280.747,282.749,Thank you very much Madam clerk.,21,,
52,0.97,282.749,286.386,Council member Pedersen I'll turn it over to you make the motion for consideration.,21,,
53,0.97,286.386,288.454,"Thank you, chairman Mosqueda.",22,,
54,0.97,288.454,306.105,I move to amend the agenda today by adding city wide Walk- on amendment 1 for Nonrepresentative employees earning 80% or more of Seattle median income placing it on the agenda after item 1.,22,,
55,0.97,306.105,306.639,Thank you.,23,,
56,0.97,306.639,307.807,It has been moved.,23,,
57,0.97,307.807,309.876,Is there a second.,24,,
58,0.97,309.876,310.209,Second.,25,,
59,0.97,310.209,313.012,Its been moved and Seconded.,26,,
60,0.97,313.012,315.081,Thank you very much Council member Pedersen.,26,,
61,0.97,315.081,320.62,I'm going it town it over to you for a brief overview before folks ask any questions that they may have.,26,,
62,0.97,320.62,322.989,"Thank you, chair Mosqueda.",27,,
63,0.97,322.989,337.837,I'm simply asking you to consider this amendment as a potential viable option to immediately generate savings that we could redeploy to many good proposals we have put forward to add to the budget.,27,,
64,0.97,337.837,339.572,Affirm decision is not needed today.,27,,
65,0.97,339.572,348.114,"Once we get the revised forecast in a couple of weeks and hear the rest of the additions being proposed today and tomorrow, we can decide whether the option is actually needed.",27,,
66,0.97,348.114,362.729,"This is an opportunity to redeploy millions of additional dollars to shelter those experiencing homelessness, to invest more in Seattle's communities and fix our crumbling Intrastructure.",27,,
67,0.97,362.729,373.339,During this time of back to back deficits this proposal would apply to just the planned salary increases for next year and for just the higher paid Nonrepresented city government employees.,27,,
68,0.97,373.339,383.049,So many people in Seattle are out of jobs and our city has such deep needs I personally don't think it is time to increase the pay of our city government employees again.,27,,
69,0.97,383.049,386.419,I don't think this proposal is about posterity.,27,,
70,0.97,386.419,389.856,That is when you're spending less money.,27,,
71,0.97,389.856,394.761,But the Mayor's budget is spending the same as last year and we're hoping T█O add to that.,27,,
72,0.97,394.761,403.302,The real posterity is when we don't provide more money when we can to help those who are literally sleeping on the streets every night.,27,,
73,0.97,403.302,412.378,I think they should get the hands into the most vulnerable and address our aging infrastructure instead of putting more money in our own pockets.,27,,
74,0.97,412.378,416.516,We can use the funds to save city jobs and prevent layoffs.,27,,
75,0.97,416.516,421.721,Thank you for considering this as potentially an option.,27,,
76,0.97,421.721,425.358,Thank you very much Council member Pedersen.,28,,
77,0.97,425.358,429.829,"As a reminder, we are not considering the details or the policy proposal itself.",28,,
78,0.97,429.829,435.968,The merits of whether or not the criteria was metaphor Walk- on today is what we're considering.,28,,
79,0.97,435.968,440.506,A summary sheet was sent to all of you.,28,,
80,0.97,440.506,445.812,"Was it reviewed by law, departments, Stakeholders, et cetera.",28,,
81,0.97,445.812,449.182,So perhaps I will offer the following.,28,,
82,0.97,449.182,453.085,The proposal that was sent around did meet the 5:00 P.M.,28,,
83,0.97,453.085,453.352,Deadline.,28,,
84,0.97,453.352,456.722,"It was reviewed by central staff, yes.",28,,
85,0.97,456.722,458.291,It was reviewed by law.,28,,
86,0.97,458.291,463.429,And the specific members of our legal team are indicated as well.,28,,
87,0.97,463.429,467.066,And the Department was consulted with.,28,,
88,0.97,467.066,472.171,The answer around Stakeholders yesterday you will remember that I asked about specific Stakeholders.,28,,
89,0.97,472.171,476.676,The proposal does not appear to have a specific Stakeholder item listed.,28,,
90,0.97,476.676,482.114,Though residents of Seattle was listed.,28,,
91,0.97,482.114,485.384,"Again, that's not necessarily an indication of not supporting.",28,,
92,0.97,485.384,492.692,"I just want today NOTE just like yesterday even though the Department in that case wasn't consulted with, we can always get additional information.",28,,
93,0.97,492.692,503.302,"But those three categories were marked yes, law, yes, central staff and yes CBO has spoken with the proposed sponsor.",28,,
94,0.97,503.302,506.672,Are there any questions for the proposed sponsor here?,28,,
95,0.97,506.672,507.974,Council member Sawant.,29,,
96,0.97,507.974,510.042,Good morning.,30,,
97,0.97,510.042,511.811,"And thank you, chairman Mosqueda.",30,,
98,0.97,511.811,512.678,I don't have questions.,30,,
99,0.97,512.678,538.337,"But I just wanted to clarify for members of the public watching this that I will be voting in favor of adding this proposal to the agenda because I think all budget proposals amendment proposals should be discussed, supported or opposed on political merits and not procedural reasons.",30,,
100,0.97,538.337,547.613,That's why I am voting yes but I don't support the specific proposal and when it comes for for discussion later I will explain why.,30,,
101,0.97,547.613,551.317,I'm not seeing any additional hands.,31,,
102,0.97,551.317,567.5,Council member Pedersen I also would be interested in whether or not there are other departments that you were able to check in with Besides CPO and CBO on the cover sheet which is Posh important because it meets the criteria.,31,,
103,0.97,567.5,572.171,If you have thoughts now you can share them or save that as well for the discussion.,31,,
104,0.97,572.171,577.476,Assuming this gets on the agenda.,31,,
105,0.97,577.476,580.68,It was central staff law and CBO only.,32,,
106,0.97,580.68,581.38,Thank you.,33,,
107,0.97,581.38,581.681,All right.,33,,
108,0.97,581.681,587.453,I'm not seeing any additional questions.,33,,
109,0.97,587.453,598.264,"With that, let's go ahead and ask the clerk, Madam clerk, will you please call the role on the adoption of amendment 1 to the agenda.",33,,
110,0.97,598.264,598.898,Strauss.,34,,
111,0.97,598.898,601.634,Yes.,35,,
112,0.97,601.634,602.168,Gonzalez.,36,,
113,0.97,602.168,604.337,Yes.,37,,
114,0.97,604.337,604.971,Herbold.,38,,
115,0.97,604.971,607.039,Yes.,39,,
116,0.97,607.039,607.54,Juarez.,40,,
117,0.97,607.54,609.442,Yes.,41,,
118,0.97,609.442,612.078,Lewis.,42,,
119,0.97,612.078,612.745,Yes.,43,,
120,0.97,612.745,613.713,Morales.,44,,
121,0.97,613.713,614.246,Yes.,45,,
122,0.97,614.246,615.781,Pedersen.,46,,
123,0.97,615.781,616.415,Yes.,47,,
124,0.97,616.415,617.817,Sawant.,48,,
125,0.97,617.817,620.052,Yes.,49,,
126,0.97,620.052,621.02,Chairman Mosqueda.,50,,
127,0.97,621.02,621.354,Yes.,51,,
128,0.97,621.354,622.888,"Nine in favor, none opposed.",52,,
129,0.97,622.888,624.924,Thank you very much.,53,,
130,0.97,624.924,628.294,Is there any other additional comments or questions--I'm sorry.,53,,
131,0.97,628.294,631.797,For the record let me say the motion carries.,53,,
132,0.97,631.797,633.265,Thank you Council member Pedersen.,53,,
133,0.97,633.265,637.77,Amendment one is included in the amended agenda for today.,53,,
134,0.97,637.77,644.31,Are there any additional questions or comments on the amended agenda in front of us.,53,,
135,0.97,644.31,648.18,Please call the role on at deposition the amended agenda.,53,,
136,0.97,648.18,648.748,Strauss.,54,,
137,0.97,648.748,650.082,Yes.,55,,
138,0.97,650.082,651.55,Gonzalez.,56,,
139,0.97,651.55,652.218,Yes.,57,,
140,0.97,652.218,653.519,Herbold.,58,,
141,0.97,653.519,655.588,Yes.,59,,
142,0.97,655.588,656.122,Juarez.,60,,
143,0.97,656.122,659.291,Yes.,61,,
144,0.97,659.291,660.126,Lewis.,62,,
145,0.97,660.126,661.227,Yes.,63,,
146,0.97,661.227,662.294,Morales.,64,,
147,0.97,662.294,663.396,Yes.,65,,
148,0.97,663.396,665.164,Pedersen.,66,,
149,0.97,665.164,666.565,Yes.,67,,
150,0.97,666.565,667.066,Sawant.,68,,
151,0.97,667.066,668.734,Yes.,69,,
152,0.97,668.734,669.702,Chair Mosqueda.,70,,
153,0.97,669.702,669.969,Yes.,71,,
154,0.97,669.969,672.705,"Nine in favor, none opposed.",72,,
155,0.97,672.705,676.242,"Thank you very much, Madam clerk.",73,,
156,0.97,676.242,679.845,The motion carries and the amended agenda is adopted.,73,,
157,0.97,679.845,686.752,The Walk-On amendment will be considered at the end of the items for that specific Department this morning.,73,,
158,0.97,692.692,698.364,I'm going to need to step away for a scheduled meeting that I could not reschedule.,74,,
159,0.97,698.364,704.07,I will be listening into public comment via the listen line and I will let you know upon my return.,74,,
160,0.97,704.07,708.774,"If I don't return before the first amendment is up, I would like to cosponsor.",74,,
