index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,25.792,25.859,,0,,
1,0.97,25.859,27.594,Thank you for joining us.,1,,
2,0.97,27.594,35.902,"The time is 5:01 p.m. and the date is November 15, 2022.",1,,
3,0.97,35.902,42.008,"Madame clerk, could you call the roll?",1,,
4,0.97,42.008,43.977,Councilmember Lewis?,2,,
5,0.97,43.977,44.544,Present.,3,,
6,0.97,44.544,46.413,Councilmember Morales.,4,,
7,0.97,46.413,48.348,Here.,5,,
8,0.97,48.348,53.086,Councilmember Nelson?,6,,
9,0.97,53.086,53.787,Present.,7,,
10,0.97,53.787,59.726,Councilmember Pederson.,8,,
11,0.97,59.726,62.529,Present.,9,,
12,0.97,62.529,67.801,Councilmember Sawant?,10,,
13,0.97,67.801,68.301,Councilmember Strauss.,10,,
14,0.97,68.301,68.802,Councilmember Herbold.,10,,
15,0.97,68.802,74.14,Councilmember Juarez.,10,,
16,0.97,74.14,74.474,Present.,11,,
17,0.97,74.474,75.141,Councilmember Mosqueda.,12,,
18,0.97,75.141,75.575,Present.,13,,
19,0.97,75.575,76.409,Six on the floor.,14,,
20,0.97,76.409,80.78,"As other Council members join us, we will make sure to announce them.",15,,
21,0.97,80.78,83.149,"Chair Mosqueda, I'm here.",16,,
22,0.97,83.149,88.688,"Oh, thank you Councilmember Sawant . Councilmember Sawant is here as well.",17,,
23,0.97,88.688,127.46,"Thank you . folks, currently, we have about 120 people signed up to speak Online . and 30 people in person . We will get through everyone tonight just like we did in the last two public hearings and we will have an opportunity for tub pick comment next Monday at 9:30 a.m. an opportunity to make public comment before any amendments are considered . The initial release was posted Online and shared at about 9:30 a.m. with members of the community . members of the press . and then, we had an opportunity to walk through that proposed balancing package . I am going to encourage everybody to if they can, to write our office, let us know if you have questions.",18,,
24,0.97,127.46,139.572,It is a dense document .. almost 500 pages long . Each title read into the budget is actually a title reflecting changes made to the Mayor's proposed budget.,18,,
