index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,2.602,2.7359999999999998,.,0,,
1,0.97,2.7359999999999998,3.336,Good morning everybody.,1,,
2,0.97,3.336,6.072,Welcome to the Finance and housing committee meeting.,1,,
3,0.97,6.072,11.811,Today is may 4TH and the time is 9:31.,1,,
4,0.97,11.811,13.747,This meeting will come to order.,1,,
5,0.97,13.747,21.888,Will the clerk call the role,1,,
6,0.97,21.888,25.592,Council President Gonzalez.,2,,
7,0.97,25.592,29.662,Here.,3,,
8,0.97,29.662,33.166,Councilmember Lewis.,4,,
9,0.97,33.166,33.666,Councilmember Strauss.,4,,
10,0.97,33.666,34.534,Present.,5,,
11,0.97,34.534,36.703,Madam chair that is three present.,6,,
12,0.97,36.703,39.639,Thank you very much.,7,,
13,0.97,39.639,45.745,Do we have any alternates or guests here today seeing none.,7,,
14,0.97,45.745,45.979,Great.,7,,
15,0.97,45.979,46.446,Thank you very much.,7,,
16,0.97,46.446,54.821,I want to note that Councilmember Lewis is excused and when Councilmember Herbold arrives we will make sure to welcome her.,7,,
17,0.97,54.821,56.523,Thank you for joining today.,7,,
18,0.97,56.523,67.7,This is a committee meet that will start with 20 minutes of public comment and then we will move in labor appointments.,7,,
19,0.97,67.7,74.24,We will continue the conversation and have an overview of the transparency requirement for contract workers.,7,,
20,0.97,74.24,81.981,This is a presentation and a body of work that Councilmember Herbold has been leading on.,7,,
21,0.97,81.981,88.221,Then we will have a briefing possible vote on the sound transit property transfer ordinance.,7,,
22,0.97,88.221,89.088,It's a packed agenda today.,7,,
23,0.97,89.088,92.826,We will try to get you out so you can have a lunch break.,7,,
24,0.97,92.826,100.9,Are there any questions about the agenda the agenda is a Don'Ted.,7,,
25,0.97,100.9,106.906,At the top of the hour I wanted to let people know we are going to have a public hearing today.,7,,
26,0.97,106.906,115.415,It's a continuation of our ongoing discussion about the Arpa found funds.,7,,
27,0.97,115.415,129.963,This will be an opportunity for folks to sign up to give their perspective on what are the most pressing issues we will be funding the Federal dollars that are made available to respond to the Coronavirus crisis.,7,,
28,0.97,129.963,135.268,The sign up sheet can be found at Seattle.Gov.,7,,
29,0.97,135.268,140.406,That public comment will open at 3:30.,7,,
30,0.97,140.406,145.778,This morning look forward to hearing folk who have signed up.,7,,
31,0.97,145.778,149.916,"Again as a reminder, you will have two minutes to speak.",7,,
32,0.97,149.916,152.151,I will call on members three a him too.,7,,
33,0.97,152.151,157.924,Remember when I call your name it's your time to hit Star 6 to Unmute yourself as well.,7,,
34,0.97,157.924,162.996,Have you to hit Star 6 and you will hear a prompt that says you have been Unmited.,7,,
35,0.97,162.996,168.101,Make sure your phone isn't on mute as well.,7,,
36,0.97,168.101,176.876,State your name and the item you are addressing you will hear a ten second Chimeer at the end of your time.,7,,
37,0.97,176.876,179.712,That's your sign to cut it off.,7,,
38,0.97,179.712,191.09,Once have you completed our public comment Disconnect from the line and you can continue to follow us at Seattle channel or the other listen in options on the agenda.,7,,
39,0.97,191.09,198.598,The public comment period is now open and I will go to the first three speakers.,7,,
40,0.97,198.598,202.835,Jordan--Andra Kransler and Doris Garcia.,7,,
41,0.97,202.835,203.803,Good morning Jordan.,7,,
42,0.97,203.803,204.604,Hi.,8,,
43,0.97,204.604,208.575,Thank you so much for allowing public comment today.,8,,
44,0.97,208.575,209.809,My name is Jordan.,8,,
45,0.97,209.809,215.415,I'm a resident of district 4 and I'm a member of the domestic worker standards board.,8,,
46,0.97,215.415,218.117,I occupy one of the seats for hiring groups.,8,,
47,0.97,218.117,224.624,I'm here today to make comment on the transparency requirements for contract workers.,8,,
48,0.97,224.624,243.843,"Specifically, I want to make comments about the process that's gone in to the piece of legislation and because of the process I feel like despite being a member of the standards board I'm not in a position to comment on the content of the legislation.",8,,
49,0.97,243.843,266.266,The proposed legislation seems to be good for workers but I'm concerned that the city has not done enough engagement with domestic workers and for that matter with hiring groups to bow search that workers in support of this and they--that there won't be unintended consequences.,8,,
50,0.97,266.266,277.71,"One is the worker who are Undocumented, there's a lot of fear and Unsunset.",8,,
51,0.97,277.71,287.253,To work through the fears and Miss Givings it's hard for us to know if domestic workers actually support the proposal as it currently is.,8,,
52,0.97,287.253,301.401,I think it's particularly surprising and disappointing that workers covered under the domestic worker's ordinance were included in the legislation at this point give then Council has not engaged the full domestic standards board on this issue.,8,,
53,0.97,301.401,305.038,The little bit of engagement we have had with Council.,8,,
54,0.97,305.038,315.682,"The outcome of that was our request to be deeper, broader engagement with domestic workers to ensure that workers are in support of the legislation.",8,,
55,0.97,315.682,322.789,Even moving beyond that we know that there may be other Workern who are concerned about this legislation.,8,,
56,0.97,322.789,327.36,"So, I really am concerned about the process here and thank you for juror time.",8,,
57,0.97,327.36,332.532,Thank you very much for raising those concerns.,9,,
58,0.97,332.532,332.865,Very timely.,9,,
59,0.97,332.865,333.7,Appreciate the feedback.,9,,
60,0.97,333.7,340.373,We will move onto the next Speaker who is Andra.,9,,
61,0.97,340.373,340.606,Andra.,9,,
62,0.97,340.606,341.841,Are you listed as not present.,9,,
63,0.97,341.841,346.446,I want to mechanic sure you are calling in on the right listen in line.,9,,
64,0.97,346.446,348.114,Looks like you signed up pretty early.,9,,
65,0.97,348.114,354.02,I want to make sure we get to you and the next person is Doris Garcia.,9,,
66,0.97,354.02,355.688,Also listed as not present.,9,,
67,0.97,355.688,365.098,I will give folks just a few minutes to see if they call back in.,9,,
68,0.97,365.098,365.898,And Republican present.,9,,
69,0.97,365.898,367.567,Just one second.,9,,
70,0.97,367.567,369.869,In the meantime.,9,,
71,0.97,369.869,375.875,Want to welcome Councilmember Herbold.,9,,
72,0.97,375.875,376.843,Thank you for joining.,9,,
73,0.97,376.843,377.21,Okay.,9,,
74,0.97,377.21,377.61,Andra and Doris.,9,,
75,0.97,377.61,381.347,I'm still seeing you not as present.,9,,
76,0.97,381.347,394.193,"If you are having any problems dialing in, please let us know and we will try to make sure to get your public comments reflected.",9,,
77,0.97,394.193,399.932,That's Faride.Cuevaf at Seattle.Gov.,9,,
78,0.97,399.932,400.133,Okay.,9,,
79,0.97,400.133,403.703,With that thank you so much folks for dialing in that.,9,,
80,0.97,403.703,404.871,Does conclude the public comment.,9,,
81,0.97,404.871,409.809,I want to double check that I didn't Miss the Callerns in did I,9,,
82,0.97,409.809,413.112,Not that I see.,10,,
83,0.97,413.112,415.348,Thank you very much.,11,,
84,0.97,415.348,415.748,Let's move on.,11,,
85,0.97,415.748,423.423,That concludes the public comment for the morning and we will make sure if we receive any that we circulate them to other Councilmembers.,11,,
86,0.97,423.423,431.23,At this time let's go head and move into the first item on the agenda.,11,,
87,0.97,431.23,435.935,Let's do items 1 through 5. do you mind red that in to the record,11,,
88,0.97,435.935,437.837,Items 1 through 5.,12,,
89,0.97,437.837,465.565,"Appointments to the labor standards advisory Commission for Afeworki Ghebreiyesus, I'm so sorry for the last name for Diana Ochoa, appointment for Alexis Rodich.",12,,
90,0.97,465.565,467.3,And Tracy Taylor and Annie wise.,12,,
91,0.97,467.3,477.81,"I want to welcome to the Dias Karen and Liz Ford, good morning folks.",13,,
92,0.97,477.81,481.814,Thank you for being with us.,13,,
93,0.97,481.814,487.987,"Am I turning over to, Liz Karen I saw your face.",13,,
94,0.97,487.987,494.393,Take it away and introduce yourself for the record.,13,,
95,0.97,494.393,495.127,Yeah.,14,,
96,0.97,495.127,498.497,Liz will be handling most of the duties.,14,,
97,0.97,498.497,499.532,I wanted to introduce myself.,14,,
98,0.97,499.532,506.305,Thank you the community for its time and welcome all of the new nominees and hopefully appointees.,14,,
99,0.97,506.305,514.247,Very quickly I did just want to say that one of our--one of our appointments can't be here today.,14,,
100,0.97,514.247,530.763,"There will be a statement on her behalf and another is trying to get onto the zoom so, if any of the it staff are available to potentially promote her to a Panelist if that's the issue.",14,,
101,0.97,530.763,536.435,If we can't resolve it we will read a statement on her behalf.,14,,
102,0.97,536.435,544.51,With that thank you all and I will turn it over to Liz and hopefully we can resolve her Tech issue for her.,14,,
103,0.97,544.51,545.344,Her statement needs to be read.,14,,
104,0.97,545.344,548.18,Thank you so much.,15,,
105,0.97,548.18,549.348,Speaking of Tech issues.,15,,
106,0.97,549.348,556.289,I just got a message that Andra who signed up for public comment was there and not seeing her in our zoom here.,15,,
107,0.97,556.289,570.036,If you do want to dial back in before we transition to other items I'm happy to open it back up so you can provide your comments.,15,,
108,0.97,570.036,571.771,Apologies for that.,15,,
109,0.97,571.771,576.342,"And, we will work on the technical issues to get all the people welcomed back in to the zoom.",15,,
110,0.97,576.342,576.642,Thank you.,15,,
111,0.97,576.642,577.91,"Liz, we will turn it over to you.",15,,
112,0.97,577.91,579.111,Great to see you again.,15,,
113,0.97,579.111,583.349,Thank you for being here on behalf of Lsac and your service as a Co chair.,15,,
114,0.97,583.349,584.617,Thank you.,16,,
115,0.97,584.617,588.02,We are just excited to have potentially a full Commission.,16,,
116,0.97,588.02,595.094,So we wanted to start by thanking you for taking up the confirmation of the Fiv appointees.,16,,
117,0.97,595.094,599.098,My name is Liz Ford.,16,,
118,0.97,599.098,602.802,I'm along with Ga E Gilmore.,16,,
119,0.97,602.802,606.973,We are the Co chairs of the Commission.,16,,
120,0.97,606.973,621.821,Just for--I know you know this--Councilmember Mosqueda but for those who may be listening or watching the labor standards advisory Commission advises the office of labor canned Starrs.,16,,
121,0.97,621.821,623.856,On issues to minimum standards.,16,,
122,0.97,623.856,626.058,It's made of 15 members.,16,,
123,0.97,626.058,627.159,7 appointed by Council.,16,,
124,0.97,627.159,639.672,7 by the Mayor and one by the Commission and those members according to ordinance should be roughly divided between among business worker and community groups.,16,,
125,0.97,639.672,645.745,We are thrilled to have these last five appointees before you.,16,,
126,0.97,645.745,652.184,Completing the Commission and these appointees have a lot of experience in each of the areas.,16,,
127,0.97,652.184,665.998,I--my thought is to just briefly introduce them to you all together and then to--turn it over to you to do the rest.,16,,
128,0.97,665.998,674.44,"So,--Afeworki Ghebreiyesus is the first appointee.",16,,
129,0.97,674.44,686.819,He settled in see the example now at refugee women's alliance coordinating an outreach and education focused on workplace standards like play and health and safety.,16,,
130,0.97,686.819,692.324,Diana Ochoa our second nominee Immigrated from Sonora mention K settling in Washington.,16,,
131,0.97,692.324,704.537,She is a worker's right promoter and we are so thrilled to have them here represented once again.,16,,
132,0.97,704.537,709.642,Alexis Rodicl is the director of policy for Seiu775.,16,,
133,0.97,709.642,710.91,They is the third nominee.,16,,
134,0.97,710.91,714.08,Tracy Taylor is the general manager.,16,,
135,0.97,714.08,719.185,She is also active in the Capitol Hill Chamber of Commerce.,16,,
136,0.97,719.185,724.256,She Co chairs the small business advisory Council.,16,,
137,0.97,724.256,733.065,"Annie wise, the Mayor's final appointee is the operation manager for the Martin Luther King labor Council.",16,,
138,0.97,733.065,739.872,"We are thrilled, we are excited to have a complete Commission and grateful to you for considering their nominations.",16,,
139,0.97,739.872,741.407,Thank you.,17,,
140,0.97,741.407,745.845,Thank you in advance to the nominees for being here with us.,17,,
141,0.97,745.845,752.151,Let's go in the order that Liz just walked through.,17,,
142,0.97,752.151,758.157,"We will go with Afeworki Ghebreiyesus, Alexis, Tracy and Annie.",17,,
143,0.97,758.157,770.669,"We will start with--just the little introduction about who you are, what your past work has been and why you are interested in joining the Commission.",17,,
144,0.97,770.669,772.505,Afeworki Ghebreiyesus please correct my pronouncing.,17,,
145,0.97,772.505,773.973,You say it correctly.,18,,
146,0.97,773.973,774.507,Thank you.,19,,
147,0.97,774.507,777.409,Nice to meet you.,19,,
148,0.97,777.409,778.978,Nice to meet you.,20,,
149,0.97,778.978,781.981,Thank you.,20,,
150,0.97,781.981,783.682,Hello and good morning everybody.,20,,
151,0.97,783.682,788.621,Thank you for the opportunity in advance.,20,,
152,0.97,788.621,790.823,I'm Afeworki Ghebreiyesus.,20,,
153,0.97,790.823,793.125,"I go by E, him.",20,,
154,0.97,793.125,809.742,I was born in South Africa and have attended my BA in chemistry as a program for--and program.,20,,
155,0.97,809.742,814.146,I have ten plus years of work experience.,20,,
156,0.97,814.146,824.256,"In the past I have worked in oil and gas industry, mining, education and other industries.",20,,
157,0.97,824.256,832.431,Prior to my position I worked in specialist helping low income families.,20,,
158,0.97,832.431,838.337,Updating and assisting [inaudible] to work.,20,,
159,0.97,838.337,862.094,"We have seen people losing job, no fault of their own and some kind of abuse, Miss treatment in war places, that's why I have started to organize training programs between our others about their--Worksite.",20,,
160,0.97,862.094,874.406,Maybe its something to do or my motive to join the Lsac board is something to do along those lines and I'm--I'm excited.,20,,
161,0.97,874.406,880.045,I'm looking for work to be on the board.,20,,
162,0.97,880.045,881.714,That's the brief introduction of myself.,20,,
163,0.97,881.714,886.151,"Once again, thank you for the opportunity.",20,,
164,0.97,886.151,889.555,Thank you very much for being here and for the interest.,21,,
165,0.97,889.555,896.895,We are going to hold questions until the end and let other folks introduce themselves.,21,,
166,0.97,896.895,899.198,Thank you forgetting us started here.,21,,
167,0.97,899.198,907.273,Diana thank you for being here with us.,21,,
168,0.97,907.273,911.043,Appreciate--go head.,21,,
169,0.97,911.043,911.277,And.,21,,
170,0.97,911.277,914.546,No problem.,22,,
171,0.97,914.546,918.317,Good morning and welcome.,22,,
172,0.97,918.317,945.945,"[speaking foreign language] H1N1 we are going to do translation and, thank you very much for your help in stepping in a pinch.",22,,
173,0.97,945.945,946.211,Welcome.,22,,
174,0.97,946.211,946.478,Fair fair,22,,
175,0.97,946.478,955.02,I work with the worker's rights program.,23,,
176,0.97,955.02,959.458,Thank you for the opportunity to be here.,23,,
177,0.97,959.458,970.002,It's an honor to meet with you.,23,,
178,0.97,973.305,1005.137,[speaking foreign language].,23,,
179,0.97,1005.471,1005.838,Hello.,24,,
180,0.97,1005.838,1012.211,I have been working with the community since I came to the United States.,24,,
181,0.97,1012.211,1029.161,I have some issues with labor rights and since that motivated me to continue to work for the education to increase the education of worker's rights.,24,,
182,0.97,1029.161,1045.244,[speaking foreign language].,25,,
183,0.97,1084.416,1100.799,"One of the biggest problems for, especially for Latino workers in the nation toward the Latino community and especially because of the censure and penalties, many penalties there are for workers.",26,,
184,0.97,1100.799,1129.428,If something goes wrong there's usually a penalty for the work Erin stead of the employer and that is one of the things that motivated me to be involved in this board and to do--to give my--my grain of sand toward this work.,26,,
185,0.97,1129.428,1130.896,Thank you very much.,26,,
186,0.97,1130.896,1135.234,[speaking foreign language] thank you so much for being here with us today.,26,,
187,0.97,1135.234,1141.006,We will continue with the next people.,26,,
188,0.97,1141.006,1141.607,[speaking foreign language].,26,,
189,0.97,1141.607,1148.413,We are going to come back for some questions in a few moments.,26,,
190,0.97,1148.413,1148.714,Thank you.,26,,
191,0.97,1148.714,1153.986,Let's go next to Alexis.,27,,
192,0.97,1153.986,1156.555,Good morning Alexis.,27,,
193,0.97,1156.555,1168.6,Alexis is feeling sick so I have a statement that I can read on her behalf for the committee.,28,,
194,0.97,1168.6,1169.134,Good morning.,28,,
195,0.97,1169.134,1175.707,Thank you for considering my nomination to the labor standards advisory Commission.,28,,
196,0.97,1175.707,1181.113,My name is Alexis Rodich and I'm the director of research and policy.,28,,
197,0.97,1181.113,1184.85,"The Caregivers Union representing more than 45,000 workers representing Washington and Montanan.",28,,
