index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,8.241,15.181,I want to welcome our colleagues back to session two of the Seattle city budget select meeting.,0,,
1,0.97,15.181,20.987,I want to recognize this is the 2ND part of day two.,0,,
2,0.97,20.987,26.393,Session two starting here at 2:01 P.M.,0,,
3,0.97,26.393,39.072,"This is our--we are coming back after being recessed and again just for the record today is October 13th, 2021 and select budget meeting will come back to order.",0,,
4,0.97,39.072,41.107,2:01 P.M.,0,,
5,0.97,41.107,46.146,"Madam clerk, could you please call the roll?",0,,
6,0.97,46.146,46.446,[roll called],0,,
7,0.97,75.575,76.776,Seven present.,1,,
8,0.97,76.776,80.914,Thank you very much.,2,,
9,0.97,80.914,81.414,Councilmember Morales.,2,,
10,0.97,81.414,81.848,Please go ahead.,2,,
11,0.97,81.848,82.148,Hello.,3,,
12,0.97,82.148,85.151,I think I missed roll call so I'm here.,3,,
13,0.97,85.151,85.585,Eight present.,4,,
14,0.97,85.585,88.121,Thank you so much.,5,,
15,0.97,88.121,93.46,And when our last member shows up we will make sure to note their presence as well.,5,,
16,0.97,93.46,106.272,Colleagues before we begin our conversation here to get to today on homelessness I want to send a quick note of appreciation and take a quick second to say thank you to Senator Murray.,5,,
17,0.97,106.272,115.081,I had a chance to participate in a press conference with her and members of two Seattle clubs and Seattle housing authority.,5,,
18,0.97,115.081,136.302,Calling for the build back better act to be passed in Congress calling for that to have deep investment in housing and homelessness and housing services to create a stable house and address and the prices of a housing on Affordability and homelessness that place Seattle in a region along with so many other cities.,5,,
19,0.97,136.302,155.421,I want to thank Senator Murray for her leadership and our Seattle delegation for the work that they have done in Congress to pass a few pieces of legislation early in the Covid crisis and the emergency relief fun and the air and rescue plan act quicker dollars here locally.,5,,
20,0.97,155.421,170.837,We want to make sure that every dollar allocated to the city and appropriated by the counsel and signed into law by the Mayor is getting out the door swiftly.,5,,
21,0.97,170.837,177.277,Thank you to Senator Murray for up 16 0-Dollars and the emergency relief fund they passed in progress.,5,,
22,0.97,177.277,181.648,So much has been made in D.C.,5,,
23,0.97,181.648,191.157,About the investments in infrastructure and connecting our communities and roads and bridges and cast happen if they can't live in communities that they work and live.,5,,
24,0.97,191.157,201.301,So I want to say a quick moment of thank you and appreciation to Senator Murray for the work that she and our congressional partners are doing to pass that act.,5,,
25,0.97,201.301,240.273,I also in the same token following up from our conversation this morning see a deep sense of urgency to get clarification on the allocation that we had expected to go out the door in the summer of this year with the passage of the American rescue act dollars through our local relief package known as the Seattle rescue plan to see millions of dollars sitting and not yet allocated and not encumbered makes me get those dollars out the door and for our spending for next year.,5,,
26,0.97,240.273,244.877,I know central staff mentioned that they would be looking through the list.,5,,
27,0.97,244.877,263.663,We have strong Federal partners fighting for funding specific to cities like Seattle that have been at the forefront of experiencing population growth and rising income inequality and housing Affordability and this is part of the solution that our congressional members have been making available for us.,5,,
28,0.97,263.663,282.181,Let's act with good partnership and speed to get those dollars out the door and more information coming soon on ensuring a follow through and implementation on those Seattle dollars.,5,,
29,0.97,282.181,287.387,Madam clerk can you read into the record I Fem 3.,5,,
30,0.97,287.387,291.124,Agenda item three homelessness response.,6,,
31,0.97,291.124,291.724,For briefing and discussion.,6,,
32,0.97,291.724,293.76,Thank you very much.,7,,
33,0.97,293.76,332.031,"Appreciate the opportunity to walk through this presentation with you, Jeff and we will go to Councilmember Lewis as you walk through your initial slide and speaking of income Inequal and the growth and income Inequal in our city just coming into City hall, I saw an individual that was washing their clothes in our fountain and that is a call for urgency and a place for people to be safe and secured and it was a reminder today of how much yet we have to do to address that income and inequality and deploy the resources.",7,,
34,0.97,332.031,344.977,Looking to this presentation and I saw you Councilmember Lewis getting clarity and direction how the moving parts as we consider our proposed budget.,7,,
35,0.97,344.977,346.913,"Jeff, let's take it away.",7,,
36,0.97,346.913,347.714,Thank you.,8,,
37,0.97,347.714,368.234,Jeff Simms counsel central staff and I don't see them on screen but I will be joined by Traci Ratcliffe and Brian good knight.,8,,
38,0.97,368.234,378.077,I will talk about changes and the increases are primarily in utilities and the housing Department.,8,,
39,0.97,378.077,392.825,And all of those are essentially unchanged you can navigate this table there's a line noting the clean city initiative and Spu parks and s DOT and those amounts do not add into the totals.,8,,
40,0.97,392.825,395.428,If there is any confusion I hope that clarifies it.,8,,
41,0.97,395.428,411.811,We want to make sure we were reflecting the clear overlap of homelessness and those are not always necessarily programs that are targeted on homelessness.,8,,
42,0.97,411.811,412.345,Brian will address that.,8,,
43,0.97,412.345,413.312,The human services Department.,8,,
44,0.97,413.312,422.688,There is a change and I know that executive touched on that when they presented the homelessness responses Department.,8,,
45,0.97,422.688,427.527,"If you look at this, it looks like a $34 million change.",8,,
46,0.97,427.527,438.437,And in fact 25 million of that is actually just transfers so that is a substantial part of the reduction you see right away.,8,,
47,0.97,438.437,439.705,Primarily a pass through to the city to manage the programs.,8,,
48,0.97,439.705,471.204,We don't have to do that pass through because we have regional authority to receive it and the transfer of the lead program to a different division so it is not counted in homelessness services where it was always kind of an awkward positioning any way and you will remember that last year's budget has had funding especially emergency grant Covid funding which was 26 millions and other funds related to emergency services.,8,,
49,0.97,471.204,487.186,That is why you see a big decrease and I realize that in preparing for this presentation that I probably should have put this into a table and and there is a variety of increases shared with you and have been touched on in other presentations.,8,,
50,0.97,487.186,500.733,But given and I know it has been brought up I want to make sure I highlight the funding sources for the various increases in the human services Department related to homelessness.,8,,
51,0.97,500.733,507.673,There's three that are all coming from Clipper dollars that will be appropriated with this package of the budget legislation.,8,,
52,0.97,507.673,534.867,"So money for three years of operations and the cares shelter and money for two years of operations in some capital costs for the Salvation Army shelter and $3.7 million to continue the modification in our various homelessness programs and shelters due to Covid-19 and last year we added one time funding and again this year, ultimately some of these costs may become part of base operations.",8,,
53,0.97,534.867,542.975,We will continue to maintain them and treating them as emergency adjustments at this time.,8,,
54,0.97,542.975,547.78,I wanted to highlight these funding sources called jump start.,8,,
55,0.97,547.78,557.69,"First is $6 million for services that and this is as I mentioned earlier and I believe yesterday during Committee, services for emergency--sorry.",8,,
56,0.97,557.69,563.362,Emergency housing that is provided to the Seattle and King County housing authority.,8,,
57,0.97,563.362,574.006,$2.4 million to operate the tiny home Vil Lambeau fields that we will be able to set up or start up using $2 million provided with state Capitol funds.,8,,
58,0.97,574.006,598.097,"Chairman Mosqueda asked about this earlier and wanted to make sure that was apparent and $811,000 for add administrative costs at the regional authority staffing and overhead and then Lastly $100,000 on and this is to provide ongoing funding for the lease facility transitional housing program that utilizing Seattle authority units.",8,,
59,0.97,598.097,605.705,They are what is going on in the human services Department and it looks like it is a large drop.,8,,
60,0.97,605.705,616.549,A drop of $9 million when you take out all of the one time money you put in that smaller one time funds and we are not seeing dramatic ongoing changes.,8,,
61,0.97,616.549,627.126,And I think that Brian will go into Spu and I know TR ACI will go into other areas as well.,8,,
62,0.97,627.126,633.799,We will go to the next slide.,8,,
63,0.97,633.799,645.444,You have seen previously if you were part of the homelessness or sorry if you remember the homelessness presentation and the select homelessness presentation.,8,,
64,0.97,645.444,651.117,As requested by counsel I have added two more columns and it shows the projected city funded shelter capacity will be.,8,,
65,0.97,651.117,668.634,"You can see that we will continue to have one time funding, a lot of which comes off line and in January and replaced by other funds and shelters are off line by the time we get to this summer.",8,,
66,0.97,668.634,670.669,Overall the shelter capacity would have increased.,8,,
67,0.97,670.669,684.917,I can see there is base units and a large number of tiny villages shown in a gray collar that will take our capacity possess where it was Prepandemic.,8,,
68,0.97,684.917,696.729,"Madam chair, do you want me to be Pausing for comments and questions or should I keep moving?",8,,
69,0.97,696.729,699.098,This is our--our only item this afternoon.,9,,
70,0.97,699.098,707.44,I will ask that you get through the next two slides.,9,,
71,0.97,707.44,714.747,We will Getgo get to the next slide then.,10,,
72,0.97,714.747,735.167,"As you are aware, I discussed a potential or there was a point in time proposal from the King County homelessness authority for taking an approach to addressing downtown and shelter homelessness and presented at the time in early September and actually key aspects would have to change.",10,,
73,0.97,735.167,751.25,"In order for it to somehow be put together in a current base strategy as various commitments for some of these resources have been named so utilizing for example, some of the vacant shelters that we would have are now being Prioritized for other purposes or other locations I should say.",10,,
74,0.97,751.25,759.759,Things like that and so there is a lot of moving pieces that have outdated this to some degree but I felt it was important to highlight this for a few different reasons.,10,,
75,0.97,759.759,775.541,First of all because it is becoming an important conversation piece and part of the public dialogue since the authority is discussing taking a place base approach and focusing on downtown initially as a first step.,10,,
76,0.97,775.541,783.549,Also because of the utilization of some of the items that I'm going to note later and issue in Id and accomplishing this strategy.,10,,
77,0.97,783.549,799.265,And I think it is important that we have the overall picture so that when we talk about the high Acuity shelter and pure navigator network you will have a clear understanding how this will fit into the initial proposals from the authority.,10,,
78,0.97,799.265,812.778,I will run through what all five lines are and I will move to Brian to discuss Seattle public utilities background.,10,,
79,0.97,812.778,828.027,There is an existing shelter program and we have turnover and shelters do a good job of moving people to another stage of housing and reunite families and things like that.,10,,
80,0.97,828.027,840.506,Vacancies occur utilizing at that point the anticipated turnover and Prioritizing that is 120 units and one of the most key areas that this plan is outdated and would have to be revised.,10,,
81,0.97,840.506,846.212,"The next line, you can see is funding from King County and resources.",10,,
82,0.97,846.212,854.486,Úand we look here and this is King County Covid appropriations 7 I believe it was.,10,,
83,0.97,854.486,862.261,Passed over the summer and specifically allocated funds and moving people inside and it identified a priority for downtown and for Unincorporated King County.,10,,
84,0.97,862.261,878.744,In those five hundred units you will see the idea that 275 would be utilized and consistent with what was stated as priority to move people from the downtown area into shelters of some kind or other resources.,10,,
85,0.97,878.744,881.213,"And then the next line, the new shelter.",10,,
86,0.97,881.213,882.381,I will go into that a lot.,10,,
87,0.97,882.381,889.288,That's a request of all of you for additional funding from the King County regional homelessness authority.,10,,
88,0.97,889.288,891.156,And I won't go into that at this time.,10,,
89,0.97,891.156,896.228,Next line looking at emergency housing.,10,,
90,0.97,896.228,916.048,"This is the sales tax or what and the--to this point, the county has acquired nine different buildings and 859 units approximately and in total that have been required and these are going to be used for permanent and supported housing and emergency housing.",10,,
91,0.97,916.048,926.592,Those are synonymous in terms of the services that are provided to people that are occupying those units and housing.,10,,
92,0.97,926.592,939.605,And newly different emergency housing does not have its own kitchen and it is a challenge unit and something along those lines.,10,,
93,0.97,939.605,958.857,"Of the 9 buildings, four of those unit is in Seattle and this proposal will have an initiative 290 of those 400 are identified for--for addressing the long term placement of people that are already in shelters that intensified.",10,,
94,0.97,958.857,963.529,If you think of the main shelter on 3RD and James.,10,,
95,0.97,963.529,970.636,And how those residents move during Covid to the Red line Inn and that location is not going to stay in operation.,10,,
96,0.97,970.636,982.448,And so some of these units that are going on with housing will shall used to provide permanent housing for those individuals and those other programs with the same experience.,10,,
97,0.97,982.448,987.953,"And overall, looking at the 400 unit is in Seattle and 110 left.",10,,
98,0.97,987.953,994.259,And targeted towards this type of approach and if that was the revised plan to get developed.,10,,
99,0.97,994.259,1004.97,And that means 200 beds would be needed from the investments and the acquisitions outside of Seattle.,10,,
100,0.97,1004.97,1011.543,That one key consideration is not everyone experiencing homelessness is from Seattle.,10,,
101,0.97,1011.543,1014.546,That was their last place of residence.,10,,
102,0.97,1014.546,1019.785,You might allow them to return to communities where they came from and have stronger social bonds in a long-term way.,10,,
103,0.97,1019.785,1028.193,And then the 5th and final line in that plan is permanent housing.,10,,
104,0.97,1028.193,1048.414,This is using investments and at this time the latest numbers that Tracy was able to obtain is 291 units will be opened this year and so we will be using a small portion of those to--as part of the strategy if this was a component of whatever became a final plan.,10,,
105,0.97,1048.414,1053.719,This was just a vision initially presented and already had to be outdated and will have to have changes.,10,,
106,0.97,1053.719,1066.965,So with that I will turn it over to Brian to run to the next background slide.,10,,
107,0.97,1066.965,1067.966,Brian good knight.,11,,
108,0.97,1067.966,1069.802,Counsel central staff.,11,,
109,0.97,1069.802,1080.212,"Page 5 shows the programs with Spu that are related to homelessness, hygiene and clean city initiative and the remaining clean-up programs that Spu has that are known as clean city programs.",11,,
110,0.97,1080.212,1093.058,As can be seen in the table overall the 2022 proposed budget increases investments sin the entire suite of programs by 2-Point #million and 12.,11,,
111,0.97,1093.058,1103.268,Relative to 2021 adopted budget and staffing dedicated to the programs will increase by three FTE that plays the staffing next year to almost 23Fte.,11,,
112,0.97,1103.268,1119.952,The table also carvings out space for two Subtotal rows and those are the ones shaded in this light gray color with I Tal Licks to provide groupings for programs that are homelessness related and for programs that are proposed to receive additional funding related to clean city initiative.,11,,
113,0.97,1119.952,1125.29,And that fund will be discussed in more detail in the issue identification of the presentation.,11,,
114,0.97,1125.29,1142.574,There is another caveat that I want to note for the table and due to the imprecise way that Spu allocates labor it appears that a couple of the programs the encampment tremor program is Deceasing but that is not the case.,11,,
115,0.97,1142.574,1148.046,Labor is not indicated in as fine of detail as this table presents.,11,,
116,0.97,1148.046,1155.387,Staff time is increasing overall with addition of new progresses and maybe attributed to Inwreck clean city programs.,11,,
117,0.97,1155.387,1160.092,Sp has confirmed that the 2022 proposed budget that does not decrease services for any of these programs.,11,,
118,0.97,1160.092,1168.634,In terms of notable changes there are three that I'd like to briefly mention that relate to recreational vehicles.,11,,
119,0.97,1168.634,1173.906,"The first is additional $275,000 of ongoing funding for three additional public hygiene stations.",11,,
120,0.97,1173.906,1178.944,Increasing the total number of funded stations from 18 to 21.,11,,
121,0.97,1178.944,1188.687,Spu stated their intention these new hygiene stations services will be provided near Rven Camments.,11,,
122,0.97,1188.687,1193.058,"The second item is proposed 560,000Ed for the remediation program.",11,,
123,0.97,1193.058,1202.1,In 2022Spu will return the program back to its original framework and provides 6 to 8 full clean screens a month.,11,,
124,0.97,1202.1,1212.878,This is in contrast to how the program has been operating during the encampment and pandemic.,11,,
125,0.97,1212.878,1214.98,This will support three efforts.,11,,
126,0.97,1214.98,1231.697,A new field coordinator position proposed in the supplemental budget and the field Corator will provide site evaluations and connect individuals residing in Rvs to resources and facilitate trash resources and manage the storage of belongings if necessary.,11,,
127,0.97,1231.697,1247.479,The second effort is the distribution of purple beds to 7 to 10Rv bags and third what the Department is calling Geo screens and trash pickup in different areas of the city.,11,,
128,0.97,1247.479,1249.348,Spu estimates about 16 Geo cleans will happen each hospital.,11,,
129,0.97,1249.348,1259.358,"And the third notable increase that I will mention for the budget is $175,000 for the Rv waste water program.",11,,
130,0.97,1259.358,1264.296,"According to data provided by Spu, between Jan and September the program serviced 133Rvs per month.",11,,
131,0.97,1264.296,1268.4,During these six months the program was operating on a four week interval.,11,,
132,0.97,1268.4,1278.21,During six of these minutes the program was operating on four week service interval and then six week interval.,11,,
133,0.97,1278.21,1287.352,Spu says the funding request are to address higher than anticipated servicing costs including waste water volumes being greater than expected.,11,,
134,0.97,1287.352,1296.561,Spu says that the program will be able to service for 120Rvs per month on a four week servicing interval.,11,,
135,0.97,1296.561,1309.107,And that concludes my remarks for this slide and this is the last slide of the background section and we can pause for questions.,11,,
136,0.97,1309.107,1309.441,Wonderful.,12,,
137,0.97,1309.441,1315.113,I will hand it to Councilmember Lewis to see if you have comments or questions.,12,,
138,0.97,1315.113,1343.342,Thank you so much Madam chair and I appreciate we have a whole afternoon to dive just into this given that without a doubt in my office and I would imagine for many of your fellow Councilmembers that homelessness in the city's homelessness response is a pretty common constituent inquiry.,13,,
139,0.97,1343.342,1355.153,"So appreciate the carve out of time to dive deep into this and Madam chair before I go further this is to ask questions to Brian and to the entire pitch here, right?",13,,
140,0.97,1355.153,1355.587,That's right.,14,,
141,0.97,1355.587,1368.567,And then we can go into the issues that they have identified in the next seven or eight slides and the macro memo or things you would like to pull out for our reference.,14,,
142,0.97,1368.567,1368.9,Perfect.,15,,
143,0.97,1368.9,1369.367,Thank you very much.,15,,
144,0.97,1369.367,1392.157,Just to make general comments the talk earlier this week is folks are aware my office released a report of some of the data and trends regarding homelessness in the city of Seattle during the Covid emergency.,15,,
145,0.97,1392.157,1397.729,Broadly and mostly speaking for myself and how I took things away from the data.,15,,
146,0.97,1397.729,1421.486,It indicated that Covid came along and forced us to reduce the quantity of shelter and improve the quality and the result of that was a dramatic increase of people camping in public spaces that under ordinary circumstances would have had a place in a Congregant or semi Congregant shelter in Precovid times.,15,,
147,0.97,1421.486,1436.168,As you have seen from the presentation and as you have seen from my comments we are about to have a large amount of resources that will come Online to help equalize that disparity.,15,,
148,0.97,1436.168,1497.762,"We know before Covid, homelessness was a huge crisis in the city of Seattle requiring much more immediate and sustained response on a systemic level and what I really--as we go through this budget process this fall I want to focus on not only shelter capacity that I think is still very important to provide that short-term relief for some people that don't have any other option like at this moment and need someplace to go and to focus on strategies at the new regional homeless authority and a pass through from the shelter assets for housing and then work on the Scaling up and Resourcing are those housing assets that we have seen considerable resource for over the course of the Covid era due to unprecedented Federal sport or acquisition of housing.",15,,
149,0.97,1497.762,1531.396,With that we also need to lean into a policy discussion about what will happen with the outreach function that historically has been conducted by the navigation team and the hope team in the future will be conducted by some other outreach concept that regional authority will put forward and we know there are assets as have been forward here and we have discussed with the relevant Department two weeks ago or the relevant leadership in the Mayor's office two weeks ago.,15,,
150,0.97,1531.396,1564.963,There are resources that envision some kind of city role in that process of doing or providing services and providing outreach to Encampments to stay in the city family and really making sure that we have a policy discussion about what the edge of the city involvement is and what constitutes outreach and what constitutes some kind of supplemental service that is not related to that initial outreach mission.,15,,
151,0.97,1564.963,1576.474,"That is at the high level for this early conversation and I think for questions to start with Jeff, I want to ask questions about the chart, Jeff, the shelter one.",15,,
152,0.97,1576.474,1599.564,I don't remember which slide that was on but the slide that we have seen several variations of over the last several months detailing the supply of shelter houses with the Covid emergency.,15,,
153,0.97,1599.564,1603.335,That is slide three there you go.,16,,
154,0.97,1603.335,1603.602,Great.,17,,
155,0.97,1603.602,1607.872,A few questions with this chart.,18,,
156,0.97,1607.872,1621.152,This chart at this point in vision the result of the Rfq that is anticipated to be done for the authority for 120 more tiny houses and 25 safe house spaces?,18,,
157,0.97,1621.152,1621.453,It does.,19,,
158,0.97,1621.453,1622.12,Okay.,20,,
159,0.97,1622.12,1635.533,But it doesn't anticipate to be conservative on projections that would be reflected in the final column for July of 2022 where there is 325 units.,21,,
160,0.97,1635.533,1641.973,That is a Council funded expansion and the Council had given money to open those.,21,,
161,0.97,1641.973,1654.452,Not to in that presentation I am not trying to indicate that units are opened until July but I think there is still an open question on how long it will take for those to occur.,21,,
162,0.97,1654.452,1666.698,At this point I feel like we could say with confidence there is no operations in 2021 but unclear how early in 2022 those units will be Online so they were not Online in March.,21,,
163,0.97,1666.698,1672.07,Hopefully that is something that can happen much faster.,21,,
164,0.97,1672.07,1674.339,Thank you.,22,,
165,0.97,1674.339,1692.557,I wanted to see if that asset incorporated into this chart and it is fair to put it in given the understanding that there will be an Rfq and an effort to get them going and hopefully we can lapped that more in that March of 2022.,22,,
166,0.97,1692.557,1705.837,For landing the budgeting good to know it is anticipated in here and I guess to a certain extent I was hoping that maybe it wouldn't be so that column might go up a little bit more.,22,,
167,0.97,1705.837,1708.339,But that is answering my question.,22,,
168,0.97,1708.339,1725.99,So in the budget that came down from the executive because there is lots of proposals that we have discussed to increase the amount of shelter resources in 2022.,22,,
169,0.97,1725.99,1734.866,Does the transmitted budget request from the Mayor and regional housing authority have more capacity or does it sustain the capacity from 2021?,22,,
170,0.97,1734.866,1738.937,Let me go in detail about what is in there.,23,,
171,0.97,1738.937,1748.446,I'm not sure of how you look at the investments there.,23,,
172,0.97,1748.446,1750.782,So there is thorough dollars.,23,,
173,0.97,1750.782,1760.625,The second Trunch are Clipper dollars and that's for the cares shelter and provides three years of operations for the cares shelter and that is I believe it is 75.,23,,
174,0.97,1760.625,1783.948,I don't actually have that in front of me but I can double- check that and then there is the Soto shelter that is currently in operation on Cunty leased property and provides two years of operations there.,23,,
