index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,3.503,5.638,Here for our special meeting today.,0,,
1,0.97,5.638,12.712,Will the clerk please call the roll.,0,,
2,0.97,12.712,12.979,Lewis?,1,,
3,0.97,12.979,15.548,Here.,2,,
4,0.97,15.548,20.186,Council member Morales?,3,,
5,0.97,20.186,21.821,Here.,4,,
6,0.97,21.821,22.822,Council member Mosqueda?,5,,
7,0.97,22.822,24.057,Here.,6,,
8,0.97,24.057,25.692,Council member Pedersen?,7,,
9,0.97,25.692,28.762,Here.,8,,
10,0.97,28.762,30.93,Council member Strauss?,9,,
11,0.97,30.93,31.264,Present.,10,,
12,0.97,31.264,33.233,Council member Gonzalez?,11,,
13,0.97,33.233,35.335,Here.,12,,
14,0.97,35.335,37.07,Council member Herbold?,13,,
15,0.97,37.07,38.338,Here.,14,,
16,0.97,38.338,40.273,And Council member Juarez?,15,,
17,0.97,40.273,44.677,Here.,16,,
18,0.97,44.677,45.478,Eight present.,17,,
19,0.97,45.478,48.848,We will now proceed with the approval of the agenda.,18,,
20,0.97,48.848,57.49,"If there are no objections, the agenda will be approved and adopted.",18,,
21,0.97,57.49,59.259,"Hearing no objection, the agenda is adopted.",18,,
22,0.97,59.259,67.167,Just to give a very brief chair's report because we are short on time with some of our panelists.,18,,
23,0.97,67.167,74.441,First I want to thank all of you for joining me and my Council colleague for this special counsel meeting.,18,,
24,0.97,74.441,84.25,The purpose of this meeting is to get an update on the city's efforts to provide hygiene efforts for people experiencing homelessness during this Covid- 19 public health crisis.,18,,
25,0.97,84.25,90.056,The conversation is especially important given the recently reported outbreak of hepatitis a in North Seattle.,18,,
26,0.97,90.056,93.693,The format of the meeting is going to consistent of two panels today.,18,,
27,0.97,93.693,104.604,The first panel is going to consistent of front line homeless service providers who are going to give an update on the hygiene issues that they are facing out in the field.,18,,
28,0.97,104.604,126.926,And following that panel we're going to be joined by the deputy Mayor as well as Ryan Kellogg and the director Patty Hayes from King County Seattle public health Department who are going to give an overview of the efforts being done to stand up with hygiene resources and the response from the city and the county.,18,,
29,0.97,126.926,131.931,Moving on to just a brief comment on public comment.,18,,
30,0.97,131.931,141.307,"Because of the technical challenges that have arisen from the necessity to meet Electronly, we do not have a way to solicit public comment on this remote meeting.",18,,
31,0.97,141.307,158.658,However I want to ensure members of the public who are listening that we welcome their comments and questions stemming from this meeting and to please E-mail Council if you do have public comment that is relevant to this Committee.,18,,
32,0.97,158.658,167.967,I for sure as the chair am getting all the feedback we are getting from the public on the agenda of this Committee and will welcome your E-Mails.,18,,
33,0.97,167.967,169.769,Please don't hesitate to reach out.,18,,
34,0.97,169.769,173.773,So moving on to our items of business.,18,,
35,0.97,173.773,179.312,"I'm going to move on to the first panel, the Presenters.",18,,
36,0.97,179.312,195.528,"I'm sure all of us know them by reputation for their diligent service in the community and in this field that I would first like to start by thanking Colleen, Allison Eisinger.",18,,
37,0.97,195.528,202.969,"Jessica Juan and don Widson from the Evergreen treatment services, and Brittany Meek from the downtown emergency service center.",18,,
38,0.97,202.969,208.074,I want to thank all of you for your service.,18,,
39,0.97,208.074,217.65,Thank you for coming here to join us this morning to provide an update on the great work you are doing out in the community.,18,,
40,0.97,217.65,248.581,"I'm going to ask each of the participants starting with Colleen then Allison then Jessica and don and then Brittany to provide a one or two-minute statement at the beginning, just an overview of the challenges you're seeing and what you guys have been up to out in the field during the Covid-19 outbreak.",18,,
41,0.97,248.581,262.095,After that I'm going to facilitate a discussion between my colleagues and the entire panel just like any other Council presentation to give an opportunity for folks to answer questions and get further Clarifications.,18,,
42,0.97,262.095,273.506,"I'm going to ask Jessica when we move on to the next panel director Hayes needs to leave by 10:50 a.m., so I want to make sure we can get to updates from her.",18,,
43,0.97,273.506,283.316,"So I want to finish our first panel discussion here by 10:30 a.m., so I would ask the people hold their questions till the end.",18,,
44,0.97,283.316,295.895,"Council colleagues, just raise your hand in the zoom boxes or send me an E-mail or a chat or a text if you want to be recognized.",18,,
45,0.97,295.895,297.73,I will keep a list.,18,,
46,0.97,297.73,304.437,So with that I want to turn it over to Colleen.,18,,
