index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,16.583,19.052,We are recording.,0,,
1,0.97,19.052,19.352,Terrific.,1,,
2,0.97,19.352,19.552,Okay.,1,,
3,0.97,19.552,22.155,"Good afternoon, everyone.",1,,
4,0.97,22.155,29.162,"The April 20, 2021 meeting of the community of economic development committee will come to order.",1,,
5,0.97,29.162,30.296,It is 2:02 P.M.,1,,
6,0.97,30.296,34.501,"I'm Tammy Morales, chair of the committee.",1,,
7,0.97,34.501,47.647,Will the clerk please call the roll.,1,,
8,0.97,47.647,48.815,Councilmember Lewis?,2,,
9,0.97,48.815,49.282,Councilmember Juarez?,2,,
10,0.97,49.282,50.65,Councilmember Pedersen?,2,,
11,0.97,50.65,51.418,Here.,3,,
12,0.97,51.418,54.621,Councilmember Sawant?,4,,
13,0.97,54.621,55.221,Present.,5,,
14,0.97,55.221,58.057,Chair Morales?,6,,
15,0.97,58.057,59.125,Here.,7,,
16,0.97,59.125,60.994,"Three--sorry, three here.",7,,
17,0.97,60.994,64.431,Councilmember Juarez just joined.,8,,
18,0.97,64.431,65.999,"Just joined, sorry.",9,,
19,0.97,65.999,66.533,That's okay.,10,,
20,0.97,66.533,66.833,Thank you.,10,,
21,0.97,66.833,76.943,"So, colleagues, we have a very full agenda today and I want to respect and thank, particularly the appointees who are here.",10,,
22,0.97,76.943,88.054,"But I do want to say that given that the Chauvin verdict is about to be announced, I think it's appropriate for us to reschedule this committee meeting.",10,,
23,0.97,88.054,97.464,"We have a lot of important issues to discuss, particularly when it comes to Reimagining community safety in a way that doesn't center police.",10,,
24,0.97,97.464,106.339,"But I think it's important that we give our black neighbors the time and space to process this verdict, whatever it is.",10,,
25,0.97,106.339,114.28,And so I am adjourning this meeting with plans to reschedule for--by the end of next week at the latest.,10,,
26,0.97,114.28,119.185,We will be in touch as soon as possible with a new date.,10,,
27,0.97,119.185,125.458,"So I am praying for justice for George Floyd, and I am adjourning this meeting.",10,,
28,0.97,125.458,127.894,And I wish you all a good afternoon.,10,,
