index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,7.107,14.681000000000001,"Good afternoon, the March 22nd, 2021 meeting of city council will come to order, it is to: 04 P.M.",0,,
1,0.97,14.681000000000001,19.786,"I am president of the Council, will the clerk please call road.",0,,
2,0.97,19.786,21.788,Councilmember Morales.,1,,
3,0.97,21.788,23.857,Here.,2,,
4,0.97,23.857,26.893,Councilmember Mosqueda.,3,,
5,0.97,26.893,28.495,Present.,4,,
6,0.97,28.495,29.696,Councilmember Pedersen.,5,,
7,0.97,29.696,31.164,Present.,6,,
8,0.97,31.164,33.6,Councilmember Sawant.,7,,
9,0.97,33.6,35.201,Present.,8,,
10,0.97,35.201,36.669,Councilmember Strauss.,9,,
11,0.97,36.669,38.471,Present.,10,,
12,0.97,38.471,40.507,Councilmember Herbold.,11,,
13,0.97,40.507,49.616,Present.,12,,
14,0.97,49.616,50.817,Nine presents.,13,,
15,0.97,50.817,59.592,"Presentations, as you can see, we are joint by quite a few distinguished guests.",14,,
16,0.97,59.592,91.658,"It is my pleasure to introduce this particular item, Councilmember Juarez does have a presentation, Councilmember Juarez was first announced the presentation, then I will open the floor for comments after we hear from other Councilmembers, we will suspend the rules to allow our guests to accept the proclamation and provide comments.",14,,
17,0.97,91.658,97.363,"Councilmember Juarez, I will hand it over to you.",14,,
18,0.97,97.363,99.232,"Thank you, Council President.",15,,
19,0.97,99.232,99.632,Welcome.,15,,
20,0.97,99.632,110.977,"If this was ever a time to do an acknowledgment about who we are as indigenous people, it would be now.",15,,
21,0.97,110.977,152.619,"I want to start, I hope my colleagues have had an opportunity, I know the Snoqualmie nation has the proclamation written by the family, before I go into my written script, I just want to say a few personal things about Andy before we begin, the proclamation, which is two pages, can never capture all the great things and he did Besides working for Federal recognition for his tribe, we had an opportunity to work on that, besides making sure he protected the Snoqualmie falls, and I was with Andrew for three takeovers, including Cascadia, and he was involved in the 70s and he was there when we took over ft.",15,,
22,0.97,152.619,152.852,Lawton.,15,,
23,0.97,152.852,164.43,"He was a mentor of mine and a dear friend, I cannot tell what he did, working with Ramona Bennett, Bernard Joe, Verna Joe, Roxanne Finney, and yours truly.",15,,
24,0.97,164.43,192.058,"A lot of people don't know this about Andy, it is buried way at the bottom, he was one of our very first native American journalists, and what we call the gang of four.",15,,
