index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,14.814,18.918,Thank you and good afternoon everyone.,0,,
1,0.97,18.918,21.755,Welcome back to the budget committee meeting.,0,,
2,0.97,21.755,24.324,The time is 2:07 P.M.,0,,
3,0.97,24.324,27.527,The date is October 15th.,0,,
4,0.97,27.527,28.995,2021.,0,,
5,0.97,28.995,32.832,I'm Teresa Mosqueda chair of the budget committee.,0,,
6,0.97,32.832,34.901,Will the clerk please call the roll?,0,,
7,0.97,34.901,35.201,[roll called],0,,
8,0.97,59.092,59.692,Nine present.,1,,
9,0.97,59.692,60.66,Excellent.,2,,
10,0.97,60.66,61.628,We have everyone in attendance here today.,2,,
11,0.97,61.628,66.299,Just to Orient us to where we are at in presentation.,2,,
12,0.97,66.299,70.87,We are on agenda item number 2 still.,2,,
13,0.97,70.87,81.014,We are going to conclude our conversation on agenda I term number two before going to item three that is related to the Seattle police Department and the proposed budget.,2,,
14,0.97,81.014,91.191,On the alternative of the criminal legal system and I want to thank the staff part of this presentation this morning leading to the afternoon.,2,,
15,0.97,91.191,95.862,Amy Gore and Lisa K and Jeff Simms and Oshi.,2,,
16,0.97,95.862,103.069,I think we are on your slide and I see slide 14 pulled up here.,2,,
17,0.97,103.069,105.171,Thank you for walking us through this fees.,2,,
18,0.97,105.171,110.376,Are we ready to move onto the next slide.,2,,
19,0.97,110.376,110.743,Yes.,3,,
20,0.97,110.743,123.523,I think we are at the stage of talking about issue number two which is electronic home monitoring subsidy.,3,,
21,0.97,123.523,123.923,Perfect.,4,,
22,0.97,123.923,124.123,Okay.,4,,
23,0.97,124.123,126.559,Let's get started on slide 15.,4,,
24,0.97,126.559,130.497,Great.,5,,
25,0.97,130.497,139.772,So electronic home monitoring for the public's awareness is a alternative to Incarceration and in which a person is monitored by Gps device.,5,,
26,0.97,139.772,163.563,So there can be a restriction on where they go and times at which they have to be in a certain location such as returning home by a particular time and so as it currently stands the Seattle municipal court uses Dhm instead of pretrial Incarceration and as alternative to Incarceration when an individual has been sentenced to a mandatory minimum jail term.,5,,
27,0.97,163.563,189.689,There is concerns raised about the use of Phm as an alternative to Incarceration and some in the task force on the legal system and the recommendations are nice to replace Incarceration with Ehm with alternative form of surveillance.,5,,
28,0.97,189.689,195.895,And so these considerations primarily inform the decisions that a judge makes when that decision is discretionary.,5,,
29,0.97,195.895,211.077,And so if a judge has the option to assign Ehm or Incarceration versus releasing somebody pretrial without conditions there are cautions about using Ehm as a form of surveillance.,5,,
30,0.97,211.077,220.553,"However, there are some situations in which the judge does not have a discretion because of the way that state law is set up.",5,,
31,0.97,220.553,241.541,So particularly in cases of Duis there are state laws that require some level of supervision and so that can be either in the form of Ehm or in the form of Incarceration and so in those situations if a judge would prefer not to incarcerate or put somebody on Ehm they don't have the discretion to make that decision.,5,,
32,0.97,241.541,254.821,They are required to do it and Ehm can can in those situations the less restrictive alternative in comparison to Incarcerating somebody.,5,,
33,0.97,254.821,269.168,"In the 2022 proposed budget, there is an addition of $88,000 that would add to an existing $43,800 in the base budget to provide subsidies for electronic home monitoring.",5,,
34,0.97,269.168,282.615,Regardless of whether the decision of the judge to put somebody on Ehm is mandatory or discretionary it is the defendants that have to pay the costs of Ehm.,5,,
35,0.97,282.615,298.998,"So in cases where Ehm or Incarceration is mandatory there can be an equity issue in terms of whether a defendant can actually pay the costs of the Ehm because if they can't, then they may end up being incarcerated instead.",5,,
36,0.97,298.998,323.189,"For the purposes of increasing funding for the purpose, the court has and the budget includes included $88,000 Decisionly to its budget so that people that cannot afford--cannot afford Ehm, defendants that can't afford it are able to access it by use of this subsidy.",5,,
37,0.97,323.189,333.433,So for your consideration there are two sets of options on this slide and in the issue Id paper.,5,,
38,0.97,333.433,337.17,The first is about mandatory supervision.,5,,
39,0.97,337.17,346.579,So in this circumstance where a judge has the discretion to assign Ehm to a defendant.,5,,
40,0.97,346.579,354.654,Because of the concerns reflected in the task force report releasing people without conditions whatsoever.,5,,
41,0.97,354.654,369.001,"And so if there is interest from the counsel side in limiting the use of these funds over to where supervision is mandatory, in the case of Duis there is a couple of options.",5,,
42,0.97,369.001,384.751,Option Awould maintain the allocation in the budget and provided that funds require when Ehm is mandated by state law and B is not to provide those funds but question evaluation and that evaluation can be about any number of things.,5,,
43,0.97,384.751,397.396,It could be at racial Disproportion Ality and the assignment of Ehm and whether the surveillance is replacing Incarceration and expanding the kind of supervision that the courts are using.,5,,
44,0.97,397.396,411.043,Whether Ehm because it is being used in place of Incarceration is actually increasing the conditions under which somebody is under and there are a variety of other considerations that an evaluation could shed light on.,5,,
45,0.97,411.043,432.765,And then an option AC would be not to provide those funds but depending on the Council's views on the use of Ehm as a mandatory form of supervision include some priorities in the city state legislative agenda to go towards the state considering whether mandatory supervision should be included as part of Duis.,5,,
46,0.97,432.765,445.645,Or if there is option B that is to take no act to allow the allocation to move forward without any restriction.,5,,
47,0.97,445.645,448.214,And there are options here regarding funding source.,5,,
48,0.97,448.214,460.56,And so Similarly the discussion we had earlier in terms of filing for diversion and trying to fund the sort of allocation using existing funds from within the criminal legal system.,5,,
49,0.97,460.56,473.406,Either from the Seattle police Department and the city attorney's offices and criminal division or from the Seattle municipal court itself.,5,,
50,0.97,473.406,477.109,Or to take no action.,5,,
51,0.97,477.109,478.177,Thank you.,6,,
52,0.97,478.177,482.181,Councilmember Herbold and then Lewis.,6,,
53,0.97,482.181,484.851,Councilmember Morales as well.,7,,
54,0.97,484.851,499.499,"Just to understand option A1, if the funds were provided so they can be used Ehm as mandated, that means the funds would not be available when Ehm is discretionary.",8,,
55,0.97,499.499,518.484,"So the judge in those cases are folks that could not afford the cost associated with Ehm and those discretionary cases, the only option would be jail for them, right?",8,,
56,0.97,518.484,518.918,Not necessarily.,9,,
57,0.97,518.918,521.087,I guess I shouldn't say the only option.,10,,
58,0.97,521.087,524.59,We don't have any influence over which option is chosen.,10,,
59,0.97,524.59,524.957,Correct.,11,,
60,0.97,524.957,530.429,And that could be an outcome that have decision.,12,,
61,0.97,530.429,543.309,Because we don't get to choose whether or not a judge--the sentence that the judge choose.,12,,
62,0.97,543.309,550.516,"Yes, that's correct.",13,,
63,0.97,550.516,551.017,Okay.,14,,
64,0.97,551.017,556.422,Thank you for the clarifying question.,14,,
65,0.97,556.422,557.456,Couple member Lewis and then Morales.,14,,
66,0.97,557.456,593.926,"Thank you Madam chair related to Councilmember Herbold's clarifying questions, you know my preference would probably be for A2, mostly because I do get concerns about if we were to use Provisos where things are mandated by state law I don't want us to be in a position where we have inadvertently created a scenario where more people are serving jail terms because Dhm has been prevented.",15,,
67,0.97,593.926,596.829,And this is just sort of alike a Privatism thing.,15,,
68,0.97,596.829,605.805,I am not necessarily coming Úhere and giving a big endorsement to Dhm that something that I think is great.,15,,
69,0.97,605.805,617.483,But I am making a very clear value judgment that Ehm is superior to jail.,15,,
70,0.97,617.483,619.185,Better outcomes.,15,,
71,0.97,619.185,619.919,More like cheaper.,15,,
72,0.97,619.919,622.455,People are not put in an experience of Incarceration unnecessarily.,15,,
73,0.97,622.455,650.616,And I would want to make sure that we are not--I want to make sure we are evaluating and assessing the efficacy of Dhm and developing alternatives that can be even less restrictive than Ehm but I don't want to be in a position that we would accidentally create incentives when judges are faced with a choice because it is not just about when people are serving a sentence.,15,,
74,0.97,650.616,658.591,This is alter a critical tool for when people are pending their trial.,15,,
75,0.97,658.591,674.173,And as alternative for setting bail or alternative for holding people in jail prior to having a trial to determine if they are going to be sentenced to anything.,15,,
76,0.97,674.173,679.645,A lot of the decisions are made with very small information from the judge.,15,,
77,0.97,679.645,706.005,"They have to make a risk reward assess, and the risk assessment in determining what level of restriction to put someone under while awaiting trial and I would want to make sure when they are in situations like that, like a pretrial release scenario, we are not removing this as an option or Stymieing this as an option.",15,,
