index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,18.184,23.857,"Okay, good afternoon everyone, the May 1820 21 meeting of the economic development committee will come to order.",0,,
1,0.97,23.857,27.56,It is to: 01 P.M.,0,,
2,0.97,27.56,31.698,Will the clerk please call the roll?,0,,
3,0.97,31.698,34.401,[roll call],1,,
4,0.97,58.525,63.196,It looks like we have six present.,2,,
5,0.97,63.196,68.101,If there is no objection today's agenda will be adopted.,2,,
6,0.97,68.101,69.536,Hearing no objection it is adopted.,2,,
7,0.97,69.536,79.913,On today's agenda we have two presentations and two pieces of legislation to be considering.,2,,
8,0.97,79.913,98.031,The first regarding the fossil fuel study that was conducted and the second will be on Participatory budgeting in the two pieces of legislation we have on his cancel bill 120000 regarding civil rights.,2,,
9,0.97,98.031,102.135,It changes at the end of the directors term by one year.,2,,
10,0.97,102.135,107.04,Also removes an outdated subsection regarding racial equity Toolkit.,2,,
11,0.97,107.04,114.914,"Then we will discuss, I just lost my notes.",2,,
12,0.97,114.914,122.922,We will discuss another counsel bill 120071.,2,,
13,0.97,122.922,129.062,That is related to commercial tendencies.,2,,
14,0.97,129.062,131.664,And Councilmember Herbold will be addressing that item for us.,2,,
15,0.97,131.664,137.871,"So, that is just a little preview of what we will be doing this Afternoo.",2,,
16,0.97,137.871,146.679,I want to go ahead and begin the public comment period and then we will get into it.,2,,
17,0.97,146.679,150.75,"Now we will open the remote general, comment.",2,,
18,0.97,150.75,161.594,We are always looking for ways to improve the system and make sure we can engage and encourage public participation in our Council meetings.,2,,
19,0.97,161.594,176.376,It does remain the strong intent to have public comment but Council reserves the right to modify these periods if we deem the system is being abused or is unsuitable for allowing the meetings to be conducted efficiently.,2,,
20,0.97,176.376,184.651,I will moderate the public comment period in the following manner.,2,,
21,0.97,184.651,188.855,The public comment for this meeting is up to 20 minutes in each Speaker will be given two minutes to speak.,2,,
22,0.97,188.855,205.038,"I will call on two speakers at a time, if you have not yet registered to speak but would like to you can still sign up before the period ends by going to the Website at Seattle.Gov/Council Hill.",2,,
23,0.97,205.038,222.121,Once I call the speakers name they will Unmute the appropriate microphone and the automatic prompt will be the speakers Queue . You must press Star six in order to begin speaking.,2,,
24,0.97,222.121,227.594,Please begin by stating your name and item you are addressing.,2,,
25,0.97,227.594,233.766,It should relate to an item on today's agenda.,2,,
26,0.97,233.766,235.935,You will hear a Chime in 10 seconds or less.,2,,
27,0.97,235.935,245.678,"Once you hear the Chime, please begin to wrap up your comments.",2,,
28,0.97,245.678,248.781,If you do not and your comments at the end your microphone will be muted.,2,,
29,0.97,248.781,254.22,If you don't have a chance to finish your comment please feel free to Email your comment to us so we can hear your full comment.,2,,
30,0.97,254.22,256.99,Once you have completed your comment we ask that you Disconnect from the line.,2,,
31,0.97,256.99,264.664,If you plan to continue to follow the meeting that you can do so on the Seattle channel or the listening options listed on the agenda.,2,,
32,0.97,264.664,268.701,So please remember to press Star six before speaking.,2,,
33,0.97,268.701,279.912,And I have first on my list Shamir followed by Peter.,2,,
34,0.97,279.912,283.716,Please go ahead.,2,,
35,0.97,283.716,291.157,"Hi, my name is Shamir, I am a Seattle resident and community member.",3,,
36,0.97,291.157,300.733,I'm calling to ask Councilmembers to lift the appeal on the $20 million budgeting.,3,,
37,0.97,300.733,306.339,It must be equitable and designed to help other communities.,3,,
38,0.97,306.339,314.48,It should be chosen that are most likely to be harmed or killed.,3,,
39,0.97,314.48,321.087,Those that are needing Full- time compensation.,3,,
40,0.97,321.087,327.96,It is vital for the budgeting Uccess that implementation led to communities closest to harmful effects of policing.,3,,
41,0.97,327.96,338.671,We cannot afford the status quo where black and Brown community suffer because those on the ground and I with experience think they know what is best.,3,,
42,0.97,338.671,341.874,Systemic racism is a result and a reality.,3,,
43,0.97,341.874,347.947,We are building a new paradigm for outlook safety that centers around committees most harm by violent policing.,3,,
44,0.97,347.947,351.684,Thank you for your time.,3,,
45,0.97,351.684,352.285,Thank you.,4,,
46,0.97,352.285,360.993,Next we have Peter who will be followed by Kristin Smith.,4,,
47,0.97,360.993,367.567,"Good afternoon, I am a resident and abolitionist.",5,,
48,0.97,367.567,377.81,I am going to ask Councilmembers to lift the supervisor.,5,,
49,0.97,377.81,380.146,They should be designed and held by community not by the city.,5,,
50,0.97,380.146,395.261,Securing committee members accountable need full-time compensation as outlined in the report they should be selected from communities that are most likely to be harmed or killed by systemic racism and violence.,5,,
51,0.97,395.261,416.415,"This includes for example black women, people who are Trans-Or Non-Gender Binary, the Boho have experienced homelessness, indigenous women . by providing living wages to these employees they can be Antiracist and accountable to our most vulnerable residents.",5,,
52,0.97,416.415,430.63,If you are saying it's too expensive you are saying you would rather not support black and indigenous people who have historically and present leave been kept out of the Decision- making.,5,,
53,0.97,430.63,433.966,"We can have a paradigm that centers around communities most harmed by violent policing, thank you.",5,,
54,0.97,433.966,447.947,Next we have Kristin Smith followed by Heather Kelly.,6,,
55,0.97,449.449,453.786,Name is Kirsten Smith I live in district one and work on public policy.,7,,
56,0.97,453.786,459.192,I am Commenting on agenda item number one on the fossil fuel transition study.,7,,
57,0.97,459.192,468.801,It supports the work to facilitate as part of Seattle's efforts to combat climate change.,7,,
58,0.97,468.801,472.505,The work to transition sienna away from fossil fuel is happening now and will keep moving forward.,7,,
59,0.97,472.505,476.809,We need to prepare our workforce rather than being reactionary.,7,,
60,0.97,476.809,484.817,Creating equitably Transitioning the labor force is a key component to the success.,7,,
61,0.97,484.817,491.858,They are coming up with practical solutions to address labor issues including San Francisco where partners are being Retrained.,7,,
62,0.97,491.858,502.802,We urge you to act on the city's recommendations quickly as stressing these workforce issues will only get more expensive.,7,,
63,0.97,502.802,515.147,Next we have Heather Kelly followed by Tanner.,8,,
64,0.97,515.147,533.032,"My name is Heather Kelly, I live in district six and I'm here today on behalf of the League of women voters and Seattle King County to speak in support of Participatory budgeting.",9,,
65,0.97,533.032,535.534,It is a nonpartisan organization dedicated to defending democracy and empowering voters.,9,,
66,0.97,535.534,539.338,With those goals in mind we urge the Council can implement in a fully funded Participatory budgeting process.,9,,
67,0.97,539.338,544.977,The leak supports the budgeting process that builds on the incredible ground work laid by the black labor project.,9,,
68,0.97,544.977,561.427,"At the leak submitted working in transparency throughout the process to make themselves available, thank you Councilmember morale is for this.",9,,
69,0.97,561.427,577.877,We are calling for investment in the black community . This also urges others who have not come forward to support this process to do so now.,9,,
70,0.97,577.877,583.416,"We must amplify the black community within our own, demand equity and justice to those directly impacted by police violence and uplift this process however we can.",9,,
71,0.97,583.416,587.086,Thank you for the opportunity to comment today.,9,,
72,0.97,587.086,587.72,Thank you Heather.,10,,
73,0.97,587.72,603.502,Next we have Tana followed by Latonya.,10,,
74,0.97,603.502,605.504,"Greetings and good day, can you will hear me?",11,,
75,0.97,605.504,606.539,"We can, thank you.",12,,
76,0.97,606.539,614.747,"Good day one and all, I reside in district 1 and I'm also on the Seattle women's Commission which I am the Co- chair.",13,,
77,0.97,614.747,627.593,The black Billy rent research report called out black women as the key demographic to include as salary of the PB steering committee.,13,,
78,0.97,627.593,635.868,A delay in getting the funds out equals a delay in getting the Seattle area pay jobs to black women.,13,,
79,0.97,635.868,647.947,"By our research conducted by me, I have found that the median annual earnings for Full- time year-round black women workers is just over 36,000.",13,,
80,0.97,647.947,653.386,An amount 20% lower than white women.,13,,
81,0.97,653.386,657.657,Blacks are more reliant on incomes and other families.,13,,
82,0.97,657.657,664.397,Seattle is clearly up to its own shenanigans I talking the talk and not walking the walk.,13,,
83,0.97,664.397,673.072,This money is not a Handout it's an investment into a community of people that have been harmed by systemic racism.,13,,
84,0.97,673.072,677.71,"The research has been done, the plan has been laid out.",13,,
85,0.97,677.71,679.311,This is black brilliance at its finest.,13,,
86,0.97,679.311,688.02,"In the next year, more black families suffer by waiting on empty promises.",13,,
87,0.97,688.02,693.592,"Trust that the community, given the resources needed will be able to accomplish the goals of the research results.",13,,
88,0.97,693.592,698.497,Thank you for hearing me.,13,,
89,0.97,698.497,699.532,Thank you so much.,14,,
90,0.97,699.532,707.54,Next we have Latonya.,14,,
91,0.97,707.54,724.256,"Good afternoon, I'm a 38- year-old black, nine Barry Neri person and also the Co-Lead of the black ranch research project which has over hundred immunity researchers that are primarily black and Brown.",15,,
92,0.97,724.256,729.528,This is to design Participatory budgeting process.,15,,
93,0.97,729.528,735.935,I'm going to ask city Councilmembers to lift on the 28 million budgeting.,15,,
94,0.97,735.935,743.242,It is a Democratic budgeting process that allows all citizens to take part in your future.,15,,
95,0.97,743.242,758.891,That includes those who are formally or currently incarcerated and those who have been excluded from the electoral process.,15,,
96,0.97,758.891,770.903,"Security members need full compensation, as outlined in the research report, these individuals should be selected from communities that are most likely to be harmed or killed by systemic racism and violence.",15,,
97,0.97,770.903,783.182,"This includes black women, those who are Transgender, gender Nonconforming, Non- Binary, people with experience of homelessness, indigenous women, people with disabilities among others.",15,,
98,0.97,783.182,794.026,Community led Participatory budgeting would take the first steps in Righting the wrongs of white Supremacist that made decisions for our community members without giving to the agencies list impacted.,15,,
99,0.97,794.026,804.17,"I step inside and letting black, indigenous, Trans another lead, we are ensuring that the solutions meet the needs.",15,,
100,0.97,804.17,805.337,The time to act is now.,15,,
101,0.97,805.337,811.744,Some communities have been waiting for generations for the community to recognize the brilliance.,15,,
102,0.97,811.744,826.292,It is time for the city to allow communities to lead this PB process that would have equitable outcomes for those who have been historically excluded from opportunity.,15,,
103,0.97,826.292,831.697,Next we have Kira McCoy.,16,,
104,0.97,836.302,849.648,"Hello members of the committee, my name is Kira McCoy, I am adjusting the Participatory budgeting item.",17,,
105,0.97,849.648,860.96,"I'm a district for resident,, clinical instructor at U Dub and also a Co-Chair of the racial injustice team at the University church which is a congregation where we have over 200 members.",17,,
106,0.97,860.96,866.098,I'm requesting that you lift the proviso on the Participatory budgeting.,17,,
107,0.97,866.098,883.415,"Through my work at church we've examined how our own congregation and leadership are overwhelmingly white and some members of color have struggled to feel welcome, have felt hurt by Micro aggressions are felt left out of program decisions.",17,,
108,0.97,883.415,893.225,Even though we are well-meaning liberals we have institutional racism dislike universities and cities.,17,,
109,0.97,893.225,901.567,As a white person I felt the desire to fix these issues quickly and take the reins.,17,,
110,0.97,901.567,907.706,"However, I learned to pause to honor the wisdom of people of color in my institution and follow their guidelines.",17,,
111,0.97,907.706,918.117,To come together to address problems.,17,,
112,0.97,918.117,926.926,"We really would have a stronger community if black, Lgbtq, disabled members decide how money is spent in our church, not just a few select leaders at the top.",17,,
113,0.97,926.926,932.498,And that's why it's for Participatory budgeting because at the city level I believe the most impacted people should have decision-making power.,17,,
114,0.97,932.498,937.569,And this is just a small slice of the big pie of city funding.,17,,
115,0.97,937.569,947.913,The black brilliance research project is absolutely amazing and gives me Goosebumps.,17,,
116,0.97,947.913,948.28,Let's listen.,17,,
117,0.97,948.28,952.251,I'd asked Council members to really listen.,17,,
118,0.97,952.251,954.687,Through Participatory budgeting we are building a new paradigm for public safety.,17,,
119,0.97,954.687,964.163,I will end with a quote by Aurora Levens Mireles.,17,,
120,0.97,964.163,966.665,"Kira, we do not hear your quote.",18,,
121,0.97,966.665,972.204,Please make sure to send that to us.,18,,
122,0.97,972.204,974.673,Thank you.,19,,
123,0.97,974.673,975.474,It's just one line.,19,,
124,0.97,975.474,990.422,"In order to build the movements capable of transforming our world, we have to do our best to live with one foot in the world we have not yet created.",19,,
125,0.97,990.422,991.023,Thank you.,19,,
126,0.97,991.023,1004.737,"Thank you, important words to keep in mind next we have Penny O'Grady.",20,,
127,0.97,1004.737,1019.685,"Hello Councilmembers and everyone, my name is Penny O'Grady and I live in district 6 and we are proud Union family and I want to show my continued support for Participatory budgeting.",21,,
128,0.97,1019.685,1031.93,"Specifically laid out by the black research, it will be designed by the community, not the city.",21,,
129,0.97,1031.93,1038.57,I'm asking you to release the $28 million already budgeted for it.,21,,
130,0.97,1038.57,1040.572,Do whatever you can to speed up the process.,21,,
131,0.97,1040.572,1043.709,The funds are much-needed now to build a more responsive and caring city.,21,,
132,0.97,1043.709,1058.09,Meeting people's needs and building community while building new life in this democratic process are all acceptable solutions for true public safety.,21,,
133,0.97,1058.09,1058.557,Policing is not.,21,,
134,0.97,1058.557,1059.992,It does not make me feel safe.,21,,
135,0.97,1059.992,1067.766,Pb is a powerful tool that works in all these levels.,21,,
136,0.97,1067.766,1074.773,"And also, Goosebumps for sure, thank you.",21,,
137,0.97,1074.773,1083.248,Next we have Maia McCoy followed by Nick Manning.,22,,
138,0.97,1090.556,1093.325,My out you will need to press Star six for us to hear you.,22,,
139,0.97,1093.325,1096.228,"Perfect, thank you.",23,,
140,0.97,1096.228,1108.874,"Name is Maia, I am a community Organizer and I've been really excited, I'm speaking on Participatory budgeting.",23,,
141,0.97,1108.874,1113.779,I'm urging the Council to move this forward.,23,,
142,0.97,1113.779,1123.856,I've been organizing around this and I'm feeling really excited about the research about the black aliens research projects and what they've done.,23,,
143,0.97,1123.856,1136.368,"I really wanted to follow this road map, community led Participatory budgeting will take the first step in Righting wrongs of white supremacy.",23,,
