index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,9.542,12.512,C1 S.,0,,
1,0.97,12.512,17.45,Thank you for joining the committee meeting.,1,,
2,0.97,17.45,18.618,"Today is December 7, 2021.",1,,
3,0.97,18.618,32.599,The committee will come to order it is 9:32 A.M.,2,,
4,0.97,32.599,34.634,Here.,3,,
5,0.97,34.634,37.704,Gonzalez.,4,,
6,0.97,37.704,40.073,Here.,5,,
7,0.97,40.073,40.974,Council member Lewis.,6,,
8,0.97,40.974,41.307,Present.,7,,
9,0.97,41.307,42.842,Council member Strauss.,8,,
10,0.97,42.842,43.343,Present.,9,,
11,0.97,43.343,45.512,Chair Moss skill La.,10,,
12,0.97,45.512,46.312,Present.,11,,
13,0.97,46.312,48.915,"Madam chair, five present.",12,,
14,0.97,48.915,52.285,Thank you and I want to welcome Council member Sawant.,13,,
15,0.97,52.285,56.823,We know there is a bill of yours on the agenda for this morning's discussion.,13,,
16,0.97,56.823,59.859,Do we have any additional Council members joining us?,13,,
17,0.97,59.859,63.93,I believe Council member Peterson may be joining us as well.,13,,
18,0.97,63.93,68.935,"When Council member Peterson or any additional Council members join us, we'll make sure to welcome them.",13,,
19,0.97,68.935,70.97,Thanks for joining us today.,13,,
20,0.97,70.97,75.208,Today is our last Finance and housing might at the meeting of the year.,13,,
21,0.97,75.208,79.612,We have a packed agenda.,13,,
22,0.97,79.612,86.085,We will start with a meeting for 20 minutes of public comments on 1-8 and item 11-1.,13,,
23,0.97,86.085,90.924,We'll have a separate public hearing for items 9 and 10.,13,,
24,0.97,90.924,104.571,"This is a public hearing on items for, 9 and 10, which relate to the annual action plan for the 2021 and draft 2022 annual action plan.",13,,
25,0.97,104.571,119.185,"The possible appointment as well, include a possible appointment of Sally Clark to the housing authority, two to the domestic workers board, one Apinnacle Entertainmentment to the Burke PDA, fro community housing PDA.",13,,
26,0.97,119.185,126.025,"Administrative services Department on the race and social justice initiative which is long anticipated, excited to hear from them.",13,,
27,0.97,126.025,140.24,"A public hearing and vote to amend the 2021 annual action plan as well as a public hearing on the 2022 draft annual action plan and finally, a briefing discussion and possible vote on a bill related to parking for construction workers.",13,,
28,0.97,140.24,142.742,"Again, thanks so much for being here with us.",13,,
29,0.97,142.742,147.68,"Colleagues, I have an Aend Somement I would like to suggest for our agenda here today.",13,,
30,0.97,147.68,172.639,"Given we have public common, that is our usual public comment period for 20 minutes at the beginning and we also have a public hearing related to items 9 and 10:00 colleagues, I would like to move the public hearing to be considered immediately after the public comment period so that all of those who are dial in to provide comment today have the ability to do so.",13,,
31,0.97,172.639,179.646,That way they may return to work or community and are not on lean with us if they don't need to be.,13,,
32,0.97,179.646,193.226,They are also welcome to continue listening but if there is no objection I would like to move the public hearings listed on agenda item 9 and 10 to immediately after the public comment period.,13,,
33,0.97,193.226,204.103,"Again the hearing is listed as agenda item number 9, moved right after public comment period for the first 20 minutes.",13,,
34,0.97,204.103,206.105,"Is there any concerns, questions?",13,,
35,0.97,206.105,209.409,"If there is no objection, the agenda will be adopted.",13,,
36,0.97,209.409,215.615,"Hearing no objection, the amendment is included in the amended agenda is adopted.",13,,
37,0.97,215.615,219.886,At this time we are going to move into remote public comment period.,14,,
38,0.97,219.886,223.156,I know everybody is excited about many of these items on our agenda.,14,,
39,0.97,223.156,235.001,We are hoping to hear from everybody who is on our list and then move into the public hearing section for agenda item number 9. if you don't get a chance to provide public comment today you may E-mail under the circumstances.,14,,
40,0.97,235.001,241.341,We are going to open up with reading the first three speakers that are listed on today's public comment period.,14,,
41,0.97,241.341,247.614,Once I call a Speaker's name you will hear a prompt that says you have been Unmuted.,14,,
42,0.97,247.614,257.857,That is your indication that you need to hit Star 6 on your line and then twin speaking by stating your name and the item Ou are addressing.,14,,
43,0.97,257.857,262.629,You'll hear a 10 second Chime when the time is about to conclude.,14,,
44,0.97,262.629,268.167,When you hear that Chime that is your indication to wrap you.,14,,
45,0.97,268.167,271.07,Speakers not ending comment in their appropriate allotted Teem will have their microphone cut off.,14,,
46,0.97,271.07,276.809,So please go ahead and Wrap-Up your comments and send any additional thoughts to Council.,14,,
47,0.97,276.809,288.488,"Once you have completed your public comment, we ask you Disconnect from the line and if you plan to Confollowing today's meeting please do so via Seattle channel or other listening Optioned.",14,,
48,0.97,288.488,290.69,The public comment period is now open.,14,,
49,0.97,290.69,310.043,Colleagues two minutes to each of the speakers because we do have only about 10 people signed up for public comment and then we'll get to the one person who has signed up for the public hearing.,14,,
50,0.97,310.043,322.021,"This morning we will start with Isaiah core pray, Paster Willie seals, and Taylor Patrice Warner.",14,,
51,0.97,322.021,322.488,"Good morning, Isaiah.",14,,
52,0.97,322.488,323.956,"Good morning, no problem.",15,,
53,0.97,323.956,327.76,Thank you for the opportunity.,15,,
54,0.97,327.76,336.903,I'm calling in support of agenda item 11 Council bill 120227.,15,,
55,0.97,336.903,341.074,An ordinance relating to Street vacations.,15,,
56,0.97,341.074,356.289,It will encourage additional growth of Direly need ad Fordable housing in Seattle and also support the Christ spirit church in Lehigh developing almost double the amount of affordable Huseing units for homeless youth and young adults in the central area.,15,,
57,0.97,356.289,386.119,"Some of these expenses related to the cost of Street vacations can be an incredibly high Bayier to community based organizes to develop affordable housing and this bill will port those organizations with community based organizes in having access to additional land for density, to build affordable housing, so I appreciate everyone this morning supporting this legislation and thank you very much for the opportunity.",15,,
58,0.97,386.119,392.925,Thank you for dealing in this morning.,16,,
59,0.97,392.925,397.764,"Pastor Willie seals good morning, followed by Taylor La Terese Warner.",16,,
60,0.97,397.764,398.965,"Good morning, pastor.",16,,
61,0.97,398.965,401.3,"Gm, my name is pastor Willie seals.",17,,
62,0.97,401.3,410.61,The pastor of the Christ spirit church and the President of TC spirit development.,17,,
63,0.97,410.61,412.745,Calling in reference to item number 11.,17,,
64,0.97,412.745,423.356,Also asking and thanking the Council to addressing this issue that many nonprofit and other agencies have regarding the added expense of the street vacation.,17,,
65,0.97,423.356,427.794,So I'm asking that the Council the full council would support this effort.,17,,
66,0.97,427.794,442.175,"We all are facing this homeless crisis and we are trying to address it in the best way we know how, and I think this is a great opportunity for the Council to, the whole Council to get on board over great action.",17,,
67,0.97,442.175,458.758,"Our project that we are working with Lehigh on, on 22nd and Terry, with the added Street have a case, it would add additional 23 affordable apartments, moving from four stories to six stories.",17,,
68,0.97,458.758,467.233,"So Council, I ask that you would pass this bill that we would address the issues of homeless some a tangible way.",17,,
69,0.97,467.233,469.235,Thank you so very much.,17,,
70,0.97,469.235,470.136,Thank you very much for calling in.,18,,
71,0.97,470.136,479.679,Taylor La Terese Warner will be followed by Colin Mullin.,19,,
72,0.97,479.679,481.28,"Good morning, Taylor.",19,,
73,0.97,481.28,481.447,,20,,
74,0.97,481.447,481.681,Hi.,21,,
75,0.97,481.681,481.981,Thank you.,21,,
76,0.97,481.981,487.653,"My name is Taylor are Terese Warner, I'm an apprentice with local 46.",21,,
77,0.97,487.653,502.401,It is important to all local 46 members that our employers pay for our parking the and I wanted to comment on the suggestion and the memo that this legislation would Incentivize workers to drive who might otherwise use public transportation.,21,,
78,0.97,502.401,513.112,"As workers who have called in before have said, including myself, for the vast majority of the people who work in this industry, public transit is not an option.",21,,
79,0.97,513.112,522.989,So to allow contractors to opt out if they Incentivize public transit would effectively destroy the intent of the legislation.,21,,
80,0.97,522.989,529.295,I also feel like public transit could also be Incentivized.,21,,
81,0.97,529.295,530.062,Some contractors already do both.,21,,
82,0.97,530.062,539.772,And if employers had to cover the cost of parking it might be more concerned about how inflexible transportation is for so many of the workers.,21,,
83,0.97,539.772,546.112,"Also, I urge you to not that I the effective date.",21,,
84,0.97,546.112,556.422,"Local 46 members know when the decisive action is made, which many contractors already have partially in place it takes very little time to the system to assemble themselves.",21,,
85,0.97,556.422,563.663,So all delays read to me as attempts to protect the financial interests of influential people.,21,,
86,0.97,563.663,570.77,Workers really need elected officials to earn our trust in this moment.,21,,
87,0.97,570.77,579.145,So city council members consider themselves to be elected by the people who voted for them or the people who bank roll the billboards and ads.,21,,
88,0.97,579.145,581.247,Local 46 is following this legislation closely.,21,,
89,0.97,581.247,583.349,Thank you for your time.,21,,
90,0.97,583.349,584.283,Thanks very much.,22,,
91,0.97,584.283,588.254,Colin Mullin is listed as not present.,22,,
92,0.97,588.254,599.932,"Colin, if you want to call in, we'll come back to you.",22,,
93,0.97,599.932,600.333,Arthur Esperanza.,22,,
94,0.97,600.333,600.833,"Good morning, Arthur.",22,,
95,0.97,600.833,838.938,Looking for Arthur to pop on the screen were any actual construction workers consulted when drafting it.,22,,
96,0.97,838.938,845.144,Or did you just talk with the AG C? We already have tool storage.,22,,
97,0.97,845.144,849.615,But keeping our tools on one job site only help when we stay on one job site.,22,,
98,0.97,849.615,855.888,"If we work more than one job in one day, we are paying for parking twice too.",22,,
99,0.97,855.888,864.663,"The reality of construction work necessitates cars as our primary transport, whether we pay for parking or not.",22,,
100,0.97,864.663,868.234,You must stop making excuses to back pedal the.,22,,
101,0.97,868.234,880.012,If you really cared about the environment you would never support Billionaires who dump more carbon emissions in one space flight than one family does in.,22,,
