index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,13.146,14.547,We are recording.,0,,
1,0.97,14.547,17.15,Wonderful.,1,,
2,0.97,17.15,17.65,"Good morning, everyone.",1,,
3,0.97,17.65,18.084,Thank you so much.,1,,
4,0.97,18.084,23.022,This is the Finance and housing committee meeting.,1,,
5,0.97,23.022,24.691,"Today is June 15, 2021.",1,,
6,0.97,24.691,30.13,"I'm Teresa Mosqueda, chair of Thefinance and housing committee.",1,,
7,0.97,30.13,36.836,Will the clerk please call the roll?,1,,
8,0.97,36.836,37.937,Chair Mosqueda.,2,,
9,0.97,37.937,40.24,Present.,2,,
10,0.97,40.24,43.343,Vice chair her bold.,3,,
11,0.97,43.343,43.61,Here.,4,,
12,0.97,43.61,48.314,Vice Council Gonzalez?,5,,
13,0.97,48.314,48.782,Councilmember Lewis.,5,,
14,0.97,48.782,49.082,Present.,6,,
15,0.97,49.082,54.654,Councilmember Strauss.,7,,
16,0.97,54.654,54.954,Present.,8,,
17,0.97,54.954,64.03,Councilmember Morales attending as alternate.,9,,
18,0.97,64.03,65.565,Here.,10,,
19,0.97,65.565,66.132,Councilmember Peterson?,11,,
20,0.97,66.132,66.599,Councilmember Juarez?,11,,
21,0.97,66.599,70.97,That is five members present and two guests.,11,,
22,0.97,70.97,71.337,Wonderful.,12,,
23,0.97,71.337,74.274,"Well, thank you all very much for joining us.",12,,
24,0.97,74.274,82.949,"And when other Councilmembers join us, I'll be sure to welcome them and announce their presence as well for the committee and finance members.",12,,
25,0.97,82.949,89.088,I want to thank Aaron house for clerking for us today.,12,,
26,0.97,89.088,104.971,"She is stepping in on vacation news . A you you can see, we have a fuel full agenda.",12,,
27,0.97,104.971,107.507,Grocery workers in our community at large this.,12,,
28,0.97,107.507,112.812,Is a continuation of the conversation we had about grocery workers and the hazard pay legislation we passed earlier this year.,12,,
29,0.97,112.812,121.521,We will have a briefing on the housing levy annual report and discussion for proposed changes to the Anf plan.,12,,
30,0.97,121.521,124.591,And the housing finance policies and take a possible vote on the legislation.,12,,
31,0.97,124.591,138.438,You'll remember that this item was on our calendar two weeks ago and we did postpone so we could have a longer conversation around rescue plan.,12,,
32,0.97,138.438,141.307,Then we will get to the bigger item on our agenda.,12,,
33,0.97,141.307,153.753,This is our opportunity to look at possible amendments on the rescue amendment plan.,12,,
34,0.97,153.753,165.565,"If we don't get through the full list of all of the items that relate to the Seattle rescue plan, again, there are a handful of bills, then we will have opportunity to continue that discussion in our meeting tomorrow.",12,,
35,0.97,165.565,166.065,That's Wednesday.,12,,
36,0.97,166.065,167.233,Which will begin at 2:00 P.M.,12,,
37,0.97,167.233,174.841,"Again, if we don't get through all of the items on today's Seattle rescue plan item, our third item on the agenda.",12,,
38,0.97,174.841,180.713,"And the package of the legislation that accompanies, will go ahead and have a committee meeting tomorrow.",12,,
39,0.97,180.713,184.884,And I'll make the appropriate comments at the end of today's meeting.,12,,
40,0.97,184.884,187.086,We'll get you out of here by 1:00 P.M.,12,,
41,0.97,187.086,191.157,And we will decide if we need to carry it over for tomorrow.,12,,
42,0.97,191.157,192.559,That's our Agend for today.,12,,
43,0.97,192.559,195.562,Is there any objection?,12,,
44,0.97,195.562,198.064,"Hearing no objection, today's Agendaadopted.",12,,
45,0.97,198.064,199.299,Let's go ahead with public comment.,12,,
46,0.97,199.299,202.602,We'll try to get through everybody listed for public comment.,12,,
47,0.97,202.602,207.073,"And right now, folks that, is about 20 people signed up for public comment.",12,,
48,0.97,207.073,210.677,We will give people about a minute Naferl for public comment this morning.,12,,
49,0.97,210.677,215.315,"So if the clerks could get prepared for one minute and 30 seconds, that would be appreciated.",12,,
50,0.97,215.315,217.75,"As always, this is a chance for people to sign up.",12,,
51,0.97,217.75,225.124,And give us their thoughts on all items related to today's agenda or our work plan.,12,,
52,0.97,225.124,229.729,You can still sign up on Seattle.Gov/Council.,12,,
53,0.97,229.729,233.366,And the public comment period does allow for us to hear from everyone today.,12,,
54,0.97,233.366,235.768,I will endeavor to get through everyone's comments.,12,,
55,0.97,235.768,237.604,I will call three people at a time.,12,,
56,0.97,237.604,240.406,Please remember to start by saying your name and item that you are speaking to.,12,,
57,0.97,240.406,245.144,You are going to hear a prompt that says you have been Unmuted.,12,,
58,0.97,245.144,248.014,But that's your Cue to push Star 6 on your phone as well.,12,,
59,0.97,248.014,250.917,Double check to make sure your phone is also not on mute.,12,,
60,0.97,250.917,252.719,Then we can hear public comment.,12,,
61,0.97,252.719,257.857,You're going to hear a 10- second Chime at the end of the public comment.,12,,
62,0.97,257.857,263.863,And we will make sure to give you that 10-Second time so that you can wrap up your public comments.,12,,
63,0.97,263.863,265.498,"And that way, you don't get cut off.",12,,
64,0.97,265.498,272.305,"If you do have more to say, E- mail us at Seattle.Council.Gov.",12,,
65,0.97,272.305,281.414,"Again, at the end of that public comment, please hang up on the number that you have received on the confirmation E- mail, not the listen in line and not Seattle Channel.",12,,
66,0.97,281.414,297.997,"Make sure you're calling in on that Listen-In phone number, excuse M, the testimony phone number, not the Listen-In number.",12,,
67,0.97,297.997,298.731,Just one more reminder.,12,,
68,0.97,298.731,304.203,"When you hear you have been Unmuted, you do also need to hit Star 6 on your end.",12,,
69,0.97,304.203,308.441,"Before we begin, I want to welcome Councilmember Gonzalez.",12,,
70,0.97,308.441,311.277,Thank you for joining us and appreciate you being here this morning.,12,,
71,0.97,311.277,317.116,And also just want to double check to see if I have any other count Councilmembers who joined us on the line?,12,,
72,0.97,317.116,317.317,Okay.,12,,
73,0.97,317.317,317.917,I'm not seeing any.,12,,
74,0.97,317.917,319.652,But we'll make sure to announce them.,12,,
75,0.97,319.652,322.288,We do have an elected official here with us today.,12,,
76,0.97,322.288,326.592,I understand that Commissioner Bowman is here to speak with us from the port of Seattle.,12,,
77,0.97,326.592,330.229,"Thank you again, Commissioner, for being with us.",12,,
78,0.97,330.229,337.003,"As is customary, we do allow for those who are elected officials to go first, in order to address the committee here with us.",12,,
79,0.97,337.003,342.141,We're going to open our public testimony and start with Commissioner Bowman.,12,,
80,0.97,342.141,342.842,Commissioner Bowman.,12,,
81,0.97,342.842,346.479,Welcome to the Finance and housing committee meeting.,12,,
82,0.97,346.479,347.18,Just want to Double-Check.,12,,
83,0.97,347.18,350.149,I see you on my screen here.,12,,
84,0.97,350.149,355.254,"If you could just push Star 6 one more time to Unmute yourself, we will begin with public testimony.",12,,
85,0.97,355.254,355.922,All right.,13,,
86,0.97,355.922,358.658,Can you hear me?,13,,
87,0.97,358.658,360.86,I can.,14,,
88,0.97,360.86,361.561,Good morning.,14,,
89,0.97,361.561,363.329,Thanks for joining.,14,,
90,0.97,363.329,363.996,Good morning.,15,,
91,0.97,363.996,367.834,"Thank you, chairman Mosqueda today, for allowing me to speak.",15,,
92,0.97,367.834,370.403,"Again for the record, Stephanie Bowman, Commissioner with the port of Seattle.",15,,
93,0.97,370.403,384.517,I'm here today to testify in support of an amendment offered up by Councilmembermorales to allocate $1 million as part of the Seattle rescue plan that you are considering today.,15,,
94,0.97,384.517,395.895,"The money for the opportunities initiative would help supplement what the port of Seattle has done over the last two years, to better help educate you and the general public about our program.",15,,
95,0.97,395.895,405.571,The opportunity youth initiatives is remarkably a successful program that has helped to provide paid Internships to the most disadvantaged youth in our communities.,15,,
96,0.97,405.571,412.178,The port of Seattle has had an incredibly national recognized for the last five years.,15,,
97,0.97,412.178,417.15,"Employed more than 600 used from again, our most disadvantaged communities.",15,,
98,0.97,417.15,421.087,Mostly those from South King County and communities of color.,15,,
99,0.97,421.087,427.994,"When Covid hit, we were unable to continue with our robust intern program at the numbers we had before.",15,,
100,0.97,427.994,434.467,And so we created the youth opportunity initiative.,15,,
101,0.97,434.467,439.806,Where we allocate towards four community groups to help provide employment for youth 16 to 24.,15,,
102,0.97,439.806,440.339,"Again, those hit hardest.",15,,
103,0.97,440.339,452.785,"If you look at the numbers from the employment security Department, youth 16 to 24, were hardest hit with unemployment during Covid, with Numbersas high as 24% unemployment.",15,,
104,0.97,452.785,456.622,"As we all know, so many of our community members lost their jobs.",15,,
105,0.97,456.622,460.259,But these jobs for these youth were just nonexistent.,15,,
106,0.97,460.259,470.269,"So the port stepped in and partnered with great community organizations, such as the urban League, Seattle good will.",15,,
107,0.97,470.269,470.803,Partners in employment.,15,,
108,0.97,470.803,472.104,And Seattle parks foundation.,15,,
109,0.97,472.104,476.676,We were able to provide paid employment opportunities for almost 200 youth.,15,,
110,0.97,476.676,485.151,"If the city of Seattle and Council were to allocate a million Dld dollars, it would go a long way to Partnering with that.",15,,
111,0.97,485.151,486.853,We were moving forward again.,15,,
112,0.97,486.853,489.188,This year in 2021.,15,,
113,0.97,489.188,489.922,And are expected.,15,,
114,0.97,489.922,493.793,Have not Committeed yet but are expected to do so in 2022.,15,,
115,0.97,493.793,499.832,I would urge you to provide more information to general members and the general public if you should choose.,15,,
116,0.97,499.832,502.702,Thank you very much for the time today.,15,,
117,0.97,502.702,506.706,"Thank you very much, Commissioner Bowman for joining us today.",16,,
118,0.97,506.706,507.106,Appreciate that.,16,,
119,0.97,507.106,513.613,"And thanks as well, for you and members from your office for working jointly on the amendment in front of us today.",16,,
120,0.97,513.613,515.248,Let's continue on with public comment.,16,,
121,0.97,515.248,519.752,I do see three of our first Speakerspresent.,16,,
122,0.97,519.752,524.29,"We have Dennis Sillis, George riddle, and Terry Holm.",16,,
123,0.97,524.29,524.991,"Dennis, you are up first.",16,,
124,0.97,524.991,527.393,And you have a minute and a half.,16,,
125,0.97,527.393,537.77,"Good morning, Dennis.",16,,
126,0.97,539.405,542.041,"Dennis, I'm looking for you on the screen.",17,,
127,0.97,542.041,547.547,"If you are there, hit Star 6 one more time Dennis.",17,,
128,0.97,547.547,549.515,Looks like you're still on mute on my end.,17,,
129,0.97,549.515,551.751,There you go.,17,,
130,0.97,551.751,552.051,Perfect.,17,,
131,0.97,552.051,553.552,Great.,18,,
132,0.97,553.552,554.854,"Can you hear me?"" these yes.",18,,
133,0.97,554.854,556.088,Thank you.,19,,
134,0.97,556.088,562.795,"Thank you, chair Mosqueda for the opportunity to address Councilmembers on this Committee.",19,,
135,0.97,562.795,566.165,My name is Dennis sales.,19,,
136,0.97,566.165,571.971,Plymouth housing houses 1100 chronically homeless adults.,19,,
137,0.97,571.971,573.94,Plymouth housing is a permanent housing provider.,19,,
138,0.97,573.94,580.212,Which means there is no time time limit on our housing and we connect residents with services that can help them thrive.,19,,
139,0.97,580.212,581.581,We are housing first organization.,19,,
140,0.97,581.581,588.688,"And believe every person has a right to a home and every person matters, exactly as they are.",19,,
141,0.97,588.688,596.295,"Thank you, chair Mosqueda, Council President Gonzalez and Mayor Durkan for introducing the plan.",19,,
142,0.97,596.295,605.938,We applaud the effort to address housing and homelessness in our community.,19,,
143,0.97,605.938,612.678,Plymouth is $2 million to provide affordable housing providers.,19,,
144,0.97,612.678,621.12,"We project for housing providers, since we serve high disability and behavioral health funding needs.",19,,
145,0.97,621.12,621.754,This can support development.,19,,
146,0.97,621.754,627.66,"Since the beginning of the pandemic, Plymouth has developed in our program.",19,,
147,0.97,627.66,632.231,Hired behavioral health for staff.,19,,
148,0.97,632.231,633.299,Recentered cultural vision.,19,,
149,0.97,633.299,635.668,And organized a diversion equity to address their operations.,19,,
150,0.97,635.668,639.839,Thank you for the time to address this important funding opportunity.,19,,
151,0.97,639.839,641.741,Thank you for dialing in today.,20,,
152,0.97,641.741,642.842,The next person is George.,20,,
153,0.97,642.842,646.045,"Good morning, George.",20,,
154,0.97,646.045,649.348,Just Star 6. perfect.,20,,
155,0.97,649.348,651.25,Good morning.,21,,
156,0.97,651.25,653.452,"Chair Mosqueda, thank you so much for the opportunity to speak.",21,,
157,0.97,653.452,656.989,And good morning to the Councilmembers.,21,,
158,0.97,656.989,658.29,My name is George Riddell.,21,,
159,0.97,658.29,665.698,"I live on 63Rd Avenue Southwest, in the Alchive point neighborhood in Western Seattle.",21,,
160,0.97,665.698,680.746,And I'm speaking in support of Council member her bold's amendment to use future funding to make the Alchive point key moving Street part of the stay healthy Street program and to make it permanent.,21,,
161,0.97,680.746,690.79,Since its establishment last year in May 2020 the changes have been very positive.,21,,
162,0.97,690.79,697.863,"Where we live, we get to live with the cyclist, the dog Walkers and the finances.",21,,
163,0.97,697.863,708.34,And a lot of Otherses who enjoy the newly accessible water access on a bail basis with far Les traffic than ever before.,21,,
164,0.97,708.34,721.554,"This new access in the loud, Disruptivereckless speeding cars is a much safer place than it was before.",21,,
165,0.97,721.554,730.629,"Please support this amendment to make this beautiful treasure, the walking street the waterfront an accessible part for the community to enjoy as it is today.",21,,
166,0.97,730.629,731.597,Thank you so much.,21,,
167,0.97,731.597,735.601,Thank you for dialing in this morning.,22,,
168,0.97,735.601,735.835,Terry.,22,,
169,0.97,735.835,737.536,"Good morning, Terry.",22,,
170,0.97,737.536,737.937,You are up next.,22,,
171,0.97,737.937,741.34,Terry Holm.,22,,
172,0.97,741.34,742.741,Good morning.,23,,
173,0.97,742.741,743.709,Thank you very much.,23,,
174,0.97,743.709,746.145,This is Terry Holm.,23,,
175,0.97,746.145,750.85,I'm an active with the Seattle neighborhood Greenways.,23,,
176,0.97,750.85,751.684,And Rainier valleys.,23,,
177,0.97,751.684,753.619,Greenways and safe streets.,23,,
178,0.97,753.619,760.392,We want to echo the prior Speaker's sentiment.,23,,
179,0.97,760.392,768.934,"So far as the Seattle rescue plan, please support the funding of the stay healthy Street and cafe funding streets.",23,,
