index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,7.24,10.71,Will the clerk please call the role?,0,,
1,0.97,10.71,21.154,The clerk might be muted.,0,,
2,0.97,27.16,37.337,[roll call],0,,
3,0.97,55.221,90.557,"Thank you so much the city of Seattle issued a proclamation due to the Coronavirus March 3, 2020 since then the government has issued a stay home and stay healthy order through May 4 and has been announced that it will be extended through May 31 of 2020, to comply with the recommendations, the Seattle city council is being remotely and participating electronically the city council anticipates continuing practice for city council potential meetings through May 31.",1,,
4,0.97,90.557,116.916,"Council rules are silent as other meetings to allow the Council to conduct the roles will need to be suspended I will move to suspend Council rules to allow conducting meetings through May 31 so if there is no objection the Council rules will be submitted for all to participate electronically through May 31, 2020.",1,,
5,0.97,116.916,120.82,Council member Pedersen?,1,,
6,0.97,120.82,124.891,"Thank you, wanted to clarify what we are approving.",2,,
7,0.97,124.891,135.835,Is this still subject to a review of the types of legislation to make sure they are either Covid related or necessary and routine?,2,,
8,0.97,135.835,150.65,Yes the vote we are taking is parliamentary in nature we are voting on whether or not we have to be in chambers or if we can continue meeting via zoom.,3,,
9,0.97,150.65,161.661,"If there is no objection the rules will be suspended to allow Councilmembers to participate electronically through May 31, 2020 any objections?",3,,
10,0.97,161.661,167.867,The Council rules are suspended and meeting will participate electronically through May 31.,3,,
11,0.97,167.867,172.038,"Presentations, moving on to presentations.",3,,
12,0.97,172.038,180.747,Earlier this morning I asked for a signature on proclamations the only presentation we have today.,3,,
13,0.97,180.747,186.853,I will make comments really brief but again this week is municipal clerks week.,3,,
14,0.97,186.853,199.265,An opportunity to recognize how the office of the city clerk and municipal clerks contribute to the functioning of local government.,3,,
15,0.97,199.265,220.186,"We know that are praying city clerk staff are a vital part of our local government here creating access to archives, making sure they are receiving public documents including the citizen initiatives that are filed to the clerks for placement on the ballot.",3,,
16,0.97,220.186,269.736,"There are so many public forward ways that the city clerk shows up every day and there are even more countless ways that a city clerk shows up behind the scenes to make sure our job is a lot easier including helping to facilitate these kinds of meetings, making sure we have all of the information we need to run efficient public meetings and we really appreciate all of the work that Monica Martinez Simmons, Emilio, Jody and so many others in the Council excuse me in the city clerk's office do every day to really make sure that our city government is functioning at its best.",3,,
17,0.97,269.736,295.495,"So thank you so much for allowing me the opportunity to make this presentation publicly, usually we would do this in chambers and have the benefit of seeing the faces of the folks who work in the office but unfortunately the times we are do not allow us to convene but I did want a moment to recognize the tremendous work that the city clerk's office does on behalf of us and beyond the people of Seattle.",3,,
18,0.97,295.495,304.203,Would any of my colleagues like to make any remarks relating to the proclamation?,3,,
19,0.97,304.203,307.507,Councilmember Strauss.,3,,
20,0.97,307.507,332.699,Reiterated my comments earlier that when I am navigating our Council rules and procedures I rely on clerks and deputy clerks and I have continued to be impressed with the level of nuance and assistance they are able to provide on a regular basis and I appreciate Jody Amelia and Monica.,4,,
21,0.97,332.699,338.338,Any other comments?,5,,
22,0.97,338.338,340.606,Councilmember Mosqueda.,5,,
23,0.97,340.606,343.242,I will echo my appreciation.,6,,
24,0.97,343.242,378.778,When I came back from my parental leave and was acting as President pro Tem for a few weeks I cannot thank the office enough for helping me navigate those early weeks back and they were on the front line as we came up for strategies with the Council President's office and other directors for how to respond and serve the public and protect the health of staff and Councilmembers during the time of Covid so they were extremely helpful under unprecedented times as always.,6,,
25,0.97,378.778,386.085,Thank you to them everyday for protecting public health and our health.,6,,
26,0.97,386.085,425.124,It should go without saying that many clerk staff are still showing up every day with their public facing job they are considered essential workers and we knowledge many of the front-line workers and a lot of other industries Besides government we often do not take the time to thank our own city of Seattle employees including those in the city clerk's office who are serving public facing functions like Chris in the reception area and folks on the third floor who are here every day ensuring to serve the public function.,7,,
27,0.97,425.124,438.538,So to our very own essential workers thank you for all the work that you do now and that you have done in the past and that you will do in the future we truly appreciate all the work that you do.,7,,
28,0.97,438.538,455.154,"Okay colleagues we are going to go ahead and move through the agenda, next item approval of minutes, the minutes of the city council meetings of April 20 have been reviewed if there is no objection the minutes will be signed.",7,,
29,0.97,455.154,465.765,The minutes are being signed and I asked that the clerk fix my signature to those minutes.,7,,
30,0.97,465.765,469.569,If there's no objection the introduction and referral calendar will be adopted.,7,,
31,0.97,469.569,474.473,The introduction referral calendar is adopted.,7,,
32,0.97,474.473,477.543,The agenda will be Adoptedwith no objection.,7,,
33,0.97,477.543,482.582,Hearing no objection the agenda is adopted.,7,,
34,0.97,482.582,495.595,"At this time we are going to open up remote public comment for items on the city council agenda, introduction and referral calendar and the 2020 work program.",7,,
35,0.97,495.595,503.703,There's a separate public hearing on agenda item 1 counsel bill 119785.,7,,
36,0.97,503.703,509.809,Before we begin I want to remind my colleagues and the public this is a pilot and we are testing out the process.,7,,
37,0.97,509.809,525.892,This is the third or fourth time we have done this but we are still finding improvements so I asked that everyone be patient as we learn to operate in real time and navigate through the growing pains and implementation of this tool moving forward.,7,,
38,0.97,525.892,537.637,We will look for ways to Fine- tune this process and any features that allow for additional means of public participation.,7,,
39,0.97,537.637,571.47,It remains the strong intent to have public comment included regularly the city council reserves the right to end or eliminate public comment periods if we believe the system is being abused or it's no longer suitable to be conducting the meeting efficiently . Today I will moderate the public comment period as a reminder to those who are on the line listening and to us on Council wanted to sort of give folks the reminder of how the public common group will be moderated.,7,,
40,0.97,571.47,584.183,"The period will be for 20 minutes, each Speaker will be given two minutes to speak I will call on each Speaker by name and the order in which they registered on the Website.",7,,
41,0.97,584.183,596.629,If you have not registered to speak you can sign up before the end of the public comment by going to the Council Website by going to the Council Website @ Seattle.Gov/Council.,7,,
42,0.97,596.629,600.8,The public comment link is listed on the published agenda.,7,,
43,0.97,600.8,625.424,"When I called the Speaker name staff will Unmute the microphone and the automatic prompt of you have been Unmute it will be the Queue that it is their turn to speak so I would ask that speakers begin by stating the name and the item they are here to speak to us about, public comment should relate to an item on the agenda.",7,,
44,0.97,625.424,630.93,Introduction and referral calendar for the 2020 work program.,7,,
45,0.97,630.93,644.043,I will repeat this for anybody on the line we do not accept comments on counsel bill 119785 at this time the public hearing for that bill will begin after this general public comment period is over.,7,,
