index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,18.918,25.358,We have been in Recess for the last hour and I want to welcome back everyone who is joining us.,0,,
1,0.97,25.358,44.911,I want to note we'll have the next three hours here for public opportunity to hear more about the Mayor's budget as it was transmitted earlier this week on Tuesday.,0,,
2,0.97,44.911,48.515,Please call the roll.,1,,
3,0.97,48.515,51.684,Council member Morales.,2,,
4,0.97,51.684,54.087,Council member Peterson.,3,,
5,0.97,54.087,55.555,Here.,4,,
6,0.97,55.555,62.862,Coun still member sha Wa.,5,,
7,0.97,62.862,63.163,Here.,6,,
8,0.97,63.163,66.699,Council member Gonzalez.,7,,
9,0.97,66.699,68.101,Here.,8,,
10,0.97,68.101,70.97,Council member Herbal.,9,,
11,0.97,70.97,71.171,Here.,9,,
12,0.97,71.171,71.838,Council member Lewis.,10,,
13,0.97,71.838,72.639,Present.,11,,
14,0.97,72.639,73.807,And chair.,12,,
15,0.97,73.807,74.607,Present.,13,,
16,0.97,74.607,76.876,Seven present.,14,,
17,0.97,76.876,80.113,Thank you very much Madam clerk.,15,,
18,0.97,80.113,88.021,I will make sure to note when Council member Jucez has join the.,15,,
19,0.97,88.021,92.125,I want to make sure we got Morales for the record as well.,15,,
20,0.97,92.125,95.328,Thank you Madam clerk.,15,,
21,0.97,95.328,95.695,All right.,16,,
22,0.97,95.695,100.967,Let's move into item two on the agenda.,16,,
23,0.97,100.967,102.602,Please read item two into the record.,16,,
24,0.97,102.602,104.737,Come Moine Ty safety for briefing and discussion.,17,,
25,0.97,104.737,106.506,Thank you mood dam clerk.,18,,
26,0.97,106.506,114.414,We do have a handful of folks here to join us.,18,,
27,0.97,114.414,118.918,I want to recognize we have three slides left over from this morning's presentation.,18,,
28,0.97,118.918,125.658,Thank you for carrying over these three slides as they lead into this item on our agenda.,18,,
29,0.97,125.658,133.566,Today's item includes a presentation from a handful of departments under the umbrella of community safety.,18,,
30,0.97,133.566,147.514,"I want to welcome senior deputy Mayor from the Mayor's office, Jason Johnson and from human services Department, and director noble from the city budgets office.",18,,
31,0.97,147.514,153.653,We have a handful of other participants from different departments and the Mayor's executive team as well.,18,,
32,0.97,153.653,160.994,"As we get to various presentations, if I did not call your name, please do let us know you're here and introduce yourself for the record.",18,,
33,0.97,160.994,179.312,"Senior deputy Mayor, I think I will turn it over to you first and then we will turn it back to the slide show presentation.",19,,
34,0.97,179.312,179.612,Welcome.,19,,
35,0.97,179.612,180.647,Thank you.,20,,
36,0.97,180.647,181.948,And good afternoon Council members.,20,,
37,0.97,181.948,205.305,I appreciate to share some thoughts on threading together our efforts on community safety and I had the opportunity to listen to most of your discussion this morning on SPD I wanted to mention that I actually feel that there is a fair amount of alignment on the number of major areas of focus.,20,,
