index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,34.067,38.872,Are we rolling?,0,,
1,0.97,38.938,39.706,We are recording.,1,,
2,0.97,39.773,40.974,Thank you.,1,,
3,0.97,39.773,40.974,All right.,2,,
4,0.97,39.773,40.974,Thank you so much.,2,,
5,0.97,41.04,44.778,"January 12, 2021 meeting of the public safety and human Úservices committee will come t order.",2,,
6,0.97,44.844,47.28,It is 9:30 1 am.,2,,
7,0.97,47.347,48.314,I am Lisa Herbold.,2,,
8,0.97,48.381,55.989,Will the clerk please call the roll?,2,,
9,0.97,56.055,59.125,Councilmember Lewis?,3,,
10,0.97,59.192,62.962,Present.,4,,
11,0.97,63.029,63.596,Councilmember,5,,
12,0.97,63.663,64.364,Here.,6,,
13,0.97,64.431,65.165,Councilmember,7,,
14,0.97,65.231,65.799,Here.,8,,
15,0.97,65.865,69.035,Councilmember,9,,
16,0.97,69.102,70.303,Here.,10,,
17,0.97,70.37,73.039,And will be joining us shortly.,11,,
18,0.97,73.106,73.84,"Thank you, Alex.",12,,
19,0.97,73.907,81.548,"On today's agenda, we will be hearing six appointments to the community police commitment . The appointment of curry Mayer to the office of community management.",12,,
20,0.97,81.614,99.065,"Then we'll have a discussion concerning options to amend the crowd control weapons ordinance developed by, with options developed and proposed by our police accountability partners . with that, we will approve our agenda for our committee meeting.",12,,
21,0.97,99.132,113.213,"If there is no objection, today's agenda will be adopted . hearing no objection, today's agenda is adopted.",12,,
22,0.97,113.279,123.389,"At this time, we will transition into public comment . I will moderate public comment period in the following manner . Each Speaker will be given two minutes to speak.",12,,
23,0.97,123.456,145.912,"I will call on each Speaker by name . I will call on them in the order in which they registered on the Website . If you have not yet registered to speak, but would like to do so, you can sign up before the end of the public hearing by going to the Council's Website . The link is also listed on today's agenda.",12,,
24,0.97,145.979,148.481,"When I called the name of the Speaker, you will hear a prompt.",12,,
25,0.97,148.548,153.62,"Once you have heard that prompt, you will need to press Á6 to Unmute yourself.",12,,
26,0.97,153.686,159.192,Please begin by stating your name and the item which you are addressing.,12,,
27,0.97,159.259,160.927,The item on the agenda that you are addressing.,12,,
28,0.97,160.994,167.066,"First, we will hear a time when 10 seconds are left of the allotted time.",12,,
29,0.97,167.133,186.119,"Once the Speaker hears that shine, we ask that you begin to wrap up your public comments . speakers do not end their comments in the time provided, the microphone will be muted after 10 Secondsin order to allow us to hear from the next Speaker.",12,,
30,0.97,186.185,195.628,"Once you have completed your public comment, please Disconnect from the line . If you plan to continue following the meeting, please do so through the Seattle channel or the listening options that are listed on the agenda.",12,,
31,0.97,195.695,201.935,Public comment is for about 20 minutes.,12,,
32,0.97,202.001,212.145,We are always open to including more time assuming our agenda allows it.,12,,
33,0.97,212.211,233.399,"I just want to know to our clerks, I have not received it public comment Sign-Up sheet . Alex?",12,,
34,0.97,233.466,240.306,"Council member, the list over to you through Email.",13,,
35,0.97,240.373,240.974,There it is.,14,,
36,0.97,241.04,251.351,Thank you very much.,14,,
37,0.97,251.417,254.387,"We have 20 people signed up for public comment here, but not everyone is present.",14,,
38,0.97,254.454,266.966,"What I would like to do is, we will consider whether or not we will add more time dependent on how we get through this current list.",14,,
39,0.97,267.033,271.804,But I am going to start by calling the first two names on the list.,14,,
40,0.97,271.871,282.782,That would be Howard Gail followed by--yes.,14,,
41,0.97,282.849,284.851,Howard?,14,,
42,0.97,284.917,285.685,Good morning.,15,,
43,0.97,285.752,288.855,I am Commenting on police abuse and accountability.,15,,
44,0.97,288.921,306.506,"Seattle Officr Mike so long, he had had--the head of Seattle police Union is blaming black lives matter for last week's insurrection in D.C. he ran a campaign for Union President last year where he promised to get serious with protesters.",15,,
45,0.97,306.572,340.306,"Last year, we have seen overwhelming evidence of the failure of police reform and what it looks like when police follow his call to get serious . The egregious and hateful abuse of protesters including hurting people with glass balls and punches, kneeling over the next of people, having over dozen officers be unmoved to the pain of an illegally rested woman while she lies on the pavement, having repeated seizures in other cases of abuse.",15,,
46,0.97,340.373,350.65,"With all this evidence of the near decade-long failure of the police training policy, this talks about what weapons out of control officers should assault us what.",15,,
47,0.97,350.717,361.728,"Of course, you need to take away all the tools that they haven't used to assault those they have sworn to protect and serve, but instead they have shattered.",15,,
48,0.97,361.794,364.63,You need to uphold the band that you vote for a few months ago.,15,,
49,0.97,364.697,375.241,"They still have their cars and the business and knees and bikes to assault us with, which they have done.",15,,
50,0.97,375.308,377.61,We need to learn to hold police to account.,15,,
51,0.97,377.677,390.389,"We need civilian police oversight and accountability . for myself, I have been assaulted with glass balls and I have been assaulted with clubs.",15,,
52,0.97,390.456,403.936,"For someone who suffers a neurological brain injury, it really does not matter whether it was a glass ball.",15,,
53,0.97,411.11,416.282,"Council member, you muted.",16,,
54,0.97,416.349,417.917,"Thank you, Alex.",17,,
55,0.97,417.984,421.721,We have Polly followed by Kate Rubin.,17,,
