index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,21.521,21.821,Good afternoon.,0,,
1,0.97,21.821,29.396,This is the regularly scheduled meeting of the Sustainability and Renters' rights committee of the Seattle city council.,0,,
2,0.97,29.396,32.198,"The time is 2:05 PM on February 25, 2020.",0,,
3,0.97,32.198,46.88,"Am joined by Councilmember Morales, Councilmember Pedersen, Councilmember Juarez . Thank you for being here.",0,,
4,0.97,46.88,48.214,"Hearing no objection, the agenda is adopted.",0,,
5,0.97,48.214,62.429,In today's meeting we will hold our first discussion with the Seattle office of Sustainability and environment who will present the work of their office and work plan for the year.,0,,
6,0.97,62.429,70.27,"I just wanted to mention, one of the things they will be responsible for is supporting the newly established green new deal oversight board.",0,,
7,0.97,70.27,73.673,Over the next few months we will be responsible for making those appointments to the board.,0,,
8,0.97,73.673,98.231,"So if anyone watching this channel is interested in applying or if they feel they know committee members community members who would fit the role of board member of the green new deal oversight, then please contact my office and we will make sure that we include all the information for Councilmembers in the committee when the question of appointments comes up.",0,,
9,0.97,98.231,101.267,Hopefully I think the staffing question will begin in April.,0,,
10,0.97,101.267,103.269,Hopefully the apartments will be done by June.,0,,
11,0.97,103.269,114.514,Before we bring the office of Sustainability environment to the table let's the public comment.,0,,
12,0.97,114.514,116.549,No one is signed up for public comment.,1,,
13,0.97,116.549,118.785,Is there anyone not signed up who wishes to speak!,2,,
14,0.97,118.785,119.352,Please come forward.,2,,
15,0.97,119.352,131.131,Please write your name and you have two minutes.,2,,
16,0.97,132.132,145.044,I am with a specialty hearth retailer vessel natural gas fireplaces and barbecues . 26 employees.,3,,
17,0.97,145.044,151.584,I'm also on the board of the barbecue Association which represents small businesses like mine.,3,,
18,0.97,151.584,155.922,And manufacturers in Seattle.,3,,
19,0.97,155.922,168.601,I am really only here today to voice our concerns about any conversations or proposals that may have something to do with the natural gas been for commercial residential.,3,,
20,0.97,168.601,172.272,And if there are going to be conversations about that we would really like to be at the table.,3,,
21,0.97,172.272,176.276,Because there's a lot of jobs that depend on that and a lot of people who depend on the products.,3,,
22,0.97,176.276,177.81,That's what I'm here to say today.,3,,
23,0.97,177.81,178.611,Thank you.,3,,
24,0.97,178.611,180.246,Thank you.,4,,
25,0.97,180.246,181.714,We are happy to talk to you.,4,,
26,0.97,181.714,185.752,If you want to neck with Ted for my office we are happy to have a meeting.,4,,
27,0.97,185.752,186.519,Of course.,4,,
28,0.97,186.519,191.057,Anyone else want to speak?,4,,
29,0.97,191.057,204.571,Seeing none we will close public comment and we will have Presenters come to the table.,4,,
30,0.97,210.91,213.746,I don't know how to interpret the lack of public Commenters.,5,,
31,0.97,213.746,224.023,[Laughter],6,,
32,0.97,224.624,227.227,As you know introductions for the record and then take it away.,7,,
33,0.97,227.227,233.299,Thank you for the record I name is Jessica Finn Coven and I am the director of the office of Sustainability and environment.,8,,
34,0.97,233.299,236.569,"Good afternoon I am a Lylianna Allala, the assistant director at ose.",9,,
35,0.97,236.569,239.105,Yolanda central staff.,10,,
36,0.97,239.105,246.512,Let me first start by thanking you all for having us here.,11,,
37,0.97,246.512,250.984,I have been the director of Osc for about four years.,11,,
38,0.97,250.984,257.123,And I can't think of another time I an opportunity to come in front of the new Committee and just talk about our work and hear your questions and interest.,11,,
39,0.97,257.123,261.728,"Really, we are excited to be here today and appreciate you having us here.",11,,
40,0.97,261.728,265.698,I will add page numbers to her next Powerpoint.,11,,
41,0.97,265.698,276.042,We definitely will.,11,,
42,0.97,276.609,278.444,We are here to talk a little bit about Osc.,11,,
43,0.97,278.444,279.012,Who we are.,11,,
44,0.97,279.012,282.048,We will provide a little more background because I know there are more Councilmembers here.,11,,
45,0.97,282.048,292.158,A little about our office and then dig into more depth about the programs we have been working on and what we will be doing in the coming year.,11,,
46,0.97,292.158,293.626,"Osc, were in our 20th year.",11,,
47,0.97,293.626,300.566,We were established as an executive office that focused on internal city operations and how we could make those operations more sustainable.,11,,
48,0.97,300.566,322.755,Overtime it has evolved and grown to focus yes on city municipal operations but really look at a city wide response to Sustainability and environmental priorities and ensuring we are a cross city departments coordinated committee to come together to advance environmental priorities.,11,,
49,0.97,322.755,324.691,There are about 30 of us at ose.,11,,
50,0.97,324.691,332.999,We are small but mighty.,11,,
51,0.97,332.999,335.068,Our staff is without a doubt our biggest resource and asset.,11,,
52,0.97,335.068,340.106,They are an amazing group of people who come together to be innovative and really serve in their work.,11,,
53,0.97,340.106,344.811,We like to go to Mariners games together which is what this picture is.,11,,
54,0.97,344.811,350.316,We were very excited last summer.,11,,
55,0.97,350.316,359.025,We are focused as I said in part a cross city departments but also with partners outside of city government to ensure that we are coming together to find Sustainability solutions.,11,,
56,0.97,359.025,377.51,And like all city departments we are guided by the racial and social justice of the city and we see our priority at ose at undoing institutional racism by undoing injustice.,11,,
57,0.97,377.51,378.745,We will talk about that work.,11,,
58,0.97,378.745,381.948,I will get into more detail on her program areas that we focus in three core areas.,11,,
59,0.97,381.948,386.052,First of course meeting the climate challenge.,11,,
60,0.97,386.052,394.627,"We work to reduce pollution from buildings, to reduce Lucian from transportation and to really advance climate justice.",11,,
61,0.97,394.627,412.278,"We work to champion environmental equity, both through police based environmental justice programs like our Snohomish Valley program but also through our broader equity and environment initiative which is designed to make sure that all people benefit from our environmental progress.",11,,
62,0.97,412.278,429.695,Those communities that have disproportionately faced environmental injustice really centered in her work and centered in developing priorities and solutions they want us to advance.,11,,
63,0.97,429.695,435.601,Finally we work to advance livable and sustainable communities through healthy and local food work in urban forestry.,11,,
64,0.97,435.601,448.915,"Taking in a little bit to our climate change work, you can see here this graphic illustrates the major sources of our core greenhouse gas emissions.",11,,
65,0.97,448.915,452.919,Those are the emissions the city policy most has control to impact.,11,,
66,0.97,452.919,463.396,"So a lot of cities report their core missions and then broader scope emissions which include industrial processes, and things that city policy impact less.",11,,
67,0.97,463.396,477.944,We release both the full scope and our core missions every two years and our greenhouse gas inventory.,11,,
68,0.97,477.944,482.114,You can see here as well Seattle's climate leadership dates back to 2005 when we released our first climate action plan.,11,,
69,0.97,482.114,488.554,"I don't mean to interrupt your flow, and if you want to answer this question as you go through the slides that's totally fine.",12,,
70,0.97,488.554,500.633,You mentioned that the numbers you have there are specifically also relating to what comes under the city Purview in transportation and building and energy and so one.,12,,
71,0.97,500.633,511.677,And the obviously goes to the core of the whole new green new deal proposal that last year was signed off on which we need to implement.,12,,
72,0.97,511.677,526.592,"And I just wanted to hear from you, if in general you could talk about what are the other sources of carbon emissions and pollution and climate change that we see in general?",12,,
73,0.97,526.592,535.401,Vesely in Seattle we don't have the industrial as much as in some other areas may be.,12,,
74,0.97,535.401,537.003,So if you could just talk about that?,12,,
75,0.97,537.003,560.026,"And sort of put some details onto the statistic that I think is very important that is highlighted by the climate justice movement about how the vast majority of admissions or industrial sources and unless we address it at a bigger level, only making changes at a personal level among households is not going to go far enough.",12,,
76,0.97,560.026,560.993,That's a great question.,13,,
77,0.97,560.993,564.33,Let me touch on that and I will jump back in to this graphic.,13,,
78,0.97,564.33,582.448,"Are major, what we see here, waste, building emissions, largely natural gas heating peak, quite a number of industrial Pollutants as we do still have a core industrial base.",13,,
79,0.97,582.448,587.553,"We have that broken down by industry so we can look at cement for example or steel, and we can provide more of that data.",13,,
80,0.97,587.553,596.462,But I think a really important point is that they all come from upstream sources.,13,,
81,0.97,596.462,598.164,Of course the choices we make individually matter.,13,,
82,0.97,598.164,600.333,And we try to help people in making those choices.,13,,
83,0.97,600.333,611.077,But these are structural issues and structural emissions with no structural and systemic change we will never curb the climate crisis.,13,,
84,0.97,611.077,618.184,Also it's not the decisions of one family or one individual that has caused climate change.,13,,
85,0.97,618.184,623.489,It's a bigger systemic issue and that is absolutely where we need to solve the problem.,13,,
86,0.97,623.489,631.597,It's not just the fault of our residents here in Seattle and the burden can't be only on them.,13,,
87,0.97,631.597,632.198,That answer your question?,13,,
88,0.97,632.198,632.665,Thank you.,13,,
89,0.97,632.665,633.866,Just briefly--go ahead.,13,,
90,0.97,633.866,638.104,Thank you.,14,,
91,0.97,638.104,652.118,"Prior to coming to the committee I reviewed the annual mission report, it looks like Councilmember Pedersen is reviewing them now and the answer to my question is actually listed by coincidence of what Councilmember Pedersen is looking at.",14,,
92,0.97,652.118,685.918,"But I'm going to ask the question anyway just for folks in the audience and for the people viewing, when we are talking about the building -Based emissions, what percentage of that are residential versus commercial, in the emissions, and then also what kind of strategies could Reuse, particularly with commercial buildings in the downtown core like a lot of buildings in my district, to transition from natural Gas- based heating to more Electric- based heating and the feasibility of that technology.",14,,
93,0.97,686.052,690.122,I'm going to answer the first question.,15,,
94,0.97,690.122,692.358,Our building emissions are a little over one third.,15,,
95,0.97,692.358,696.862,35% for all buildings.,15,,
96,0.97,696.862,699.432,That is roughly Half-And-Half between residential and commercial.,15,,
97,0.97,699.432,717.149,"It's 55-45, I think 55% is commercial emissions and 45% of that 35, really we have roughly a third of the emissions, half are residential buildings and half commercial buildings.",15,,
98,0.97,717.149,725.691,Is that what you have in front of you?,15,,
