index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,3.069,7.006,I think we are ready to go.,0,,
1,0.97,7.006,10.043,Let's begin this meeting.,0,,
2,0.97,10.043,15.382,"Good afternoon, colleagues.",0,,
3,0.97,15.382,17.35,"The January 4TH, 2021 meeting will come to order.",0,,
4,0.97,17.35,19.853,It is it 2:00 P.M.,0,,
5,0.97,19.853,24.257,. will the clerk please call the role?,0,,
6,0.97,24.257,26.526,Councilmember Strauss?,1,,
7,0.97,26.526,29.462,Present.,2,,
8,0.97,29.462,32.232,Councilmember Juarez?,3,,
9,0.97,32.232,35.168,Here.,4,,
10,0.97,35.168,37.67,Councilmember Morales?,5,,
11,0.97,37.67,38.905,Here.,6,,
12,0.97,38.905,44.978,Councilmember Sawant?,7,,
13,0.97,44.978,47.881,Here.,8,,
14,0.97,47.881,50.85,President Gonzalez?,9,,
15,0.97,50.85,52.886,Here.,10,,
16,0.97,52.886,60.46,Seven present.,11,,
17,0.97,60.46,62.896,The minutes of the city council meeting have been reviewed.,12,,
18,0.97,62.896,74.641,"If there is no objection, the minutes will be signed . hearing no objection, the minutes are being signed.",12,,
19,0.97,74.641,76.509,With the clerk please affix my signature to the minutes?,12,,
20,0.97,76.509,77.71,Adoption of the referral calendar.,12,,
21,0.97,77.71,85.618,"If there is no objection, the January 4TH, 2021 referral calendar will be adopted.",12,,
22,0.97,85.618,87.487,"Hearing objections, the introduction and referral calendar is adopted.",12,,
23,0.97,87.487,88.321,Approval of the agenda.,12,,
24,0.97,88.321,90.723,"If there is no objection to the agenda, it will be adopted.",12,,
25,0.97,90.723,95.195,"Hearing no objection, the agenda is adopted.",12,,
26,0.97,95.195,95.995,"Colleagues, welcome back.",12,,
27,0.97,95.995,96.429,Happy new year.,12,,
28,0.97,96.429,102.902,This is the first Council meeting of 2021.,12,,
29,0.97,102.902,112.645,"I am excited for us to kick off this meeting and looking forward to come as I said this morning, a year of lots of hard work.",12,,
30,0.97,112.645,113.513,This year and beyond.,12,,
31,0.97,113.513,129.729,"At this time, we will remote public comment period . I want to thank everyone for their ongoing patience and cooperation as we continue to operate this remote public comment period system.",13,,
32,0.97,129.729,151.885,"It remains the intent to have a remote public comment regularly, however as a reminder, the city council reserves the right to end or remove the public comment period at any point . I will moderate the public comment period in the following manner.",13,,
33,0.97,151.885,156.089,It is 20 minutes and each Speaker will be given 2 minutes to speak.,13,,
