index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,12.812,20.954,"Thank you, good afternoon, everybody, it is March 22nd, 2022, this is the meeting of the Seattle city council.",0,,
1,0.97,20.954,23.189,I am Debora Juarez.,0,,
2,0.97,23.189,25.825,Please call the role.,0,,
3,0.97,25.825,44.844,Pedersen? Councilmember Sawant?,1,,
4,0.97,44.844,47.147,Eight are present.,2,,
5,0.97,47.147,59.959,"Thank you good I want to start off by thanking Councilmember Mosqueda will be here in my absence, thank you for stepping up for me while I was out yesterday.",3,,
6,0.97,59.959,64.898,"Moving along the agenda to presentations, there are no presentations today.",3,,
7,0.97,64.898,67.567,The approval of the consent calendar.,3,,
8,0.97,67.567,73.373,You all have had a copy of the agenda and we will not consider the proposed consent calendar.,3,,
9,0.97,73.373,79.679,Are there any items on the consent calendar that my colleagues would like to pull?,3,,
10,0.97,79.679,81.347,I moved to adopt the consent calendar.,3,,
11,0.97,81.347,84.317,Is there a second?,3,,
12,0.97,84.317,84.918,Second.,4,,
13,0.97,84.918,98.565,"Thank you, the consent calendar has been moved and consented and it passes did not pass, will be quick please call the roll on the consent calendar?",5,,
14,0.97,98.565,102.902,Pearson?,6,,
15,0.97,102.902,104.237,Strauss?,7,,
16,0.97,104.237,105.038,Yes,8,,
17,0.97,105.038,107.073,Councilmember Herbold?,9,,
18,0.97,107.073,110.743,Yes.,10,,
19,0.97,110.743,111.411,Councilmember Morales?,11,,
20,0.97,111.411,113.58,Yes.,12,,
21,0.97,113.58,114.614,Councilmember Nelson?,13,,
22,0.97,114.614,118.885,Aye.,14,,
23,0.97,118.885,119.486,Councilmember Juarez?,15,,
24,0.97,119.486,123.123,Yes.,16,,
25,0.97,123.123,125.158,I said present by mistake.,17,,
26,0.97,125.158,129.229,I know what you meant.,18,,
27,0.97,129.229,136.135,The consent calendar is adopted and will the clerk please affix my signature to the consent calendar.,18,,
28,0.97,136.135,136.536,Thank you.,18,,
29,0.97,136.536,138.404,Moving on to the calendar.,18,,
30,0.97,138.404,142.442,Approval of the agenda.,18,,
31,0.97,142.442,145.478,The agenda will be adopted if there is no objective.,18,,
32,0.97,145.478,155.421,The agenda is adopted hearing and seeing no objection to I will read the first set of instructions to public comments and the bottom clerk will take over.,18,,
33,0.97,155.421,172.906,"We will open the remote public comments for items on the city council agenda, introduction and referral calendar and the Council's work program, it is the strong intent of the Seattle city Council to have remote public comment regularly included on meeting Agendas.",18,,
34,0.97,172.906,187.954,"As a reminder, the city council reserves the right to stop or eliminate the public comments at any point if we deemed the system is being abused or is no longer suitable for allowing our meetings to be conducted efficiently and effectively.",18,,
35,0.97,187.954,191.391,How many people do we have signed up?,18,,
36,0.97,191.391,193.66,"We have three signed up, Council President.",19,,
37,0.97,193.66,195.461,Thank you.,20,,
38,0.97,195.461,196.663,Two minutes each.,20,,
39,0.97,196.663,204.904,The city clerk will moderate the comments and I will hand it off to her to read the instructions.,20,,
40,0.97,204.904,224.29,"Public comments for this meeting is up to 20 minutes and each Speaker is given two minutes, speakers are called upon in the order in which they registered to provide public comment on the Council's Website and they must call in on the phone number you provided and use the Passcode that was Emailed upon confirmation.",21,,
41,0.97,224.29,226.426,This is different from the general meeting was in line I.D.,21,,
42,0.97,226.426,227.727,Listed on the agenda.,21,,
43,0.97,227.727,245.011,"If you did not receive an Email confirmation, please check your Spam or junk mail folders and once you are called, staff will open the microphone and a prop that you have been Umuted will be your Q. the Speaker must press Star six.",21,,
44,0.97,245.011,246.913,State your name and the item you are addressing.,21,,
45,0.97,246.913,250.683,Speakers will hear a Chime when 10 seconds are left.,21,,
46,0.97,250.683,255.989,"Once you hear the Chime, wrap up your public comment.",21,,
47,0.97,255.989,262.495,"If speakers do not stop there comments at the end of the time provided, your microphone will be muted to allow us to call on the next Speaker.",21,,
48,0.97,262.495,273.873,"Once you have completed the public comment, Disconnect from the line and if you continue to follow the meeting, go to the Seattle channel or the listed options on the agenda.",21,,
49,0.97,273.873,277.01,We will begin with the first speaker.,21,,
50,0.97,277.01,279.145,Please remember to press Star six when prompted.,21,,
51,0.97,279.145,286.853,"Our first Speaker is Howard Dale, then Ted.",21,,
52,0.97,286.853,295.495,"Good afternoon, I am with the Seattle stop, commenting on our failed police accountability system.",22,,
53,0.97,295.495,304.137,"In Nashville, Tennessee on January 27 the national police killed a man experiencing a behavioral health crisis and wielding an edged weapon.",22,,
54,0.97,304.137,313.88,"Within 24 hours, national citizen oversight board officially released a statement calling the killing gravely disturbing.",22,,
55,0.97,313.88,317.35,And announced the independent investigation.,22,,
56,0.97,317.35,325.191,"In Nashville, an independent investigation means exactly that, an investigation that does not involve police officers doing the investigation.",22,,
57,0.97,325.191,338.705,"In the Seattle, on January 5th, the Seattle police killed a man experiencing a behavioral health crisis and wielding an edged weapon and nearly 3 months later the Seattle police Commission has released no official statement.",22,,
58,0.97,338.705,342.508,"Nearly 3 months later, we do not know the man's name.",22,,
59,0.97,342.508,347.38,This case quickly disappeared from the headline and public awareness.,22,,
60,0.97,347.38,362.195,"If and when an investigation is done, it will be SPD officers investigating other officers and it is hard to comprehend two such radically different responses to two similar incidents.",22,,
61,0.97,362.195,365.498,These cities are similar in size and demographics.,22,,
62,0.97,365.498,373.573,It is clear that Proactive citizens oversight board in Nashville help to produce a radically different response compared to Seattle.,22,,
63,0.97,373.573,379.779,"In Seattle, the silence against everyone silence.",22,,
64,0.97,379.779,387.587,"Nashville has had their citizen oversight board for three years and two months, a system chosen by the people through an initiative and it works.",22,,
65,0.97,387.587,397.163,"On March 27, the Seattle function forced on the people of Seattle, will start its 10th year, it does not work.",22,,
