index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,11.778,17.05,2021 meeting of the transportation and utilities committee will come to order.,0,,
1,0.97,17.05,17.417,It.,0,,
2,0.97,17.417,18.418,The time is 9:32 A.M.,0,,
3,0.97,18.418,19.519,I am Alex Pedersen.,0,,
4,0.97,19.519,23.523,Will the clerk please call the role?,0,,
5,0.97,23.523,24.724,Council President Gonzalez?,1,,
6,0.97,24.724,25.058,Here.,2,,
7,0.97,25.058,27.427,Council member Herbold.,3,,
8,0.97,27.427,32.532,Here.,4,,
9,0.97,32.532,34.501,Council member Morales.,5,,
10,0.97,34.501,38.304,Council member Strauss.,5,,
11,0.97,38.304,38.738,Present.,6,,
12,0.97,38.738,43.71,Chair Pedersen.,7,,
13,0.97,43.71,43.943,Here.,8,,
14,0.97,43.943,55.889,Fore present four press Sdmrent thank you--four press Sflent thank you.,9,,
15,0.97,55.889,56.356,Chairs report.,9,,
16,0.97,56.356,62.228,Thank you for all being here for another full transportation utilities committee meeting.,9,,
17,0.97,62.228,79.646,Our agenda--we also have our first look at an update to Seattle public utilities storm water code which is required by state and Federal regulators.,9,,
18,0.97,79.646,85.185,We have two bills related to the bus rapid transit project which we are all very familiar with.,9,,
19,0.97,85.185,101.501,We will hear for the first time three new surveillance impact reports related to the Seattle police Department.,9,,
20,0.97,101.501,111.277,We are seeing about 33 people sign up for public comment so--what I will do is--we would like to have everybody get a chance to speak.,9,,
21,0.97,111.277,114.314,We will limit them to one minute.,9,,
22,0.97,114.314,120.053,We will extend public comment period to 35 minutes instead of the usual 20.,9,,
23,0.97,120.053,127.827,"So, at this time we will open up remote general public comment period.",9,,
24,0.97,127.827,132.932,I can everybody be patient as we operate this Online system.,9,,
25,0.97,132.932,147.747,It remains the strong intent of the city Council to have public comment regularly on meeting AA a--again Das.,9,,
26,0.97,147.747,156.022,I will moderate the public comment period in the following manner.,9,,
27,0.97,156.022,158.558,Public comment period is normally up to 20 minutes.,9,,
28,0.97,158.558,163.496,I will extend it now to 35 minutes because we have about 33 speakers signed up.,9,,
29,0.97,163.496,165.465,Each Speaker will be given one minute to speak.,9,,
30,0.97,165.465,174.974,I know that is difficult if you have prepared two minutes and have to quickly edit to one minute.,9,,
31,0.97,174.974,182.582,We want to give everyone a chance to speak.,9,,
32,0.97,182.582,194.327,If you have not registered to speak but would like to you Cosign up by going to Council's Website.,9,,
33,0.97,194.327,204.504,"Once I call a Speaker's name, staff will Unmute the appropriate microphone.",9,,
34,0.97,204.504,209.943,The Speaker must press Star 6 to begin speaking.,9,,
35,0.97,209.943,210.176,Star 6.,9,,
36,0.97,210.176,214.08,Please begin speak by stating your name and the item you are addressing.,9,,
37,0.97,214.08,220.687,A a reminder public comment should relate to an item on today's agenda.,9,,
38,0.97,220.687,228.728,Speakers will hear a Chime when ten seconds are left of the a Lotted time.,9,,
39,0.97,228.728,236.402,If speakers do not end their comments t Speaker's microphone will be muted to allow us to call on the next Speaker.,9,,
40,0.97,236.402,244.344,Once you have finished speaking we ask you to please Disconnect from the line.,9,,
41,0.97,244.344,247.981,The regular public comment period for this committee meeting is now opened.,9,,
42,0.97,247.981,253.219,We will begin with the first Speaker on the list.,9,,
43,0.97,253.219,255.922,Please remember to press Star 6.,9,,
44,0.97,255.922,270.903,We will hear first from Jonathan Hopkins and then Alice Lockhart.,9,,
45,0.97,270.903,271.304,Go ahead Jonathan.,9,,
46,0.97,271.304,276.042,"Jonathan, go ahead and press Star 6.",9,,
47,0.97,276.042,282.348,Good morning chair and members of the committee.,10,,
48,0.97,282.348,283.016,I'm Jonathan Hopkins.,10,,
