index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,13.446,13.913,Good morning.,0,,
1,0.97,13.913,15.248,Welcome to the select budget committee meeting.,0,,
2,0.97,15.248,17.717,"Today is October 14th, 2021 and it is Thursday.",0,,
3,0.97,17.717,29.262,"We are beginning our session 1, day two of three of our city council for the upcoming 2022 budget.",0,,
4,0.97,29.262,30.13,The time is 9:32 A.M.,0,,
5,0.97,30.13,32.532,The select budget committee meeting will come to order.,0,,
6,0.97,32.532,43.243,"I am Theresa Mosqueda, chair of the meeting.",0,,
7,0.97,43.243,46.079,The clerk will call the role.,0,,
8,0.97,46.079,56.256,The roll.,0,,
9,0.97,69.836,73.206,[roll being called],0,,
10,0.97,73.206,85.819,"Staff has spent the last two weeks going over the budget and identified significant increases or decreases in expected funding, changes in revenue, utilization and changes in possible policy.",1,,
11,0.97,85.819,103.403,"Look forward to having a conversation with all of you about the issues that have been identified from the central staff's deep dive and that will lead into our conversation in two weeks, talking about potential amendments.",1,,
12,0.97,103.403,104.537,Look forward to our discussion today.,1,,
13,0.97,104.537,114.747,"Our agenda includes the office of planning and community development, an overview of the Opcd issue identification . We will also have the human services and community led investments.",1,,
14,0.97,114.747,119.986,That will conclude before 1:00 P.M.,1,,
15,0.97,119.986,122.021,And we will recess and come back at 2:00 P.M.,1,,
16,0.97,122.021,124.591,For the homelessness investments presentation.,1,,
17,0.97,124.591,127.56,I want to welcome Council member Louis us to the forum.,1,,
18,0.97,127.56,131.731,"Thank you very much, council member Louis for joining us.",1,,
19,0.97,131.731,132.966,We have our full House today.,1,,
20,0.97,132.966,136.269,"If no objection, today's agenda is adopted.",1,,
21,0.97,136.269,143.276,"Hearing no objection, today's agenda is adopted.",1,,
22,0.97,143.276,145.879,-- we have committed to having public testimony until the 10:00 hour.,1,,
23,0.97,145.879,149.149,I look forward to hearing from those who signed up to provide public testimony.,1,,
24,0.97,149.149,162.729,"As a reminder, you will have today, two minutes to speak . We have about eight people signed up for public testimony so we should be able to give you the full two minutes and get through everyone who is on our list.",1,,
25,0.97,162.729,174.574,"Speakers, you will hear a 10 second time at the end of your allotted time to wrap up.",2,,
26,0.97,174.574,177.11,Your microphone will be muted at the end of your two minutes.,2,,
27,0.97,177.11,183.283,"If you did not get a chance to speak today or you did not get a chance to share everything you would like to, Email us at Konsyl at Seattle.Gov.",2,,
28,0.97,183.283,196.029,Once it is your turn to speak you will hear a prompt that indicates you have been muted.,2,,
29,0.97,196.029,198.131,That is your indication to hit Á6 to begin speaking.,2,,
30,0.97,198.131,205.338,Begin speaking by stating your name and the item you are addressing and as a reminder all public comment Chevrolet to items on today's agenda which include the 2022 budget.,2,,
31,0.97,205.338,214.847,"At this time I am going to open the public comment with the first two speakers on the list and as a reminder when you are done speaking, please do Disconnect and continue following us at Seattle channel Úon the listen and options posted on today's agenda.",2,,
32,0.97,214.847,217.55,Trevor and Jason thank you for being with us.,2,,
33,0.97,217.55,222.255,Following that will be Camille.,2,,
34,0.97,222.255,222.655,Good morning.,2,,
35,0.97,222.655,223.523,"Good morning, apologies.",3,,
36,0.97,223.523,229.329,A fire alarm went off in my building.,3,,
37,0.97,229.329,238.571,"My name is Trey Vona I am a resident of district 2, to report the budget and food sovereignty to create a healthy community citywide.",3,,
38,0.97,238.571,245.778,I'm not afraid or ashamed to speak upon my experience looking for food at food banks.,3,,
39,0.97,245.778,248.281,My grandmother to this day relies on food from food banks.,3,,
40,0.97,248.281,255.088,She was priced out of her home and she lives outside the city and money is tight so she goes to the food banks quite often.,3,,
41,0.97,255.088,263.796,The budget offers food support by investing $17.7 million for the survival of our most vulnerable residents.,3,,
42,0.97,263.796,280.546,Food insecurity has been exacerbated by Covid-19 and that is making it harder for folks to grow food for local communities.,3,,
43,0.97,280.546,281.681,Our community has been suffering and struggling.,3,,
44,0.97,281.681,284.984,The pandemic is far from over and the impact of receiving resources is hurting our folks.,3,,
45,0.97,284.984,297.096,-- about how Washington residents continue to experience a drastically higher level of food insecurity from 10% before the Covid-19 pandemic to now 27%.,3,,
46,0.97,297.096,298.331,How can we close that gap?,3,,
47,0.97,298.331,303.503,"Well, we can do that by actually looking at the recommendations from the solidarity budget.",3,,
48,0.97,303.503,315.348,The Mayor's budget does not have a dedicated section for food access or food poverty indicating perhaps this is not a priority for the city.,3,,
49,0.97,315.348,320.92,Food axis is sprinkled throughout the budget a number of times making it difficult to determine exactly how much is being budgeted specifically for food axis.,3,,
50,0.97,320.92,326.292,With just under 5% of the proposed Std budget we can fund the entire food access Pogrom from the solidarity budget plan.,3,,
51,0.97,326.292,331.731,Should we fund--for people?,3,,
52,0.97,331.731,334.1,More Std violence or House people?,3,,
53,0.97,334.1,336.169,More new costs for working families?,3,,
54,0.97,336.169,344.577,"Show your support, that you care and support the recommendations from solidarity budget and I relinquish the rest of my time.",3,,
55,0.97,344.577,345.478,Thank you.,3,,
56,0.97,345.478,348.314,"Thank you very much and good morning, Camille.",4,,
57,0.97,348.314,351.851,Followed by Tyler Harmon.,4,,
58,0.97,351.851,364.263,"Hi there, this is Camille and I am with the advocacy team for real change and I would like to address the agenda items on homelessness investment and housing and human services.",5,,
59,0.97,364.263,372.939,"So I'm calling in first about to request the budget committee consider allocating $80,000 toward the Seattle Street program.",5,,
60,0.97,372.939,382.315,We want to continue expanding the--fund some vendor maintenance jobs.,5,,
61,0.97,382.315,409.609,"We were not able to do this with the first round of funding due to the--we experience from $100,000- $60,000 this past year and if we want to continue this essential program and 22, we will need this funding to cover maintenance, stop time and construction of new SINKS and we would also like to point out the city standard for our program has been very different from those of their own programs as outlined in--article in public--February.",5,,
62,0.97,409.609,421.854,"Additionally, we would like to call on the members of the Council to cosponsor, council member Morales budget--buildings for social housing.",5,,
63,0.97,421.854,449.482,"Yesterday I along with one of my colleagues on the advocacy team spoke to several vendors about their priorities regarding the city budget and we were met with a lot of enthusiasm and a lot of vendors expressing a lot of--for public toilets and also the increased social housing and in the words of one of our vendors, who, when asked what he thought the top priorities of the city should be in 2022 budget, the only two words he said were permanent housing.",5,,
64,0.97,449.482,450.783,And with that I relinquish my time.,5,,
65,0.97,450.783,451.651,Thank you.,5,,
66,0.97,451.651,455.788,Thank you so much.,6,,
67,0.97,455.788,456.756,"And good morning, Tyler.",6,,
68,0.97,456.756,459.859,Tyler followed by Malik Maryellen stone.,6,,
69,0.97,459.859,464.53,Good morning Council members.,7,,
70,0.97,464.53,467.333,Thank you for having me at thank you so much for your time here.,7,,
71,0.97,467.333,472.672,My name is Tyler Harmon and I'm a college student at the University of Washington.,7,,
72,0.97,472.672,511.844,Specifically with the college environment and their expanding departments and for--studio 498 we are conducting a feasibility study to be able to--how we need to take a look at what it would take to create a shelter--district the District is an Underserved area in district 4--there are no shelters within the area of the current moment so we were--I have a very simple question actually.,7,,
73,0.97,511.844,551.384,"-- my team findings that funding is available to try and conduct research but then what is causing the homeless pricing crisis and what is going to--Utep medical center when it comes to training staff facility and how to not succumb to compassion fatigue when dealing with individual care and homelessness but when it comes to actual money being allocated to housing, there just simply is not enough . The questions I have for Council, why is this such an unpopular issue?",7,,
74,0.97,551.384,565.565,"If it is so popular we can fund research and we can fund acute clinics but not actual housing, there is never housing for that . Why is this so politically unfavorable?",7,,
75,0.97,565.565,569.368,Thank you.,7,,
76,0.97,569.368,575.708,Thank you and Maryellen is followed by Susan Samuelson.,8,,
77,0.97,575.708,584.45,,9,,
78,0.97,591.223,592.725,"Hey, Maryellen, I see on the screen.",10,,
79,0.97,592.725,599.231,If you can hit Á6 one more time to Unmute?,10,,
80,0.97,599.231,599.832,That worked?,11,,
81,0.97,599.832,600.633,Hi there.,12,,
82,0.97,600.633,600.967,Either.,13,,
83,0.97,600.967,601.901,Thank you.,13,,
84,0.97,601.901,608.841,Thanks for taking my testimony.,13,,
85,0.97,608.841,629.462,I am from King County sexual assault research center and speaking today on behalf of the--ending Gender-Based violence asking the Council to support our request of $3 million to fund what we already know works which is survivor driven local advocacy with flexible financial assistance.,13,,
86,0.97,629.462,637.136,The Mayor's budget doesn't allocate any new funding for expanding new services and I'm asking you to consider that today in your budget package.,13,,
87,0.97,637.136,648.114,"We know and I know you know domestic violence and sexual assault are some of the top Precursors to homelessness, housing instability, mental health issues and substance abuse and we see this every day.",13,,
88,0.97,648.114,650.182,Now is not the time to Underinvest in the services.,13,,
