index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,17.751,18.251,.,0,,
1,0.97,18.251,19.085,All right.,1,,
2,0.97,19.085,20.987,Thank you so much.,1,,
3,0.97,20.987,28.995,"For welcome to the September 22nd, 2020, meeting on the public safety and human services committee.",1,,
4,0.97,28.995,33.266,Please let's call the meeting to order.,1,,
5,0.97,33.266,35.301,It is 9:35 A.M.,1,,
6,0.97,35.301,38.571,"I'm Lisa her bold, chair of committee.",1,,
7,0.97,38.571,41.007,Please call the roll.,1,,
8,0.97,41.141,44.677,Councilmember Gonzalez.,2,,
9,0.97,44.677,44.911,Here.,3,,
10,0.97,44.911,45.412,Councilmember Lewis.,4,,
11,0.97,45.412,49.382,Present.,5,,
12,0.97,49.382,49.916,Councilmember Morales?,6,,
13,0.97,49.916,52.819,Here.,7,,
14,0.97,52.819,56.823,Councilmember Sawant.,8,,
15,0.97,56.823,60.827,Councilmember her bold.,8,,
16,0.97,60.827,61.06,Here.,9,,
17,0.97,61.06,71.471,"Today's agenda, we'll be covering appointments to the civil service Commission and the Seattle municipal court.",10,,
18,0.97,71.471,79.846,We'll hear amendments to the Whistleblower protection code and reports regarding court imposed monetary sanctions in the court.,10,,
19,0.97,79.846,92.959,"The Seattle police Department's community service officer program, the Colead program, and an update on efforts to implement safe consumption programs.",10,,
20,0.97,92.959,96.229,"And approval of the agenda, no objection to the agenda.",10,,
21,0.97,96.229,96.663,It will be adopted.,10,,
22,0.97,96.663,106.473,"Hearing no objection, today's agenda is adopted.",10,,
23,0.97,106.473,108.274,"At this time, we'll transition to public comment.",10,,
24,0.97,108.274,114.28,We have 15 minutes on public comment on the agenda.,10,,
25,0.97,114.28,122.589,"Before the public comment period, we ask that everybody be patient as we learn to operate this new system in Realtime.",10,,
26,0.97,122.589,126.259,I'll be moderating the period in the following manner.,10,,
27,0.97,126.259,128.394,Each Speaker given two minutes to speak.,10,,
28,0.97,128.394,134.734,I will call on each Speaker by name and in the order which they registered on the Council's Website.,10,,
29,0.97,134.734,142.208,"If you have not registered to speak and would like to, sign up before the end of the public hearing at the Council's Website.",10,,
30,0.97,142.208,144.544,The link is also listed on today's agenda.,10,,
31,0.97,144.544,153.686,"Once I call a Speaker's name, you need to press ""Star, 6"" to Unmute yourself.",10,,
32,0.97,153.686,158.458,State your name and the item in which you are addressing.,10,,
33,0.97,158.458,161.961,Speakers will hear a Chime when ten seconds are left of the time.,10,,
34,0.97,161.961,169.369,"Once you hear the Chime, wrap up your comments.",10,,
35,0.97,169.369,176.876,"If not, speakers will have their Mic muted after ten seconds to allow us to take the next Speaker.",10,,
36,0.97,176.876,180.413,"Once you have completed your comment, please Disconnect from the line.",10,,
37,0.97,180.413,189.122,"If you want to continue following the meeting, you can do so via the Seattle channel or the listening options listed on the agenda.",10,,
38,0.97,189.122,196.829,"So with that, we will move over to public comment.",10,,
39,0.97,196.829,204.604,And I'm going to read names into the record.,10,,
40,0.97,204.604,213.346,"We will start with Judge Adam Eisenberg, followed by Judge Faye chess.",10,,
41,0.97,213.479,217.183,"Good morning, Councilmember her bold.",11,,
42,0.97,217.183,217.517,This is Adam.,11,,
43,0.97,217.517,221.955,I'm one of the judges in Seattle municipal court.,11,,
44,0.97,221.955,232.799,I'm very excited and pleased by the Mayor's nomination of Catherine Mcdowall to become our newest bench mate.,11,,
45,0.97,232.799,237.136,I'm confused by the technology.,11,,
46,0.97,237.136,237.437,I apologize.,11,,
47,0.97,237.437,250.516,"Anyway, Councilmembers, I wanted you to know that Catherine Mcdowall has been in the court for the last seven years.",11,,
48,0.97,250.516,251.417,She's super smart.,11,,
49,0.97,251.417,255.321,She's very committed to changing the court system to make it more fair.,11,,
50,0.97,255.321,260.66,She and I work together on a regular basis and frequently discuss cases together.,11,,
51,0.97,260.66,267.934,I have always been impressed by her knowledge of the law and her compassion and empathy for the people in front of her.,11,,
52,0.97,267.934,280.246,"And we have discussed the domestic violence intervention project and other programs we're doing in the court that are designed to, you know, enforce harm reduction concepts and help people so they don't return to the court system.",11,,
53,0.97,280.246,282.815,I know she's very committed to the changes that the report suggested.,11,,
54,0.97,282.815,290.456,"And I'm just super, super excited that she will hopefully be joining our bench.",11,,
55,0.97,290.456,292.592,Thank you for considering her nomination.,11,,
56,0.97,292.592,294.394,And I encourage you to please support it.,11,,
57,0.97,294.394,298.865,"Thank you very much, and have a great day.",11,,
58,0.97,298.865,300.6,Thank you.,12,,
