index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,76.843,96.729,"From my President's report, tomorrow, we are scheduled to have a special meeting of the full city Council and the purpose of the meeting is to take a vote on the three budget bills the Mayor vetoed in late August, immediately before we all broke for recess and those are Council bills 119-825, 862 and 863.",0,,
1,0.97,96.729,112.812,"I do intend to speak more about tomorrow's special meeting during my report in the briefing but wanted to make sure that at the top of the agenda, everyone was aware of the scheduled special meeting of the full Council for tomorrow at 3:00 P.M.",0,,
2,0.97,112.812,128.094,Thanks for making yourselves available for that and we look forward to having further discussion about what we can expect on the 22nd and this afternoon.,0,,
3,0.97,128.094,133.7,"For now, we will move into a preview of today's city council action and regional committee.",0,,
4,0.97,133.7,138.171,"We will go ahead and call on Council members, as established by the roll call for city council meetings.",0,,
5,0.97,138.171,152.752,"This week, the rotation begins with Councilmember Lewis, Councilmember Morales, Councilmember Pedersen, Councilmember Sawant, Councilmember Strauss, Councilmember Herbold Councilmember Juarez and then I will conclude.",0,,
6,0.97,152.752,162.762,We do not have executive sessions or presentations and this will be the last item of business on this morning's agenda.,0,,
7,0.97,162.762,167.967,We will have Councilmember Lewis and then hear from Councilmember Morales.,0,,
8,0.97,167.967,168.768,"Councilmember Lewis, good morning.",0,,
9,0.97,168.768,173.973,"Thank you and good morning, Madam President.",1,,
10,0.97,173.973,176.576,I will be brief for this morning's briefing.,1,,
11,0.97,176.576,180.446,There is no items on this afternoon's council meeting from the Committee on homeless strategies and investments.,1,,
12,0.97,180.446,190.657,I will be canceling the committee meeting on Wednesday for the Committee on homelessness strategies and investments.,1,,
13,0.97,190.657,223.79,"I had anticipated we would be able to have a lengthy discussion on the implications around navigation team and some other things on this Wednesday, but given the posture of where we are, still resolving some of the outstanding issues from the 2020 ballots and it makes more sense to delay that conversation, to know what the lay of the land will be on some of those building blocks related to outreach.",1,,
14,0.97,223.79,236.536,"My intention would be to set a special committee meeting, potentially, for some time in early October to follow up on some of those issues.",1,,
15,0.97,236.536,248.548,"For now, I'm canceling the meeting this Wednesday, given that there is still a lot up in the air and to be resolved before that meeting.",1,,
